"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",5.42,5.43,4.19,4.56,"11,519,700","540,925,000","ICN",-0.158671586715867
"2018-01-09",4.12,5.65,4.12,5.34,"16,729,500","411,363,000","ICN",0.296116504854369
"2018-01-08",4.71,4.75,3.84,4.14,"10,074,900","469,575,000","ICN",-0.121019108280255
"2018-01-07",4.29,4.83,4.22,4.74,"11,686,600","428,094,000","ICN",0.104895104895105
"2018-01-06",3.63,4.38,3.58,4.29,"12,250,200","361,944,000","ICN",0.181818181818182
"2018-01-05",3.85,4.54,3.6,3.6,"12,818,500","384,510,000","ICN",-0.0649350649350649
"2018-01-04",3.32,4.12,3,3.86,"16,532,100","331,466,000","ICN",0.162650602409639
"2018-01-03",2.87,3.32,2.8,3.32,"5,326,450","286,279,000","ICN",0.156794425087108
"2018-01-02",2.54,2.94,2.54,2.86,"6,093,530","253,603,000","ICN",0.125984251968504
"2018-01-01",2.74,2.76,2.52,2.54,"3,084,440","273,335,000","ICN",-0.0729927007299271
"2017-12-31",2.57,2.9,2.43,2.73,"6,350,860","256,522,000","ICN",0.0622568093385215
"2017-12-30",2.3,2.63,2.04,2.6,"6,207,940","229,374,000","ICN",0.130434782608696
"2017-12-29",2.23,2.35,2.12,2.3,"4,022,980","222,997,000","ICN",0.0313901345291479
"2017-12-28",2.27,2.55,2,2.22,"6,785,200","226,488,000","ICN",-0.0220264317180616
"2017-12-27",2.34,2.56,2.18,2.27,"3,453,400","233,655,000","ICN",-0.0299145299145298
"2017-12-26",2.57,2.61,2.18,2.32,"4,873,210","256,023,000","ICN",-0.0972762645914397
"2017-12-25",2,2.56,1.97,2.56,"4,807,020","199,657,000","ICN",0.28
"2017-12-24",2.14,2.14,1.79,1.99,"1,871,320","213,795,000","ICN",-0.0700934579439253
"2017-12-23",1.94,2.31,1.86,2.13,"3,062,330","193,217,000","ICN",0.0979381443298969
"2017-12-22",2.61,2.63,1.53,1.92,"3,491,570","260,907,000","ICN",-0.264367816091954
"2017-12-21",2.21,2.82,2.19,2.56,"7,175,370","220,167,000","ICN",0.158371040723982
"2017-12-20",2.19,2.22,1.98,2.19,"3,528,080","218,523,000","ICN",0
"2017-12-19",2.41,2.47,2.13,2.2,"3,772,270","240,527,000","ICN",-0.0871369294605809
"2017-12-18",2.33,2.58,2.05,2.41,"5,829,230","232,119,000","ICN",0.0343347639484979
"2017-12-17",1.92,2.89,1.91,2.34,"10,167,800","192,054,000","ICN",0.21875
"2017-12-16",1.66,1.94,1.64,1.94,"4,119,660","165,886,000","ICN",0.168674698795181
"2017-12-15",1.54,1.72,1.52,1.67,"2,527,590","153,750,000","ICN",0.0844155844155843
"2017-12-14",1.54,1.59,1.42,1.54,"2,232,100","153,454,000","ICN",0
"2017-12-13",1.45,1.69,1.38,1.54,"2,354,230","145,072,000","ICN",0.0620689655172414
"2017-12-12",1.47,1.55,1.4,1.46,"2,236,970","146,960,000","ICN",-0.00680272108843538
"2017-12-11",1.33,1.53,1.32,1.47,"2,546,600","132,784,000","ICN",0.105263157894737
"2017-12-10",1.48,1.48,1.29,1.34,"1,650,370","147,307,000","ICN",-0.0945945945945945
"2017-12-09",1.46,1.55,1.42,1.48,"1,816,180","145,585,000","ICN",0.0136986301369863
"2017-12-08",1.41,1.49,1.32,1.46,"1,733,490","140,832,000","ICN",0.0354609929078014
"2017-12-07",1.59,1.66,1.35,1.42,"1,742,390","158,422,000","ICN",-0.106918238993711
"2017-12-06",1.6,1.63,1.46,1.59,"1,561,860","160,138,000","ICN",-0.00625000000000001
"2017-12-05",1.59,1.68,1.56,1.62,"1,515,480","158,186,000","ICN",0.0188679245283019
"2017-12-04",1.5,1.59,1.45,1.59,"998,783","149,959,000","ICN",0.0600000000000001
"2017-12-03",1.45,1.64,1.43,1.5,"1,202,690","144,529,000","ICN",0.0344827586206897
"2017-12-02",1.57,1.59,1.44,1.44,"1,020,090","156,775,000","ICN",-0.0828025477707007
"2017-12-01",1.41,1.6,1.31,1.57,"1,096,350","140,244,000","ICN",0.113475177304965
"2017-11-30",1.33,1.43,1.18,1.39,"1,035,390","132,277,000","ICN",0.0451127819548871
"2017-11-29",1.53,1.6,1.28,1.31,"1,400,480","152,295,000","ICN",-0.143790849673203
"2017-11-28",1.54,1.61,1.45,1.54,"1,292,910","153,319,000","ICN",0
"2017-11-27",1.62,1.75,1.49,1.53,"1,351,570","161,412,000","ICN",-0.0555555555555556
