"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",12.27,12.33,10.31,11.04,"151,609,000","4,645,360,000","ICX",-0.100244498777506
"2018-01-09",10.38,12.64,10.34,12.19,"259,024,000","3,928,180,000","ICX",0.174373795761079
"2018-01-08",9.86,11.28,8.87,10.41,"227,863,000","3,730,790,000","ICX",0.0557809330628804
"2018-01-07",7.79,10.5,7.76,9.92,"283,778,000","2,947,310,000","ICX",0.273427471116816
"2018-01-06",6.89,7.94,6.76,7.76,"149,783,000","2,607,470,000","ICX",0.126269956458636
"2018-01-05",7.31,7.89,6.37,6.84,"161,902,000","2,765,270,000","ICX",-0.0642954856361149
"2018-01-04",7.4,8.08,6.78,7.24,"160,103,000","2,794,050,000","ICX",-0.0216216216216216
"2018-01-03",6.48,7.41,6.25,7.34,"147,000,000","2,446,920,000","ICX",0.132716049382716
"2018-01-02",6.18,7.11,5.68,6.49,"159,429,000","2,328,010,000","ICX",0.0501618122977347
"2018-01-01",5.35,6.43,4.98,6.16,"103,225,000","2,017,570,000","ICX",0.151401869158879
"2017-12-31",5.18,5.51,5.02,5.35,"62,230,900","1,952,280,000","ICX",0.0328185328185328
"2017-12-30",5.53,5.53,4.77,5.2,"65,365,800","2,082,760,000","ICX",-0.0596745027124774
"2017-12-29",5.84,6.04,5.2,5.51,"72,316,600","2,004,520,000","ICX",-0.0565068493150685
"2017-12-28",5.13,6.04,4.44,5.79,"143,201,000","1,465,880,000","ICX",0.128654970760234
"2017-12-27",6.28,6.28,4.83,5.19,"124,386,000","1,794,830,000","ICX",-0.173566878980892
"2017-12-26",6.99,7.34,4.97,6.18,"217,605,000","1,998,530,000","ICX",-0.11587982832618
"2017-12-25",4.4,7.1,4.4,6.91,"200,710,000","-","ICX",0.570454545454545
"2017-12-24",4.12,4.34,3.25,4.34,"51,895,300","-","ICX",0.0533980582524271
"2017-12-23",2.75,4.39,2.75,4.06,"96,608,400","-","ICX",0.476363636363636
