"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",5.94,6.14,5.32,6.02,"1,203,880","97,805,000","IOC",0.0134680134680133
"2018-01-09",5.15,6.36,4.9,5.93,"2,656,940","84,771,300","IOC",0.151456310679612
"2018-01-08",4.58,5.69,4.38,5.23,"1,561,820","75,319,900","IOC",0.141921397379913
"2018-01-07",4.82,5.17,4.42,4.58,"1,000,300","79,265,600","IOC",-0.049792531120332
"2018-01-06",4.43,4.81,4.36,4.63,"616,323","72,902,900","IOC",0.0451467268623025
"2018-01-05",4.4,4.84,3.72,4.36,"1,043,470","72,409,500","IOC",-0.0090909090909091
"2018-01-04",3.86,4.64,3.71,4.4,"1,279,720","63,428,500","IOC",0.139896373056995
"2018-01-03",3.61,3.93,3.22,3.83,"401,934","59,395,000","IOC",0.0609418282548477
"2018-01-02",3.35,3.71,3.1,3.54,"790,837","55,056,800","IOC",0.0567164179104477
"2018-01-01",3.26,3.39,2.92,3.38,"212,954","53,542,000","IOC",0.0368098159509203
"2017-12-31",3.09,3.33,3.02,3.24,"307,524","50,800,100","IOC",0.0485436893203885
"2017-12-30",3.55,3.64,2.86,3.1,"348,911","58,401,100","IOC",-0.126760563380282
"2017-12-29",3.21,3.63,2.95,3.63,"628,880","52,736,500","IOC",0.130841121495327
"2017-12-28",3.43,3.55,2.65,3.13,"332,260","56,372,000","IOC",-0.087463556851312
"2017-12-27",3.04,3.82,2.95,3.46,"824,312","49,897,000","IOC",0.138157894736842
"2017-12-26",3.55,3.72,2.83,3.03,"494,688","58,297,700","IOC",-0.146478873239437
"2017-12-25",3.42,3.85,3.14,3.55,"525,736","56,227,100","IOC",0.0380116959064327
"2017-12-24",3.08,3.52,2.65,3.32,"620,810","50,536,600","IOC",0.0779220779220779
"2017-12-23",2.44,3.32,2.33,3.04,"463,134","40,138,000","IOC",0.245901639344262
"2017-12-22",3.12,3.17,1.82,2.44,"214,782","51,186,700","IOC",-0.217948717948718
"2017-12-21",3.19,3.54,2.89,3.11,"514,374","52,463,100","IOC",-0.0250783699059561
"2017-12-20",3.28,3.28,2.61,3.19,"828,864","53,808,700","IOC",-0.0274390243902439
"2017-12-19",2.97,3.79,2.9,3.3,"941,141","48,688,800","IOC",0.111111111111111
"2017-12-18",2.74,3.57,2.52,2.96,"924,843","45,032,000","IOC",0.0802919708029196
"2017-12-17",2.73,2.92,2.54,2.74,"291,517","44,754,400","IOC",0.00366300366300375
"2017-12-16",2.65,2.85,2.5,2.73,"284,623","43,412,800","IOC",0.030188679245283
"2017-12-15",2.84,3.03,2.14,2.64,"1,059,060","46,630,700","IOC",-0.0704225352112675
"2017-12-14",2.7,3.27,2.55,2.77,"865,191","44,346,800","IOC",0.0259259259259259
"2017-12-13",2.23,5.08,2.01,2.84,"2,947,690","36,564,600","IOC",0.273542600896861
"2017-12-12",2.06,2.54,2,2.18,"223,512","33,835,100","IOC",0.0582524271844661
"2017-12-11",1.98,2.23,1.94,2.05,"183,440","32,510,000","IOC",0.0353535353535353
"2017-12-10",2.23,2.3,1.92,2,"152,626","36,637,000","IOC",-0.103139013452915
"2017-12-09",2.43,2.45,1.98,2.22,"236,446","39,782,800","IOC",-0.0864197530864197
"2017-12-08",2.38,2.59,1.93,2.43,"319,147","38,987,300","IOC",0.0210084033613447
"2017-12-07",2.79,3.27,2.14,2.29,"697,179","45,709,300","IOC",-0.17921146953405
"2017-12-06",3.28,3.45,2.57,2.85,"384,181","53,841,900","IOC",-0.13109756097561
"2017-12-05",3.29,3.67,3.19,3.29,"349,041","53,878,800","IOC",0
"2017-12-04",3.22,3.45,3.02,3.27,"394,739","52,691,600","IOC",0.015527950310559
"2017-12-03",3.12,3.49,3,3.17,"127,287","51,067,200","IOC",0.016025641025641
"2017-12-02",3.47,3.47,3.06,3.12,"265,858","56,777,200","IOC",-0.100864553314121
