"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.261274,0.261851,0.168239,0.18478,"4","395,491","ISL",-0.292773104097614
"2018-01-09",0.269421,0.275771,0.180286,0.260932,"274","407,824","ISL",-0.0315083085579818
"2018-01-08",0.291338,0.29243,0.254806,0.270157,"8","440,999","ISL",-0.0727024967563449
"2018-01-07",0.307925,0.307925,0.192711,0.291746,"345","466,108","ISL",-0.0525420151010798
"2018-01-06",0.204827,0.31174,0.197659,0.308152,"804","310,047","ISL",0.504450096911052
"2018-01-05",0.183085,0.206397,0.180098,0.204664,"21","277,136","ISL",0.117863287544037
"2018-01-04",0.180096,0.216497,0.170107,0.183048,"197","272,611","ISL",0.0163912579957355
"2018-01-03",0.169721,0.299464,0.167847,0.179114,"75","256,907","ISL",0.0553437700697025
"2018-01-02",0.152971,0.303424,0.147691,0.170326,"723","231,553","ISL",0.113452876689046
"2018-01-01",0.11213,0.300977,0.108036,0.152983,"11,909","169,732","ISL",0.36433603852671
"2017-12-31",0.098664,0.150583,0.097684,0.111698,"488","149,349","ISL",0.132104921754642
"2017-12-30",0.289046,0.289143,0.094587,0.09987,"342","437,530","ISL",-0.654484061360475
"2017-12-29",0.111834,0.32531,0.110274,0.289775,"3,399","169,284","ISL",1.59111719155176
"2017-12-28",0.153763,0.154414,0.105329,0.110688,"2","232,751","ISL",-0.280138915083603
"2017-12-27",0.122103,0.194931,0.114533,0.154086,"855","184,828","ISL",0.261934596201568
"2017-12-26",0.111576,0.146072,0.11112,0.122015,"187","168,894","ISL",0.0935595468559547
"2017-12-25",0.111948,0.113451,0.109489,0.111691,"3","169,456","ISL",-0.00229570872190666
"2017-12-24",0.112615,0.112615,0.09689,0.103031,"6","170,466","ISL",-0.0851041157927453
"2017-12-23",0.107492,0.120722,0.10496,0.111386,"225","162,711","ISL",0.036225951698731
"2017-12-22",0.121305,0.1225,0.088362,0.102198,"9","183,619","ISL",-0.157512056386794
"2017-12-21",0.127251,0.134845,0.116934,0.120886,"34","192,620","ISL",-0.0500192532868112
"2017-12-20",0.141126,0.142862,0.121701,0.126918,"30","213,623","ISL",-0.100675991667021
"2017-12-19",0.154982,0.155537,0.137946,0.141265,"59","234,596","ISL",-0.0885070524318954
"2017-12-18",0.191319,0.191319,0.151784,0.15485,"185","289,600","ISL",-0.190618809423006
"2017-12-17",0.272479,0.276374,0.170801,0.190741,"21","412,452","ISL",-0.299979080956698
"2017-12-16",0.230468,0.274597,0.227209,0.272444,"706","348,860","ISL",0.182133745248798
"2017-12-15",0.381516,0.381516,0.228866,0.230145,"404","577,502","ISL",-0.39676186581952
"2017-12-14",0.229093,0.390414,0.161812,0.380943,"4,142","346,779","ISL",0.662831251936986
"2017-12-13",0.069449,0.251567,0.069046,0.229831,"10,491","105,126","ISL",2.30934930668548
"2017-12-12",0.132504,0.134384,0.067205,0.069391,"2","200,573","ISL",-0.476310149127574
"2017-12-11",0.083128,0.137758,0.082368,0.13208,"537","125,832","ISL",0.588874987970359
"2017-12-08",0.126521,0.128408,0.102657,0.110585,"2","191,515","ISL",-0.125955374997036
"2017-12-07",0.102058,0.126224,0.100752,0.126224,"238","154,485","ISL",0.236786925081816
