"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-06",0.50952,0.512898,0.493567,0.499142,"8,056","1,233,950","ITZ",-0.0203681896687078
"2018-01-05",0.455435,0.513426,0.448005,0.509114,"8,217","1,093,520","ITZ",0.117863141831436
"2018-01-04",0.435028,0.478126,0.28865,0.455344,"17,891","1,035,570","ITZ",0.0467004422703826
"2018-01-03",0.48958,0.597328,0.423131,0.432658,"23,168","1,155,480","ITZ",-0.116267004371094
"2018-01-02",0.405042,0.616337,0.329426,0.521101,"73,058","947,715","ITZ",0.28653571728364
"2018-01-01",0.293608,0.549177,0.28857,0.405074,"99,796","681,133","ITZ",0.379642244080543
"2017-12-31",0.17799,0.516,0.117812,0.292476,"44,813","409,197","ITZ",0.643215911006236
"2017-12-30",0.144943,0.190924,0.094878,0.179933,"15,384","331,220","ITZ",0.241405242060672
"2017-12-29",0.100537,0.145678,0.094732,0.145309,"8,583","228,163","ITZ",0.445328585495887
"2017-12-28",0.098836,0.099255,0.086798,0.089753,"7,292","221,720","ITZ",-0.0918997126553077
"2017-12-27",0.079327,0.11805,0.066018,0.099044,"8,047","176,288","ITZ",0.248553455948164
"2017-12-26",0.058505,0.083759,0.058265,0.07927,"3,008","128,770","ITZ",0.35492692932228
"2017-12-25",0.063391,0.083836,0.023437,0.058564,"2,777","138,250","ITZ",-0.0761464561215315
"2017-12-24",0.065654,0.097908,0.059807,0.06274,"4,655","141,815","ITZ",-0.044384195936272
"2017-12-23",0.134681,0.13869,0.053632,0.064936,"1,924","287,970","ITZ",-0.517853297792562
"2017-12-22",0.064423,0.236476,0.019405,0.13342,"3,303","136,406","ITZ",1.07099948776058
"2017-12-21",0.038653,0.10282,0.033782,0.064201,"4,025","81,036","ITZ",0.660957752309006
"2017-12-20",0.033881,0.043804,0.032119,0.038552,"2,251","70,331","ITZ",0.137864880021251
"2017-12-19",0.031188,0.041578,0.029753,0.033914,"2,858","64,094","ITZ",0.0874054123380787
"2017-12-18",0.032409,0.05535,0.029293,0.031161,"2,626","65,947","ITZ",-0.0385078219013237
"2017-12-17",0.029215,0.033371,0.028634,0.032312,"338","58,829","ITZ",0.106007188088311
"2017-12-16",0.040517,0.040517,0.021885,0.029211,"676","80,770","ITZ",-0.279043364513661
"2017-12-15",0.020734,0.040659,0.020731,0.04046,"807","40,897","ITZ",0.951384199864956
"2017-12-14",0.029571,0.032361,0.019039,0.020703,"326","57,761","ITZ",-0.299888404179771
"2017-12-13",0.042845,0.046766,0.029639,0.042195,"1,144","82,875","ITZ",-0.0151709651067802
"2017-12-12",0.041437,0.043477,0.028476,0.042809,"1,166","79,309","ITZ",0.0331105051041339
"2017-12-11",0.024395,0.042414,0.024289,0.041305,"1,549","46,182","ITZ",0.693174830907973
"2017-12-10",0.037006,0.037006,0.019141,0.024573,"699","69,312","ITZ",-0.335972544992704
"2017-12-09",0.032479,0.03726,0.015787,0.036856,"2,281","60,199","ITZ",0.134764001354721
"2017-12-08",0.028131,0.034423,0.023376,0.032512,"733","51,559","ITZ",0.155735665280296
"2017-12-07",0.036592,0.042379,0.025151,0.028065,"3,084","66,297","ITZ",-0.233029077393966
"2017-12-06",0.017652,0.036707,0.017652,0.036656,"1,397","31,618","ITZ",1.0765918876048
"2017-12-05",0.016547,0.034097,0.01635,0.017696,"339","29,305","ITZ",0.0694385689248807
"2017-12-04",0.022472,0.023109,0.013048,0.016514,"728","39,350","ITZ",-0.265129939480242
"2017-12-03",0.00224,0.036059,0.002232,0.022398,"1,484","3,836","ITZ",8.99910714285715
"2017-12-02",0.005453,0.025513,0.00206,0.002234,"251","9,339","ITZ",-0.590317256556024
"2017-12-01",0.025083,0.025366,0.00524,0.005458,"3,229","42,476","ITZ",-0.782402423952478
"2017-11-30",0.024505,0.030153,0.022568,0.025208,"623","41,023","ITZ",0.0286880228524792
"2017-11-29",0.025619,0.029628,0.016064,0.024134,"2,130","42,383","ITZ",-0.0579647917561185
"2017-11-28",0.029026,0.029027,0.023136,0.025641,"629","47,419","ITZ",-0.116619582443327
"2017-11-27",0.02789,0.029051,0.01946,0.028951,"1,174","45,002","ITZ",0.0380423090713517
"2017-11-26",0.026079,0.031966,0.024637,0.027885,"713","41,566","ITZ",0.0692511215920855
