"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.737919,0.811818,0.534129,0.613443,"29,892","15,495,600","IXC",-0.168685180893838
"2018-01-09",0.815046,0.831262,0.55535,0.737074,"17,204","17,115,200","IXC",-0.0956657661039991
"2018-01-08",0.787603,0.822651,0.501072,0.817265,"45,529","16,538,900","IXC",0.0376611059124965
"2018-01-07",0.427188,0.824594,0.378664,0.708646,"48,699","8,970,560","IXC",0.658862140322294
"2018-01-06",0.373017,0.42772,0.369332,0.42683,"11,062","7,833,020","IXC",0.144264202435814
"2018-01-05",0.294277,0.378821,0.293025,0.376409,"5,287","6,179,540","IXC",0.279097584928486
"2018-01-04",0.24847,0.294209,0.232835,0.294209,"13,160","5,217,640","IXC",0.184082585422787
"2018-01-03",0.235757,0.257222,0.232563,0.246863,"4,278","4,950,690","IXC",0.0471078271270843
"2018-01-02",0.214609,0.266072,0.199801,0.239605,"1,469","4,506,590","IXC",0.116472282150329
"2018-01-01",0.190514,0.237027,0.187188,0.214693,"1,191","4,000,620","IXC",0.126914557460344
"2017-12-31",0.228712,0.238251,0.188874,0.189905,"2,117","4,802,740","IXC",-0.169676274091434
"2017-12-30",0.22815,0.260599,0.2224,0.2309,"3,111","4,790,940","IXC",0.0120534735919351
"2017-12-29",0.230097,0.255033,0.22144,0.22872,"2,352","4,831,830","IXC",-0.00598443265231615
"2017-12-28",0.191696,0.227415,0.169221,0.227415,"1,838","4,025,450","IXC",0.186331483181704
"2017-12-27",0.198947,0.209958,0.170332,0.19209,"608","4,177,700","IXC",-0.0344664659431909
"2017-12-26",0.198832,0.230058,0.183778,0.198799,"2,711","4,175,290","IXC",-0.000165969260481237
"2017-12-25",0.211498,0.227665,0.190701,0.198989,"689","4,441,270","IXC",-0.0591447673264049
"2017-12-24",0.244833,0.244833,0.189154,0.209324,"794","5,141,260","IXC",-0.145033553483395
"2017-12-23",0.198365,0.272442,0.166314,0.242249,"2,601","4,165,490","IXC",0.221228543341819
"2017-12-22",0.22972,0.231906,0.132118,0.196507,"9,050","4,823,910","IXC",-0.144580358697545
"2017-12-21",0.156781,0.229932,0.136892,0.228933,"6,198","3,292,260","IXC",0.460208826324618
"2017-12-20",0.131666,0.175453,0.090457,0.156381,"2,048","2,764,880","IXC",0.187709811188917
"2017-12-19",0.106148,0.154344,0.10228,0.131764,"954","2,229,020","IXC",0.241323435203678
"2017-12-18",0.172221,0.191304,0.105789,0.106058,"1,735","3,616,490","IXC",-0.384174984467632
"2017-12-17",0.195054,0.210945,0.16993,0.171703,"1,073","4,095,960","IXC",-0.119715565945841
"2017-12-16",0.167872,0.204811,0.167432,0.194273,"171","3,525,150","IXC",0.157268633244377
"2017-12-15",0.191732,0.23226,0.165669,0.167656,"1,280","4,026,200","IXC",-0.12557110967392
"2017-12-14",0.181496,0.199078,0.179449,0.191445,"956","3,811,240","IXC",0.0548166350773572
"2017-12-13",0.189029,0.191581,0.113742,0.182079,"3,851","3,969,430","IXC",-0.0367668452988695
"2017-12-12",0.176557,0.262462,0.173536,0.18887,"852","3,707,530","IXC",0.0697395175495733
"2017-12-11",0.158201,0.190904,0.157512,0.176022,"618","3,322,070","IXC",0.112647834084487
"2017-12-10",0.13886,0.16326,0.122929,0.159347,"1,365","2,915,930","IXC",0.147537087714244
"2017-12-09",0.221411,0.221411,0.122887,0.13832,"2,490","4,649,420","IXC",-0.375279457660188
"2017-12-08",0.20902,0.233162,0.191028,0.221632,"988","4,389,240","IXC",0.0603387235671227
"2017-12-07",0.187601,0.21155,0.158424,0.20853,"2,513","3,939,460","IXC",0.111561239012585
"2017-12-06",0.193662,0.203138,0.172291,0.188171,"413","4,066,730","IXC",-0.0283535231485784
"2017-12-05",0.154134,0.198114,0.152384,0.19405,"288","3,236,680","IXC",0.258969468125138
"2017-12-04",0.163036,0.165542,0.133405,0.153831,"2,728","3,423,610","IXC",-0.0564599229617998
"2017-12-03",0.159356,0.177782,0.153994,0.162496,"195","3,346,340","IXC",0.0197043098471347
"2017-12-02",0.156465,0.177475,0.155343,0.159202,"201","3,285,620","IXC",0.0174927300035153
"2017-12-01",0.147644,0.159133,0.138018,0.156607,"174","3,100,390","IXC",0.0607068353607326
"2017-11-30",0.156608,0.169036,0.139991,0.149252,"1,064","3,288,630","IXC",-0.0469707805476093
"2017-11-29",0.135406,0.152206,0.113639,0.152206,"532","2,843,400","IXC",0.124071311463303
"2017-11-28",0.1426,0.142603,0.132097,0.135541,"1,521","2,994,470","IXC",-0.0495021037868163
"2017-11-27",0.125918,0.14298,0.125918,0.142232,"1,842","2,644,170","IXC",0.129560507631951
"2017-11-26",0.114986,0.128009,0.114129,0.125894,"1,001","2,414,600","IXC",0.0948637225401353
"2017-11-25",0.098701,0.115213,0.098146,0.115213,"65","2,072,640","IXC",0.167293137860812
"2017-11-24",0.090603,0.111762,0.088884,0.098902,"870","1,902,580","IXC",0.0915974084743331
"2017-11-23",0.082796,0.094738,0.081486,0.090731,"1,175","1,738,640","IXC",0.0958379631866275
"2017-11-22",0.107715,0.147859,0.072961,0.082849,"1,367","2,261,910","IXC",-0.230849928050875
"2017-11-21",0.10972,0.127338,0.103703,0.107456,"230","2,304,030","IXC",-0.0206343419613562
"2017-11-20",0.103955,0.11215,0.092719,0.109702,"244","2,182,960","IXC",0.0552835361454474
"2017-11-19",0.094734,0.121125,0.094356,0.10401,"380","1,989,340","IXC",0.097916270821458
"2017-11-18",0.088426,0.097379,0.085724,0.094909,"152","1,856,860","IXC",0.073315540678081
"2017-11-17",0.125391,0.129096,0.080478,0.088763,"615","2,633,090","IXC",-0.292110279047141
"2017-11-16",0.116884,0.127917,0.111697,0.125597,"303","2,454,450","IXC",0.07454399233428
"2017-11-15",0.11134,0.121247,0.11134,0.116277,"1,188","2,338,040","IXC",0.0443416561882523
"2017-11-14",0.105648,0.111753,0.103029,0.111263,"4","2,218,520","IXC",0.0531481902165682
"2017-11-13",0.094302,0.10886,0.093566,0.105425,"80","1,980,260","IXC",0.117950838794511
"2017-11-12",0.101682,0.10805,0.090945,0.094166,"302","2,135,230","IXC",-0.0739167207568694
"2017-11-11",0.080194,0.104033,0.072903,0.101752,"672","1,684,000","IXC",0.268823103972866
"2017-11-10",0.082874,0.128797,0.080518,0.080865,"120","1,740,280","IXC",-0.0242416198083838
"2017-11-09",0.084332,0.084332,0.067096,0.082629,"228","1,770,890","IXC",-0.020193995161979
"2017-11-08",0.122988,0.125726,0.080948,0.08442,"5,291","2,582,640","IXC",-0.313591569909259
"2017-11-07",0.108324,0.125491,0.108324,0.123382,"177","2,274,710","IXC",0.139008899228241
"2017-11-06",0.126274,0.13482,0.10793,0.108424,"324","2,651,630","IXC",-0.141359266357286
