"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.26,3.28,2.37,2.76,"1,893,910","116,775,000","IXT",-0.153374233128834
"2018-01-09",2.5,4.49,2.48,3.25,"3,468,920","89,411,000","IXT",0.3
"2018-01-08",2.01,2.67,1.94,2.49,"1,385,160","71,967,400","IXT",0.238805970149254
"2018-01-07",2,2.12,1.86,2.01,"838,526","71,571,000","IXT",0.00499999999999989
"2018-01-06",1.89,2.17,1.77,1.96,"912,172","67,738,200","IXT",0.0370370370370371
"2018-01-05",1.67,1.99,1.54,1.86,"1,597,990","59,751,100","IXT",0.11377245508982
"2018-01-04",1.23,1.83,1.21,1.64,"1,678,620","44,159,600","IXT",0.333333333333333
"2018-01-03",1.06,1.27,1.01,1.23,"663,709","37,788,300","IXT",0.160377358490566
"2018-01-02",0.982608,1.18,0.94534,1.06,"994,562","35,156,600","IXT",0.078761825672089
"2018-01-01",0.700779,1.07,0.638661,0.984843,"1,385,780","25,073,100","IXT",0.405354612509793
"2017-12-31",0.487864,0.806326,0.476703,0.69559,"419,202","17,455,200","IXT",0.425786694652608
"2017-12-30",0.530079,0.546278,0.485861,0.492827,"273,910","18,965,600","IXT",-0.0702763173036471
"2017-12-29",0.475476,0.544778,0.461067,0.530692,"168,979","17,012,000","IXT",0.116127838208448
"2017-12-28",0.521138,0.545398,0.437112,0.467368,"117,228","18,645,700","IXT",-0.103178044970814
"2017-12-27",0.606944,0.629289,0.496839,0.52185,"236,768","21,715,700","IXT",-0.140200743396425
"2017-12-26",0.511136,0.608843,0.502371,0.606048,"214,859","18,287,900","IXT",0.185688349089088
"2017-12-25",0.478111,0.545476,0.442308,0.511614,"202,757","17,106,300","IXT",0.0700736858177285
"2017-12-24",0.497049,0.503093,0.383416,0.476624,"362,155","17,783,800","IXT",-0.0410925281008513
"2017-12-23",0.468773,0.57714,0.458113,0.49671,"217,654","16,772,100","IXT",0.0595960091558174
"2017-12-22",0.600582,0.608292,0.391798,0.441863,"218,353","21,488,100","IXT",-0.264275319606648
"2017-12-21",0.675688,0.703754,0.548464,0.598677,"294,963","24,175,300","IXT",-0.113974201110572
"2017-12-20",0.769127,0.769127,0.604138,0.664655,"499,684","27,518,500","IXT",-0.135831923726511
"2017-12-19",0.759524,0.89988,0.725448,0.76994,"426,264","27,174,900","IXT",0.0137138523601624
"2017-12-18",0.81934,0.82041,0.710256,0.759929,"474,625","29,315,000","IXT",-0.0725108013767178
"2017-12-17",0.786698,0.852326,0.733978,0.804363,"359,816","28,147,100","IXT",0.0224546140958793
"2017-12-16",0.840031,0.872354,0.744428,0.789335,"355,043","30,055,400","IXT",-0.0603501537443261
"2017-12-15",0.916873,0.924093,0.718574,0.843219,"811,702","32,804,700","IXT",-0.0803317362382795
"2017-12-14",0.825929,0.957577,0.816865,0.908976,"617,783","29,550,800","IXT",0.100549805128528
"2017-12-13",0.647688,0.852691,0.63914,0.83002,"480,978","23,173,500","IXT",0.28151208606613
"2017-12-12",0.600092,0.72966,0.591468,0.647206,"390,153","21,470,600","IXT",0.0785112949347767
"2017-12-11",0.562293,0.644349,0.51211,0.611928,"396,059","20,118,200","IXT",0.0882724842742129
"2017-12-10",0.4612,0.589394,0.403234,0.566692,"199,832","16,501,200","IXT",0.228733738074588
"2017-12-09",0.489585,0.530421,0.422322,0.458785,"276,461","17,516,800","IXT",-0.0629104241347263
"2017-12-08",0.530705,0.571996,0.438833,0.491127,"323,984","18,988,000","IXT",-0.0745762711864407
"2017-12-07",0.587308,0.617532,0.510407,0.545996,"524,826","21,013,200","IXT",-0.0703412860032556
"2017-12-06",0.570212,0.640583,0.52182,0.582187,"517,614","20,401,500","IXT",0.021000961046067
"2017-12-05",0.534001,0.593327,0.51369,0.576423,"455,380","19,106,000","IXT",0.0794417987981297
"2017-12-04",0.440823,0.567004,0.425226,0.533211,"522,504","15,772,100","IXT",0.209580716069715
"2017-12-03",0.384943,0.469888,0.384211,0.440778,"280,243","13,772,800","IXT",0.145047448583297
"2017-12-02",0.360266,0.432021,0.353732,0.385697,"214,985","12,889,900","IXT",0.0705895088628959
"2017-12-01",0.307161,0.366445,0.296057,0.360672,"130,811","10,989,900","IXT",0.174211569828201
"2017-11-30",0.287653,0.337271,0.286161,0.308047,"148,574","10,291,900","IXT",0.0708979221492563
"2017-11-29",0.331832,0.361197,0.274231,0.286722,"96,011","11,872,600","IXT",-0.135942284047349
"2017-11-28",0.329083,0.344509,0.28708,0.331184,"125,190","11,774,200","IXT",0.00638440758106606
"2017-11-27",0.300702,0.346611,0.300176,0.324112,"72,971","10,758,800","IXT",0.0778511616151538
"2017-11-26",0.321149,0.348413,0.294676,0.302236,"119,902","11,490,300","IXT",-0.0588916671077911
"2017-11-25",0.280187,0.32494,0.265998,0.324433,"135,720","10,024,800","IXT",0.157915963267389
"2017-11-24",0.266059,0.286072,0.251969,0.28104,"93,265","9,519,280","IXT",0.0563070597123195
"2017-11-23",0.264822,0.282581,0.256337,0.261587,"60,374","9,475,020","IXT",-0.0122157524676952
"2017-11-22",0.254577,0.279478,0.242692,0.265447,"92,656","9,108,470","IXT",0.0426982798917419
"2017-11-21",0.223414,0.270684,0.218042,0.254999,"50,882","7,993,490","IXT",0.141374309577735
"2017-11-20",0.244413,0.250554,0.217806,0.223935,"82,901","8,744,810","IXT",-0.0837844140859938
"2017-11-19",0.248193,0.25724,0.227664,0.243825,"43,744","8,880,070","IXT",-0.0175992070686926
"2017-11-18",0.245966,0.250038,0.239823,0.248531,"60,061","8,800,370","IXT",0.0104282705739818
"2017-11-17",0.228521,0.25103,0.221359,0.246381,"43,108","8,176,200","IXT",0.0781547428901501
"2017-11-16",0.231423,0.247015,0.220282,0.232904,"88,757","8,280,030","IXT",0.00639953677897188
"2017-11-15",0.231734,0.243909,0.228242,0.232827,"96,113","8,291,160","IXT",0.00471661473931322
"2017-11-14",0.236959,0.244209,0.225814,0.235231,"65,526","8,478,110","IXT",-0.00729240079507428
"2017-11-13",0.233982,0.249274,0.224588,0.233442,"34,525","8,371,620","IXT",-0.00230786983614118
"2017-11-12",0.216264,0.242739,0.201709,0.235855,"78,172","7,737,690","IXT",0.0905883549735508
"2017-11-11",0.220883,0.229202,0.198975,0.216258,"54,441","7,902,940","IXT",-0.0209386869971885
"2017-11-10",0.242116,0.255948,0.214678,0.219971,"145,939","8,662,620","IXT",-0.091464422012589
"2017-11-09",0.224159,0.259756,0.223209,0.241942,"64,720","8,020,150","IXT",0.0793320812459013
"2017-11-08",0.239826,0.253683,0.212121,0.225807,"62,959","8,580,690","IXT",-0.0584548797878462
"2017-11-07",0.247033,0.265137,0.225695,0.231489,"48,050","8,838,570","IXT",-0.0629227674035453
"2017-11-06",0.241317,0.269834,0.232677,0.246863,"53,645","8,634,060","IXT",0.0229822184098095
"2017-11-05",0.206971,0.258942,0.203,0.244947,"46,740","7,405,200","IXT",0.183484642776041
"2017-11-04",0.202577,0.212558,0.171434,0.205953,"47,697","7,247,970","IXT",0.0166652680215424
"2017-11-03",0.200864,0.21372,0.189684,0.208515,"39,864","7,186,680","IXT",0.0380904492592004
"2017-11-02",0.183962,0.210523,0.173543,0.198153,"41,554","6,581,950","IXT",0.077140931279286
"2017-11-01",0.221565,0.225651,0.172658,0.180689,"66,604","7,927,350","IXT",-0.184487622142487
"2017-10-31",0.236454,0.254283,0.207299,0.225445,"54,301","8,460,040","IXT",-0.0465587386975902
