"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000584,0.00075,0.000553,0.00075,"1,954","61,934","JOBS",0.284246575342466
"2018-01-09",0.000452,0.000755,0.000444,0.000583,"859","47,899","JOBS",0.289823008849558
"2018-01-08",0.000651,0.000654,0.000453,0.000453,"1,674","69,061","JOBS",-0.304147465437788
"2018-01-07",0.000516,0.000687,0.000491,0.000652,"1,558","54,714","JOBS",0.263565891472868
"2018-01-06",0.00051,0.00069,0.000494,0.000516,"1,193","54,019","JOBS",0.0117647058823528
"2018-01-05",0.000455,0.000659,0.000317,0.000509,"461","48,285","JOBS",0.118681318681319
"2018-01-04",0.000456,0.000606,0.000431,0.000455,"210","48,379","JOBS",-0.0021929824561404
"2018-01-03",0.000445,0.000606,0.00044,0.000454,"760","47,186","JOBS",0.0202247191011236
"2018-01-02",0.000405,0.000456,0.000391,0.000447,"67","42,942","JOBS",0.103703703703704
"2018-01-01",0.000419,0.00042,0.000387,0.000405,"113","44,469","JOBS",-0.0334128878281623
"2017-12-31",0.000254,0.000427,0.000252,0.000418,"121","26,960","JOBS",0.645669291338583
"2017-12-30",0.000435,0.000435,0.000257,0.000257,"93","46,105","JOBS",-0.409195402298851
"2017-12-29",0.000289,0.00044,0.000283,0.000436,"59","30,677","JOBS",0.508650519031142
"2017-12-28",0.00031,0.000437,0.000273,0.000286,"26","32,900","JOBS",-0.0774193548387096
"2017-12-27",0.000317,0.000497,0.000294,0.000311,"696","33,594","JOBS",-0.0189274447949526
"2017-12-26",0.000279,0.000323,0.000277,0.000318,"3","29,536","JOBS",0.139784946236559
"2017-12-25",0.000423,0.000435,0.000273,0.000279,"24","44,805","JOBS",-0.340425531914894
"2017-12-24",0.000292,0.000428,0.000271,0.000418,"28","30,971","JOBS",0.431506849315069
"2017-12-23",0.000276,0.00047,0.000272,0.000289,"266","29,239","JOBS",0.0471014492753623
"2017-12-22",0.000314,0.000435,0.000255,0.000273,"136","33,318","JOBS",-0.130573248407643
"2017-12-21",0.000494,0.000522,0.000303,0.000313,"7","52,426","JOBS",-0.366396761133603
"2017-12-20",0.000352,0.000505,0.000167,0.000493,"169","37,359","JOBS",0.400568181818182
"2017-12-19",0.000383,0.00055,0.000341,0.000353,"1,144","40,571","JOBS",-0.0783289817232375
"2017-12-18",0.000383,0.000383,0.000185,0.000382,"399","40,567","JOBS",-0.00261096605744118
"2017-12-17",0.00039,0.000399,0.000377,0.000381,"9","41,298","JOBS",-0.0230769230769231
"2017-12-16",0.000353,0.000393,0.000177,0.000389,"204","37,418","JOBS",0.101983002832861
"2017-12-15",0.000332,0.000361,0.000177,0.000352,"196","35,172","JOBS",0.0602409638554217
"2017-12-14",0.000328,0.000341,0.000165,0.000331,"65","34,722","JOBS",0.00914634146341469
"2017-12-13",0.000173,0.000348,0.000163,0.000329,"287","18,316","JOBS",0.901734104046243
"2017-12-12",0.000169,0.000178,0.000167,0.000173,"383","17,879","JOBS",0.0236686390532545
"2017-12-11",0.000152,0.000169,0.000152,0.000166,"2","16,165","JOBS",0.0921052631578946
"2017-12-10",0.00015,0.000158,0.000132,0.000154,"2","15,943","JOBS",0.0266666666666668
"2017-12-09",0.000325,0.00033,0.000142,0.00015,"7","34,486","JOBS",-0.538461538461538
"2017-12-08",0.000327,0.000335,0.000152,0.000326,"473","34,677","JOBS",-0.00305810397553508
"2017-12-07",0.000275,0.000342,0.000271,0.000342,"2","29,125","JOBS",0.243636363636364
"2017-12-06",0.000351,0.000355,0.000122,0.000275,"1,142","37,215","JOBS",-0.216524216524217
"2017-12-05",0.00035,0.000358,0.000232,0.000352,"4","37,074","JOBS",0.0057142857142857
"2017-12-04",0.000225,0.000349,0.000225,0.000349,"17","23,837","JOBS",0.551111111111111
"2017-12-03",0.000219,0.000336,0.000212,0.000224,"39","23,179","JOBS",0.0228310502283104
"2017-12-02",0.000218,0.000224,0.000215,0.000218,"2","23,079","JOBS",0
"2017-12-01",2e-04,0.000219,0.000189,0.000218,"226","21,189","JOBS",0.09
"2017-11-30",0.000295,0.000321,0.000183,0.000201,"178","31,261","JOBS",-0.31864406779661
"2017-11-29",0.000298,0.000326,0.000209,0.00029,"105","31,577","JOBS",-0.0268456375838925
"2017-11-28",0.000293,0.000399,0.000198,0.000298,"2,185","31,028","JOBS",0.0170648464163821
"2017-11-27",0.000373,0.000389,0.000286,0.000292,"895","39,514","JOBS",-0.2171581769437
"2017-11-26",0.000437,0.000542,0.000352,0.000373,"787","46,364","JOBS",-0.146453089244851
"2017-11-25",0.000493,0.000493,0.000408,0.000437,"7","52,225","JOBS",-0.113590263691683
"2017-11-24",0.000482,5e-04,0.000409,0.000494,"53","51,125","JOBS",0.0248962655601659
"2017-11-23",0.000494,0.000496,0.000405,0.000483,"64","52,322","JOBS",-0.0222672064777328
"2017-11-22",0.000487,0.000496,0.000405,0.000494,"3","51,615","JOBS",0.0143737166324434
"2017-11-21",0.000494,0.000502,0.000468,0.000486,"809","52,425","JOBS",-0.0161943319838056
"2017-11-20",0.000563,0.000564,0.000398,0.000494,"177","59,693","JOBS",-0.122557726465364
"2017-11-19",0.000623,0.000626,0.000385,0.000563,"11","66,045","JOBS",-0.0963081861958266
"2017-11-18",0.000692,0.000694,0.000456,0.000624,"139","73,345","JOBS",-0.0982658959537573
"2017-11-17",0.000553,0.000708,0.000469,0.000694,"116","58,669","JOBS",0.25497287522604
"2017-11-16",0.000584,0.00064,0.000571,0.000634,"1","61,941","JOBS",0.0856164383561644
"2017-11-15",0.000463,0.000798,0.000463,0.000581,"229","49,067","JOBS",0.254859611231102
"2017-11-14",0.000653,0.000671,0.000393,0.000462,"208","69,240","JOBS",-0.29249617151608
"2017-11-13",0.000528,0.000732,0.000439,0.000652,"287","56,018","JOBS",0.234848484848485
"2017-11-12",0.000827,0.000827,0.000408,0.000528,"253","87,673","JOBS",-0.361547762998791
"2017-11-11",0.000592,0.000885,0.000591,0.000828,"5,750","62,736","JOBS",0.398648648648649
"2017-11-10",0.000356,0.000598,0.000331,0.000594,"910","37,790","JOBS",0.668539325842697
"2017-11-09",0.000359,0.000363,0.000353,0.000355,"12","38,113","JOBS",-0.011142061281337
"2017-11-07",0.000278,0.000288,0.000278,0.000288,"32","29,511","JOBS",0.0359712230215828
"2017-11-06",0.000296,0.000297,0.000278,0.000279,"31","31,354","JOBS",-0.0574324324324324
"2017-11-05",0.000369,0.000375,0.000292,0.000295,"14","39,104","JOBS",-0.200542005420054
"2017-11-04",0.00043,0.000436,0.000358,0.00037,"4","45,590","JOBS",-0.13953488372093
"2017-11-03",0.000441,0.000441,0.000427,0.000431,"4","46,725","JOBS",-0.0226757369614512
"2017-11-01",0.000258,0.000269,0.000255,0.000269,"27","27,327","JOBS",0.0426356589147287
"2017-10-31",0.000245,0.000445,0.000245,0.000258,"252","25,987","JOBS",0.0530612244897959
"2017-10-30",0.000308,0.000311,0.000241,0.000246,"13","32,638","JOBS",-0.201298701298701
"2017-10-29",0.000287,0.000379,0.000286,0.00031,"29","30,376","JOBS",0.0801393728222997
