"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000146,0.00015,0.000137,0.00015,"136,528","-","KARMA",0.0273972602739725
"2018-01-09",0.000151,0.000303,0.000144,0.000146,"211,424","-","KARMA",-0.033112582781457
"2018-01-08",0.000163,0.000163,0.000142,0.000151,"316,319","-","KARMA",-0.0736196319018405
"2018-01-07",0.000172,0.000172,0.000159,0.000163,"156,869","-","KARMA",-0.0523255813953488
"2018-01-06",0.00017,0.000173,0.000164,0.000172,"81,036","-","KARMA",0.0117647058823529
"2018-01-05",0.000152,0.000171,0.000149,0.00017,"67,132","-","KARMA",0.118421052631579
"2018-01-04",0.000152,0.000155,0.000144,0.000152,"69,015","-","KARMA",0
"2018-01-03",0.000148,0.000155,0.000147,0.000151,"4,453","-","KARMA",0.0202702702702704
"2018-01-02",0.000135,0.000152,0.00013,0.000149,"31,695","-","KARMA",0.103703703703704
"2018-01-01",0.00014,0.00014,0.000129,0.000135,"8,763","-","KARMA",-0.0357142857142856
"2017-12-31",0.000127,0.000142,0.000126,0.000139,"38,865","-","KARMA",0.0944881889763779
"2017-12-30",0.000145,0.000145,0.000122,0.000129,"100,783","-","KARMA",-0.110344827586207
"2017-12-29",0.000145,0.000151,0.000141,0.000145,"49,871","-","KARMA",0
"2017-12-28",0.000155,0.000156,0.000136,0.000143,"658","-","KARMA",-0.0774193548387096
"2017-12-27",0.000158,0.000166,0.000147,0.000155,"27","-","KARMA",-0.0189873417721518
"2017-12-26",0.000139,0.000161,0.000139,0.000158,"4,062","-","KARMA",0.136690647482014
"2017-12-25",0.000141,0.000145,0.000133,0.000139,"429","-","KARMA",-0.0141843971631207
"2017-12-24",0.000146,0.000146,0.000126,0.000139,"882","-","KARMA",-0.0479452054794521
"2017-12-23",0.000154,0.000155,0.000144,0.000144,"1","-","KARMA",-0.0649350649350649
"2017-12-22",0.000157,0.000159,0.000114,0.000132,"4","-","KARMA",-0.159235668789809
"2017-12-21",0.000165,0.000174,0.000151,0.000157,"99","-","KARMA",-0.0484848484848485
"2017-12-20",0.000176,0.000178,0.000158,0.000164,"293","-","KARMA",-0.0681818181818181
"2017-12-19",0.000191,0.000192,0.000171,0.000176,"1,970","-","KARMA",-0.0785340314136126
"2017-12-18",0.000191,0.000193,0.000183,0.000191,"7,415","-","KARMA",0
"2017-12-17",0.000195,2e-04,0.000189,0.000191,"738","-","KARMA",-0.0205128205128205
"2017-12-16",0.000192,0.000196,0.000192,0.000195,"5","-","KARMA",0.015625
"2017-12-11",0.000152,0.000173,0.000152,0.000173,"11","-","KARMA",0.138157894736842
"2017-12-10",0.00015,0.000158,0.000132,0.000154,"22","-","KARMA",0.0266666666666668
"2017-12-09",0.000163,0.000165,0.000135,0.00015,"259","-","KARMA",-0.079754601226994
"2017-12-08",0.000174,0.000176,0.000141,0.000163,"110","-","KARMA",-0.0632183908045977
"2017-12-07",0.000147,0.000173,0.000145,0.000173,"2,316","-","KARMA",0.17687074829932
"2017-12-06",0.000117,0.000131,0.000117,0.000131,"94","-","KARMA",0.11965811965812
"2017-12-05",0.000117,0.000119,0.000115,0.000117,"142","-","KARMA",0
"2017-12-04",0.000114,0.000116,0.000112,0.000116,"1","-","KARMA",0.0175438596491228
"2017-12-03",0.000109,0.000118,0.000109,0.000118,"22","-","KARMA",0.0825688073394494
"2017-12-02",0.000108,0.00011,0.000108,0.000109,"21","-","KARMA",0.00925925925925936
"2017-11-30",9.8e-05,0.000107,9e-05,9.9e-05,"23","-","KARMA",0.010204081632653
"2017-11-29",9.9e-05,0.000101,9.6e-05,9.7e-05,"22","-","KARMA",-0.0202020202020201
"2017-11-27",9.3e-05,9.7e-05,9.3e-05,9.7e-05,"10","-","KARMA",0.0430107526881721
"2017-11-26",8.7e-05,9.5e-05,8.7e-05,9.3e-05,"9","-","KARMA",0.0689655172413793
"2017-11-25",8.4e-05,8.7e-05,8.4e-05,8.7e-05,"55","-","KARMA",0.0357142857142858
"2017-11-24",8e-05,8.3e-05,7.9e-05,8.2e-05,"47","-","KARMA",0.0249999999999999
"2017-11-23",8.2e-05,8.2e-05,8e-05,8e-05,"46","-","KARMA",-0.024390243902439
"2017-11-20",8e-05,8.1e-05,7.9e-05,8e-05,"1","-","KARMA",0
"2017-11-19",7.8e-05,8.1e-05,7.7e-05,8e-05,"1","-","KARMA",0.0256410256410257
"2017-11-17",7.8e-05,8e-05,7.6e-05,7.9e-05,"2","-","KARMA",0.0128205128205128
"2017-11-16",7.4e-05,8e-05,7.4e-05,7.9e-05,"111","-","KARMA",0.0675675675675676
"2017-11-15",6.6e-05,7.2e-05,6.6e-05,7.2e-05,"52","-","KARMA",0.0909090909090909
"2017-11-14",6.5e-05,6.6e-05,6.5e-05,6.6e-05,"48","-","KARMA",0.0153846153846156
"2017-11-11",6.6e-05,6.8e-05,6.2e-05,6.4e-05,"17","-","KARMA",-0.0303030303030304
"2017-11-10",7.1e-05,7.3e-05,6.5e-05,6.6e-05,"1,185","-","KARMA",-0.0704225352112676
"2017-11-09",7.4e-05,7.4e-05,7.1e-05,7.1e-05,"293","-","KARMA",-0.0405405405405404
"2017-11-07",7e-05,7.2e-05,7e-05,7.1e-05,"7","-","KARMA",0.0142857142857144
