"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000146,0.00015,0.000137,0.00015,"216","-","KASHH",0.0273972602739725
"2018-01-09",0.000151,0.000154,0.000144,0.000146,"40","-","KASHH",-0.033112582781457
"2018-01-08",0.000163,0.000163,0.000142,0.000151,"243","-","KASHH",-0.0736196319018405
"2018-01-07",0.000172,0.000172,0.000159,0.000163,"595","-","KASHH",-0.0523255813953488
"2018-01-06",0.00017,0.000173,0.000164,0.000172,"213","-","KASHH",0.0117647058823529
"2018-01-05",0.000152,0.000171,0.00015,0.00017,"37","-","KASHH",0.118421052631579
"2018-01-04",0.000152,0.000155,0.000144,0.000152,"2","-","KASHH",0
"2018-01-03",0.000148,0.000155,0.000148,0.000151,"1,002","-","KASHH",0.0202702702702704
"2018-01-02",0.000134,0.000152,0.000134,0.000149,"3","-","KASHH",0.111940298507463
"2018-01-01",0.00014,0.00014,0.000129,0.000132,"1","-","KASHH",-0.057142857142857
"2017-12-31",0.000127,0.000142,0.000126,0.000139,"4","-","KASHH",0.0944881889763779
"2017-12-30",0.000145,0.000145,0.000122,0.000129,"13","-","KASHH",-0.110344827586207
"2017-12-29",0.000145,0.000151,0.000141,0.000145,"1","-","KASHH",0
"2017-12-28",0.000155,0.000156,0.000138,0.000143,"14","-","KASHH",-0.0774193548387096
"2017-12-27",0.000158,0.000166,0.000147,0.000155,"40","-","KASHH",-0.0189873417721518
"2017-12-26",0.000139,0.000161,0.000139,0.000158,"8","-","KASHH",0.136690647482014
"2017-12-25",0.000141,0.000145,0.000133,0.000139,"28","-","KASHH",-0.0141843971631207
"2017-12-24",0.000143,0.000163,0.000127,0.000139,"3","-","KASHH",-0.0279720279720281
"2017-12-23",0.000143,0.000151,7.4e-05,0.000141,"8","-","KASHH",-0.0139860139860139
"2017-12-22",0.000157,0.000159,0.000114,0.000132,"26","-","KASHH",-0.159235668789809
"2017-12-21",0.000165,0.000174,0.000151,0.000157,"313","-","KASHH",-0.0484848484848485
"2017-12-20",0.000168,0.000169,0.000158,0.000164,"3","-","KASHH",-0.0238095238095237
"2017-12-19",0.000191,0.000192,0.000188,0.000189,"78","-","KASHH",-0.0104712041884816
"2017-12-18",6e-06,0.000193,6e-06,0.000191,"78","-","KASHH",30.8333333333333
"2017-12-17",0.000195,0.000196,0.000115,0.000118,"3","-","KASHH",-0.394871794871795
"2017-12-16",0.000177,0.000196,0.000174,0.000195,"21","-","KASHH",0.101694915254237
"2017-12-15",0.000166,0.000181,1.1e-05,1.1e-05,"0","-","KASHH",-0.933734939759036
"2017-12-14",0.000155,0.000171,0.000154,0.000166,"44","-","KASHH",0.0709677419354838
"2017-12-13",0.000173,0.000175,3e-06,0.000155,"119","-","KASHH",-0.104046242774566
"2017-12-12",0.000168,0.000178,0.000164,0.000173,"86","-","KASHH",0.0297619047619048
"2017-12-11",0.000152,0.000175,0.000152,0.000168,"170","-","KASHH",0.105263157894737
"2017-12-10",0.00015,0.000158,0.000125,0.000154,"26","-","KASHH",0.0266666666666668
"2017-12-09",0.000163,0.000165,0.000135,0.00015,"82","-","KASHH",-0.079754601226994
"2017-12-08",2e-06,0.000163,2e-06,0.000163,"161","-","KASHH",80.5
"2017-12-07",0.000137,0.000148,2e-06,2e-06,"0","-","KASHH",-0.985401459854015
"2017-12-06",0.000116,0.000138,0.000116,0.000138,"3","-","KASHH",0.189655172413793
"2017-12-05",0.000116,0.000119,0.000115,0.000116,"117","-","KASHH",0
"2017-12-04",4e-06,0.000116,4e-06,0.000116,"233","-","KASHH",28
"2017-12-03",0.000109,0.000118,8.3e-05,8.3e-05,"49","-","KASHH",-0.238532110091743
"2017-12-02",0.000109,0.000112,4e-06,4e-06,"0","-","KASHH",-0.963302752293578
"2017-12-01",1e-04,0.00011,9.5e-05,0.000109,"15","-","KASHH",0.09
"2017-11-30",5.1e-05,0.000101,2.7e-05,1e-04,"155","-","KASHH",0.96078431372549
"2017-11-29",2.8e-05,0.000109,2.8e-05,5e-05,"56","-","KASHH",0.785714285714286
"2017-11-28",9.6e-05,9.8e-05,2.7e-05,2.8e-05,"5","-","KASHH",-0.708333333333333
"2017-11-27",6.6e-05,9.7e-05,6.6e-05,9.6e-05,"188","-","KASHH",0.454545454545454
"2017-11-26",8.7e-05,8.8e-05,4e-06,6.6e-05,"1","-","KASHH",-0.241379310344828
"2017-11-25",7.8e-05,8.7e-05,7.8e-05,8.7e-05,"6","-","KASHH",0.115384615384615
"2017-11-24",4e-06,8.1e-05,4e-06,7.8e-05,"21","-","KASHH",18.5
"2017-11-23",4e-06,5e-06,4e-06,4e-06,"0","-","KASHH",0
"2017-11-22",2.2e-05,2.2e-05,3e-06,4e-06,"1","-","KASHH",-0.818181818181818
"2017-11-21",8.2e-05,8.4e-05,2.1e-05,2.2e-05,"1","-","KASHH",-0.731707317073171
"2017-11-20",7.7e-05,8.3e-05,7.6e-05,8.2e-05,"1","-","KASHH",0.0649350649350649
"2017-11-19",1.9e-05,7.8e-05,1.9e-05,7.7e-05,"22","-","KASHH",3.05263157894737
"2017-11-18",1.8e-05,2e-05,1.8e-05,1.9e-05,"0","-","KASHH",0.0555555555555556
"2017-11-17",2e-06,1.9e-05,2e-06,1.8e-05,"1","-","KASHH",8
"2017-11-16",1.7e-05,2e-05,1.7e-05,2e-05,"0","-","KASHH",0.176470588235294
"2017-11-15",8e-06,2.2e-05,2e-06,1.7e-05,"0","-","KASHH",1.125
"2017-11-14",6.5e-05,6.7e-05,9e-06,9e-06,"2","-","KASHH",-0.861538461538461
"2017-11-13",8e-06,6.6e-05,5e-06,6.5e-05,"16","-","KASHH",7.125
"2017-11-12",6.4e-05,6.4e-05,8e-06,8e-06,"0","-","KASHH",-0.875
"2017-11-11",1.2e-05,6.4e-05,8e-06,6.4e-05,"19","-","KASHH",4.33333333333333
"2017-11-10",1.9e-05,2e-05,1.7e-05,1.8e-05,"0","-","KASHH",-0.0526315789473684
"2017-11-09",2e-05,2.2e-05,1.9e-05,1.9e-05,"0","-","KASHH",-0.05
"2017-11-08",2e-05,2.1e-05,1.9e-05,2e-05,"2","-","KASHH",0
"2017-11-07",2.6e-05,4.2e-05,1.5e-05,2e-05,"6","-","KASHH",-0.230769230769231
"2017-11-06",5.6e-05,6.6e-05,2.6e-05,2.6e-05,"5","-","KASHH",-0.535714285714286
"2017-11-05",1.7e-05,5.7e-05,1.6e-05,5.7e-05,"42","-","KASHH",2.35294117647059
"2017-11-04",1.3e-05,1.9e-05,1.1e-05,1.7e-05,"9","-","KASHH",0.307692307692308
"2017-11-03",1.6e-05,1.6e-05,8e-06,1.3e-05,"1","-","KASHH",-0.1875
"2017-11-02",1.6e-05,1.7e-05,1.2e-05,1.6e-05,"14","-","KASHH",0
"2017-11-01",1.7e-05,1.7e-05,1.6e-05,1.6e-05,"4","-","KASHH",-0.0588235294117647
"2017-10-31",3.6e-05,5.2e-05,9e-06,1.7e-05,"19","-","KASHH",-0.527777777777778
"2017-10-30",6.2e-05,6.2e-05,3.6e-05,3.6e-05,"16","-","KASHH",-0.419354838709677
"2017-10-29",5.8e-05,6.3e-05,5.8e-05,6.2e-05,"56","-","KASHH",0.0689655172413794
"2017-10-28",5.4e-05,5.5e-05,4.7e-05,4.7e-05,"1","-","KASHH",-0.12962962962963
"2017-10-27",9.5e-05,9.7e-05,5.3e-05,5.4e-05,"20","-","KASHH",-0.431578947368421
"2017-10-26",5.5e-05,0.000115,4e-05,9.5e-05,"9","-","KASHH",0.727272727272727
"2017-10-25",5.5e-05,5.5e-05,4.8e-05,5.5e-05,"9","-","KASHH",0
"2017-10-24",6e-05,6e-05,5.5e-05,5.5e-05,"6","-","KASHH",-0.0833333333333333
"2017-10-23",6e-05,6.7e-05,5.7e-05,6e-05,"22","-","KASHH",0
"2017-10-22",6.5e-05,6.9e-05,5.8e-05,6e-05,"21","-","KASHH",-0.0769230769230768
"2017-10-21",6.8e-05,6.9e-05,6.2e-05,6.5e-05,"0","-","KASHH",-0.0441176470588236
"2017-10-20",0.000114,0.000114,6.4e-05,6.7e-05,"0","-","KASHH",-0.412280701754386
"2017-10-19",0.000111,0.000115,5.6e-05,0.000114,"57","-","KASHH",0.0270270270270271
"2017-10-18",5.6e-05,0.000112,5.1e-05,0.000111,"6","-","KASHH",0.982142857142857
"2017-10-17",5.6e-05,5.7e-05,5.5e-05,5.6e-05,"280","-","KASHH",0
"2017-10-16",7.4e-05,7.7e-05,7.4e-05,7.4e-05,"1","-","KASHH",0
"2017-10-15",5.9e-05,7.4e-05,5.7e-05,7.4e-05,"1","-","KASHH",0.254237288135593
"2017-10-14",6.5e-05,7.2e-05,5.8e-05,5.9e-05,"6","-","KASHH",-0.0923076923076923
"2017-10-12",4.8e-05,5.2e-05,4.8e-05,5.2e-05,"5","-","KASHH",0.0833333333333332
"2017-10-11",4.8e-05,4.9e-05,4.8e-05,4.8e-05,"5","-","KASHH",0
"2017-10-10",4.8e-05,7.9e-05,4.8e-05,7.9e-05,"0","-","KASHH",0.645833333333333
"2017-10-09",7.2e-05,9e-05,4.7e-05,4.8e-05,"5","-","KASHH",-0.333333333333333
"2017-10-08",0.000142,0.000143,4.6e-05,7.2e-05,"1","-","KASHH",-0.492957746478873
"2017-10-07",0.000143,0.000144,0.000142,0.000142,"0","-","KASHH",-0.00699300699300697
"2017-10-06",8.6e-05,8.8e-05,6.5e-05,6.7e-05,"0","-","KASHH",-0.22093023255814
"2017-10-05",8.7e-05,0.000115,8e-05,8.6e-05,"13","-","KASHH",-0.0114942528735632
"2017-10-04",6.8e-05,0.000103,5.6e-05,8.7e-05,"10","-","KASHH",0.279411764705882
"2017-10-03",8.7e-05,8.8e-05,6.2e-05,6.8e-05,"7","-","KASHH",-0.218390804597701
"2017-10-02",7.5e-05,8.8e-05,7.2e-05,8.7e-05,"123","-","KASHH",0.16
"2017-10-01",6.5e-05,7.5e-05,4.6e-05,7.5e-05,"7","-","KASHH",0.153846153846154
"2017-09-30",0.000133,0.000138,4.3e-05,6.5e-05,"19","-","KASHH",-0.511278195488722
"2017-09-29",0.000171,0.000177,0.00011,0.000133,"276","-","KASHH",-0.222222222222222
"2017-09-28",0.000102,0.00019,4.3e-05,0.000171,"280","-","KASHH",0.676470588235294
"2017-09-27",4.1e-05,0.000102,3.9e-05,0.000102,"4","-","KASHH",1.48780487804878
"2017-09-26",8e-05,0.000101,4.2e-05,4.2e-05,"131","-","KASHH",-0.475
"2017-09-25",7e-05,8.1e-05,7e-05,7.9e-05,"35","-","KASHH",0.128571428571429
"2017-09-24",7.2e-05,7.5e-05,6.9e-05,7e-05,"32","-","KASHH",-0.0277777777777779
"2017-09-23",7.2e-05,7.6e-05,3.7e-05,7.2e-05,"4","-","KASHH",0
"2017-09-22",7e-05,7.3e-05,3.5e-05,7.2e-05,"4","-","KASHH",0.0285714285714287
"2017-09-21",3.9e-05,0.000105,3.9e-05,7e-05,"12","-","KASHH",0.794871794871795
"2017-09-20",7.5e-05,7.5e-05,3.9e-05,3.9e-05,"6","-","KASHH",-0.48
"2017-09-19",7.1e-05,7.6e-05,4e-05,7.5e-05,"4","-","KASHH",0.0563380281690139
"2017-09-18",5.6e-05,8.1e-05,4.4e-05,7.1e-05,"40","-","KASHH",0.267857142857143
"2017-09-17",7.8e-05,7.8e-05,4.6e-05,5.6e-05,"9","-","KASHH",-0.282051282051282
"2017-09-16",7.8e-05,0.000113,4.7e-05,7.8e-05,"238","-","KASHH",0
"2017-09-15",4.3e-05,0.000136,4.3e-05,7.7e-05,"602","-","KASHH",0.790697674418605
"2017-09-14",3.9e-05,9e-05,3.8e-05,4.3e-05,"32","-","KASHH",0.102564102564103
"2017-09-13",4.9e-05,7.1e-05,3.8e-05,3.9e-05,"0","-","KASHH",-0.204081632653061
"2017-09-12",6.2e-05,6.2e-05,4.8e-05,5e-05,"66","-","KASHH",-0.193548387096774
"2017-09-11",9.8e-05,0.000101,4.9e-05,6.2e-05,"111","-","KASHH",-0.36734693877551
"2017-09-10",4.5e-05,0.000127,4.1e-05,9.8e-05,"542","-","KASHH",1.17777777777778
"2017-09-09",4.3e-05,4.6e-05,4.2e-05,4.5e-05,"50","-","KASHH",0.0465116279069768
"2017-09-08",8.3e-05,8.5e-05,4.2e-05,4.3e-05,"44","-","KASHH",-0.481927710843373
"2017-09-07",4.6e-05,8.6e-05,4.5e-05,8.3e-05,"109","-","KASHH",0.804347826086956
"2017-09-06",4.5e-05,4.8e-05,4.5e-05,4.6e-05,"79","-","KASHH",0.0222222222222222
"2017-09-05",4.3e-05,4.7e-05,4.1e-05,4.5e-05,"59","-","KASHH",0.0465116279069768
"2017-09-04",4.8e-05,8.2e-05,4.2e-05,4.3e-05,"4","-","KASHH",-0.104166666666667
"2017-09-03",7.7e-05,9.2e-05,4.6e-05,4.8e-05,"120","-","KASHH",-0.376623376623377
"2017-09-02",8.8e-05,9.7e-05,4.5e-05,7.7e-05,"42","-","KASHH",-0.125
"2017-09-01",4.7e-05,0.000141,4.7e-05,8.8e-05,"299","-","KASHH",0.872340425531915
"2017-08-31",4.6e-05,6.9e-05,4.6e-05,4.7e-05,"26","-","KASHH",0.0217391304347825
"2017-08-30",9e-05,9e-05,4.5e-05,4.6e-05,"298","-","KASHH",-0.488888888888889
"2017-08-29",6e-05,9.6e-05,5.9e-05,9e-05,"48","-","KASHH",0.5
"2017-08-28",8.6e-05,8.6e-05,4.3e-05,6e-05,"15","-","KASHH",-0.302325581395349
"2017-08-27",8.6e-05,0.000129,8.5e-05,8.6e-05,"54","-","KASHH",0
"2017-08-26",5.5e-05,8.6e-05,5.4e-05,8.6e-05,"32","-","KASHH",0.563636363636364
"2017-08-25",4.3e-05,7.6e-05,4.3e-05,5.5e-05,"102","-","KASHH",0.27906976744186
"2017-08-24",8.2e-05,8.4e-05,4.1e-05,4.3e-05,"20","-","KASHH",-0.475609756097561
"2017-08-23",0.000121,0.000121,4.1e-05,8.2e-05,"72","-","KASHH",-0.322314049586777
"2017-08-22",7.9e-05,0.000121,4e-05,0.000121,"0","-","KASHH",0.531645569620253
"2017-08-21",6.7e-05,0.000115,4e-05,7.8e-05,"35","-","KASHH",0.164179104477612
"2017-08-20",8.3e-05,0.000106,4.1e-05,6.8e-05,"216","-","KASHH",-0.180722891566265
"2017-08-19",8e-05,8.3e-05,7.9e-05,8.3e-05,"150","-","KASHH",0.0374999999999999
"2017-08-18",7.5e-05,8.7e-05,7.2e-05,8e-05,"9","-","KASHH",0.0666666666666668
"2017-08-17",9.3e-05,9.6e-05,6.6e-05,7.5e-05,"35","-","KASHH",-0.193548387096774
"2017-08-16",7.4e-05,0.000117,6.5e-05,9.3e-05,"63","-","KASHH",0.256756756756757
"2017-08-15",7.7e-05,7.8e-05,5.6e-05,7.3e-05,"22","-","KASHH",-0.051948051948052
"2017-08-14",7.7e-05,0.00012,7.3e-05,7.7e-05,"35","-","KASHH",0
"2017-08-13",0.000103,0.000125,7.4e-05,7.7e-05,"104","-","KASHH",-0.252427184466019
"2017-08-12",9.6e-05,0.000106,6.6e-05,0.000103,"47","-","KASHH",0.0729166666666666
"2017-08-11",8.8e-05,0.000104,7.8e-05,9.6e-05,"62","-","KASHH",0.090909090909091
"2017-08-10",8.9e-05,0.000114,5.8e-05,8.8e-05,"551","-","KASHH",-0.0112359550561797
"2017-08-09",6.1e-05,9.5e-05,4.1e-05,9.1e-05,"68","-","KASHH",0.491803278688525
"2017-08-08",3.7e-05,7.5e-05,3.6e-05,6.1e-05,"184","-","KASHH",0.648648648648649
"2017-08-07",3.7e-05,4.7e-05,3.5e-05,3.7e-05,"1,504","-","KASHH",0
"2017-08-06",4.9e-05,5.3e-05,3.3e-05,3.7e-05,"3,114","-","KASHH",-0.244897959183673
"2017-08-05",4e-05,5.6e-05,3.2e-05,4.9e-05,"806","-","KASHH",0.225
"2017-08-04",3.9e-05,4.4e-05,3.3e-05,4e-05,"2,152","-","KASHH",0.0256410256410257
"2017-08-03",8.7e-05,8.8e-05,3.3e-05,3.9e-05,"8,348","-","KASHH",-0.551724137931034
"2017-08-02",0.000154,0.000185,6.3e-05,8.7e-05,"2,845","-","KASHH",-0.435064935064935
"2017-08-01",0.000156,0.00019,0.000139,0.000154,"996","-","KASHH",-0.0128205128205128
"2017-07-31",0.000124,0.000188,0.000123,0.000156,"2,130","-","KASHH",0.258064516129032
"2017-07-30",0.000226,0.00024,0.000124,0.000124,"1,693","-","KASHH",-0.451327433628319
"2017-07-29",0.000268,0.000275,0.000197,0.000226,"1,975","-","KASHH",-0.156716417910448
"2017-07-28",0.000266,0.000385,0.000208,0.000269,"4,279","-","KASHH",0.0112781954887217
"2017-07-27",0.000252,0.000268,0.000177,0.000265,"1,237","-","KASHH",0.0515873015873015
"2017-07-26",0.000256,0.000274,0.000147,0.000252,"2,003","-","KASHH",-0.015625
"2017-07-25",0.000441,0.000444,0.000133,0.000256,"2,803","-","KASHH",-0.419501133786848
"2017-07-24",0.000463,0.000468,0.000353,0.000441,"1,808","-","KASHH",-0.0475161987041037
"2017-07-23",0.000572,0.000596,0.000424,0.000464,"6,973","-","KASHH",-0.188811188811189
"2017-07-22",0.000533,0.00072,0.000478,0.000572,"11,764","-","KASHH",0.073170731707317
"2017-07-21",0.000411,0.000606,0.000379,0.000533,"8,142","-","KASHH",0.29683698296837
"2017-07-20",0.000324,0.000435,0.000319,0.000407,"3,726","-","KASHH",0.256172839506173
"2017-07-19",0.000335,0.000392,0.000308,0.000325,"7,326","-","KASHH",-0.0298507462686568
"2017-07-18",0.000378,0.000394,0.000308,0.000335,"5,761","-","KASHH",-0.113756613756614
"2017-07-17",0.000311,0.000394,0.000278,0.000378,"13,183","-","KASHH",0.215434083601286
"2017-07-16",0.000289,0.000368,0.000232,0.000311,"4,003","-","KASHH",0.0761245674740486
"2017-07-15",0.000406,0.00042,0.00028,0.00029,"7,666","-","KASHH",-0.285714285714286
"2017-07-14",0.000406,0.000449,0.00038,0.000407,"3,749","-","KASHH",0.00246305418719218
"2017-07-13",0.000473,0.000491,0.00032,0.000404,"6,418","-","KASHH",-0.145877378435518
"2017-07-12",0.000585,0.000585,0.000469,0.000472,"3,508","-","KASHH",-0.193162393162393
"2017-07-11",0.000548,0.000654,0.000444,0.000586,"4,649","-","KASHH",0.0693430656934308
"2017-07-10",0.000806,0.00081,0.000533,0.00055,"5,643","-","KASHH",-0.317617866004963
"2017-07-09",0.00091,0.001047,0.000786,0.000805,"11,805","-","KASHH",-0.115384615384615
"2017-07-08",0.000939,0.000987,0.000819,0.000909,"1,288","-","KASHH",-0.0319488817891374
"2017-07-07",0.00086,0.0011,0.00086,0.000938,"4,163","-","KASHH",0.0906976744186047
"2017-07-06",0.000984,0.001028,0.000854,0.00086,"3,164","-","KASHH",-0.126016260162602
"2017-07-05",0.000999,0.001129,0.000953,0.000984,"1,741","-","KASHH",-0.0150150150150151
"2017-07-04",0.001047,0.001104,0.000966,0.001,"2,538","-","KASHH",-0.0448901623686724
"2017-07-03",0.00112,0.001158,0.000993,0.00105,"2,528","-","KASHH",-0.0625
"2017-07-02",0.001101,0.001211,0.000998,0.001124,"12,544","-","KASHH",0.0208900999091735
"2017-07-01",0.000935,0.001109,0.000834,0.001102,"11,554","-","KASHH",0.178609625668449
"2017-06-30",0.001042,0.001219,0.000895,0.000935,"6,163","-","KASHH",-0.102687140115163
"2017-06-29",0.001347,0.001457,0.000942,0.00104,"8,321","-","KASHH",-0.227913882702302
"2017-06-28",0.001032,0.001439,0.000967,0.001348,"11,316","-","KASHH",0.306201550387597
"2017-06-27",0.001069,0.001091,0.000929,0.001026,"2,778","-","KASHH",-0.0402245088868102
"2017-06-26",0.001061,0.001269,0.000971,0.001049,"6,277","-","KASHH",-0.0113100848256363
"2017-06-25",0.001019,0.001515,0.000926,0.001061,"57,441","-","KASHH",0.0412168792934251
"2017-06-24",0.001242,0.001774,0.00083,0.001021,"20,109","-","KASHH",-0.177938808373591
"2017-06-23",0.001581,0.002501,0.001284,0.001296,"57,944","-","KASHH",-0.180265654648956
"2017-06-22",0.002507,0.002985,0.001579,0.001579,"108,110","-","KASHH",-0.37016354208217
"2017-06-21",0.001554,0.003363,0.001554,0.00248,"107,342","-","KASHH",0.595881595881596
"2017-06-20",0.000697,0.001683,0.00063,0.001571,"19,139","-","KASHH",1.25394548063128
"2017-06-19",0.000588,0.000746,0.000587,0.000697,"3,000","-","KASHH",0.185374149659864
"2017-06-18",0.00062,0.000643,0.000551,0.000588,"1,442","-","KASHH",-0.0516129032258065
"2017-06-17",0.00055,0.000632,0.000524,0.00062,"1,695","-","KASHH",0.127272727272727
"2017-06-16",0.000656,0.000672,0.000475,0.00055,"4,559","-","KASHH",-0.161585365853658
"2017-06-15",0.000543,0.000659,0.000437,0.000657,"3,556","-","KASHH",0.209944751381216
"2017-06-14",0.000679,0.000719,0.000519,0.000543,"1,180","-","KASHH",-0.200294550810015
"2017-06-13",0.00076,0.000885,0.000576,0.00068,"6,692","-","KASHH",-0.105263157894737
"2017-06-12",0.000641,0.000952,0.000634,0.000763,"7,352","-","KASHH",0.190327613104524
"2017-06-11",0.000686,0.000734,0.000561,0.000642,"2,639","-","KASHH",-0.0641399416909621
"2017-06-10",0.000649,0.000744,0.000649,0.000686,"1,870","-","KASHH",0.0570107858243452
"2017-06-09",0.000819,0.00083,0.000646,0.000648,"3,170","-","KASHH",-0.208791208791209
"2017-06-08",0.001232,0.001276,0.000757,0.00082,"285","-","KASHH",-0.334415584415584
"2017-06-07",0.000804,0.001469,0.000749,0.00124,"8,169","-","KASHH",0.54228855721393
"2017-06-06",0.000799,0.00089,0.000706,0.000801,"722","-","KASHH",0.00250312891113885
"2017-06-05",0.000737,0.000809,0.000648,0.000797,"1,693","-","KASHH",0.0814111261872455
"2017-06-04",0.000783,0.000789,0.000702,0.000737,"774","-","KASHH",-0.0587484035759897
"2017-06-03",0.000713,0.000813,0.000705,0.000785,"1,364","-","KASHH",0.100981767180926
"2017-06-02",0.000733,0.00081,0.000654,0.000713,"1,885","-","KASHH",-0.0272851296043657
"2017-06-01",0.000457,0.000936,0.000444,0.000732,"11,102","-","KASHH",0.601750547045952
"2017-05-31",0.000507,0.000631,0.000329,0.000457,"5,461","-","KASHH",-0.0986193293885601
"2017-05-30",0.000541,0.000649,0.000448,0.000504,"4,743","-","KASHH",-0.0683918669131239
"2017-05-29",0.000392,0.000596,0.000384,0.000541,"2,279","-","KASHH",0.380102040816327
"2017-05-28",0.000245,0.001461,0.000244,0.000393,"13,997","-","KASHH",0.604081632653061
"2017-05-27",0.000288,0.000296,0.000196,0.000244,"613","-","KASHH",-0.152777777777778
"2017-05-26",0.000332,0.000359,0.000264,0.000287,"680","-","KASHH",-0.135542168674699
"2017-05-25",0.000651,0.000723,0.000258,0.000334,"8,530","-","KASHH",-0.486943164362519
"2017-05-24",0.00043,0.000687,0.00041,0.000606,"4,402","-","KASHH",0.409302325581395
"2017-05-23",0.000397,0.000506,0.000299,0.000429,"2,712","-","KASHH",0.0806045340050378
"2017-05-22",0.000428,0.000568,0.000339,0.000397,"1,730","-","KASHH",-0.0724299065420561
