"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.139035,0.139787,0.115822,0.126703,"1,516,760","44,649,500","KICK",-0.0886970906606249
"2018-01-09",0.143667,0.150049,0.128175,0.138942,"1,806,630","46,136,800","KICK",-0.0328885547829354
"2018-01-08",0.167746,0.167746,0.117345,0.144284,"2,315,470","53,869,600","KICK",-0.139866226318362
"2018-01-07",0.168724,0.178478,0.158943,0.167573,"2,779,660","54,183,800","KICK",-0.00682179180199624
"2018-01-06",0.176695,0.183881,0.153501,0.168783,"3,525,750","56,743,400","KICK",-0.0447777243272306
"2018-01-05",0.133328,0.219866,0.131644,0.177423,"14,348,800","42,816,600","KICK",0.330725729029161
"2018-01-04",0.069204,0.144622,0.068603,0.131166,"6,649,310","22,224,100","KICK",0.895352869776314
"2018-01-03",0.066401,0.072318,0.063028,0.069762,"1,190,080","21,323,800","KICK",0.0506167075797052
"2018-01-02",0.055936,0.074851,0.055167,0.065076,"1,652,730","17,963,200","KICK",0.163401029748284
"2018-01-01",0.050837,0.072349,0.048635,0.055797,"1,619,880","16,325,600","KICK",0.097566732891398
"2017-12-31",0.046269,0.052093,0.045877,0.05103,"423,163","14,858,800","KICK",0.102898268819296
"2017-12-30",0.051791,0.052173,0.043805,0.046921,"409,494","16,632,000","KICK",-0.0940317815836728
"2017-12-29",0.04986,0.053111,0.049691,0.052132,"465,066","16,011,800","KICK",0.0455675892498996
"2017-12-28",0.053813,0.054732,0.046052,0.049912,"434,181","17,281,500","KICK",-0.0724917770798878
"2017-12-27",0.055307,0.057355,0.049854,0.053766,"382,881","17,761,200","KICK",-0.0278626575297883
"2017-12-26",0.051291,0.056547,0.051291,0.055063,"515,893","16,471,500","KICK",0.0735411670663469
"2017-12-25",0.051163,0.054072,0.049522,0.051351,"427,177","16,430,300","KICK",0.00367453042237556
"2017-12-24",0.053568,0.053568,0.045327,0.05035,"418,603","17,202,700","KICK",-0.0600731780167264
"2017-12-23",0.047683,0.05728,0.046962,0.053302,"502,524","15,313,000","KICK",0.117840739886333
"2017-12-22",0.056219,0.057144,0.040259,0.047342,"603,210","18,054,000","KICK",-0.157900353972856
"2017-12-21",0.056584,0.062512,0.053299,0.056338,"805,520","18,171,100","KICK",-0.00434751873321086
"2017-12-20",0.06518,0.06518,0.051709,0.05433,"682,625","20,931,700","KICK",-0.166462104940166
"2017-12-19",0.06499,0.071433,0.061447,0.064847,"1,180,550","20,870,900","KICK",-0.00220033851361754
"2017-12-18",0.065771,0.065771,0.058035,0.065251,"959,036","21,121,600","KICK",-0.00790622006659459
"2017-12-17",0.047871,0.073269,0.04757,0.065661,"2,975,080","15,373,100","KICK",0.37162373879802
"2017-12-16",0.045643,0.049573,0.044734,0.047594,"625,051","14,657,500","KICK",0.0427447801415331
"2017-12-15",0.042097,0.046793,0.041695,0.045536,"599,879","13,518,800","KICK",0.0816922821103641
"2017-12-14",0.041176,0.045198,0.040033,0.042043,"561,058","13,223,300","KICK",0.0210559549251991
"2017-12-13",0.043552,0.048633,0.040037,0.04161,"622,536","13,986,200","KICK",-0.0445903747244673
"2017-12-12",0.047752,0.048939,0.043418,0.044384,"856,990","15,334,900","KICK",-0.0705310772323673
"2017-12-11",0.043921,0.047721,0.043609,0.047721,"835,783","14,104,700","KICK",0.0865189772546162
"2017-12-10",0.042616,0.049302,0.038036,0.044039,"430,656","13,685,500","KICK",0.0333912145672987
"2017-12-09",0.049247,0.05015,0.038678,0.0436,"475,747","15,814,900","KICK",-0.114666883261925
