"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.68,1.7,1.56,1.65,"95,097","8,569,070","KRB",-0.0178571428571429
"2018-01-09",1.68,1.95,1.58,1.67,"147,238","8,595,320","KRB",-0.00595238095238096
"2018-01-08",1.64,1.88,1.46,1.68,"152,882","8,335,030","KRB",0.024390243902439
"2018-01-07",1.8,1.82,1.51,1.64,"120,681","9,176,620","KRB",-0.088888888888889
"2018-01-06",1.74,1.85,1.59,1.79,"191,795","8,826,120","KRB",0.0287356321839081
"2018-01-05",1.75,1.97,1.63,1.74,"118,568","8,887,200","KRB",-0.00571428571428572
"2018-01-04",1.79,1.8,1.62,1.75,"141,634","9,058,150","KRB",-0.0223463687150838
"2018-01-03",1.85,1.99,1.73,1.77,"146,461","9,361,410","KRB",-0.0432432432432433
"2018-01-02",1.72,1.94,1.6,1.84,"220,712","8,675,280","KRB",0.0697674418604652
"2018-01-01",1.62,1.74,1.5,1.67,"139,391","8,197,140","KRB",0.0308641975308641
"2017-12-31",1.82,1.91,1.49,1.62,"131,356","9,182,380","KRB",-0.10989010989011
"2017-12-30",1.88,2.22,1.58,1.81,"267,567","9,461,680","KRB",-0.0372340425531914
"2017-12-29",1.21,2.02,1.18,1.89,"256,439","6,103,630","KRB",0.56198347107438
"2017-12-28",1.25,1.26,1.11,1.21,"97,571","6,280,880","KRB",-0.032
"2017-12-27",1.24,1.32,1.16,1.24,"84,299","6,246,100","KRB",0
"2017-12-26",1.21,1.3,1.16,1.24,"105,960","6,073,910","KRB",0.0247933884297521
"2017-12-25",1.08,1.22,1.02,1.22,"156,930","5,401,800","KRB",0.12962962962963
"2017-12-24",1.02,2.3,0.949605,1.07,"79,406","5,122,370","KRB",0.0490196078431373
"2017-12-23",0.907879,1.07,0.900368,1.02,"82,311","4,533,980","KRB",0.123497734830302
"2017-12-22",1.04,1.05,0.790062,0.898399,"69,363","5,171,570","KRB",-0.136154807692308
"2017-12-21",1.1,1.13,0.990672,1.04,"93,898","5,458,780","KRB",-0.0545454545454546
"2017-12-20",1.06,1.15,0.974113,1.08,"103,481","5,271,130","KRB",0.0188679245283019
"2017-12-19",1.09,1.17,1.02,1.06,"93,549","5,429,690","KRB",-0.0275229357798165
"2017-12-18",1.13,1.13,1.02,1.09,"97,308","5,582,060","KRB",-0.0353982300884954
"2017-12-17",1.16,1.25,1.09,1.11,"103,402","5,759,510","KRB",-0.0431034482758619
"2017-12-16",1.16,1.25,1.12,1.13,"109,016","5,757,440","KRB",-0.0258620689655173
"2017-12-15",1.21,1.27,1.13,1.16,"116,000","6,003,440","KRB",-0.0413223140495868
"2017-12-14",1.22,1.27,1.11,1.23,"109,769","6,021,770","KRB",0.00819672131147542
"2017-12-13",1.32,1.34,1.16,1.22,"106,060","6,527,780","KRB",-0.0757575757575758
"2017-12-12",1.31,1.39,1.27,1.32,"118,399","6,436,420","KRB",0.00763358778625955
"2017-12-11",1.16,1.42,1.15,1.31,"127,014","5,713,210","KRB",0.129310344827586
"2017-12-10",1.06,1.21,0.918479,1.18,"116,147","5,226,670","KRB",0.113207547169811
"2017-12-09",1.02,1.12,0.911248,1.08,"85,774","4,985,090","KRB",0.0588235294117648
"2017-12-08",1.08,1.14,0.854286,1.01,"83,022","5,275,720","KRB",-0.0648148148148149
"2017-12-07",1.08,1.3,0.938838,1.07,"109,857","5,257,480","KRB",-0.00925925925925927
"2017-12-06",1.11,1.16,0.990336,1.07,"120,335","5,415,350","KRB",-0.0360360360360361
"2017-12-05",1.11,1.2,1.05,1.08,"109,424","5,420,890","KRB",-0.027027027027027
"2017-12-04",1.33,1.36,1.03,1.03,"105,081","6,454,500","KRB",-0.225563909774436
"2017-12-03",1.32,1.45,1.25,1.33,"131,199","6,440,870","KRB",0.00757575757575758
"2017-12-02",1.46,1.49,0.825466,1.34,"299,964","7,095,030","KRB",-0.0821917808219177
"2017-12-01",1.48,1.5,1.32,1.44,"121,701","7,203,550","KRB",-0.0270270270270271
"2017-11-30",1.46,1.68,1.34,1.45,"131,054","7,062,990","KRB",-0.00684931506849316
"2017-11-29",1.27,1.68,1.14,1.43,"141,155","6,126,770","KRB",0.125984251968504
"2017-11-28",1.53,2.71,1.19,1.24,"133,411","7,395,240","KRB",-0.189542483660131
"2017-11-27",1.69,1.93,1.43,1.44,"178,210","8,163,980","KRB",-0.14792899408284
"2017-11-26",1.89,1.91,1.59,1.67,"166,723","9,102,020","KRB",-0.116402116402116
"2017-11-25",1.88,1.98,1.82,1.87,"142,648","9,065,890","KRB",-0.0053191489361701
"2017-11-24",1.88,2.09,1.57,1.89,"221,974","9,044,790","KRB",0.00531914893617022
"2017-11-23",1.82,2.12,1.7,1.9,"213,313","8,728,600","KRB",0.0439560439560439
"2017-11-22",2.13,2.14,1.62,1.8,"248,173","10,226,700","KRB",-0.154929577464789
"2017-11-21",1.92,2.18,1.86,2.1,"266,057","9,199,770","KRB",0.0937500000000001
"2017-11-20",1.72,2.09,1.49,1.94,"350,698","8,244,560","KRB",0.127906976744186
"2017-11-19",1.34,2,1.27,1.72,"544,612","6,386,160","KRB",0.283582089552239
"2017-11-18",0.941066,1.53,0.924385,1.3,"252,043","4,490,270","KRB",0.381412143250314
"2017-11-17",1.07,1.24,0.80233,0.943546,"217,164","5,088,490","KRB",-0.118181308411215
"2017-11-16",0.660497,1.04,0.620642,1.04,"122,852","3,142,710","KRB",0.574571875421084
"2017-11-15",0.583487,0.69396,0.583487,0.664187,"69,773","2,772,530","KRB",0.138306423279353
"2017-11-14",0.546399,0.596519,0.520511,0.582012,"64,625","2,592,540","KRB",0.0651776449078421
"2017-11-13",0.551813,0.585361,0.503366,0.545384,"69,489","2,609,450","KRB",-0.0116506860113843
"2017-11-12",0.596832,0.720232,0.540049,0.560787,"61,636","2,822,340","KRB",-0.0603938796847354
"2017-11-11",0.530291,0.685403,0.52933,0.590455,"80,123","2,505,280","KRB",0.113454688086353
