"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.07107,0.082005,0.043667,0.054478,"59,823","4,361,210","KURT",-0.233459969044604
"2018-01-09",0.059223,0.077333,0.054199,0.069576,"90,755","3,634,210","KURT",0.174813839217871
"2018-01-08",0.066977,0.069357,0.044987,0.065489,"65,418","4,110,050","KURT",-0.0222165818116665
"2018-01-07",0.042811,0.078473,0.041928,0.067584,"75,217","2,627,070","KURT",0.57865969026652
"2018-01-06",0.047198,0.062916,0.040304,0.042803,"14,595","2,896,300","KURT",-0.0931183524725623
"2018-01-05",0.06525,0.075127,0.041107,0.045537,"21,658","4,004,050","KURT",-0.302114942528736
"2018-01-04",0.049929,0.068582,0.040165,0.065205,"23,836","3,063,880","KURT",0.305954455326564
"2018-01-03",0.039899,0.054577,0.030036,0.049668,"48,257","2,448,420","KURT",0.244843229153613
"2018-01-02",0.041454,0.04525,0.031612,0.04004,"33,604","2,543,820","KURT",-0.0341100979398851
"2018-01-01",0.032523,0.041791,0.0236,0.041791,"30,930","1,995,750","KURT",0.284967561418073
"2017-12-31",0.03697,0.045762,0.031416,0.032472,"18,725","2,268,640","KURT",-0.12166621585069
"2017-12-30",0.044576,0.053321,0.035345,0.037383,"56,261","2,735,430","KURT",-0.161364860014357
"2017-12-29",0.012639,0.056977,0.012483,0.050313,"196,291","775,607","KURT",2.98077379539521
"2017-12-28",0.025046,0.029891,0.010538,0.012506,"9,086","1,536,970","KURT",-0.50067875109798
"2017-12-27",0.027548,0.035707,0.010749,0.025061,"8,256","1,690,500","KURT",-0.0902787861187745
"2017-12-26",0.016253,0.028235,0.013348,0.027462,"14,203","161,225","KURT",0.689657294038024
"2017-12-25",0.01559,0.028286,0.012944,0.016269,"31,346","154,642","KURT",0.0435535599743425
"2017-12-24",0.007635,0.017295,0.005081,0.015431,"16,032","75,731","KURT",1.02108709888671
"2017-12-23",0.007415,0.008761,0.007225,0.007551,"1,646","73,551","KURT",0.0183412002697236
"2017-12-22",0.010098,0.010197,0.00501,0.007345,"2,288","100,169","KURT",-0.272628243216478
"2017-12-21",0.010408,0.010883,0.008834,0.010063,"3,451","103,240","KURT",-0.0331475787855496
"2017-12-20",0.0099,0.011193,0.006251,0.010381,"4,890","98,200","KURT",0.0485858585858585
"2017-12-19",0.010623,0.010807,0.008964,0.009905,"262","105,377","KURT",-0.0675891932599077
"2017-12-18",0.010124,0.011041,0.008059,0.010614,"854","100,420","KURT",0.0483998419596998
"2017-12-17",0.006052,0.011276,0.003254,0.010093,"791","60,029","KURT",0.667713152676801
"2017-12-16",0.007178,0.00849,0.005978,0.006051,"902","71,203","KURT",-0.157007522986904
"2017-12-15",0.008733,0.008953,0.00459,0.007169,"476","86,632","KURT",-0.179090804992557
"2017-12-14",0.009792,0.010517,0.00869,0.00872,"362","97,133","KURT",-0.109477124183007
"2017-12-13",0.009638,0.010771,0.007306,0.009824,"614","95,601","KURT",0.0192986096700559
"2017-12-12",0.007996,0.009786,0.006626,0.009626,"1,208","79,313","KURT",0.203851925962981
"2017-12-11",0.006922,0.009476,0.006891,0.008007,"524","68,659","KURT",0.156746605027449
"2017-12-10",0.007183,0.010032,0.006677,0.008175,"790","71,253","KURT",0.13810385632744
"2017-12-09",0.005528,0.015145,0.003131,0.007154,"6,371","54,838","KURT",0.294138929088278
"2017-12-08",0.007102,0.008346,0.005451,0.005534,"837","70,448","KURT",-0.220782878062518
"2017-12-07",0.007065,0.010735,0.006081,0.007085,"1,003","70,083","KURT",0.00283085633404105
"2017-12-06",0.01097,0.011658,0.005684,0.007077,"83","108,812","KURT",-0.354876937101185
"2017-12-05",0.010304,0.012803,0.008807,0.010994,"434","102,209","KURT",0.0669642857142857
"2017-12-04",0.006802,0.010284,0.006802,0.010284,"715","67,474","KURT",0.511908262275801
"2017-12-03",0.006472,0.00931,0.005304,0.00678,"674","64,195","KURT",0.0475896168108775
"2017-12-02",0.004566,0.006694,0.004557,0.006465,"24","45,291","KURT",0.415900131406045
"2017-12-01",0.004897,0.006237,0.004223,0.00457,"81","48,572","KURT",-0.0667755768838064
"2017-11-30",0.006343,0.006779,0.004921,0.004921,"33","62,915","KURT",-0.224184139996847
"2017-11-29",0.006361,0.007423,0.005839,0.006253,"64","63,102","KURT",-0.0169784625058954
"2017-11-28",0.0076,0.007718,0.004715,0.006368,"382","75,393","KURT",-0.162105263157895
"2017-11-27",0.005809,0.007761,0.005809,0.007581,"333","57,626","KURT",0.305043897400585
"2017-11-26",0.005698,0.006233,0.00517,0.005808,"1,052","56,523","KURT",0.0193050193050193
"2017-11-25",0.003784,0.0057,0.003755,0.0057,"771","37,538","KURT",0.506342494714588
"2017-11-24",0.004489,0.006072,0.003775,0.003792,"186","44,528","KURT",-0.155268433949655
"2017-11-23",0.005344,0.005612,0.004374,0.004494,"447","53,013","KURT",-0.159056886227545
"2017-11-22",0.005924,0.006219,0.00485,0.005346,"332","58,760","KURT",-0.0975692099932477
"2017-11-21",0.006116,0.006187,0.003957,0.005909,"340","60,668","KURT",-0.0338456507521255
"2017-11-20",0.005843,0.006503,0.005773,0.006115,"37","57,957","KURT",0.0465514290604141
"2017-11-19",0.005909,0.005939,0.005478,0.005846,"48","58,617","KURT",-0.0106617024877307
"2017-11-18",0.002537,0.00825,0.002468,0.00592,"202","25,162","KURT",1.33346472211273
"2017-11-17",0.008074,0.008486,0.002546,0.002546,"1,281","80,086","KURT",-0.684666831805796
"2017-11-16",0.007339,0.008535,0.006971,0.008087,"91","72,802","KURT",0.101921242676114
"2017-11-15",0.007015,0.008243,0.006813,0.007301,"1,040","69,584","KURT",0.0407697790449037
"2017-11-14",0.005578,0.007169,0.005457,0.00701,"89","55,326","KURT",0.256722839727501
"2017-11-13",0.005921,0.006656,0.005335,0.005566,"87","58,731","KURT",-0.0599560884985645
"2017-11-12",0.00552,0.006277,0.00498,0.005912,"158","54,759","KURT",0.0710144927536232
"2017-11-11",0.004465,0.005827,0.004459,0.005524,"60","44,289","KURT",0.237178051511758
"2017-11-10",0.006064,0.008615,0.003475,0.004481,"4,331","60,150","KURT",-0.261048812664908
"2017-11-09",0.00566,0.006765,0.004372,0.006046,"599","56,145","KURT",0.0681978798586573
"2017-11-08",0.008177,0.008177,0.004191,0.005662,"622","81,112","KURT",-0.307570013452366
"2017-11-07",0.004027,0.008225,0.004027,0.008203,"142","39,945","KURT",1.03700024832381
"2017-11-06",0.004335,0.004575,0.003496,0.004033,"69","43,005","KURT",-0.0696655132641292
"2017-11-05",0.005468,0.006553,0.003103,0.004326,"216","54,238","KURT",-0.208851499634236
"2017-11-04",0.004606,0.005531,0.003111,0.005478,"305","45,689","KURT",0.189318280503691
"2017-11-03",0.002923,0.004649,0.002336,0.004618,"405","28,996","KURT",0.579883681149504
"2017-11-02",0.004912,0.00504,0.002354,0.002927,"643","48,723","KURT",-0.404112377850163
"2017-11-01",0.004704,0.005296,0.003727,0.004906,"427","46,664","KURT",0.0429421768707483
"2017-10-31",0.005731,0.005776,0.004219,0.004708,"248","56,847","KURT",-0.178502879078695
"2017-10-30",0.005813,0.005847,0.004779,0.00575,"108","57,663","KURT",-0.0108377773954928
"2017-10-29",0.011439,0.011439,0.005545,0.005847,"127","113,471","KURT",-0.488853920797272
"2017-10-28",0.006831,0.01287,0.005166,0.011455,"227","67,761","KURT",0.676914068218416
"2017-10-27",0.006912,0.007427,0.003965,0.006813,"469","68,567","KURT",-0.0143229166666667
"2017-10-26",0.004759,0.004967,0.004728,0.004899,"0","47,211","KURT",0.0294179449464172
"2017-10-25",0.004028,0.006564,0.003672,0.00476,"946","39,959","KURT",0.181727904667329
