"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000146,3e-04,0.000142,3e-04,"3,003","-","LEPEN",1.05479452054794
"2018-01-09",0.000301,0.000309,0.000144,0.000146,"3,245","-","LEPEN",-0.514950166112957
"2018-01-08",0.000326,0.000327,0.000142,0.000302,"1,805","-","LEPEN",-0.0736196319018405
"2018-01-07",0.000172,0.00033,0.000159,0.000326,"4,561","-","LEPEN",0.895348837209302
"2018-01-06",0.000153,0.000191,0.000138,0.000172,"57","-","LEPEN",0.124183006535948
"2018-01-05",0.000116,0.000154,0.000102,0.000154,"3,053","-","LEPEN",0.327586206896552
"2018-01-04",0.000103,0.000132,0.000103,0.00011,"1,832","-","LEPEN",0.0679611650485438
"2018-01-03",8.7e-05,0.000128,8.1e-05,0.000105,"1,493","-","LEPEN",0.206896551724138
"2018-01-02",0.000111,0.000126,8.7e-05,8.7e-05,"882","-","LEPEN",-0.216216216216216
"2018-01-01",0.000113,0.000113,8.3e-05,0.000111,"444","-","LEPEN",-0.0176991150442477
"2017-12-31",0.000124,0.000127,7.6e-05,0.000113,"749","-","LEPEN",-0.0887096774193549
"2017-12-30",0.000129,0.000136,0.000113,0.000125,"1,864","-","LEPEN",-0.0310077519379844
"2017-12-29",8.1e-05,0.000129,7.5e-05,0.000129,"944","-","LEPEN",0.592592592592592
"2017-12-28",6.5e-05,8.1e-05,5.6e-05,8.1e-05,"944","-","LEPEN",0.246153846153846
"2017-12-27",4.3e-05,6.5e-05,4e-05,6.5e-05,"416","-","LEPEN",0.511627906976744
"2017-12-26",5.6e-05,6.6e-05,4e-05,4.3e-05,"327","-","LEPEN",-0.232142857142857
"2017-12-25",6.4e-05,8.2e-05,5.5e-05,5.7e-05,"486","-","LEPEN",-0.109375
"2017-12-24",6.7e-05,6.9e-05,4.2e-05,6.4e-05,"483","-","LEPEN",-0.0447761194029851
"2017-12-23",3.9e-05,7.1e-05,3.5e-05,6.6e-05,"624","-","LEPEN",0.692307692307693
"2017-12-22",4.2e-05,4.7e-05,3.2e-05,3.8e-05,"143","-","LEPEN",-0.0952380952380951
"2017-12-21",3.1e-05,6.8e-05,3.1e-05,4.2e-05,"185","-","LEPEN",0.354838709677419
"2017-12-20",3.4e-05,5e-05,3e-05,3.2e-05,"30","-","LEPEN",-0.0588235294117647
"2017-12-19",2.3e-05,6.4e-05,2.2e-05,3.4e-05,"234","-","LEPEN",0.478260869565217
"2017-12-18",4.4e-05,6.2e-05,2.2e-05,2.2e-05,"45","-","LEPEN",-0.5
"2017-12-17",5.2e-05,5.7e-05,2.8e-05,4.4e-05,"49","-","LEPEN",-0.153846153846154
"2017-12-16",8e-05,9.2e-05,1.3e-05,5e-05,"220","-","LEPEN",-0.375
"2017-12-15",3.8e-05,8.8e-05,8e-06,8e-05,"166","-","LEPEN",1.10526315789474
"2017-12-14",0.000124,0.000128,3.6e-05,3.7e-05,"27","-","LEPEN",-0.701612903225806
"2017-12-13",0.000101,0.000126,3.1e-05,0.000123,"97","-","LEPEN",0.217821782178218
"2017-12-12",0.00015,0.000175,9.7e-05,0.000101,"121","-","LEPEN",-0.326666666666667
"2017-12-11",0.000151,0.000171,0.00014,0.000148,"80","-","LEPEN",-0.0198675496688743
"2017-12-10",0.00014,0.000156,0.000123,0.000152,"49","-","LEPEN",0.0857142857142859
"2017-12-09",7.8e-05,0.000142,7.8e-05,0.000139,"19","-","LEPEN",0.782051282051282
"2017-12-08",8.5e-05,0.000137,7.6e-05,7.8e-05,"11","-","LEPEN",-0.0823529411764707
"2017-12-07",0.000123,0.000135,7.8e-05,8.5e-05,"12","-","LEPEN",-0.308943089430894
"2017-12-06",0.000117,0.000126,8.6e-05,0.00012,"55","-","LEPEN",0.0256410256410257
"2017-12-05",7.3e-05,0.000139,7.2e-05,0.000118,"86","-","LEPEN",0.616438356164383
"2017-12-04",1e-04,0.000122,6.9e-05,7.2e-05,"3","-","LEPEN",-0.28
"2017-12-03",0.00011,0.000114,9.5e-05,0.000101,"110","-","LEPEN",-0.0818181818181818
"2017-12-02",0.000108,0.000117,1e-04,0.00011,"58","-","LEPEN",0.0185185185185186
"2017-12-01",0.000113,0.00012,0.000105,0.000108,"24","-","LEPEN",-0.0442477876106195
"2017-11-30",8.8e-05,0.000139,5.6e-05,0.000113,"280","-","LEPEN",0.284090909090909
"2017-11-29",9.9e-05,0.000113,8.5e-05,8.7e-05,"84","-","LEPEN",-0.121212121212121
"2017-11-28",9.4e-05,0.00019,9.3e-05,9.9e-05,"560","-","LEPEN",0.0531914893617021
"2017-11-27",9.3e-05,9.8e-05,8.4e-05,9.4e-05,"133","-","LEPEN",0.010752688172043
"2017-11-26",7.3e-05,0.00019,6.2e-05,9.3e-05,"683","-","LEPEN",0.273972602739726
"2017-11-25",4.9e-05,8.4e-05,4.4e-05,7.3e-05,"8","-","LEPEN",0.489795918367347
"2017-11-24",8.3e-05,8.4e-05,3.6e-05,4.9e-05,"65","-","LEPEN",-0.409638554216867
"2017-11-23",8.4e-05,9.5e-05,8.3e-05,8.4e-05,"189","-","LEPEN",0
"2017-11-22",8.1e-05,8.4e-05,8e-05,8.4e-05,"205","-","LEPEN",0.0370370370370369
"2017-11-21",8.2e-05,0.000165,7.8e-05,8.1e-05,"126","-","LEPEN",-0.0121951219512195
"2017-11-20",8.4e-05,8.4e-05,8.1e-05,8.2e-05,"223","-","LEPEN",-0.0238095238095237
"2017-11-19",0.00015,0.000159,7.8e-05,8.4e-05,"41","-","LEPEN",-0.44
"2017-11-18",7.5e-05,0.000151,6.6e-05,0.000151,"44","-","LEPEN",1.01333333333333
"2017-11-17",7.8e-05,8e-05,7.6e-05,7.6e-05,"30","-","LEPEN",-0.0256410256410256
"2017-11-16",7.3e-05,8e-05,7.1e-05,7.9e-05,"37","-","LEPEN",0.0821917808219178
"2017-11-15",6.6e-05,9.6e-05,6.6e-05,7.3e-05,"60","-","LEPEN",0.106060606060606
"2017-11-14",0.000129,0.000133,6.6e-05,6.6e-05,"37","-","LEPEN",-0.488372093023256
"2017-11-13",5.4e-05,0.000131,5.4e-05,0.000129,"255","-","LEPEN",1.38888888888889
"2017-11-12",5.8e-05,6.3e-05,5e-05,5.4e-05,"17","-","LEPEN",-0.0689655172413794
"2017-11-11",0.00012,0.000122,4.6e-05,5.8e-05,"94","-","LEPEN",-0.516666666666667
"2017-11-10",8.2e-05,0.000123,6.8e-05,0.000121,"287","-","LEPEN",0.475609756097561
"2017-11-09",7.5e-05,0.000139,7.1e-05,8.2e-05,"97","-","LEPEN",0.0933333333333334
"2017-11-08",0.000139,0.000145,7.2e-05,7.5e-05,"231","-","LEPEN",-0.460431654676259
"2017-11-07",0.000121,0.00014,7e-05,0.00014,"1,647","-","LEPEN",0.15702479338843
"2017-11-06",7.3e-05,0.000131,7.1e-05,0.000121,"77","-","LEPEN",0.657534246575343
"2017-11-05",7.3e-05,0.000147,6.7e-05,7.3e-05,"48","-","LEPEN",0
"2017-11-04",7.2e-05,0.00014,7e-05,7.4e-05,"518","-","LEPEN",0.0277777777777777
"2017-11-03",6.9e-05,0.000123,6.9e-05,7.2e-05,"1,045","-","LEPEN",0.0434782608695653
"2017-11-02",6.3e-05,7.1e-05,6.3e-05,7e-05,"93","-","LEPEN",0.111111111111111
"2017-11-01",6e-05,6.7e-05,5.5e-05,6.3e-05,"101","-","LEPEN",0.05
"2017-10-31",5.3e-05,6.1e-05,2.5e-05,6e-05,"40","-","LEPEN",0.132075471698113
"2017-10-30",6.2e-05,6.3e-05,5.3e-05,5.4e-05,"38","-","LEPEN",-0.129032258064516
"2017-10-29",6.6e-05,6.9e-05,5.8e-05,6.2e-05,"231","-","LEPEN",-0.0606060606060606
"2017-10-28",0.000113,0.000116,5.7e-05,6.6e-05,"34","-","LEPEN",-0.415929203539823
"2017-10-27",0.00011,0.000114,5.7e-05,0.000113,"400","-","LEPEN",0.0272727272727272
"2017-10-26",1e-04,0.000117,9.5e-05,0.000111,"15","-","LEPEN",0.11
"2017-10-25",5.5e-05,0.000101,5.4e-05,1e-04,"68","-","LEPEN",0.818181818181818
"2017-10-24",6.4e-05,0.000115,5.5e-05,5.5e-05,"99","-","LEPEN",-0.140625
"2017-10-23",6e-05,0.000115,5.8e-05,6.5e-05,"742","-","LEPEN",0.0833333333333332
"2017-10-22",6.1e-05,0.000116,5.8e-05,6e-05,"1,107","-","LEPEN",-0.0163934426229508
"2017-10-21",8.2e-05,8.3e-05,6e-05,6.1e-05,"35","-","LEPEN",-0.25609756097561
"2017-10-20",1e-04,0.000101,4.5e-05,8.2e-05,"172","-","LEPEN",-0.18
"2017-10-19",5.6e-05,0.000111,5.5e-05,1e-04,"231","-","LEPEN",0.785714285714286
"2017-10-18",5.8e-05,0.000106,5.2e-05,5.6e-05,"297","-","LEPEN",-0.0344827586206897
"2017-10-17",5.8e-05,5.8e-05,5.5e-05,5.8e-05,"197","-","LEPEN",0
"2017-10-16",0.000101,0.000102,5.7e-05,5.8e-05,"24","-","LEPEN",-0.425742574257426
"2017-10-15",5.9e-05,0.000102,5.8e-05,0.000101,"19","-","LEPEN",0.711864406779661
"2017-10-14",7.1e-05,0.000106,5.6e-05,5.8e-05,"126","-","LEPEN",-0.183098591549296
"2017-10-13",5.4e-05,0.000115,5.4e-05,7.1e-05,"95","-","LEPEN",0.314814814814815
"2017-10-12",4.9e-05,5.4e-05,4.8e-05,5.4e-05,"966","-","LEPEN",0.102040816326531
"2017-10-11",9.2e-05,9.2e-05,4.8e-05,4.9e-05,"1,064","-","LEPEN",-0.467391304347826
"2017-10-10",8.7e-05,0.000122,5.4e-05,9.2e-05,"12","-","LEPEN",0.0574712643678161
"2017-10-09",5.2e-05,9.8e-05,4.7e-05,8.7e-05,"315","-","LEPEN",0.673076923076923
"2017-10-08",6.6e-05,9.4e-05,5e-05,5.2e-05,"57","-","LEPEN",-0.212121212121212
"2017-10-07",4.4e-05,6.6e-05,4.3e-05,6.6e-05,"29","-","LEPEN",0.5
"2017-10-06",4.3e-05,0.000222,4.3e-05,4.4e-05,"67","-","LEPEN",0.0232558139534883
"2017-10-05",4.2e-05,4.4e-05,4.2e-05,4.3e-05,"94","-","LEPEN",0.0238095238095239
"2017-10-04",4.7e-05,8.1e-05,4.2e-05,4.2e-05,"177","-","LEPEN",-0.106382978723404
"2017-10-03",7.2e-05,8.5e-05,4.6e-05,4.6e-05,"456","-","LEPEN",-0.361111111111111
"2017-10-02",5e-05,6.9e-05,4.4e-05,5.6e-05,"186","-","LEPEN",0.12
"2017-10-01",7.3e-05,8.5e-05,4.8e-05,5e-05,"886","-","LEPEN",-0.315068493150685
"2017-09-30",8.3e-05,0.000304,5.6e-05,7.3e-05,"6,545","-","LEPEN",-0.120481927710843
"2017-09-29",4.2e-05,0.004171,4e-05,8.3e-05,"19,421","-","LEPEN",0.976190476190476
"2017-09-28",8e-05,8.3e-05,4.2e-05,4.2e-05,"6","-","LEPEN",-0.475
"2017-09-27",7.8e-05,8e-05,4.1e-05,8e-05,"6","-","LEPEN",0.0256410256410257
"2017-09-26",4.4e-05,8e-05,3.9e-05,7.9e-05,"6","-","LEPEN",0.795454545454545
"2017-09-25",3.7e-05,7.6e-05,3.7e-05,4.4e-05,"8","-","LEPEN",0.189189189189189
"2017-09-24",6.9e-05,7.1e-05,3.7e-05,3.7e-05,"20","-","LEPEN",-0.463768115942029
"2017-09-23",3.6e-05,7.2e-05,2.9e-05,6.9e-05,"20","-","LEPEN",0.916666666666667
"2017-09-22",4.7e-05,7.1e-05,3.6e-05,3.6e-05,"7","-","LEPEN",-0.234042553191489
"2017-09-21",7.6e-05,7.7e-05,3.6e-05,4.7e-05,"190","-","LEPEN",-0.381578947368421
"2017-09-20",5.9e-05,7.7e-05,4.5e-05,7.6e-05,"48","-","LEPEN",0.288135593220339
"2017-09-19",7.4e-05,7.7e-05,5.8e-05,5.9e-05,"36","-","LEPEN",-0.202702702702703
"2017-09-18",3.7e-05,7.4e-05,3.7e-05,7.4e-05,"57","-","LEPEN",1
"2017-09-17",3.7e-05,7.4e-05,3.2e-05,3.7e-05,"20","-","LEPEN",0
"2017-09-16",3.8e-05,4e-05,3.6e-05,3.7e-05,"0","-","LEPEN",-0.0263157894736843
"2017-09-15",6.1e-05,6.5e-05,3.3e-05,3.8e-05,"11","-","LEPEN",-0.377049180327869
"2017-09-14",7.8e-05,7.9e-05,3.5e-05,6e-05,"75","-","LEPEN",-0.230769230769231
"2017-09-13",6.7e-05,8e-05,5.7e-05,7.8e-05,"178","-","LEPEN",0.164179104477612
"2017-09-12",5.9e-05,8.7e-05,5.7e-05,6.7e-05,"30","-","LEPEN",0.135593220338983
"2017-09-11",6.9e-05,7e-05,4.1e-05,5.9e-05,"28","-","LEPEN",-0.144927536231884
"2017-09-10",4.5e-05,7.3e-05,4.2e-05,6.9e-05,"55","-","LEPEN",0.533333333333333
"2017-09-09",8.3e-05,8.3e-05,4.3e-05,4.5e-05,"17","-","LEPEN",-0.457831325301205
"2017-09-08",4.7e-05,9.4e-05,4.6e-05,8.3e-05,"118","-","LEPEN",0.765957446808511
"2017-09-07",7.8e-05,7.8e-05,4.6e-05,4.7e-05,"850","-","LEPEN",-0.397435897435897
"2017-09-06",4.5e-05,9.6e-05,4.5e-05,7.8e-05,"54","-","LEPEN",0.733333333333333
"2017-09-05",8.2e-05,8.7e-05,4.4e-05,4.5e-05,"627","-","LEPEN",-0.451219512195122
"2017-09-04",9.1e-05,9.1e-05,4.4e-05,8.2e-05,"50","-","LEPEN",-0.0989010989010989
"2017-09-03",9.2e-05,9.3e-05,8.7e-05,9.1e-05,"64","-","LEPEN",-0.0108695652173913
"2017-09-02",9.4e-05,0.00013,8.3e-05,9.2e-05,"93","-","LEPEN",-0.0212765957446808
"2017-09-01",6.7e-05,9.6e-05,5.1e-05,9.4e-05,"320","-","LEPEN",0.402985074626866
"2017-08-31",0.000114,0.000122,6e-05,6.7e-05,"55","-","LEPEN",-0.412280701754386
"2017-08-30",9.2e-05,0.000115,5.6e-05,0.000115,"42","-","LEPEN",0.25
"2017-08-29",8.8e-05,9.8e-05,8.7e-05,9.2e-05,"26","-","LEPEN",0.0454545454545455
"2017-08-28",8.7e-05,0.000108,4.9e-05,8.8e-05,"378","-","LEPEN",0.0114942528735632
"2017-08-27",4.4e-05,0.000131,4.4e-05,8.7e-05,"66","-","LEPEN",0.977272727272727
"2017-08-26",4.9e-05,4.9e-05,4.3e-05,4.4e-05,"1","-","LEPEN",-0.102040816326531
"2017-08-25",7.9e-05,0.000125,4.9e-05,4.9e-05,"11","-","LEPEN",-0.379746835443038
"2017-08-24",8.2e-05,0.000126,7.1e-05,7.9e-05,"661","-","LEPEN",-0.0365853658536586
"2017-08-23",4.1e-05,8.4e-05,4.1e-05,8.2e-05,"235","-","LEPEN",1
"2017-08-22",8e-05,8e-05,4e-05,4.1e-05,"61","-","LEPEN",-0.4875
"2017-08-21",8.1e-05,8.2e-05,4e-05,8e-05,"91","-","LEPEN",-0.0123456790123456
"2017-08-20",4.6e-05,8.3e-05,4.1e-05,8.1e-05,"144","-","LEPEN",0.760869565217391
"2017-08-19",8.3e-05,8.6e-05,4.6e-05,4.6e-05,"8","-","LEPEN",-0.44578313253012
"2017-08-18",4.4e-05,8.3e-05,4.4e-05,8.3e-05,"11","-","LEPEN",0.886363636363636
"2017-08-17",8.8e-05,0.000133,4.3e-05,4.4e-05,"13","-","LEPEN",-0.5
"2017-08-16",7.4e-05,8.8e-05,7.4e-05,8.8e-05,"377","-","LEPEN",0.189189189189189
"2017-08-15",8.7e-05,8.9e-05,5.1e-05,7.4e-05,"105","-","LEPEN",-0.149425287356322
"2017-08-14",8.1e-05,8.8e-05,5.8e-05,8.6e-05,"197","-","LEPEN",0.0617283950617284
"2017-08-13",7.7e-05,8.2e-05,5.1e-05,8.1e-05,"263","-","LEPEN",0.051948051948052
"2017-08-12",0.000105,0.000107,4.9e-05,7.7e-05,"225","-","LEPEN",-0.266666666666667
"2017-08-11",6.8e-05,0.000105,6.8e-05,0.000105,"337","-","LEPEN",0.544117647058824
"2017-08-10",9.8e-05,1e-04,4.2e-05,6.8e-05,"168","-","LEPEN",-0.306122448979592
"2017-08-09",6.9e-05,0.000101,6.4e-05,9.8e-05,"199","-","LEPEN",0.420289855072464
"2017-08-08",6.3e-05,9.9e-05,5e-05,6.9e-05,"505","-","LEPEN",0.0952380952380952
"2017-08-07",8.7e-05,8.7e-05,3.5e-05,6.3e-05,"213","-","LEPEN",-0.275862068965517
"2017-08-06",6.9e-05,8.8e-05,5.4e-05,8.7e-05,"630","-","LEPEN",0.260869565217391
"2017-08-05",6.1e-05,7.7e-05,6.1e-05,6.9e-05,"203","-","LEPEN",0.131147540983607
"2017-08-04",7.3e-05,7.4e-05,4.6e-05,6.1e-05,"161","-","LEPEN",-0.164383561643836
"2017-08-03",5.4e-05,7.4e-05,4e-05,7.3e-05,"110","-","LEPEN",0.351851851851852
"2017-08-02",5.5e-05,8.2e-05,5.3e-05,5.4e-05,"265","-","LEPEN",-0.0181818181818183
"2017-08-01",5.2e-05,6.1e-05,4.3e-05,5.5e-05,"150","-","LEPEN",0.0576923076923078
"2017-07-31",5.5e-05,8e-05,5e-05,5.2e-05,"1,895","-","LEPEN",-0.0545454545454546
"2017-07-30",6.4e-05,8.4e-05,5.2e-05,5.5e-05,"395","-","LEPEN",-0.140625
"2017-07-29",7.9e-05,8.5e-05,5.4e-05,6.4e-05,"306","-","LEPEN",-0.189873417721519
"2017-07-28",9.5e-05,0.000108,5.5e-05,8e-05,"1,788","-","LEPEN",-0.157894736842105
"2017-07-27",0.000118,0.000119,7.5e-05,9.4e-05,"1,669","-","LEPEN",-0.203389830508475
"2017-07-26",7.9e-05,0.000121,5.3e-05,0.000117,"10,165","-","LEPEN",0.481012658227848
"2017-07-25",5.7e-05,0.000146,4.9e-05,7.9e-05,"6,662","-","LEPEN",0.385964912280702
"2017-07-24",8.2e-05,8.3e-05,5.6e-05,5.7e-05,"281","-","LEPEN",-0.304878048780488
"2017-07-23",9.1e-05,9.1e-05,7.1e-05,8.2e-05,"651","-","LEPEN",-0.0989010989010989
"2017-07-22",9.6e-05,0.000114,7.4e-05,9.1e-05,"2,795","-","LEPEN",-0.0520833333333333
"2017-07-21",0.00011,0.00011,7.6e-05,9.6e-05,"405","-","LEPEN",-0.127272727272727
