"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000584,0.000585,0.000285,0.00045,"427","-","LKC",-0.229452054794521
"2018-01-09",0.000602,0.000616,0.000288,0.000583,"430","-","LKC",-0.03156146179402
"2018-01-08",0.000489,0.00064,0.000315,0.000604,"1,558","-","LKC",0.23517382413088
"2018-01-07",0.000516,0.000661,0.000324,0.000652,"452","-","LKC",0.263565891472868
"2018-01-06",0.00051,0.000518,0.000491,0.000516,"36","-","LKC",0.0117647058823528
"2018-01-05",0.000455,0.000513,0.000448,0.000509,"29","-","LKC",0.118681318681319
"2018-01-04",0.000304,0.000455,0.000297,0.000455,"156","-","LKC",0.496710526315789
"2018-01-03",0.000297,0.000309,0.000293,0.000303,"23","-","LKC",0.0202020202020201
"2018-01-02",0.000412,0.000443,0.000293,0.000298,"55","-","LKC",-0.276699029126214
"2018-01-01",0.000419,0.00042,0.000387,0.000411,"1","-","LKC",-0.0190930787589498
"2017-12-31",0.000381,0.000427,0.000378,0.000418,"45","-","LKC",0.0971128608923885
"2017-12-30",0.000435,0.000435,0.000243,0.000386,"153","-","LKC",-0.11264367816092
"2017-12-29",0.000289,0.00044,0.000283,0.000436,"9","-","LKC",0.508650519031142
"2017-12-28",0.00031,0.000312,0.000273,0.000286,"63","-","LKC",-0.0774193548387096
"2017-12-27",0.000158,0.000492,0.000157,0.000311,"152","-","LKC",0.968354430379747
"2017-12-26",0.000418,0.000484,0.000277,0.000317,"212","-","LKC",-0.241626794258373
"2017-12-25",0.000423,0.000435,0.000275,0.000418,"15","-","LKC",-0.011820330969267
"2017-12-24",0.000438,0.000438,0.000377,0.000418,"7","-","LKC",-0.045662100456621
"2017-12-23",0.000414,0.00047,0.000408,0.000433,"121","-","LKC",0.0458937198067634
"2017-12-22",0.000471,0.000476,0.000343,0.00041,"135","-","LKC",-0.129511677282378
"2017-12-21",0.000165,0.00047,0.000163,0.00047,"8","-","LKC",1.84848484848485
"2017-12-20",0.000529,0.000535,0.000158,0.000164,"162","-","LKC",-0.689981096408318
"2017-12-19",0.000562,0.000572,0.000512,0.000529,"153","-","LKC",-0.0587188612099645
"2017-12-18",0.000383,0.000386,0.000365,0.000377,"2","-","LKC",-0.0156657963446475
"2017-12-17",0.00039,0.000585,0.000377,0.000381,"108","-","LKC",-0.0230769230769231
"2017-12-16",0.000353,0.000579,0.000348,0.000389,"197","-","LKC",0.101983002832861
"2017-12-15",0.000332,0.000535,0.000332,0.000352,"45","-","LKC",0.0602409638554217
"2017-12-14",0.000164,0.000507,0.000162,0.000331,"698","-","LKC",1.01829268292683
"2017-12-13",0.000518,0.000525,0.000159,0.000164,"74","-","LKC",-0.683397683397683
"2017-12-12",0.000505,0.000533,0.000168,0.000518,"33","-","LKC",0.0257425742574257
"2017-12-11",0.000305,0.000525,0.000164,0.000503,"1,111","-","LKC",0.649180327868852
"2017-12-10",0.000451,0.000451,0.000265,0.000307,"10","-","LKC",-0.319290465631929
"2017-12-09",0.000325,0.000459,0.000295,0.000449,"85","-","LKC",0.381538461538462
"2017-12-08",0.000347,0.00046,0.000282,0.000326,"53","-","LKC",-0.0605187319884725
"2017-12-07",0.000275,0.000505,0.000143,0.000346,"11,504","-","LKC",0.258181818181818
"2017-12-06",0.000117,0.000382,0.000117,0.000275,"8","-","LKC",1.35042735042735
"2017-12-05",0.000233,0.000234,0.000116,0.000117,"8","-","LKC",-0.497854077253219
"2017-12-04",0.000225,0.000233,0.000218,0.000233,"6","-","LKC",0.0355555555555556
"2017-12-03",0.000109,0.000237,0.000109,0.000224,"71","-","LKC",1.05504587155963
