"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.269131,0.270689,0.233759,0.248703,"539,455","-","LLT",-0.0759035562607058
"2018-01-09",0.269824,0.281243,0.238915,0.269114,"804,430","-","LLT",-0.0026313448766603
"2018-01-08",0.306291,0.311044,0.224372,0.267341,"1,398,240","-","LLT",-0.127166648709887
"2018-01-07",0.286301,0.325372,0.275213,0.308427,"1,584,410","-","LLT",0.0772823007953167
"2018-01-06",0.261557,0.298564,0.252005,0.286338,"1,030,960","-","LLT",0.0947441666634806
"2018-01-05",0.251919,0.296888,0.246451,0.259748,"1,276,490","-","LLT",0.0310774494976559
"2018-01-04",0.23622,0.27372,0.233173,0.251977,"1,424,160","-","LLT",0.0667047667428668
"2018-01-03",0.243561,0.254693,0.194664,0.236198,"1,699,030","-","LLT",-0.0302306198447207
"2018-01-02",0.235114,0.245743,0.230034,0.242544,"440,061","-","LLT",0.031601691094533
"2018-01-01",0.236518,0.240707,0.226926,0.234566,"241,589","-","LLT",-0.00825307164782388
"2017-12-31",0.226502,0.237908,0.213647,0.235507,"144,064","-","LLT",0.0397568233393082
"2017-12-30",0.255301,0.255301,0.207261,0.225568,"368,574","-","LLT",-0.116462528544737
"2017-12-29",0.293053,0.297215,0.224384,0.256252,"912,132","-","LLT",-0.125577967125401
"2017-12-28",0.316516,0.31659,0.270206,0.2926,"424,138","-","LLT",-0.0755601612556711
"2017-12-27",0.303367,0.333718,0.284967,0.316684,"551,380","-","LLT",0.0438973256814354
"2017-12-26",0.301572,0.312092,0.296929,0.303239,"492,195","-","LLT",0.00552770151075025
"2017-12-25",0.303943,0.338189,0.291317,0.301551,"486,266","-","LLT",-0.00786989665825502
"2017-12-24",0.320064,0.323244,0.275903,0.303622,"397,234","-","LLT",-0.0513709758048391
"2017-12-23",0.305019,0.340078,0.304583,0.321082,"320,464","-","LLT",0.0526622931686223
