"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",85.38,126.8,72.26,74.62,"5,425","4,055,740","LNK",-0.126024830171
"2018-01-09",30.64,85.67,30.53,85.29,"2,354","1,455,670","LNK",1.78361618798956
"2018-01-08",35.92,146.82,18.1,45.73,"6,720","1,706,540","LNK",0.273106904231626
"2018-01-07",37.55,54.12,35.53,35.97,"18","1,783,530","LNK",-0.0420772303595206
"2018-01-06",32.26,40.62,32.07,37.56,"493","1,532,340","LNK",0.164290142591445
"2018-01-05",78.61,87.89,31.17,32.13,"480","3,734,290","LNK",-0.591273374888691
"2018-01-04",32.78,79.82,32.73,78.95,"1,207","1,557,200","LNK",1.408480780964
"2018-01-03",68.17,69.89,32.3,32.63,"424","3,238,230","LNK",-0.521343699574593
"2018-01-02",40.52,68.83,39.28,67.84,"2,509","1,924,600","LNK",0.674234945705824
"2018-01-01",63.83,65.36,40.15,40.52,"54","3,032,300","LNK",-0.365188782704058
"2017-12-31",39.79,63.99,33.06,63.89,"1,488","1,890,120","LNK",0.605679819050013
"2017-12-30",49.58,49.58,39.33,40.17,"992","2,355,330","LNK",-0.189794271883824
"2017-12-29",43.18,96.66,36.61,49.6,"4,828","2,051,390","LNK",0.148679944418712
"2017-12-28",29.48,91,26.64,42.92,"3,541","1,400,410","LNK",0.455902306648575
"2017-12-27",24.87,46,23.37,29.54,"616","1,181,540","LNK",0.187776437474869
"2017-12-26",28.64,32.95,24.45,24.82,"24","1,360,550","LNK",-0.133379888268156
"2017-12-25",23.94,48.5,22.56,28.67,"19,473","1,137,010","LNK",0.197577276524645
"2017-12-24",23.71,25.03,20.69,23.69,"386","1,126,120","LNK",-0.000843525938422588
"2017-12-23",48.92,52.68,23.12,23.43,"205","2,324,020","LNK",-0.521054783319706
"2017-12-22",26.71,52.49,20.6,48.52,"420","1,268,910","LNK",0.816548109322351
"2017-12-21",27.13,28.63,25.75,26.62,"346","1,288,870","LNK",-0.0187983781791374
"2017-12-20",37,37,26.02,27.1,"6,399","1,757,590","LNK",-0.267567567567568
"2017-12-19",37.16,38.46,35.66,37.04,"2,521","1,765,400","LNK",-0.00322927879440252
"2017-12-18",39.67,39.75,31.88,37.16,"10,140","1,884,520","LNK",-0.0632719939500884
"2017-12-17",22.72,40.55,22.68,39.61,"8,607","1,079,340","LNK",0.743397887323944
"2017-12-16",37.7,37.76,21.8,22.66,"2,835","1,791,020","LNK",-0.39893899204244
"2017-12-15",38.18,38.29,33.8,37.63,"4,941","1,813,730","LNK",-0.0144054478784703
"2017-12-14",42.39,44.21,36.19,38.15,"4,960","2,013,550","LNK",-0.10002359046945
"2017-12-13",21.88,45.2,21.12,42.44,"5,496","1,039,200","LNK",0.939670932358318
"2017-12-12",41.14,41.57,16.98,21.86,"798","1,954,240","LNK",-0.468643655809431
"2017-12-11",34.66,41.4,34.62,41.4,"1,399","1,646,400","LNK",0.194460473167917
"2017-12-10",31.22,36.64,29.96,34.62,"1,201","1,482,920","LNK",0.108904548366432
"2017-12-09",15.84,33.5,15.38,31.12,"1,839","752,399","LNK",0.964646464646465
"2017-12-08",28.29,28.3,14.73,15.84,"501","1,343,700","LNK",-0.440084835630965
"2017-12-07",27.68,28.96,27.3,28.25,"401","1,314,780","LNK",0.020592485549133
"2017-12-06",30.2,30.34,27.23,27.77,"320","1,434,430","LNK",-0.0804635761589404
"2017-12-05",30.18,30.71,20.19,30.25,"557","1,433,440","LNK",0.00231941683233931
"2017-12-04",31.26,31.84,21.94,30.16,"384","1,484,750","LNK",-0.035188739603327
"2017-12-03",35.44,35.96,14.04,31.2,"885","1,683,700","LNK",-0.119638826185102
"2017-12-02",30.94,36.09,29.01,35.43,"1,254","1,469,650","LNK",0.145119586296057
"2017-12-01",25.9,31.26,24.87,30.94,"179","1,230,220","LNK",0.194594594594595
"2017-11-30",33.08,35.5,21.21,25.15,"207","1,571,590","LNK",-0.239721886336155
"2017-11-29",15.21,36.4,12.17,32.67,"703","722,728","LNK",1.14792899408284
"2017-11-28",14.02,44.88,13.92,15.21,"64","665,757","LNK",0.0848787446504994
"2017-11-27",11.19,14.08,11.19,14.03,"94","531,538","LNK",0.253798033958892
"2017-11-26",18.26,19.66,11.09,11.19,"105","867,520","LNK",-0.387185104052574
"2017-11-25",18.21,18.27,18.09,18.27,"21","865,025","LNK",0.00329489291598016
"2017-11-24",22.03,23.21,21.64,22.98,"69","1,046,640","LNK",0.0431230140717203
"2017-11-23",18.89,22.56,18.32,22.09,"294","897,123","LNK",0.169401799894124
"2017-11-22",18.14,44.65,18.12,18.85,"206","861,484","LNK",0.0391400220507167
"2017-11-21",14.74,59.19,13.94,18.11,"1,370","699,966","LNK",0.228629579375848
"2017-11-20",18.39,20.82,14.33,14.73,"38","873,380","LNK",-0.199021207177814
"2017-11-19",22.87,22.87,15.18,18.4,"183","1,086,490","LNK",-0.195452557936161
"2017-11-18",10.5,23.04,10,22.93,"10","498,638","LNK",1.18380952380952
"2017-11-17",10.13,11.49,10.12,10.52,"180","481,208","LNK",0.0384995064165843
"2017-11-16",9.73,15.44,9.64,10.14,"203","462,054","LNK",0.0421377183967112
