"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.65,3.93,3.1,3.61,"350,983","67,792,400","LOC",-0.0109589041095891
"2018-01-09",3.4,3.99,3.11,3.68,"383,989","63,169,500","LOC",0.0823529411764707
"2018-01-08",3.19,4.16,2.98,3.43,"514,417","44,769,800","LOC",0.0752351097178684
"2018-01-07",2.03,3.31,1.95,3.19,"564,178","28,461,800","LOC",0.571428571428572
"2018-01-06",1.92,2.06,1.77,2.02,"229,509","26,985,700","LOC",0.0520833333333334
"2018-01-05",1.65,1.92,1.42,1.92,"188,616","23,171,200","LOC",0.163636363636364
"2018-01-04",1.51,2.04,1.44,1.65,"325,427","21,234,100","LOC",0.0927152317880794
"2018-01-03",0.915385,1.51,0.898456,1.51,"195,281","12,855,000","LOC",0.649579138832295
"2018-01-02",0.859596,0.985409,0.798402,0.947751,"117,663","12,071,600","LOC",0.102553990479248
"2018-01-01",0.658505,0.955127,0.658505,0.859192,"103,830","9,247,600","LOC",0.304761543192535
"2017-12-31",0.566632,0.69586,0.539047,0.657444,"24,984","7,957,400","LOC",0.160266275113301
"2017-12-30",0.653326,0.713603,0.558587,0.570467,"39,918","9,174,860","LOC",-0.126826423561897
"2017-12-29",0.622842,0.719101,0.559307,0.653539,"42,352","8,746,760","LOC",0.0492853725342863
"2017-12-28",0.662476,0.670324,0.566179,0.642879,"25,328","9,303,360","LOC",-0.0295814489883407
"2017-12-27",0.674288,0.739961,0.613703,0.663345,"37,976","9,469,240","LOC",-0.0162289704102698
"2017-12-26",0.696131,0.727789,0.592419,0.673858,"28,890","9,776,000","LOC",-0.0319954146561496
"2017-12-25",0.684994,0.834709,0.608742,0.678622,"46,977","9,619,590","LOC",-0.00930227126077023
"2017-12-24",0.667211,0.713784,0.617337,0.672035,"28,467","9,369,850","LOC",0.00723009662610486
"2017-12-23",0.714115,0.814832,0.657798,0.661945,"91,995","10,028,600","LOC",-0.073055460255001
"2017-12-22",0.921286,0.923391,0.599107,0.709613,"64,796","12,937,900","LOC",-0.229758185840228
"2017-12-21",0.748206,0.991925,0.73737,0.920021,"123,328","10,507,300","LOC",0.229635955873115
"2017-12-20",0.729485,0.845129,0.69275,0.73495,"61,257","-","LOC",0.0074915865302233
"2017-12-19",0.865866,0.957577,0.836035,0.914687,"184,055","-","LOC",0.0563840132306847
"2017-12-18",0.693261,1.09,0.684387,0.891086,"169,077","-","LOC",0.285354289365766
