"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.323927,0.324642,0.291385,0.316016,"334","2,602,810","LOG",-0.0244221691924415
"2018-01-09",0.33463,0.34282,0.316711,0.323503,"4","2,688,820","LOG",-0.0332516510773093
"2018-01-08",0.362829,0.364189,0.324169,0.335544,"8,961","2,915,400","LOG",-0.0752007143861158
"2018-01-07",0.362458,0.394385,0.349302,0.363337,"10,027","2,912,420","LOG",0.00242510856430267
"2018-01-06",0.390632,0.393222,0.344764,0.362724,"831","3,138,800","LOG",-0.0714431997378607
"2018-01-05",0.337477,0.393627,0.331972,0.390321,"2,187","2,711,700","LOG",0.156585485825701
"2018-01-04",0.338135,0.362482,0.322949,0.33741,"12,957","2,716,980","LOG",-0.00214411403729289
"2018-01-03",0.32965,0.35228,0.326011,0.336294,"12,886","2,648,800","LOG",0.0201547095404216
"2018-01-02",0.328489,0.338888,0.303791,0.330825,"304","2,639,470","LOG",0.00711134923848289
"2018-01-01",0.335552,0.335781,0.30271,0.328515,"24","2,696,220","LOG",-0.0209714142666413
"2017-12-31",0.305147,0.341811,0.294539,0.334258,"13,834","2,451,920","LOG",0.0953999220048042
"2017-12-30",0.337462,0.337575,0.292161,0.308479,"17,981","2,711,570","LOG",-0.0858852255957707
"2017-12-29",0.317707,0.350542,0.312196,0.338313,"25","2,552,840","LOG",0.0648585017012529
"2017-12-28",0.326921,0.328305,0.291245,0.314452,"15,039","2,626,870","LOG",-0.0381407128939408
"2017-12-27",0.332577,0.375323,0.313124,0.327608,"2,157","2,672,320","LOG",-0.0149409009041515
"2017-12-26",0.319825,0.338571,0.284389,0.332336,"19,619","2,569,850","LOG",0.0391182678027046
"2017-12-25",0.197358,0.321999,0.185863,0.320152,"21","1,585,810","LOG",0.62218911825211
"2017-12-24",0.204636,0.204636,0.17606,0.195329,"1,143","1,644,290","LOG",-0.0454807560742001
"2017-12-23",0.193193,0.219367,0.190478,0.202401,"1,185","1,552,340","LOG",0.0476621823772083
"2017-12-22",0.22014,0.222308,0.160357,0.191386,"1,120","1,768,860","LOG",-0.130616880167166
"2017-12-21",0.23093,0.243586,0.212208,0.219379,"1,284","1,855,570","LOG",-0.0500194864244577
"2017-12-20",0.246839,0.249874,0.220859,0.230327,"1,348","1,983,400","LOG",-0.066893805273883
"2017-12-19",0.304223,0.305313,0.238891,0.247082,"1,446","2,444,490","LOG",-0.187826035506849
"2017-12-18",0.306302,0.306787,0.290553,0.303966,"2,720","2,461,190","LOG",-0.00762646016023403
"2017-12-17",0.312017,0.319889,0.302272,0.305377,"1,380","2,507,110","LOG",-0.021280891746283
"2017-12-16",0.291173,0.318979,0.287496,0.311976,"6,247","2,339,630","LOG",0.0714454980372492
"2017-12-15",0.273696,0.298231,0.273643,0.290765,"126","2,199,200","LOG",0.0623648135157255
"2017-12-14",0.270195,0.281552,0.267143,0.273285,"143","2,171,070","LOG",0.0114361849775162
"2017-12-13",0.310968,0.315095,0.269153,0.271065,"626","2,498,690","LOG",-0.128318669445088
"2017-12-12",0.30306,0.319656,0.295955,0.310708,"11,532","2,435,140","LOG",0.0252359268791658
"2017-12-11",0.274293,0.315075,0.273094,0.30209,"11,212","2,204,000","LOG",0.101340537308644
"2017-12-10",0.345863,0.345863,0.263432,0.276288,"2,907","2,779,080","LOG",-0.201163466459263
"2017-12-09",0.334384,0.348235,0.287055,0.344467,"1,247","2,686,840","LOG",0.0301539547346763
"2017-12-08",0.346934,0.356336,0.255164,0.334722,"12,066","2,787,680","LOG",-0.0351997786322471
"2017-12-07",0.329661,0.34961,0.281916,0.34612,"1,956","2,648,890","LOG",0.0499270462687427
"2017-12-06",0.293221,0.344334,0.293221,0.330229,"980","2,356,090","LOG",0.126211969811166
"2017-12-05",0.293155,0.304251,0.287222,0.293286,"9,687","2,355,560","LOG",0.000446862581228334
"2017-12-04",0.281044,0.294519,0.272099,0.29258,"17,777","2,258,240","LOG",0.0410469535019427
"2017-12-03",0.299966,0.307762,0.265447,0.280116,"228","2,410,280","LOG",-0.0661741664055261
"2017-12-02",0.303129,0.317582,0.298907,0.299679,"4,672","2,435,700","LOG",-0.0113812931128332
"2017-12-01",0.276908,0.313968,0.26094,0.303387,"26","2,225,010","LOG",0.0956238172967196
"2017-11-30",0.305574,0.329481,0.265699,0.278287,"8,912","2,455,340","LOG",-0.089297518767958
"2017-11-29",0.297838,0.362047,0.279701,0.300951,"1,257","2,393,190","LOG",0.010451990679497
"2017-11-28",0.29949,0.304824,0.294253,0.298135,"17,013","2,406,460","LOG",-0.00452435807539482
"2017-11-27",0.307391,0.32791,0.28795,0.298716,"18,418","2,469,940","LOG",-0.028221385792037
"2017-11-26",0.291776,0.317535,0.291451,0.307332,"784","2,344,480","LOG",0.0533148716823865
"2017-11-25",0.273638,0.291874,0.272093,0.291874,"98","2,198,740","LOG",0.0666427908404536
"2017-11-24",0.267875,0.277938,0.262766,0.274192,"16,537","2,152,420","LOG",0.023581894540364
"2017-11-23",0.274145,0.275485,0.268241,0.268241,"16,178","2,202,810","LOG",-0.0215360484415182
"2017-11-22",0.274256,0.280533,0.270101,0.274233,"16,540","2,203,700","LOG",-8.38632518522667e-05
"2017-11-21",0.275676,0.278975,0.259847,0.273591,"16,292","2,215,110","LOG",-0.00756322639620425
"2017-11-20",0.277417,0.278044,0.265833,0.275625,"3","2,229,100","LOG",-0.00645958971512206
"2017-11-19",0.259693,0.27977,0.2566,0.277546,"9,548","2,086,690","LOG",0.0687465584363075
"2017-11-18",0.256199,0.270406,0.248891,0.260176,"10,801","2,058,610","LOG",0.0155230894734172
"2017-11-17",0.262012,0.268179,0.252738,0.257185,"36","2,105,320","LOG",-0.01842282032884
"2017-11-16",0.244652,0.267291,0.239174,0.262442,"29,142","1,965,830","LOG",0.072715530631264
"2017-11-15",0.227109,0.246129,0.227109,0.243377,"1,898","1,824,860","LOG",0.071630802830359
"2017-11-14",0.223225,0.228673,0.219018,0.226953,"5,080","1,793,650","LOG",0.0167006383693582
"2017-11-13",0.200371,0.229554,0.19881,0.222753,"10,925","1,610,020","LOG",0.111702791322098
"2017-11-12",0.21628,0.219126,0.188256,0.200079,"58","1,737,860","LOG",-0.0749075272794525
"2017-11-11",0.171341,0.221302,0.171132,0.21644,"8,753","1,376,760","LOG",0.263211957441593
"2017-11-10",0.19583,0.204418,0.16787,0.171953,"56","1,573,530","LOG",-0.121927181739264
"2017-11-09",0.15704,0.216557,0.143845,0.19525,"13,484","1,261,840","LOG",0.243313805399898
"2017-11-08",0.14951,0.168899,0.148621,0.157202,"6,758","1,201,340","LOG",0.0514480636746706
"2017-11-07",0.153098,0.158417,0.146819,0.149981,"32","1,230,170","LOG",-0.0203595082888085
"2017-11-06",0.147793,0.153762,0.132169,0.153343,"4,419","1,187,550","LOG",0.0375525227852469
"2017-11-05",0.140307,0.172247,0.139319,0.147466,"1,626","1,127,390","LOG",0.0510238263237046
"2017-11-04",0.164839,0.170677,0.140276,0.140573,"3,592","1,324,510","LOG",-0.147210308240162
"2017-11-03",0.161536,0.171727,0.159736,0.165269,"37","1,297,970","LOG",0.023109399762282
"2017-11-02",0.144665,0.176722,0.144665,0.161747,"3,934","1,162,410","LOG",0.118079701379048
