"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",29.96,30.09,26.4,29.19,"96,825,200","3,500,540,000","LSK",-0.0257009345794392
"2018-01-09",31.2,33.32,29.69,29.91,"87,492,500","3,643,650,000","LSK",-0.0413461538461538
"2018-01-08",33.59,34.36,27.7,31.3,"142,590,000","3,922,180,000","LSK",-0.068175052098839
"2018-01-07",31.13,39.31,31.13,34.11,"209,374,000","3,633,930,000","LSK",0.0957275939608095
"2018-01-06",24.68,32.14,24.5,31.24,"200,650,000","2,879,820,000","LSK",0.26580226904376
"2018-01-05",21.4,29.53,20.97,24.16,"187,694,000","2,496,760,000","LSK",0.128971962616823
"2018-01-04",21.15,24.03,20.18,21.46,"109,219,000","2,466,640,000","LSK",0.0146572104018914
"2018-01-03",21.94,22.03,20.4,21,"79,068,900","2,558,310,000","LSK",-0.0428441203281678
"2018-01-02",21.16,22.53,20.7,21.95,"72,049,200","2,465,830,000","LSK",0.0373345935727788
"2018-01-01",20.68,21.57,19.66,21.13,"46,809,500","2,409,860,000","LSK",0.0217601547388781
"2017-12-31",19,21.82,18.51,20.41,"64,758,700","2,213,620,000","LSK",0.0742105263157895
"2017-12-30",22.57,22.57,18.17,19.43,"73,691,700","2,628,920,000","LSK",-0.139122729286664
"2017-12-29",23.24,23.55,21.81,22.75,"79,199,000","2,705,870,000","LSK",-0.0210843373493975
"2017-12-28",23.94,23.98,21.54,23.05,"68,268,900","2,786,020,000","LSK",-0.0371762740183793
"2017-12-27",24.83,25.26,23.17,24.02,"77,179,500","2,889,020,000","LSK",-0.0326218284333467
"2017-12-26",23.89,27.38,22.85,25.26,"145,958,000","2,778,810,000","LSK",0.057346169945584
"2017-12-25",20.29,24.09,19.13,23.86,"106,194,000","2,359,540,000","LSK",0.175948743223263
"2017-12-24",21.01,21.01,17.22,20.02,"65,224,400","2,442,470,000","LSK",-0.0471204188481676
"2017-12-23",19.61,22.79,18.99,20.71,"90,698,800","2,278,950,000","LSK",0.0560938296787354
"2017-12-22",24.18,24.44,14.72,19.5,"177,588,000","2,809,610,000","LSK",-0.193548387096774
"2017-12-21",19.62,27.36,19.33,24.17,"201,110,000","2,278,410,000","LSK",0.23190621814475
"2017-12-20",16.82,20.39,15.37,19.57,"115,660,000","1,953,420,000","LSK",0.163495838287753
"2017-12-19",17.01,18.76,15.8,16.81,"102,730,000","1,974,370,000","LSK",-0.0117577895355675
"2017-12-18",13.5,18.12,13.01,17.02,"149,703,000","1,566,950,000","LSK",0.260740740740741
"2017-12-17",10.51,14.55,10.38,13.43,"128,034,000","1,219,470,000","LSK",0.277830637488107
"2017-12-16",10.18,10.65,10.04,10.48,"45,189,500","1,181,070,000","LSK",0.0294695481335954
"2017-12-15",10.77,11.18,9.56,10.22,"60,658,700","1,248,440,000","LSK",-0.0510677808727947
"2017-12-14",9.54,11.12,9.53,10.72,"68,330,600","1,105,220,000","LSK",0.123689727463313
"2017-12-13",9.4,10.21,8.62,9.51,"53,217,400","1,089,060,000","LSK",0.0117021276595744
"2017-12-12",8.2,9.36,8.19,9.35,"41,474,000","950,373,000","LSK",0.140243902439024
"2017-12-11",7.94,8.54,7.84,8.17,"28,711,700","919,207,000","LSK",0.0289672544080604
"2017-12-10",8.23,8.44,7.51,7.94,"28,777,900","952,954,000","LSK",-0.0352369380315917
"2017-12-09",8.05,8.73,7.91,8.21,"30,708,500","931,630,000","LSK",0.0198757763975155
"2017-12-08",7.39,8.63,7,8.06,"40,878,700","855,170,000","LSK",0.0906630581867389
"2017-12-07",8.58,8.95,7.36,7.36,"53,831,400","992,573,000","LSK",-0.142191142191142
"2017-12-06",9.82,9.94,8.35,8.49,"52,262,500","1,135,620,000","LSK",-0.135437881873727
"2017-12-05",8.83,10.19,8.51,9.94,"69,110,300","1,020,940,000","LSK",0.125707814269536
"2017-12-04",7.75,8.86,7.66,8.77,"39,137,100","895,777,000","LSK",0.131612903225806
"2017-12-03",7.72,8.31,7.38,7.74,"22,047,600","891,646,000","LSK",0.00259067357512959
"2017-12-02",7.72,7.9,7.52,7.7,"18,663,400","891,575,000","LSK",-0.00259067357512948
"2017-12-01",7.48,7.95,7.12,7.73,"24,098,300","863,264,000","LSK",0.0334224598930481
"2017-11-30",7,7.55,6.7,7.5,"25,251,200","807,876,000","LSK",0.0714285714285714
"2017-11-29",7.83,8.03,6.72,6.9,"34,207,700","903,169,000","LSK",-0.118773946360153
"2017-11-28",7.91,8.35,7.79,7.79,"26,685,400","912,326,000","LSK",-0.0151706700379267
"2017-11-27",7.49,8.06,7.49,7.89,"29,071,700","863,396,000","LSK",0.0534045393858477
"2017-11-26",8.03,8.09,7.47,7.51,"30,757,600","925,420,000","LSK",-0.0647571606475716
"2017-11-25",7.88,8.49,7.88,8.04,"28,727,000","908,561,000","LSK",0.0203045685279187
"2017-11-24",7.4,8.12,7.36,7.89,"33,888,100","852,845,000","LSK",0.0662162162162161
"2017-11-23",8.66,8.83,7.38,7.49,"59,098,700","997,919,000","LSK",-0.135103926096998
"2017-11-22",9.68,10.7,8.01,8.57,"106,176,000","1,114,590,000","LSK",-0.114669421487603
"2017-11-21",9.74,10.16,9.25,9.68,"26,816,700","1,121,400,000","LSK",-0.00616016427104728
"2017-11-20",9.72,10.22,9.54,9.77,"26,170,000","1,118,590,000","LSK",0.00514403292181059
"2017-11-19",9.25,10.26,9.13,9.74,"39,171,200","1,063,710,000","LSK",0.052972972972973
"2017-11-18",8.34,9.53,7.96,9.28,"28,695,700","959,358,000","LSK",0.112709832134293
"2017-11-17",8.37,9.58,8.02,8.28,"47,083,900","961,893,000","LSK",-0.010752688172043
"2017-11-16",8.49,11.15,8.41,8.41,"140,758,000","975,188,000","LSK",-0.00942285041224971
