"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.002783,0.003345,0.00244,0.003248,"547","84,132","LTCR",0.167085878548329
"2018-01-09",0.002682,0.003549,0.002624,0.00278,"137","81,066","LTCR",0.0365398956002983
"2018-01-08",0.002939,0.003438,0.002602,0.002689,"1,061","88,838","LTCR",-0.0850629465804696
"2018-01-07",0.002598,0.003324,0.002437,0.002943,"758","78,520","LTCR",0.132794457274827
"2018-01-06",0.002208,0.003169,0.002154,0.0026,"760","66,740","LTCR",0.177536231884058
"2018-01-05",0.002691,0.002811,0.001885,0.002206,"605","81,358","LTCR",-0.180230397621702
"2018-01-04",0.003638,0.003697,0.001858,0.002691,"534","109,975","LTCR",-0.260307861462342
"2018-01-03",0.001747,0.003317,0.001604,0.003316,"911","52,795","LTCR",0.898111047510017
"2018-01-02",0.00162,0.002377,0.00162,0.001753,"377","48,974","LTCR",0.0820987654320988
"2018-01-01",0.003489,0.003489,0.00162,0.00162,"388","105,452","LTCR",-0.535683576956148
"2017-12-31",0.002165,0.003507,0.002026,0.003475,"230","65,443","LTCR",0.605080831408776
"2017-12-30",0.002174,0.002584,0.001908,0.002189,"619","65,726","LTCR",0.00689972401103948
"2017-12-29",0.002026,0.002431,0.001981,0.00218,"94","61,231","LTCR",0.0760118460019744
"2017-12-28",0.002706,0.002735,0.00115,0.002005,"1,035","81,785","LTCR",-0.259053954175905
"2017-12-27",0.002311,0.004308,0.002292,0.002711,"554","69,846","LTCR",0.173085244482908
"2017-12-26",0.002812,0.004981,0.002129,0.002309,"987","85,000","LTCR",-0.178876244665718
"2017-12-25",0.00284,0.002946,0.002613,0.002815,"297","85,857","LTCR",-0.00880281690140855
"2017-12-24",0.00279,0.002846,0.002165,0.002811,"500","84,340","LTCR",0.00752688172043017
"2017-12-23",0.002925,0.003389,0.002566,0.00276,"443","88,413","LTCR",-0.0564102564102565
"2017-12-22",0.004396,0.004441,0.002007,0.002898,"563","132,886","LTCR",-0.340764331210191
"2017-12-21",0.00275,0.004381,0.002588,0.004381,"767","83,112","LTCR",0.593090909090909
"2017-12-20",0.004197,0.00486,0.002477,0.002742,"1,032","126,876","LTCR",-0.346676197283774
"2017-12-19",0.005065,0.007236,0.003168,0.004201,"3,745","153,107","LTCR",-0.170582428430405
"2017-12-18",0.00758,0.007847,0.004232,0.005061,"3,975","229,125","LTCR",-0.332321899736148
"2017-12-17",0.003955,0.010197,0.003662,0.007557,"11,939","119,564","LTCR",0.910745891276865
"2017-12-16",0.004676,0.004888,0.003955,0.003955,"1,369","141,347","LTCR",-0.154191616766467
"2017-12-15",0.004391,0.006206,0.004383,0.00467,"2,245","132,721","LTCR",0.0635390571623775
"2017-12-14",0.005605,0.006637,0.003379,0.004384,"1,935","169,436","LTCR",-0.217841213202498
"2017-12-13",0.006831,0.007523,0.005836,0.005939,"2,350","206,475","LTCR",-0.130581174059435
"2017-12-12",0.008289,0.008796,0.006301,0.006825,"11,311","250,562","LTCR",-0.17661961635903
"2017-12-11",0.009711,0.013156,0.006596,0.008263,"77,144","293,543","LTCR",-0.149109257542992
"2017-12-10",0.002582,0.011308,0.001384,0.011308,"110,425","78,059","LTCR",3.37955073586367
"2017-12-09",0.002868,0.004221,0.002315,0.002571,"2,355","86,695","LTCR",-0.103556485355649
"2017-12-08",0.002648,0.003502,0.001576,0.002871,"814","80,053","LTCR",0.0842145015105739
"2017-12-07",0.00329,0.004326,0.002519,0.002642,"4,924","99,461","LTCR",-0.196960486322188
"2017-12-06",0.00498,0.006055,0.002379,0.003296,"16,132","150,545","LTCR",-0.338152610441767
"2017-12-05",0.003837,0.009617,0.002671,0.005453,"157,915","115,992","LTCR",0.421162366432108
"2017-12-04",0.000941,0.003933,0.000807,0.003598,"63,680","28,432","LTCR",2.82359192348565
"2017-12-03",0.000984,0.001773,0.000886,0.000937,"250","29,740","LTCR",-0.0477642276422765
"2017-12-02",0.001524,0.001537,0.000763,0.000983,"129","46,061","LTCR",-0.35498687664042
"2017-12-01",0.000899,0.001534,0.000851,0.001525,"419","27,186","LTCR",0.696329254727475
"2017-11-30",0.000882,0.000912,0.000733,0.000904,"222","26,647","LTCR",0.0249433106575964
"2017-11-29",8e-04,0.001031,8e-04,0.000868,"72","24,194","LTCR",0.0849999999999999
"2017-11-28",8e-04,0.001089,0.000776,0.000801,"370","24,184","LTCR",0.00124999999999989
"2017-11-27",0.000745,0.000966,0.000745,0.000798,"285","22,532","LTCR",0.0711409395973154
"2017-11-26",0.00079,0.000912,0.000723,0.000745,"8","23,880","LTCR",-0.0569620253164557
"2017-11-25",0.000903,0.000927,0.000672,0.00079,"522","27,299","LTCR",-0.125138427464009
"2017-11-24",0.000964,0.001001,0.000895,0.000905,"1","29,153","LTCR",-0.0612033195020747
"2017-11-23",0.000987,0.000992,0.000895,0.000966,"15","29,835","LTCR",-0.0212765957446809
"2017-11-22",0.000893,0.000995,0.000889,0.000987,"18","26,980","LTCR",0.105263157894737
"2017-11-21",0.000989,0.000991,0.000702,0.00089,"246","29,894","LTCR",-0.100101112234581
"2017-11-20",0.001207,0.001207,0.000874,0.000989,"42","36,470","LTCR",-0.180613090306545
"2017-11-19",0.000977,0.001217,0.00096,0.001207,"2","29,536","LTCR",0.235414534288639
"2017-11-18",0.000999,0.001014,0.000611,0.000979,"46","30,206","LTCR",-0.0200200200200201
"2017-11-17",0.000941,0.001037,0.000913,0.001003,"10","28,455","LTCR",0.0658873538788523
"2017-11-16",0.001168,0.00125,0.000871,0.000943,"103","35,321","LTCR",-0.19263698630137
"2017-11-15",0.001032,0.001392,0.000727,0.001162,"210","31,199","LTCR",0.125968992248062
"2017-11-14",0.000894,0.001037,0.000618,0.001031,"60","27,023","LTCR",0.15324384787472
"2017-11-13",0.000945,0.000971,0.000466,0.000892,"6","28,555","LTCR",-0.0560846560846561
"2017-11-12",0.000401,0.001521,0.00039,0.000943,"31","12,108","LTCR",1.35162094763092
"2017-11-11",0.001393,0.001603,0.000387,0.000401,"169","42,096","LTCR",-0.712132089016511
"2017-11-10",0.000642,0.001425,0.000504,0.001398,"39","19,394","LTCR",1.17757009345794
"2017-11-09",0.00073,0.000732,0.000499,0.00064,"86","22,069","LTCR",-0.123287671232877
"2017-11-08",0.000712,0.00093,0.000638,0.000731,"553","21,511","LTCR",0.026685393258427
"2017-11-07",0.001186,0.001459,0.000709,0.000714,"136","35,858","LTCR",-0.397976391231029
"2017-11-06",0.001283,0.001832,0.000764,0.001188,"396","38,778","LTCR",-0.0740452065471551
"2017-11-05",0.000516,0.001293,0.000441,0.00128,"55","15,609","LTCR",1.48062015503876
"2017-11-04",0.001348,0.001348,0.000287,0.000517,"38","40,737","LTCR",-0.61646884272997
"2017-11-03",0.000555,0.001787,0.000551,0.001351,"29","16,764","LTCR",1.43423423423423
"2017-11-02",0.002199,0.002413,0.000549,0.000555,"40","66,480","LTCR",-0.747612551159618
"2017-11-01",0.000311,0.002296,0.000309,0.002197,"2,302","9,411","LTCR",6.06430868167203
"2017-10-31",0.000577,0.000579,0.000304,0.000312,"76","17,455","LTCR",-0.459272097053726
"2017-10-30",0.001005,0.00102,0.000575,0.000579,"61","30,379","LTCR",-0.423880597014925
"2017-10-29",0.000652,0.001031,0.000583,0.001011,"61","19,704","LTCR",0.550613496932515
"2017-10-28",0.000403,0.000655,0.000401,0.000653,"27","12,195","LTCR",0.620347394540943
"2017-10-27",0.000755,0.000857,0.000402,0.000402,"2","22,821","LTCR",-0.467549668874172
"2017-10-26",0.000459,0.000757,0.000402,0.000755,"114","13,867","LTCR",0.644880174291939
"2017-10-25",0.000386,0.000499,0.000377,0.000459,"29","11,676","LTCR",0.189119170984456
"2017-10-24",0.000586,0.000634,0.000384,0.000386,"26","17,699","LTCR",-0.341296928327645
"2017-10-23",0.000628,0.00063,0.000547,0.000587,"23","18,969","LTCR",-0.0652866242038217
"2017-10-22",0.000804,0.000845,0.000628,0.000629,"14","24,315","LTCR",-0.217661691542289
"2017-10-21",0.000469,0.000926,0.000445,0.000804,"154","14,168","LTCR",0.714285714285714
"2017-10-20",0.000906,0.000909,0.000404,0.00047,"74","27,386","LTCR",-0.481236203090508
"2017-10-19",0.000279,0.000919,0.000277,0.000906,"23","8,445","LTCR",2.24731182795699
"2017-10-18",0.000672,0.000672,0.000257,0.000279,"278","20,316","LTCR",-0.584821428571428
"2017-10-17",0.00052,0.001357,0.000505,0.000672,"787","15,722","LTCR",0.292307692307692
"2017-10-16",0.000578,0.000581,0.000506,0.00052,"14","17,474","LTCR",-0.100346020761246
"2017-10-15",0.000733,0.000736,0.000556,0.000578,"59","22,165","LTCR",-0.211459754433834
"2017-10-14",0.001019,0.001029,0.000615,0.000732,"26","30,803","LTCR",-0.281648675171737
"2017-10-13",0.000979,0.001058,0.000973,0.001019,"132","29,603","LTCR",0.0408580183861082
"2017-10-12",0.000871,0.000976,0.000869,0.000976,"124","26,329","LTCR",0.120551090700344
"2017-10-11",0.00048,0.000966,0.000476,0.00087,"138","14,506","LTCR",0.8125
"2017-10-10",0.000672,0.000682,0.000476,0.00048,"96","20,307","LTCR",-0.285714285714286
