"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.103397,0.152857,0.102912,0.152857,"74,250","99,727","LTCU",0.478350435699295
"2018-01-09",0.103843,0.121906,0.100934,0.103267,"27,017","100,011","LTCU",-0.0055468351261039
"2018-01-08",0.100802,0.110297,0.093211,0.104145,"16,916","96,972","LTCU",0.0331640245233229
"2018-01-07",0.134246,0.142921,0.098467,0.108304,"20,617","129,145","LTCU",-0.193242256752529
"2018-01-06",0.124924,0.134105,0.096258,0.134105,"34,268","120,178","LTCU",0.0734926835515994
"2018-01-05",0.098686,0.12783,0.09239,0.118704,"23,819","94,659","LTCU",0.202845388403624
"2018-01-04",0.102897,0.121255,0.086943,0.091105,"17,837","97,989","LTCU",-0.114600036930134
"2018-01-03",0.092372,0.115718,0.082384,0.101217,"23,956","87,569","LTCU",0.0957541246265103
"2018-01-02",0.072866,0.095783,0.071596,0.092698,"14,584","68,764","LTCU",0.27217083413389
"2018-01-01",0.079565,0.086896,0.07047,0.078365,"13,470","74,561","LTCU",-0.0150820084207879
"2017-12-31",0.07669,0.08132,0.063583,0.079306,"14,158","71,422","LTCU",0.0341113574129614
"2017-12-30",0.085029,0.088356,0.058923,0.077949,"14,534","79,187","LTCU",-0.0832657093462229
"2017-12-29",0.087043,0.108642,0.079928,0.089757,"15,462","80,968","LTCU",0.0311799914984549
"2017-12-28",0.078849,0.096777,0.073169,0.092444,"9,409","73,085","LTCU",0.172418166368629
"2017-12-27",0.118687,0.123515,0.078125,0.079003,"14,526","109,786","LTCU",-0.334358438582153
"2017-12-26",0.088952,0.118441,0.082753,0.118441,"19,533","82,156","LTCU",0.331515873729652
"2017-12-25",0.094266,0.103627,0.083394,0.089029,"17,098","86,847","LTCU",-0.0555555555555556
"2017-12-24",0.074411,0.094985,0.068926,0.093365,"21,508","68,488","LTCU",0.254720404241308
"2017-12-23",0.070125,0.081306,0.064714,0.073446,"15,603","64,473","LTCU",0.0473582887700533
"2017-12-22",0.076843,0.077542,0.047643,0.069432,"15,503","70,650","LTCU",-0.0964433975768775
"2017-12-21",0.090127,0.092082,0.071034,0.076582,"24,382","82,863","LTCU",-0.150287927036293
"2017-12-20",0.102408,0.107746,0.085219,0.089957,"26,597","94,021","LTCU",-0.121582298257949
"2017-12-19",0.102637,0.11066,0.097203,0.101857,"19,380","93,862","LTCU",-0.00759959858530552
"2017-12-18",0.145382,0.161352,0.09253,0.103747,"29,494","132,734","LTCU",-0.286383458750052
"2017-12-17",0.116027,0.168645,0.102932,0.145453,"47,146","105,306","LTCU",0.253613383091866
"2017-12-16",0.141782,0.185076,0.084848,0.124231,"68,224","127,647","LTCU",-0.123788633253869
"2017-12-15",0.226798,0.226798,0.11612,0.146457,"147,663","203,234","LTCU",-0.354240337216378
"2017-12-14",0.061495,0.300171,0.057986,0.227425,"317,302","54,872","LTCU",2.69826815188227
"2017-12-13",0.065245,0.071946,0.055254,0.061668,"16,785","57,898","LTCU",-0.0548241244539811
"2017-12-12",0.065984,0.070704,0.050646,0.065271,"24,434","58,066","LTCU",-0.0108056498545103
"2017-12-11",0.09077,0.102968,0.058782,0.065819,"49,806","79,261","LTCU",-0.274881568800264
"2017-12-10",0.030701,0.114627,0.028839,0.097645,"83,654","26,639","LTCU",2.18051529266148
"2017-12-09",0.042269,0.042801,0.027572,0.030605,"8,004","36,677","LTCU",-0.275946911448106
"2017-12-08",0.056496,0.060717,0.035455,0.042247,"11,600","48,898","LTCU",-0.252212546020957
"2017-12-07",0.043509,0.057738,0.031909,0.056344,"26,920","37,522","LTCU",0.294996437518674
"2017-12-06",0.036542,0.042904,0.028176,0.042904,"12,807","31,404","LTCU",0.17410103442614
"2017-12-05",0.033556,0.043549,0.016055,0.036625,"66,080","28,647","LTCU",0.0914590535224698
