"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",34.57,34.95,28.7,30.45,"1,575,990","28,247,700","LUX",-0.119178478449523
"2018-01-09",23.94,38.79,22.83,35.22,"3,406,630","19,378,400","LUX",0.471177944862155
"2018-01-08",22.47,24.55,19.5,23.83,"1,811,610","18,008,100","LUX",0.0605251446372942
"2018-01-07",18.41,22.79,15.78,22.5,"2,474,260","14,604,900","LUX",0.222161868549701
"2018-01-06",13.66,23.32,13.22,18.61,"1,294,080","10,734,700","LUX",0.362371888726208
"2018-01-05",12.65,13.49,11.42,13.49,"838,278","9,836,640","LUX",0.066403162055336
"2018-01-04",11.34,13.03,10.09,12.73,"1,097,790","8,731,540","LUX",0.122574955908289
"2018-01-03",9.77,11.3,9.65,11.05,"913,649","7,444,500","LUX",0.131013306038895
"2018-01-02",9.11,10.64,8.34,9.81,"794,615","6,866,900","LUX",0.0768386388583975
"2018-01-01",9.41,10.18,7.9,9.17,"635,098","7,020,190","LUX",-0.0255047821466525
"2017-12-31",10.74,11.29,8.05,9.35,"1,285,890","7,930,780","LUX",-0.129422718808194
"2017-12-30",14.97,15,10.4,10.44,"1,415,890","10,924,200","LUX",-0.302605210420842
"2017-12-29",11.4,16.96,10.56,14.61,"2,474,190","8,222,080","LUX",0.281578947368421
"2017-12-28",8.13,11.18,8.09,11.18,"1,241,650","5,800,080","LUX",0.375153751537515
"2017-12-27",7.13,8.77,6.78,8.15,"491,914","5,030,300","LUX",0.143057503506311
"2017-12-26",6.89,8.38,5.71,7.02,"613,448","4,804,690","LUX",0.0188679245283019
"2017-12-25",5.47,6.98,5.1,6.98,"566,539","3,772,120","LUX",0.276051188299817
"2017-12-24",5.86,6.02,5.02,5.43,"121,020","3,997,250","LUX",-0.0733788395904438
"2017-12-23",5.44,6.68,5.15,5.8,"303,916","3,666,250","LUX",0.0661764705882352
"2017-12-22",5.3,6.06,3.7,5.62,"425,924","3,521,800","LUX",0.0603773584905661
"2017-12-21",5.44,6.14,4.62,5.28,"359,124","3,572,560","LUX",-0.0294117647058824
"2017-12-20",5.79,5.86,4.84,5.29,"230,072","3,756,050","LUX",-0.0863557858376511
"2017-12-19",6.77,6.78,5.34,5.81,"334,252","4,332,880","LUX",-0.141802067946824
"2017-12-18",5.22,7.06,4.72,6.76,"432,347","3,293,860","LUX",0.295019157088123
"2017-12-17",5.26,5.97,4.78,5.2,"262,896","3,280,700","LUX",-0.0114068441064638
"2017-12-16",4.74,6.17,4.74,5.64,"233,876","2,922,740","LUX",0.189873417721519
"2017-12-15",5.74,6.75,4.66,4.73,"291,374","3,492,640","LUX",-0.17595818815331
"2017-12-14",6.57,6.79,5.53,5.74,"294,388","3,942,350","LUX",-0.126331811263318
"2017-12-13",6.61,6.8,5.84,6.61,"350,746","3,912,040","LUX",0
"2017-12-12",6.23,7.69,6.02,6.61,"376,225","3,627,840","LUX",0.0609951845906902
"2017-12-11",6.41,7.56,5.72,6.21,"412,048","3,678,020","LUX",-0.031201248049922
"2017-12-10",8.24,8.31,5.44,6.92,"418,515","4,651,020","LUX",-0.160194174757282
"2017-12-09",7.41,8.5,6.51,7.96,"294,691","4,111,490","LUX",0.0742240215924426
"2017-12-08",8.16,9.85,6.85,7.42,"477,747","4,448,140","LUX",-0.0906862745098039
"2017-12-07",7.81,8.52,4.82,8.52,"810,347","4,186,800","LUX",0.0909090909090909
"2017-12-06",7.74,8.14,5.33,7.82,"1,045,670","4,080,360","LUX",0.0103359173126615
"2017-12-05",8.55,9.39,7.07,7.74,"1,277,350","4,428,240","LUX",-0.0947368421052632
"2017-12-04",4.27,9.08,4.25,8.84,"1,534,250","2,170,100","LUX",1.07025761124122
"2017-12-03",3.47,4.7,2.74,4.25,"722,336","1,733,080","LUX",0.22478386167147
"2017-12-02",1.78,4.26,1.74,3.3,"716,972","871,654","LUX",0.853932584269663
"2017-12-01",1.49,1.86,1.44,1.78,"52,449","717,214","LUX",0.194630872483222
"2017-11-30",1.31,1.89,1.3,1.5,"89,425","618,948","LUX",0.145038167938931
"2017-11-29",1.32,1.73,1.19,1.29,"56,551","609,038","LUX",-0.0227272727272727
"2017-11-28",1.21,1.35,1.17,1.35,"55,517","541,738","LUX",0.115702479338843
"2017-11-27",1.07,1.26,0.97715,1.21,"36,738","475,449","LUX",0.130841121495327
"2017-11-26",0.96664,1.23,0.830224,1.07,"63,944","420,356","LUX",0.106927087643797
"2017-11-25",0.959663,1.09,0.943095,0.968275,"20,477","408,226","LUX",0.00897398357548426
"2017-11-24",1.06,1.09,0.91117,0.961606,"23,568","441,461","LUX",-0.0928245283018869
"2017-11-23",1.17,1.27,1.05,1.05,"31,534","475,593","LUX",-0.102564102564102
"2017-11-22",1.16,1.3,1.04,1.17,"59,195","460,644","LUX",0.00862068965517242
"2017-11-21",1.17,1.26,1.09,1.17,"33,349","452,401","LUX",0
"2017-11-20",1.17,1.4,1.16,1.16,"66,386","442,646","LUX",-0.00854700854700855
"2017-11-19",1.14,1.37,1.01,1.17,"41,594","422,227","LUX",0.0263157894736842
"2017-11-18",1.46,1.58,1,1.16,"100,699","525,853","LUX",-0.205479452054795
"2017-11-17",1.57,1.74,1.46,1.47,"90,422","549,783","LUX",-0.0636942675159236
"2017-11-16",1.45,1.77,1.41,1.61,"112,419","494,290","LUX",0.110344827586207
"2017-11-15",1.19,1.87,1.18,1.44,"315,536","393,633","LUX",0.210084033613445
"2017-11-14",0.982698,1.39,0.760573,1.16,"341,924","315,339","LUX",0.18042369069643
"2017-11-13",0.795495,1.21,0.772773,0.980621,"45,059","247,427","LUX",0.232717993199203
"2017-11-12",1.02,1.17,0.71217,0.794338,"22,792","307,100","LUX",-0.221237254901961
"2017-11-11",1.27,1.36,0.661549,1.02,"16,977","370,872","LUX",-0.196850393700787
"2017-11-10",1.64,1.64,1.23,1.27,"12,170","462,778","LUX",-0.225609756097561
"2017-11-09",1.72,1.79,1.36,1.63,"28,155","469,351","LUX",-0.0523255813953489
"2017-11-08",1.66,1.83,1.59,1.72,"18,426","438,542","LUX",0.036144578313253
"2017-11-07",1.64,1.73,1.6,1.67,"6,905","414,535","LUX",0.0182926829268293
"2017-11-06",1.84,1.84,1.47,1.64,"10,947","447,337","LUX",-0.108695652173913
"2017-11-05",1.85,2.11,1.69,1.83,"14,343","431,413","LUX",-0.0108108108108108
"2017-11-04",1.66,2.22,1.6,2.22,"15,149","371,046","LUX",0.337349397590362
"2017-11-03",1.44,2.91,1.44,1.66,"15,817","-","LUX",0.152777777777778
"2017-11-02",1.78,1.8,1.34,1.44,"18,028","-","LUX",-0.191011235955056
"2017-11-01",2.18,2.45,0.855815,1.78,"36,310","-","LUX",-0.18348623853211
"2017-10-31",2.46,2.68,2.14,2.16,"30,974","-","LUX",-0.121951219512195
"2017-10-30",3.45,3.45,2.29,2.47,"43,509","-","LUX",-0.284057971014493
"2017-10-29",3.37,3.72,3.01,3.47,"57,616","-","LUX",0.0296735905044511
"2017-10-28",3.26,3.44,2.32,3.38,"55,256","-","LUX",0.0368098159509203
"2017-10-27",2.06,3.17,2.06,3.16,"42,049","-","LUX",0.533980582524272
