"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.035839,0.037135,0.027818,0.034796,"28,115","67,498","LVPS",-0.0291023745082174
"2018-01-09",0.032799,0.038363,0.030691,0.035793,"26,042","61,653","LVPS",0.0912832708314277
"2018-01-08",0.024591,0.033022,0.019503,0.032888,"17,109","46,140","LVPS",0.337399861738034
"2018-01-07",0.010496,0.027079,0.010083,0.024625,"38,047","19,655","LVPS",1.3461318597561
"2018-01-06",0.007522,0.011222,0.007123,0.010504,"5,935","14,056","LVPS",0.396437117787822
"2018-01-05",0.00501,0.010164,0.004961,0.007515,"2,085","9,354","LVPS",0.5
"2018-01-04",0.007449,0.007765,0.004359,0.005009,"3,122","13,882","LVPS",-0.327560746408914
"2018-01-03",0.009734,0.009968,0.005781,0.007409,"3,536","18,100","LVPS",-0.238853503184713
"2018-01-02",0.008641,0.009939,0.007634,0.00976,"310","16,035","LVPS",0.129498900590209
"2018-01-01",0.008532,0.009372,0.007208,0.008642,"2,255","15,801","LVPS",0.012892639474918
"2017-12-31",0.007374,0.009105,0.006548,0.008501,"598","13,630","LVPS",0.152834282614592
"2017-12-30",0.010407,0.010443,0.006476,0.007455,"738","19,197","LVPS",-0.283655232055347
"2017-12-29",0.007437,0.01106,0.007275,0.010424,"2,470","11,559","LVPS",0.401640446416566
"2017-12-28",0.008964,0.008995,0.005836,0.007365,"677","13,891","LVPS",-0.178380187416332
"2017-12-27",0.008029,0.008992,0.007557,0.008982,"88","12,412","LVPS",0.118694731597958
"2017-12-26",0.008202,0.008834,0.004735,0.008024,"1,388","12,649","LVPS",-0.0217020238966105
"2017-12-25",0.007325,0.009423,0.002696,0.00821,"2,844","11,269","LVPS",0.120819112627986
"2017-12-24",0.009932,0.009932,0.00661,0.00725,"1,039","15,246","LVPS",-0.270036246476037
"2017-12-23",0.008543,0.010555,0.008201,0.009824,"416","12,947","LVPS",0.149947325295564
"2017-12-22",0.010213,0.01058,0.007408,0.008463,"1,129","15,461","LVPS",-0.171350239890336
"2017-12-21",0.011373,0.012684,0.009105,0.010178,"3,099","17,211","LVPS",-0.10507341950233
"2017-12-20",0.013149,0.013149,0.010877,0.011344,"1,996","19,897","LVPS",-0.137272796410373
"2017-12-19",0.015114,0.015831,0.012722,0.013162,"3,066","22,872","LVPS",-0.129151779806802
"2017-12-18",0.016836,0.016836,0.013037,0.015112,"3,071","25,477","LVPS",-0.1023996198622
"2017-12-17",0.014409,0.017363,0.013207,0.016785,"9,123","21,805","LVPS",0.164896939412867
"2017-12-16",0.011445,0.014521,0.011254,0.014407,"3,207","17,319","LVPS",0.258802970729576
"2017-12-15",0.010445,0.016956,0.008648,0.011429,"13,644","15,805","LVPS",0.094207754906654
"2017-12-14",0.009842,0.010827,0.007448,0.010429,"1,094","14,894","LVPS",0.0596423491160334
"2017-12-13",0.009337,0.010741,0.007802,0.009873,"2,988","14,129","LVPS",0.0574060190639392
"2017-12-12",0.012291,0.013099,0.009292,0.009329,"4,139","18,599","LVPS",-0.240989341794809
"2017-12-11",0.010368,0.013632,0.008736,0.012251,"4,073","15,689","LVPS",0.181616512345679
"2017-12-10",0.008872,0.013363,0.007413,0.010443,"3,618","13,426","LVPS",0.177073940486925
"2017-12-09",0.011059,0.011223,0.007991,0.008836,"46","16,736","LVPS",-0.201012749796546
"2017-12-08",0.014405,0.01462,0.007042,0.011071,"3,434","21,799","LVPS",-0.231447414092329
"2017-12-07",0.012912,0.014371,0.009116,0.014371,"3,896","19,539","LVPS",0.112995662949195
"2017-12-06",0.011584,0.012952,0.009627,0.012934,"421","17,529","LVPS",0.116540055248619
"2017-12-05",0.011656,0.013175,0.008475,0.01161,"7,893","17,638","LVPS",-0.00394646533973912
"2017-12-04",0.007982,0.011633,0.00784,0.011633,"4,640","12,078","LVPS",0.457404159358557
"2017-12-03",0.007762,0.009575,0.007518,0.007955,"1,515","11,745","LVPS",0.0248647255861892
"2017-12-02",0.007946,0.009212,0.007158,0.007754,"3,293","12,024","LVPS",-0.0241631009312862
"2017-12-01",0.004997,0.007999,0.004944,0.007952,"192","7,561","LVPS",0.591354812887733
"2017-11-30",0.005406,0.005683,0.004499,0.005021,"53","8,180","LVPS",-0.0712171661117277
"2017-11-29",0.007446,0.007511,0.004728,0.005324,"5,078","11,268","LVPS",-0.284985226967499
"2017-11-28",0.009365,0.009409,0.007362,0.007453,"453","14,172","LVPS",-0.204164442071543
"2017-11-27",0.008099,0.009357,0.00659,0.009341,"2,620","12,255","LVPS",0.153352265711816
"2017-11-26",0.008483,0.008982,0.008016,0.008098,"1,888","12,824","LVPS",-0.0453848874219026
"2017-11-25",0.007146,0.009428,0.007102,0.008486,"1,293","10,799","LVPS",0.187517492303387
"2017-11-24",0.006831,0.008276,0.006703,0.00716,"1,500","10,083","LVPS",0.048162787293222
"2017-11-23",0.010245,0.010295,0.006841,0.006841,"2,432","13,016","LVPS",-0.332259638848219
"2017-11-22",0.007755,0.010298,0.006542,0.010248,"3,830","9,852","LVPS",0.32147001934236
"2017-11-21",0.006181,0.011845,0.004864,0.007737,"8,909","7,850","LVPS",0.251739200776573
"2017-11-20",0.004664,0.006214,0.004545,0.00618,"3,173","5,794","LVPS",0.325042881646655
"2017-11-19",0.004338,0.004993,0.004322,0.004667,"224","5,387","LVPS",0.0758414015675427
"2017-11-18",0.004278,0.005071,0.003888,0.004346,"366","5,311","LVPS",0.015895278167368
"2017-11-17",0.004157,0.00437,0.004009,0.004295,"126","5,158","LVPS",0.0331970170796248
"2017-11-16",0.00452,0.005043,0.004077,0.004164,"959","5,606","LVPS",-0.0787610619469026
"2017-11-15",0.004531,0.004783,0.004362,0.004496,"2,353","5,573","LVPS",-0.00772456411388221
"2017-11-14",0.00379,0.005064,0.003524,0.004528,"625","4,650","LVPS",0.194722955145119
"2017-11-13",0.003636,0.004639,0.003337,0.003782,"846","4,446","LVPS",0.0401540154015402
"2017-11-12",0.004672,0.004672,0.003507,0.003631,"119","5,710","LVPS",-0.222816780821918
"2017-11-11",0.005053,0.005234,0.004135,0.004675,"220","6,174","LVPS",-0.0748070453196121
"2017-11-10",0.004348,0.005211,0.004117,0.005071,"771","5,311","LVPS",0.166283348666053
