"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.12,1.12,0.978669,1.08,"7,472,350","508,801,000","MAID",-0.0357142857142857
"2018-01-09",1.07,1.2,0.971572,1.12,"10,738,300","486,266,000","MAID",0.0467289719626169
"2018-01-08",1.16,1.16,0.920687,1.07,"7,737,460","526,631,000","MAID",-0.0775862068965516
"2018-01-07",1.03,1.17,0.961676,1.16,"9,690,180","466,830,000","MAID",0.12621359223301
"2018-01-06",1.03,1.08,0.988484,1.03,"8,550,790","463,919,000","MAID",0
"2018-01-05",1.08,1.08,0.942726,1.03,"11,867,400","489,393,000","MAID",-0.0462962962962963
"2018-01-04",1.18,1.19,1.04,1.08,"9,415,190","533,485,000","MAID",-0.0847457627118643
"2018-01-03",1.1,1.18,1.06,1.17,"10,299,200","495,603,000","MAID",0.0636363636363635
"2018-01-02",1.11,1.2,1.07,1.1,"16,321,800","502,346,000","MAID",-0.00900900900900902
"2018-01-01",0.947069,1.18,0.904254,1.11,"22,130,000","428,599,000","MAID",0.172037095502017
"2017-12-31",0.790938,0.978784,0.772791,0.942026,"8,529,030","357,941,000","MAID",0.191023822347643
"2017-12-30",0.90003,0.90003,0.760572,0.797002,"5,621,330","407,311,000","MAID",-0.114471739830895
"2017-12-29",0.950701,0.955807,0.869612,0.900458,"6,611,900","430,242,000","MAID",-0.0528483718855876
"2017-12-28",1.03,1.04,0.868042,0.941318,"7,664,210","464,084,000","MAID",-0.0860990291262136
"2017-12-27",0.884755,1.17,0.851948,1.03,"15,336,900","400,398,000","MAID",0.164164090623958
"2017-12-26",0.902986,0.936109,0.812966,0.880317,"10,462,000","408,649,000","MAID",-0.0251044866697822
"2017-12-25",0.831789,0.942797,0.790565,0.897917,"9,676,770","376,428,000","MAID",0.0795009311255618
"2017-12-24",0.858159,0.858159,0.700278,0.827527,"8,922,650","388,362,000","MAID",-0.0356950168908093
"2017-12-23",0.682564,0.904377,0.666667,0.836992,"7,408,950","308,896,000","MAID",0.226246916040108
"2017-12-22",0.830924,0.848087,0.478662,0.675363,"7,830,560","376,036,000","MAID",-0.187214474488642
"2017-12-21",0.777542,0.875056,0.765687,0.828348,"10,238,100","351,878,000","MAID",0.0653418079023384
"2017-12-20",0.746593,0.828501,0.62677,0.776093,"9,962,100","337,872,000","MAID",0.0395128269351576
"2017-12-19",0.793477,0.845347,0.697045,0.748079,"8,000,760","359,090,000","MAID",-0.0572140087236302
"2017-12-18",0.669955,0.82458,0.660709,0.807505,"9,819,730","303,190,000","MAID",0.205312297094581
"2017-12-17",0.553266,0.696569,0.551511,0.66278,"4,760,390","250,382,000","MAID",0.197940954260699
