"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.287031,0.395279,0.222769,0.276681,"114,816","14,351,600","MBRS",-0.036058822914598
"2018-01-09",0.181831,0.426899,0.175428,0.279477,"181,667","9,091,550","MBRS",0.537015140432599
"2018-01-08",0.174713,0.18233,0.13481,0.18233,"145,453","8,735,640","MBRS",0.0435972137162088
"2018-01-07",0.150061,0.189805,0.1495,0.174755,"59,081","7,503,060","MBRS",0.164559745703414
"2018-01-06",0.149305,0.189356,0.138004,0.150157,"57,899","7,465,260","MBRS",0.00570643983791581
"2018-01-05",0.124965,0.18075,0.12128,0.14918,"89,209","6,248,230","MBRS",0.193774256791902
"2018-01-04",0.096124,0.124981,0.088325,0.124981,"73,614","4,806,220","MBRS",0.300205983937414
"2018-01-03",0.110689,0.120792,0.092997,0.095624,"28,757","5,534,460","MBRS",-0.136102051694387
"2018-01-02",0.088049,0.136633,0.084442,0.105757,"145,156","4,402,440","MBRS",0.201115288078229
"2018-01-01",0.111151,0.111151,0.080192,0.087999,"13,159","5,557,570","MBRS",-0.208293222733039
"2017-12-31",0.098153,0.112759,0.092668,0.110723,"34,702","4,907,630","MBRS",0.128065367334671
"2017-12-30",0.11027,0.110283,0.086438,0.098569,"45,009","5,513,490","MBRS",-0.106112269883014
"2017-12-29",0.10569,0.113207,0.082767,0.110508,"78,814","5,284,510","MBRS",0.0455861481691739
"2017-12-28",0.083966,0.104679,0.075977,0.104679,"65,163","4,198,290","MBRS",0.246683181287664
"2017-12-27",0.057385,0.148671,0.052698,0.082678,"203,121","2,869,260","MBRS",0.440759780430426
"2017-12-26",0.045094,0.058497,0.042734,0.057369,"13,273","2,254,710","MBRS",0.272209163081563
"2017-12-25",0.052674,0.053596,0.041786,0.045129,"4,058","2,633,710","MBRS",-0.143239548923568
"2017-12-24",0.050049,0.053486,0.034004,0.052226,"6,940","2,502,460","MBRS",0.0434973725748766
"2017-12-23",0.037512,0.05705,0.030214,0.051199,"18,488","1,875,610","MBRS",0.364869908296012
