"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.6314,0.634441,0.56332,0.626566,"129,820","6,623,390","MCAP",-0.00765600253405132
"2018-01-09",0.633373,0.668205,0.600866,0.63062,"101,806","6,644,080","MCAP",-0.00434656987272903
"2018-01-08",0.697987,0.697987,0.594255,0.625173,"170,608","7,321,880","MCAP",-0.104319994498465
"2018-01-07",0.70021,0.727416,0.656898,0.692052,"117,922","7,345,200","MCAP",-0.0116507904771426
"2018-01-06",0.712644,0.720289,0.646799,0.700729,"202,849","7,475,630","MCAP",-0.0167194279331616
"2018-01-05",0.631989,0.725074,0.62643,0.712195,"130,102","6,629,570","MCAP",0.126910436732285
"2018-01-04",0.688047,0.714598,0.607831,0.631863,"182,953","7,217,620","MCAP",-0.0816572123706666
"2018-01-03",0.631483,0.896831,0.607583,0.684334,"180,815","6,624,260","MCAP",0.0836934644321383
"2018-01-02",0.576237,0.639115,0.547427,0.633506,"152,634","6,044,720","MCAP",0.0993844546601485
"2018-01-01",0.596213,0.61696,0.545271,0.576237,"112,412","6,254,280","MCAP",-0.0335048044910124
"2017-12-31",0.545625,0.60505,0.537319,0.594208,"71,414","5,723,610","MCAP",0.0890410080183275
"2017-12-30",0.595899,0.614154,0.527123,0.551351,"110,508","6,250,980","MCAP",-0.0747576351025928
"2017-12-29",0.59566,0.636497,0.588758,0.597306,"113,509","6,248,470","MCAP",0.00276332135782164
"2017-12-28",0.657243,0.660913,0.561556,0.589884,"118,629","6,894,480","MCAP",-0.102487207927662
"2017-12-27",0.691242,0.729317,0.626086,0.658573,"143,407","7,251,130","MCAP",-0.0472613064599663
"2017-12-26",0.618224,0.723041,0.618224,0.690726,"171,734","6,485,170","MCAP",0.117274644788944
"2017-12-25",0.775147,0.794355,0.607599,0.615581,"173,221","8,131,290","MCAP",-0.205852567319489
"2017-12-24",0.797194,0.797194,0.69245,0.767685,"750,016","8,362,560","MCAP",-0.0370160839143295
"2017-12-23",0.75858,0.855441,0.750583,0.788923,"786,522","7,957,510","MCAP",0.0399997363494951
"2017-12-22",0.855526,0.864114,0.634746,0.75187,"740,317","8,974,460","MCAP",-0.121160549182608
"2017-12-21",0.904317,0.952061,0.828827,0.852692,"856,824","9,486,290","MCAP",-0.0570872824463103
"2017-12-20",0.965789,0.972219,0.867029,0.902062,"873,537","10,131,100","MCAP",-0.0659843920359416
"2017-12-19",0.893827,1.04,0.776551,0.9667,"941,441","9,376,240","MCAP",0.0815291997220938
"2017-12-18",1.03,1.03,0.839061,0.893127,"1,360,340","10,795,300","MCAP",-0.13288640776699
"2017-12-17",1.19,1.22,0.984859,1.01,"1,745,670","12,466,700","MCAP",-0.151260504201681
"2017-12-16",1.18,1.27,1.17,1.18,"637,347","12,409,700","MCAP",0
"2017-12-15",1.15,1.22,1.14,1.18,"614,982","12,036,300","MCAP",0.0260869565217392
"2017-12-14",1.04,1.29,1.02,1.15,"1,551,720","10,925,900","MCAP",0.105769230769231
"2017-12-13",1.44,1.46,1.02,1.04,"823,396","15,121,100","MCAP",-0.277777777777778
"2017-12-12",1.41,1.48,1.38,1.44,"826,370","14,806,300","MCAP",0.0212765957446809
"2017-12-11",1.27,1.46,1.22,1.41,"798,241","13,296,600","MCAP",0.110236220472441
"2017-12-10",1.13,1.33,1.01,1.29,"660,036","43,464,600","MCAP",0.141592920353982
"2017-12-09",1.27,1.29,1.03,1.13,"430,274","48,562,200","MCAP",-0.110236220472441
"2017-12-08",1.41,1.53,1.12,1.27,"1,621,570","54,172,300","MCAP",-0.0992907801418439
"2017-12-07",1.39,1.5,1.31,1.44,"2,528,800","53,374,300","MCAP",0.0359712230215828
"2017-12-06",1.37,1.44,1.23,1.4,"1,806,440","52,368,700","MCAP",0.021897810218978
"2017-12-05",1.23,1.41,1.2,1.37,"1,612,280","47,293,300","MCAP",0.113821138211382
"2017-12-04",0.932117,1.38,0.922743,1.23,"4,522,140","35,696,000","MCAP",0.31957683423862
"2017-12-03",0.805254,0.97207,0.78161,0.931499,"1,487,170","30,837,700","MCAP",0.156776619551098
"2017-12-02",0.778193,0.846176,0.702952,0.8045,"1,368,940","29,801,400","MCAP",0.0338052385462218
"2017-12-01",0.546874,0.954695,0.528098,0.777572,"2,662,280","20,942,900","MCAP",0.421848542808764
"2017-11-30",0.510807,0.58038,0.498441,0.549536,"818,008","19,561,700","MCAP",0.0758192428842988
"2017-11-29",0.494377,0.585851,0.442051,0.503148,"711,861","18,932,500","MCAP",0.0177415211468172
"2017-11-28",0.544768,0.544768,0.445276,0.494861,"721,514","20,862,200","MCAP",-0.0916114749765038
"2017-11-27",0.381716,0.570731,0.376628,0.541163,"1,424,400","14,618,100","MCAP",0.417711073153863
"2017-11-26",0.328483,0.502399,0.311819,0.382976,"758,183","12,579,500","MCAP",0.165892907699942
"2017-11-25",0.362651,0.378855,0.311584,0.331114,"607,205","13,887,900","MCAP",-0.0869623963535189
"2017-11-24",0.364187,0.370933,0.351576,0.363358,"167,246","13,946,800","MCAP",-0.0022763031080186
"2017-11-23",0.361445,0.371394,0.357266,0.364773,"161,287","13,841,700","MCAP",0.009207486616221
"2017-11-22",0.358003,0.40044,0.327685,0.361502,"175,993","13,709,900","MCAP",0.00977366111457159
"2017-11-21",0.383825,0.401398,0.345368,0.357159,"216,414","14,698,800","MCAP",-0.0694743698300007
"2017-11-20",0.429686,0.472764,0.3629,0.383763,"752,238","16,455,100","MCAP",-0.106875718547963
"2017-11-19",0.528648,0.542826,0.270313,0.373078,"1,255,490","20,244,900","MCAP",-0.294278990935367
"2017-11-18",0.476782,0.538648,0.45888,0.529617,"611,216","18,258,700","MCAP",0.11081584455789
"2017-11-17",0.58746,0.609324,0.443288,0.483606,"897,679","22,497,100","MCAP",-0.176784802369523
"2017-11-16",0.488078,1.03,0.461647,0.588252,"2,674,980","18,691,300","MCAP",0.205241785124509
"2017-11-15",0.254115,0.528826,0.250629,0.486011,"1,762,360","9,731,490","MCAP",0.91256320957047
"2017-11-14",0.195388,0.315261,0.167768,0.247135,"1,068,950","7,482,530","MCAP",0.264842262574979
"2017-11-13",0.331098,0.375707,0.182927,0.183791,"1,233,080","12,679,600","MCAP",-0.444904529776682
"2017-11-12",0.466931,0.475785,0.319586,0.330629,"669,664","17,881,400","MCAP",-0.291910367913032
"2017-11-11",0.730512,0.740216,0.393784,0.458892,"1,161,340","27,975,400","MCAP",-0.371821407451212
"2017-11-10",1.12,1.12,0.402717,0.697662,"1,889,840","42,986,000","MCAP",-0.3770875
"2017-11-09",1.5,1.55,0.670849,1.12,"2,643,230","57,572,800","MCAP",-0.253333333333333
"2017-11-08",1.37,1.94,1.37,1.52,"1,732,550","52,524,200","MCAP",0.10948905109489
"2017-11-07",1.28,1.49,1.24,1.37,"1,057,010","49,184,900","MCAP",0.0703125000000001
