"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.011969,0.016436,0.004573,0.006263,"109,594","4,804,660","MCRN",-0.476731556521013
"2018-01-09",0.00254,0.04019,0.002401,0.011956,"346,433","1,019,640","MCRN",3.70708661417323
"2018-01-08",0.004825,0.007533,0.002119,0.002423,"243,556","1,936,740","MCRN",-0.497823834196891
"2018-01-07",0.003684,0.005004,0.002603,0.004831,"15,534","1,478,920","MCRN",0.311346362649294
"2018-01-06",0.002614,0.003695,0.00205,0.003687,"2,717","1,049,240","MCRN",0.410482019892885
"2018-01-05",0.003316,0.003474,0.00198,0.002612,"3,395","1,331,040","MCRN",-0.212303980699638
"2018-01-04",0.003645,0.003929,0.002082,0.003311,"3,754","1,463,020","MCRN",-0.0916323731138545
"2018-01-03",0.003015,0.003634,0.002496,0.003626,"3,422","1,210,240","MCRN",0.202653399668325
"2018-01-02",0.00138,0.003029,0.001317,0.00302,"3,029","554,129","MCRN",1.18840579710145
"2018-01-01",0.001366,0.002129,0.001312,0.001381,"1,123","548,523","MCRN",0.0109809663250366
"2017-12-31",0.001552,0.001966,0.001282,0.001361,"333","622,994","MCRN",-0.123067010309278
"2017-12-30",0.002231,0.002238,0.00122,0.001568,"865","895,502","MCRN",-0.297176154190946
"2017-12-29",0.001076,0.002638,0.001046,0.002236,"4,975","431,995","MCRN",1.07806691449814
"2017-12-28",0.000871,0.001483,0.000852,0.001065,"2,650","349,532","MCRN",0.222732491389208
"2017-12-27",0.000765,0.001579,0.00076,0.000897,"573","307,220","MCRN",0.172549019607843
"2017-12-26",0.001117,0.001133,0.000509,0.000765,"1,003","448,426","MCRN",-0.315129811996419
"2017-12-25",0.00088,0.001367,0.00072,0.001118,"2,741","353,056","MCRN",0.270454545454546
"2017-12-24",0.001256,0.001256,0.000531,0.000871,"3,352","504,203","MCRN",-0.306528662420382
"2017-12-23",0.001151,0.002198,0.001112,0.001242,"6,411","462,181","MCRN",0.0790616854908776
"2017-12-22",0.000912,0.001324,0.000757,0.001139,"2,236","365,997","MCRN",0.24890350877193
"2017-12-21",0.000262,0.001228,0.000168,0.000909,"2,705","105,006","MCRN",2.46946564885496
"2017-12-20",0.000542,0.000652,0.000255,0.000261,"126","217,598","MCRN",-0.518450184501845
"2017-12-19",0.000563,0.000935,0.000532,0.000543,"411","225,841","MCRN",-0.0355239786856129
"2017-12-18",0.000361,0.001205,0.000351,0.000562,"951","144,848","MCRN",0.556786703601108
"2017-12-17",0.000214,0.000821,0.000212,0.00036,"208","85,980","MCRN",0.682242990654206
"2017-12-16",0.00071,0.000724,0.000188,0.000214,"242","285,168","MCRN",-0.698591549295775
"2017-12-15",0.000498,0.000735,0.000498,0.00071,"66","199,759","MCRN",0.42570281124498
"2017-12-14",0.000167,0.000503,0.000165,0.000497,"17","67,024","MCRN",1.97604790419162
"2017-12-13",0.000518,0.000525,0.000163,0.000168,"1,676","208,049","MCRN",-0.675675675675676
"2017-12-12",0.000318,0.000526,0.000174,0.000518,"9","127,778","MCRN",0.628930817610063
"2017-12-11",0.000452,0.000977,0.000281,0.000318,"5","181,506","MCRN",-0.29646017699115
"2017-12-10",0.000467,0.00047,0.000403,0.000455,"26","187,573","MCRN",-0.0256959314775161
"2017-12-09",0.000163,0.000476,0.000157,0.000466,"27","65,287","MCRN",1.85889570552147
"2017-12-08",0.000231,0.000234,0.00016,0.000163,"87","92,691","MCRN",-0.294372294372294
"2017-12-07",0.000165,0.000284,0.000136,0.00023,"509","66,103","MCRN",0.393939393939394
"2017-12-06",0.000117,0.000165,0.000117,0.000165,"165","46,969","MCRN",0.41025641025641
"2017-12-05",0.000443,0.000445,0.000116,0.000117,"866","178,016","MCRN",-0.735891647855531
"2017-12-04",0.000418,0.000443,0.000323,0.000443,"58","167,611","MCRN",0.0598086124401913
"2017-12-03",0.000171,0.00056,0.00017,0.000416,"49","68,649","MCRN",1.4327485380117
"2017-12-02",0.000212,0.00042,0.000168,0.000171,"412","84,926","MCRN",-0.193396226415094
"2017-12-01",0.000152,0.000225,0.000107,0.000212,"1,956","61,084","MCRN",0.394736842105263
"2017-11-30",0.000301,0.000321,0.00015,0.000153,"404","121,027","MCRN",-0.491694352159468
"2017-11-29",0.000345,0.000354,0.000218,0.000297,"218","138,597","MCRN",-0.139130434782609
"2017-11-28",9.9e-05,0.000577,9.8e-05,0.000346,"1,143","39,575","MCRN",2.4949494949495
"2017-11-27",0.000219,0.000222,9.6e-05,9.8e-05,"256","87,895","MCRN",-0.552511415525114
"2017-11-26",0.00013,0.000405,0.000129,0.000219,"110","52,377","MCRN",0.684615384615385
"2017-11-25",8.4e-05,0.000166,8.4e-05,0.000131,"145","33,559","MCRN",0.55952380952381
"2017-11-24",0.000146,0.000147,8.4e-05,8.4e-05,"563","58,574","MCRN",-0.424657534246575
"2017-11-23",0.000183,0.000239,0.000105,0.000146,"199","73,624","MCRN",-0.202185792349727
"2017-11-22",0.000213,0.000215,9.2e-05,0.000183,"133","85,515","MCRN",-0.140845070422535
"2017-11-21",0.000323,0.000324,0.000173,0.000213,"16","129,846","MCRN",-0.340557275541796
"2017-11-20",0.000209,0.000325,0.000208,0.000324,"45","83,799","MCRN",0.550239234449761
"2017-11-19",0.000172,0.000314,0.000169,0.000209,"22","68,847","MCRN",0.215116279069767
"2017-11-18",0.000275,0.000359,0.00017,0.000172,"59","110,380","MCRN",-0.374545454545455
"2017-11-17",0.00018,0.000457,0.000112,0.000276,"93","72,447","MCRN",0.533333333333333
"2017-11-16",0.000146,0.000181,7.4e-05,0.000181,"40","58,632","MCRN",0.23972602739726
"2017-11-15",0.000207,0.000213,7.2e-05,0.000145,"331","83,186","MCRN",-0.29951690821256
"2017-11-14",0.000174,0.000271,0.00015,0.000207,"119","69,719","MCRN",0.189655172413793
"2017-11-13",0.000117,0.000288,0.000117,0.000173,"24","46,993","MCRN",0.478632478632479
"2017-11-12",0.000127,0.000127,5.6e-05,0.000117,"72","51,118","MCRN",-0.078740157480315
"2017-11-11",0.000131,0.000135,6.3e-05,0.000127,"469","52,786","MCRN",-0.0305343511450383
"2017-11-10",0.000111,0.000177,9.4e-05,0.000132,"58","44,491","MCRN",0.189189189189189
"2017-11-09",0.000287,0.000287,0.000109,0.000111,"90","115,309","MCRN",-0.613240418118467
"2017-11-08",7.7e-05,0.000287,7.6e-05,0.000287,"15","30,774","MCRN",2.72727272727273
"2017-11-07",7.4e-05,0.000143,7.3e-05,7.7e-05,"185","29,534","MCRN",0.0405405405405406
"2017-11-06",9.2e-05,0.000163,7e-05,7.4e-05,"171","36,944","MCRN",-0.195652173913044
"2017-11-05",0.000372,0.000373,8.4e-05,9.2e-05,"80","149,274","MCRN",-0.752688172043011
"2017-11-04",0.000187,0.000376,0.000143,0.000373,"52","75,242","MCRN",0.994652406417113
"2017-11-03",0.000611,0.000611,9.2e-05,0.000188,"1,692","245,328","MCRN",-0.692307692307692
"2017-11-02",0.000773,0.001385,0.000434,0.00061,"235","310,280","MCRN",-0.210866752910737
"2017-11-01",0.000248,0.001736,0.000166,0.000778,"92","99,712","MCRN",2.13709677419355
"2017-10-31",6.9e-05,0.000271,6.8e-05,0.000249,"29","27,571","MCRN",2.60869565217391
"2017-10-30",0.00013,0.00013,6.8e-05,6.9e-05,"27","52,120","MCRN",-0.469230769230769
"2017-10-29",0.000238,0.000239,5.7e-05,0.000131,"235","95,670","MCRN",-0.449579831932773
"2017-10-28",0.000131,0.000325,0.000131,0.000239,"33","52,466","MCRN",0.82442748091603
"2017-10-27",0.000118,0.000131,5.7e-05,0.00013,"13","47,262","MCRN",0.101694915254237
"2017-10-26",0.000229,0.000232,5.9e-05,0.000118,"22","92,076","MCRN",-0.48471615720524
