"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.19,3.89,3.01,3.63,"6,375,900","62,537,400","MDA",0.137931034482759
"2018-01-09",3.32,3.48,2.96,3.23,"4,130,000","65,175,000","MDA",-0.0271084337349397
"2018-01-08",3.95,3.99,2.64,3.31,"5,730,780","77,493,900","MDA",-0.162025316455696
"2018-01-07",4.04,4.12,3.56,3.9,"5,759,600","79,365,000","MDA",-0.0346534653465347
"2018-01-06",3.58,4.31,3.49,4.04,"9,329,990","70,188,000","MDA",0.128491620111732
"2018-01-05",3.44,4.89,3.04,3.56,"12,542,100","67,530,500","MDA",0.0348837209302326
"2018-01-04",2.69,3.75,2.57,3.46,"7,614,380","52,719,300","MDA",0.286245353159851
"2018-01-03",2.26,2.76,2.21,2.7,"4,374,890","44,275,300","MDA",0.194690265486726
"2018-01-02",2.33,2.57,2.15,2.28,"3,992,410","45,643,800","MDA",-0.0214592274678113
"2018-01-01",2.25,2.47,2.12,2.33,"2,147,510","44,194,900","MDA",0.0355555555555556
"2017-12-31",1.82,2.34,1.8,2.25,"6,125,180","35,635,600","MDA",0.236263736263736
"2017-12-30",1.93,1.93,1.64,1.83,"2,092,840","37,924,700","MDA",-0.0518134715025906
"2017-12-29",1.96,2.07,1.85,1.93,"1,605,790","38,514,600","MDA",-0.0153061224489796
"2017-12-28",2.11,2.12,1.78,1.93,"1,146,140","41,462,000","MDA",-0.0853080568720379
"2017-12-27",2.18,2.23,2.01,2.12,"1,151,070","42,820,300","MDA",-0.0275229357798165
"2017-12-26",2.44,2.5,2.04,2.18,"1,958,960","47,942,600","MDA",-0.10655737704918
"2017-12-25",2.16,2.46,2.05,2.42,"2,051,250","42,366,500","MDA",0.12037037037037
"2017-12-24",2.05,2.3,1.75,2.15,"2,739,070","40,310,100","MDA",0.0487804878048781
"2017-12-23",1.94,2.19,1.79,2.02,"1,632,050","38,081,000","MDA",0.0412371134020619
"2017-12-22",2.35,2.38,1.45,1.92,"2,465,380","46,098,300","MDA",-0.182978723404255
"2017-12-21",2.18,2.68,2.11,2.36,"4,695,220","42,761,900","MDA",0.0825688073394494
"2017-12-20",1.95,2.44,1.77,2.18,"3,892,740","38,264,000","MDA",0.117948717948718
"2017-12-19",2.31,2.33,1.89,1.95,"2,908,320","45,352,300","MDA",-0.155844155844156
"2017-12-18",1.93,2.33,1.75,2.31,"4,458,200","37,834,400","MDA",0.196891191709845
"2017-12-17",1.74,2.34,1.73,1.89,"4,684,100","34,105,800","MDA",0.0862068965517241
"2017-12-16",1.4,1.76,1.4,1.68,"3,156,960","27,515,400","MDA",0.2
"2017-12-15",1.57,1.57,1.33,1.4,"2,003,620","30,735,700","MDA",-0.10828025477707
"2017-12-14",1.4,1.63,1.27,1.56,"2,969,390","27,392,200","MDA",0.114285714285714
"2017-12-13",1.7,1.7,1.31,1.4,"1,299,150","33,406,200","MDA",-0.176470588235294
"2017-12-12",1.47,1.75,1.29,1.72,"3,076,450","28,911,700","MDA",0.170068027210884
"2017-12-11",1.34,1.48,1.31,1.48,"1,141,460","26,289,500","MDA",0.104477611940298
"2017-12-10",1.44,1.48,1.27,1.36,"1,150,370","28,315,000","MDA",-0.0555555555555555
"2017-12-09",1.39,1.53,1.35,1.44,"1,409,480","27,360,200","MDA",0.0359712230215828
"2017-12-08",1.36,1.45,1.23,1.39,"1,273,400","26,708,000","MDA",0.0220588235294116
"2017-12-07",1.43,1.9,1.33,1.36,"2,830,190","28,163,900","MDA",-0.0489510489510488
"2017-12-06",1.43,1.57,1.27,1.44,"2,034,100","27,991,500","MDA",0.006993006993007
"2017-12-05",1.41,1.53,1.35,1.43,"1,546,780","27,721,500","MDA",0.0141843971631206
"2017-12-04",1.51,1.62,1.32,1.41,"1,153,120","29,628,400","MDA",-0.066225165562914
"2017-12-03",1.33,1.7,1.32,1.51,"1,488,680","26,098,800","MDA",0.135338345864662
"2017-12-02",1.42,1.46,1.26,1.33,"942,914","27,817,900","MDA",-0.0633802816901407
"2017-12-01",1.4,1.47,1.28,1.43,"1,072,730","27,539,100","MDA",0.0214285714285714
"2017-11-30",1.37,1.57,1.17,1.41,"1,343,860","26,835,500","MDA",0.0291970802919707
"2017-11-29",1.58,1.64,1.33,1.38,"2,298,990","31,099,000","MDA",-0.126582278481013
"2017-11-28",1.85,1.85,1.54,1.58,"2,114,360","36,344,100","MDA",-0.145945945945946
"2017-11-27",1.95,2.04,1.78,1.85,"2,063,160","38,187,500","MDA",-0.0512820512820512
"2017-11-26",1.91,2.11,1.81,1.97,"4,843,330","37,416,800","MDA",0.0314136125654451
"2017-11-25",2,2.03,1.74,1.9,"3,041,690","39,224,100","MDA",-0.05
"2017-11-24",1.88,2.05,1.7,2,"3,800,480","36,821,700","MDA",0.0638297872340426
"2017-11-23",1.99,2.07,1.72,1.87,"5,667,880","39,111,500","MDA",-0.0603015075376884
"2017-11-22",1.93,2.18,1.78,1.99,"5,536,330","37,979,600","MDA",0.0310880829015544
"2017-11-21",1.53,2.27,1.41,1.95,"8,176,060","29,935,600","MDA",0.274509803921569
"2017-11-20",1.32,1.6,1.29,1.55,"3,048,140","25,884,200","MDA",0.174242424242424
"2017-11-19",1.32,1.49,1.28,1.32,"1,851,650","25,819,000","MDA",0
"2017-11-18",1.24,1.36,1.23,1.32,"1,180,340","24,284,800","MDA",0.0645161290322581
"2017-11-17",1.24,1.26,1.15,1.24,"1,267,030","24,323,300","MDA",0
"2017-11-16",1.26,1.29,1.21,1.24,"1,400,480","24,808,100","MDA",-0.0158730158730159
"2017-11-15",1.34,1.39,1.2,1.22,"1,234,780","26,366,200","MDA",-0.0895522388059702
