"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.019698,0.019742,0.011979,0.017044,"4,915","212,543","MILO",-0.13473449081125
"2018-01-09",0.011874,0.019655,0.010418,0.019655,"31,594","128,123","MILO",0.65529728819269
"2018-01-08",0.008826,0.036952,0.006247,0.011907,"12,519","95,232","MILO",0.349082256968049
"2018-01-07",0.013041,0.015292,0.008838,0.008838,"1,769","140,717","MILO",-0.322291235334714
"2018-01-06",0.018947,0.019319,0.01059,0.013051,"1,847","204,437","MILO",-0.311183828574444
"2018-01-05",0.013144,0.01942,0.007959,0.018932,"4,807","141,819","MILO",0.440353012781497
"2018-01-04",0.015206,0.018708,0.007617,0.013141,"3,708","164,078","MILO",-0.135801657240563
"2018-01-03",0.012024,0.021513,0.011519,0.015124,"15,774","129,736","MILO",0.257817697937458
"2018-01-02",0.005064,0.037588,0.003416,0.012067,"53,264","54,640","MILO",1.38289889415482
"2018-01-01",0.003888,0.005231,0.003746,0.005064,"111","41,948","MILO",0.302469135802469
"2017-12-31",0.004958,0.005526,0.003873,0.003873,"23","53,499","MILO",-0.218838241226301
"2017-12-30",0.004204,0.005162,0.003221,0.005012,"1,107","45,359","MILO",0.192197906755471
"2017-12-29",0.00384,0.004258,0.00375,0.004214,"3","41,434","MILO",0.0973958333333333
"2017-12-28",0.00523,0.005253,0.00355,0.003801,"12","56,437","MILO",-0.273231357552581
"2017-12-27",0.004276,0.005685,0.003265,0.005241,"137","46,138","MILO",0.225678203928905
"2017-12-26",0.0039,0.004489,0.003884,0.004273,"14","42,084","MILO",0.0956410256410257
"2017-12-25",0.004062,0.004178,0.003827,0.003904,"61","43,833","MILO",-0.0388970950270802
"2017-12-24",0.003187,0.004021,0.002983,0.004021,"131","34,384","MILO",0.2616881079385
"2017-12-23",0.002367,0.003697,0.001969,0.003152,"49","25,538","MILO",0.331643430502746
"2017-12-22",0.002578,0.002603,0.001062,0.002345,"144","27,816","MILO",-0.0903801396431343
"2017-12-21",0.002637,0.003968,0.002482,0.002569,"55","28,457","MILO",-0.0257868790291998
"2017-12-20",0.004559,0.004615,0.002522,0.00263,"15","49,188","MILO",-0.423119105066901
"2017-12-19",0.003401,0.004803,0.002813,0.004563,"25","36,699","MILO",0.341664216406939
"2017-12-18",0.010737,0.013249,0.003119,0.003398,"889","115,850","MILO",-0.683524261898109
"2017-12-17",0.002946,0.011049,0.002516,0.010704,"2,266","31,788","MILO",2.63340122199593
"2017-12-16",0.003531,0.004045,0.002906,0.002946,"137","38,104","MILO",-0.165675446049278
"2017-12-12",0.00101,0.001066,0.000987,0.001042,"17","10,900","MILO",0.0316831683168316
"2017-12-11",0.001034,0.00104,0.001007,0.001007,"17","11,156","MILO",-0.0261121856866537
"2017-12-10",0.002857,0.002857,0.002515,0.002515,"6","30,828","MILO",-0.119705985299265
"2017-12-09",0.00309,0.003136,0.002063,0.002846,"7","33,342","MILO",-0.0789644012944983
"2017-12-08",0.003143,0.00319,0.001673,0.003093,"2","33,916","MILO",-0.0159083678014636
"2017-12-07",0.002335,0.003211,0.001905,0.003136,"134","25,196","MILO",0.343040685224839
"2017-12-06",0.001483,0.00242,0.001483,0.002339,"416","16,001","MILO",0.577208361429535
"2017-12-05",0.002646,0.002752,0.001485,0.001486,"620","28,551","MILO",-0.438397581254724
"2017-12-04",0.002644,0.002781,0.002481,0.002641,"47","28,528","MILO",-0.00113464447806353
"2017-12-03",0.001994,0.002829,0.001966,0.002635,"18","21,520","MILO",0.321464393179539
"2017-12-02",0.003151,0.003208,0.00209,0.0021,"140","34,000","MILO",-0.333544906378927
"2017-12-01",0.002498,0.003171,0.002251,0.003154,"830","26,956","MILO",0.262610088070456
"2017-11-30",0.00237,0.002584,0.001723,0.002511,"64","25,575","MILO",0.059493670886076
"2017-11-29",0.002947,0.003251,0.002196,0.002334,"186","31,793","MILO",-0.208008143875127
"2017-11-28",0.003075,0.003139,0.002902,0.002949,"6","33,179","MILO",-0.0409756097560976
"2017-11-27",0.002329,0.003611,0.002181,0.003067,"942","25,134","MILO",0.316874194933448
"2017-11-26",0.001973,0.002544,0.00197,0.002329,"48","21,284","MILO",0.180435884439939
"2017-11-25",0.00156,0.001973,0.001551,0.001973,"41","16,831","MILO",0.26474358974359
"2017-11-24",0.001395,0.002741,0.001368,0.001563,"34","15,047","MILO",0.120430107526882
"2017-11-23",0.001938,0.001957,0.001396,0.001396,"197","20,908","MILO",-0.279669762641899
"2017-11-22",0.002639,0.002764,0.001397,0.001938,"88","28,472","MILO",-0.265630920803335
"2017-11-21",0.00177,0.002751,0.00105,0.002632,"480","19,094","MILO",0.487005649717514
"2017-11-20",0.001061,0.002218,0.001061,0.001769,"674","11,453","MILO",0.667295004712535
"2017-11-19",0.002959,0.00325,0.000715,0.001062,"763","31,928","MILO",-0.641094964515039
"2017-11-18",0.002921,0.002987,0.002455,0.002965,"10","31,517","MILO",0.0150633344744951
"2017-11-17",0.002275,0.003035,0.002265,0.002932,"4","24,547","MILO",0.288791208791209
"2017-11-16",0.002154,0.002928,0.002154,0.002279,"61","23,244","MILO",0.0580315691736305
"2017-11-15",0.002903,0.003,0.001974,0.002088,"4","31,319","MILO",-0.280744057871168
"2017-11-14",0.001898,0.003011,0.001765,0.002901,"31","20,481","MILO",0.528451001053741
"2017-11-13",0.002104,0.003288,0.001894,0.001894,"46","22,707","MILO",-0.0998098859315589
"2017-11-12",0.002386,0.003072,0.001747,0.002101,"32","25,741","MILO",-0.119446772841576
"2017-11-11",0.002229,0.003363,0.002226,0.002387,"227","24,046","MILO",0.0708838043965903
"2017-11-10",0.002102,0.003525,0.001857,0.002237,"1,603","22,683","MILO",0.0642245480494765
"2017-11-09",0.002368,0.002949,0.001912,0.002096,"195","25,550","MILO",-0.114864864864865
"2017-11-08",0.00178,0.004842,0.001696,0.00237,"2,994","19,203","MILO",0.331460674157304
"2017-11-07",0.001649,0.002618,0.001645,0.001785,"210","17,795","MILO",0.0824742268041236
"2017-11-06",0.00144,0.004911,0.001161,0.001652,"6,172","15,539","MILO",0.147222222222222
"2017-11-05",0.00117,0.001472,0.001158,0.001437,"9","12,623","MILO",0.228205128205128
"2017-11-04",0.000989,0.001123,0.000859,0.001109,"22","10,672","MILO",0.121334681496461
"2017-11-03",0.001092,0.001102,0.000982,0.000992,"18","11,778","MILO",-0.0915750915750916
"2017-11-02",0.001009,0.001036,0.001009,0.001022,"2","10,890","MILO",0.0128840436075322
"2017-11-01",0.001432,0.001802,0.000957,0.001008,"2","15,446","MILO",-0.29608938547486
"2017-10-31",0.001113,0.001433,0.000279,0.001433,"474","12,009","MILO",0.287511230907457
"2017-10-30",0.002647,0.00265,0.001107,0.001117,"70","28,566","MILO",-0.578012844729883
"2017-10-29",0.002206,0.002719,0.001843,0.002663,"1","23,808","MILO",0.20716228467815
"2017-10-28",0.001614,0.002647,0.001608,0.002209,"64","17,412","MILO",0.368649318463445
"2017-10-27",0.002136,0.002477,0.001596,0.001609,"18","23,048","MILO",-0.246722846441948
"2017-10-26",0.001232,0.00222,0.001224,0.002136,"65","13,293","MILO",0.733766233766234
