"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1097.69,1151.85,1004.02,1076.53,"1,244,900","-","MKR",-0.0192768450108866
"2018-01-09",1112.34,1259.56,941.55,1096.44,"1,557,700","-","MKR",-0.0142941906251684
"2018-01-08",1171.07,1220.78,1015.89,1112.88,"1,242,620","-","MKR",-0.0496896001093016
"2018-01-07",1224.52,1267.32,1134.89,1169.35,"1,802,970","-","MKR",-0.0450543886584132
"2018-01-06",1105.47,1216.9,1092.42,1216.9,"2,040,790","-","MKR",0.100798755280559
"2018-01-05",1033.52,1117.96,1012.9,1096.78,"1,657,580","-","MKR",0.0612082978558712
"2018-01-04",998.39,1098.15,933.83,1040.25,"733,011","-","MKR",0.0419275032802813
"2018-01-03",1064.77,1090.88,999.22,1074.53,"809,445","-","MKR",0.00916629882509837
"2018-01-02",971.17,1070.1,958.84,1063.07,"660,736","-","MKR",0.0946281289578549
"2018-01-01",961.02,985.59,883,970.09,"502,841","-","MKR",0.00943788890970016
"2017-12-31",907.95,994.32,902.05,959.91,"814,006","-","MKR",0.0572278209152485
"2017-12-30",1010.77,1012.6,869.29,918.43,"528,455","-","MKR",-0.0913560948583753
"2017-12-29",1006.88,1044.8,970.57,1007.08,"800,242","-","MKR",0.000198633402192958
"2017-12-28",1041.72,1043.06,920.61,996.76,"799,689","-","MKR",-0.0431593902392198
"2017-12-27",1065.41,1100.51,1010.77,1038.11,"877,151","-","MKR",-0.0256239382021946
"2017-12-26",1053.56,1114.47,823.55,1064.33,"943,383","-","MKR",0.0102224837693154
"2017-12-25",1012,1054.78,918.28,1047.2,"357,740","-","MKR",0.0347826086956522
"2017-12-24",1001.15,1103.93,809.2,1005.6,"245,322","-","MKR",0.00444488837836493
"2017-12-23",830.24,1084.73,830.24,989.82,"599,721","-","MKR",0.192209481595683
"2017-12-22",1098.97,1111.09,682.65,823.39,"633,680","-","MKR",-0.250762077217758
"2017-12-21",1278.94,1361.14,1021.46,1095.19,"799,675","-","MKR",-0.143673667255696
"2017-12-20",1393.45,1458.47,1118.46,1277.57,"262,010","-","MKR",-0.0831605009149952
"2017-12-19",1221.99,1750.03,1219.75,1394.94,"1,282,490","-","MKR",0.141531436427467
"2017-12-18",1068.78,1229.9,992.41,1218.42,"455,522","-","MKR",0.140010104979509
"2017-12-17",1082.26,1154.92,1046.66,1070.19,"259,197","-","MKR",-0.011152588102674
"2017-12-16",792.54,1116.57,792.54,1079.24,"731,649","-","MKR",0.361748302924774
"2017-12-15",803.54,861.78,712.28,791.04,"206,328","-","MKR",-0.0155561639744132
"2017-12-14",820.32,872.26,763.52,802.79,"63,565","-","MKR",-0.0213697093817048
"2017-12-13",622.42,822.6,553.28,820.75,"100,344","-","MKR",0.31864335978921
"2017-12-12",483.38,626.86,462.17,621.99,"118,742","-","MKR",0.286751623981133
"2017-12-11",400.25,486.5,391.81,486.5,"71,980","-","MKR",0.215490318550906
"2017-12-10",427.36,427.36,388.39,399.8,"65,534","-","MKR",-0.064488955447398
"2017-12-09",402.76,453.31,402.76,426,"3,864","-","MKR",0.0577018571854206
"2017-12-08",359.17,410.12,350.31,402.77,"36,391","-","MKR",0.121390984770443
"2017-12-07",359.93,377.82,347.23,358.64,"65,610","-","MKR",-0.00358403022809996
"2017-12-06",395.65,397.13,353.9,361.19,"53,172","-","MKR",-0.0870971818526475
"2017-12-05",396.43,402.75,377.6,396.35,"11,304","-","MKR",-0.000201801074590682
"2017-12-04",403.78,411.28,384.18,396.23,"4,042","-","MKR",-0.0186983010550299
"2017-12-03",373.53,420.75,369.69,403.03,"6,007","-","MKR",0.078976253580703
"2017-12-02",376.91,405.98,372.57,373.4,"2,612","-","MKR",-0.00931256798705274
"2017-12-01",380.41,391.55,341.88,376.92,"5,627","-","MKR",-0.00917431192660553
"2017-11-30",331.74,385.39,308.18,381.36,"16,339","-","MKR",0.149574968348707
"2017-11-29",382.38,420.16,319.71,327.54,"1,699","-","MKR",-0.143417542758512
"2017-11-28",420.88,423.56,381.75,382.07,"29,741","-","MKR",-0.0922115567382627
"2017-11-27",404.69,572.86,393.37,421.46,"1,993","-","MKR",0.0414391262447799
"2017-11-26",395.27,406.63,374.69,404.79,"12,132","-","MKR",0.0240848027930276
"2017-11-25",401.76,423.29,364.45,395.26,"200,519","-","MKR",-0.016178813221824
"2017-11-24",345.7,408.13,339.25,401.82,"166,167","-","MKR",0.162337286664738
"2017-11-23",326.94,359.5,320.87,347.44,"1,187","-","MKR",0.0627026365694011
"2017-11-22",280.28,400.65,280.05,326.19,"14,577","-","MKR",0.163800485229057
"2017-11-21",272.02,288.93,260.02,279.92,"9,649","-","MKR",0.0290419822071908
"2017-11-20",252.48,278.23,252.4,272.45,"259,174","-","MKR",0.0790953738910013
"2017-09-09",251.56,251.56,247.65,248.31,"745","-","MKR",-0.0129193830497694
