"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",246.47,246.47,211.23,225.52,"1,832,170","147,731,000","MLN",-0.0850002028644459
"2018-01-09",250.36,260.42,240.75,246.23,"2,265,880","150,065,000","MLN",-0.0164962454066146
"2018-01-08",238.26,252.64,213.45,250.63,"2,040,150","142,816,000","MLN",0.051918072693696
"2018-01-07",239.84,244.63,227.38,238.88,"2,294,810","143,760,000","MLN",-0.00400266844563045
"2018-01-06",228.65,253.36,227.8,240.69,"1,747,160","137,050,000","MLN",0.0526568991909031
"2018-01-05",247.43,269.14,224.83,226.54,"2,453,770","148,310,000","MLN",-0.0844279190073961
"2018-01-04",180.9,270.05,177.86,256.64,"4,951,290","108,434,000","MLN",0.418684355997789
"2018-01-03",150.73,185.36,145.84,185.36,"2,162,260","90,346,200","MLN",0.229748557022491
"2018-01-02",132.25,155.69,132.05,150.92,"1,672,720","79,269,300","MLN",0.14117202268431
"2018-01-01",131.96,133.43,125.48,132.42,"1,254,370","79,098,300","MLN",0.00348590481964216
"2017-12-31",115.75,132.5,114.48,131.93,"1,113,190","69,382,600","MLN",0.139784017278618
"2017-12-30",132.67,132.67,111.21,117.46,"1,113,850","79,522,700","MLN",-0.11464536066933
"2017-12-29",120.31,132.88,118.23,132.36,"1,609,660","72,111,300","MLN",0.100157925359488
"2017-12-28",130.61,131.39,109.42,119.47,"1,213,200","78,287,600","MLN",-0.0852920909578134
"2017-12-27",123.04,140.02,122.29,130.29,"1,753,310","73,749,400","MLN",0.0589239271781533
"2017-12-26",133.54,140.95,113.75,122.37,"1,695,700","80,043,800","MLN",-0.0836453497079526
"2017-12-25",124.58,137.94,122.04,133.11,"1,497,710","74,676,500","MLN",0.0684700593995827
"2017-12-24",134.9,134.9,115.24,123.64,"1,097,540","80,857,900","MLN",-0.0834692364714604
"2017-12-23",118.56,147.68,113.28,133.64,"1,592,330","71,067,200","MLN",0.12719298245614
"2017-12-22",139.87,142.27,84.22,117.82,"1,320,160","83,837,900","MLN",-0.157646385929792
"2017-12-21",126.26,154.77,125.97,138.82,"2,153,900","75,678,200","MLN",0.0994772691271977
"2017-12-20",127.23,139.86,112.28,125.99,"1,804,750","76,262,800","MLN",-0.00974612905761227
"2017-12-19",93.04,137.45,90.89,127.3,"3,426,190","55,765,800","MLN",0.36822871883061
"2017-12-18",83.52,93.16,80.11,92.68,"1,459,870","50,060,100","MLN",0.109674329501916
"2017-12-17",85.56,85.56,80.63,83.01,"1,092,600","51,286,900","MLN",-0.0298036465638148
"2017-12-16",73.56,87.79,73.56,83.58,"1,396,690","44,094,000","MLN",0.136215334420881
"2017-12-15",77.9,79,73.12,73.48,"1,221,190","46,696,000","MLN",-0.0567394094993582
"2017-12-14",78.82,80.39,76.23,77.55,"802,956","47,244,600","MLN",-0.0161126617609743
