"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.005258,0.005399,0.004928,0.005399,"13","-","MMXVI",0.0268162799543554
"2018-01-09",0.005271,0.0054,0.005039,0.005251,"53","-","MMXVI",-0.00379434642382851
"2018-01-08",0.004723,0.005307,0.00358,0.005285,"93","-","MMXVI",0.118992165996189
"2018-01-07",0.005333,0.005333,0.003972,0.004729,"32","-","MMXVI",-0.113257078567411
"2018-01-06",0.004925,0.005351,0.004776,0.005337,"18","-","MMXVI",0.0836548223350254
"2018-01-05",0.003188,0.004963,0.003136,0.004921,"375","-","MMXVI",0.543601003764115
"2018-01-04",0.003194,0.003971,0.003017,0.003187,"38","-","MMXVI",-0.00219160926737621
"2018-01-03",0.003116,0.003247,0.003081,0.003177,"20","-","MMXVI",0.0195763799743262
"2018-01-02",0.00351,0.003638,0.00292,0.003127,"11","-","MMXVI",-0.109116809116809
"2018-01-01",0.003495,0.003571,0.003357,0.003511,"52","-","MMXVI",0.00457796852646637
"2017-12-31",0.002924,0.003687,0.002786,0.003482,"26","-","MMXVI",0.190834473324213
"2017-12-30",0.002845,0.005509,0.002478,0.002956,"1,075","-","MMXVI",0.0390158172231986
"2017-12-29",0.003183,0.003328,0.003108,0.00317,"3","-","MMXVI",-0.0040841972981464
"2017-12-28",0.003258,0.003272,0.002894,0.00315,"5","-","MMXVI",-0.0331491712707182
"2017-12-27",0.003326,0.004637,0.003092,0.003265,"174","-","MMXVI",-0.018340348767288
"2017-12-26",0.005572,0.006211,0.003235,0.003323,"120","-","MMXVI",-0.403625269203159
"2017-12-25",0.003522,0.006104,0.002917,0.005578,"176","-","MMXVI",0.583759227711527
"2017-12-24",0.002775,0.006281,0.002388,0.003486,"1,281","-","MMXVI",0.256216216216216
"2017-12-23",0.002933,0.002947,0.002732,0.002745,"5","-","MMXVI",-0.0640981929764745
"2017-12-22",0.004085,0.004126,0.003497,0.003742,"2","-","MMXVI",-0.0839657282741738
"2017-12-21",0.002967,0.004521,0.00295,0.004071,"6","-","MMXVI",0.372093023255814
"2017-12-20",0.004405,0.004459,0.002838,0.002959,"95","-","MMXVI",-0.328263337116913
"2017-12-19",0.004563,0.004563,0.004263,0.004409,"11","-","MMXVI",-0.0337497260574185
"2017-12-18",0.003444,0.003473,0.003289,0.003406,"73","-","MMXVI",-0.011033681765389
"2017-12-17",0.005508,0.005591,0.003396,0.003433,"81","-","MMXVI",-0.376724763979666
"2017-12-16",0.004235,0.004256,0.004182,0.004242,"11","-","MMXVI",0.00165289256198349
"2017-12-15",0.003207,0.004338,0.003199,0.004229,"11","-","MMXVI",0.318677892111007
"2017-12-14",0.003111,0.003242,0.003076,0.003193,"3","-","MMXVI",0.0263580842172935
"2017-12-13",0.004492,0.004551,0.003028,0.003121,"5","-","MMXVI",-0.305209260908281
"2017-12-12",0.004378,0.004617,0.004275,0.004488,"1","-","MMXVI",0.0251256281407035
"2017-12-11",0.002946,0.004551,0.002909,0.004364,"39","-","MMXVI",0.48133061778683
"2017-12-10",0.004361,0.004361,0.003839,0.003958,"2","-","MMXVI",-0.0924099977069481
