"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.26,3.3,2.36,2.48,"15,822,800","-","MOT",-0.239263803680982
"2018-01-09",2.04,3.25,1.83,3.25,"17,662,100","-","MOT",0.593137254901961
"2018-01-08",1.69,2.39,1.68,2.07,"8,432,100","-","MOT",0.224852071005917
"2018-01-07",1.51,1.89,1.39,1.69,"10,026,700","-","MOT",0.119205298013245
"2018-01-06",1.25,1.58,1.18,1.5,"7,791,560","-","MOT",0.2
"2018-01-05",1.23,1.32,1.16,1.25,"7,270,150","-","MOT",0.016260162601626
"2018-01-04",1.15,1.33,1.1,1.23,"3,413,860","-","MOT",0.0695652173913044
"2018-01-03",1.09,1.19,0.968872,1.15,"2,243,240","-","MOT",0.0550458715596329
"2018-01-02",1.1,1.19,0.871631,1.1,"2,308,060","-","MOT",0
"2018-01-01",0.998618,1.11,0.998618,1.1,"2,510,470","-","MOT",0.101522303823885
