"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-05",0.002277,0.002285,0.00224,0.002285,"152","74,739","MRNG",0.00351339481774273
"2018-01-04",0.002114,0.002277,0.002066,0.002277,"173","69,393","MRNG",0.0771050141911069
"2018-01-03",0.00046,0.002384,0.00046,0.002103,"60","15,095","MRNG",3.57173913043478
"2018-01-02",0.000527,0.002888,0.000453,0.000462,"229","17,282","MRNG",-0.123339658444023
"2018-01-01",0.000559,0.000559,0.000504,0.000527,"183","18,355","MRNG",-0.0572450805008945
"2017-12-31",0.000356,0.000568,0.000279,0.000557,"299","11,684","MRNG",0.564606741573034
"2017-12-30",0.000159,0.000371,9.3e-05,0.00036,"1,127","5,233","MRNG",1.26415094339623
"2017-12-29",0.000375,0.000377,0.000159,0.00016,"287","12,303","MRNG",-0.573333333333333
"2017-12-28",0.000434,0.000436,0.000382,0.000395,"1,233","14,259","MRNG",-0.0898617511520737
"2017-12-27",0.000396,0.000436,9.3e-05,0.000435,"1,361","12,995","MRNG",0.0984848484848486
"2017-12-26",9.8e-05,0.000406,9.7e-05,0.000396,"1","3,200","MRNG",3.04081632653061
"2017-12-25",0.000392,0.000493,9.6e-05,9.8e-05,"20","12,879","MRNG",-0.75
"2017-12-24",0.000298,0.000475,0.000258,0.000391,"137","9,778","MRNG",0.312080536912752
"2017-12-23",0.000427,0.000565,0.000425,0.00052,"0","14,017","MRNG",0.217798594847775
"2017-12-22",0.000534,0.00054,0.000355,0.000423,"2","17,519","MRNG",-0.207865168539326
"2017-12-21",0.000466,0.000573,0.000354,0.000532,"0","15,283","MRNG",0.141630901287554
"2017-12-20",0.000512,0.000512,0.000291,0.00047,"4","16,785","MRNG",-0.08203125
"2017-12-19",0.000383,0.000639,0.000312,0.000512,"171","12,539","MRNG",0.336814621409922
"2017-12-18",0.000375,0.000382,0.000373,0.000382,"41","12,285","MRNG",0.0186666666666667
"2017-12-17",0.000249,0.00025,3.9e-05,4e-05,"29","8,163","MRNG",-0.839357429718876
"2017-12-16",0.000529,0.000534,0.000231,0.000249,"97","17,335","MRNG",-0.52930056710775
