"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",16.27,16.29,12.29,14.24,"38,735,100","-","NAS",-0.124769514443761
"2018-01-09",13.6,16.64,12.87,16.24,"40,054,300","-","NAS",0.194117647058823
"2018-01-08",13.76,13.76,10.15,13.52,"43,579,100","-","NAS",-0.0174418604651163
"2018-01-07",9.75,14.7,9.32,14.03,"66,197,200","-","NAS",0.438974358974359
"2018-01-06",6.77,9.9,6.6,9.8,"30,465,900","-","NAS",0.447562776957164
"2018-01-05",6.87,6.91,6.13,6.72,"18,666,600","-","NAS",-0.0218340611353712
"2018-01-04",7.51,7.64,6.37,6.92,"26,605,500","-","NAS",-0.0785619174434088
"2018-01-03",5.56,7.69,4.95,7.52,"32,260,000","-","NAS",0.352517985611511
"2018-01-02",5.36,5.6,5.11,5.54,"18,219,900","-","NAS",0.0335820895522388
"2018-01-01",5.66,5.66,5,5.29,"8,631,880","-","NAS",-0.0653710247349824
"2017-12-31",5.47,5.73,4.92,5.61,"10,903,700","-","NAS",0.0255941499085924
"2017-12-30",6.02,6.04,4.66,5.48,"11,138,000","-","NAS",-0.0897009966777407
"2017-12-29",5.12,6.41,5.08,6.03,"15,972,400","-","NAS",0.177734375
"2017-12-28",5.65,5.65,4.39,5.08,"10,466,100","-","NAS",-0.100884955752212
"2017-12-27",6.53,7.64,5.12,5.65,"29,351,900","-","NAS",-0.134762633996937
"2017-12-26",4.04,6.68,3.61,6.54,"15,623,200","-","NAS",0.618811881188119
"2017-12-25",3.92,4.04,3.82,4.04,"4,835,210","-","NAS",0.0306122448979592
"2017-11-17",2.73,3.21,2.64,2.64,"545","13,654,000","NAS",-0.0329670329670329
"2017-11-16",2.36,2.87,2.34,2.74,"3,600,880","11,778,800","NAS",0.161016949152543
"2017-11-15",2.37,3,2.22,2.98,"5,959,170","11,863,200","NAS",0.257383966244726
"2017-11-14",2.49,2.72,2.31,2.37,"4,585,530","12,437,300","NAS",-0.0481927710843374
"2017-11-13",2.73,3.02,2.32,2.48,"5,208","13,635,400","NAS",-0.0915750915750916
"2017-11-12",2.7,3.01,2.2,2.72,"902,325","13,480,200","NAS",0.00740740740740741
"2017-11-11",3.02,3.4,2.67,2.7,"5,584,820","15,107,300","NAS",-0.105960264900662
"2017-11-10",2.82,3.05,2.25,3.03,"13,424,100","14,086,900","NAS",0.074468085106383
"2017-11-09",2.06,3.16,1.99,2.81,"5,308,560","10,300,600","NAS",0.364077669902913
"2017-11-08",1.82,2.13,1.79,2.06,"4,118,620","9,079,890","NAS",0.131868131868132
"2017-11-07",1.54,1.91,1.54,1.82,"4,339,130","7,704,390","NAS",0.181818181818182
"2017-11-06",1.66,1.74,1.54,1.54,"4,157,400","8,301,090","NAS",-0.072289156626506
"2017-11-05",1.69,1.81,1.64,1.66,"3,381,360","8,452,110","NAS",-0.0177514792899408
"2017-11-04",1.65,1.9,1.61,1.69,"4,416,420","8,228,950","NAS",0.0242424242424243
"2017-11-03",1.74,1.82,1.57,1.65,"3,329,140","-","NAS",-0.0517241379310345
"2017-11-02",1.69,1.9,1.6,1.74,"3,917,230","-","NAS",0.0295857988165681
"2017-11-01",1.81,1.81,1.55,1.69,"4,155,450","-","NAS",-0.0662983425414365
"2017-10-31",1.72,1.81,1.54,1.81,"6,424,290","-","NAS",0.0523255813953489
"2017-10-30",2.04,2.06,1.03,1.73,"5,152,710","-","NAS",-0.151960784313726
"2017-10-29",1.66,2.1,1.66,2.06,"4,368,280","-","NAS",0.240963855421687
"2017-10-28",1.98,1.98,1.65,1.66,"909,188","-","NAS",-0.161616161616162
"2017-10-27",1.86,2.05,1.81,1.97,"5,200,300","-","NAS",0.0591397849462365
"2017-10-26",1.76,2,1.76,1.86,"4,560,900","-","NAS",0.0568181818181819
"2017-08-31",5.42,5.42,5.41,5.41,"934","-","NAS",-0.00184501845018446
"2017-08-30",5.17,5.44,5.04,5.42,"277,276","-","NAS",0.0483558994197292
"2017-08-29",5.07,5.28,4.87,5.17,"644,801","-","NAS",0.019723865877712
"2017-08-28",5.54,5.65,4.84,5.07,"1,046,260","-","NAS",-0.0848375451263537
"2017-08-27",5.68,5.96,5.42,5.56,"1,058,870","-","NAS",-0.0211267605633803
"2017-08-26",4.94,5.86,4.89,5.69,"1,828,830","-","NAS",0.151821862348178
"2017-08-25",4.49,5.34,4.36,4.94,"1,231,690","-","NAS",0.100222717149221
"2017-08-24",4.37,4.61,4.3,4.49,"441,121","-","NAS",0.0274599542334096
"2017-08-23",4.58,4.59,4.2,4.34,"995,797","-","NAS",-0.0524017467248909
