"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.76,3.77,3.18,3.58,"5,465,020","233,897,000","NAV",-0.0478723404255318
"2018-01-09",3.88,4.01,3.64,3.75,"7,846,600","241,592,000","NAV",-0.0335051546391752
"2018-01-08",4.11,4.39,3.33,3.91,"12,239,100","255,989,000","NAV",-0.048661800486618
"2018-01-07",3.87,5.53,3.85,4.15,"27,812,700","241,000,000","NAV",0.0723514211886306
"2018-01-06",3.27,4.15,3.13,3.88,"10,993,200","203,633,000","NAV",0.186544342507645
"2018-01-05",3.75,3.88,3.09,3.24,"11,366,500","233,660,000","NAV",-0.136
"2018-01-04",3.45,3.99,3.26,3.79,"13,800,600","215,087,000","NAV",0.0985507246376811
"2018-01-03",3.58,3.61,3.22,3.44,"8,315,930","222,943,000","NAV",-0.0391061452513967
"2018-01-02",3.75,3.88,3.25,3.58,"10,178,500","233,602,000","NAV",-0.0453333333333333
"2018-01-01",3.21,3.81,3.1,3.75,"9,229,020","199,731,000","NAV",0.168224299065421
"2017-12-31",2.92,3.39,2.83,3.22,"5,987,060","181,577,000","NAV",0.102739726027397
"2017-12-30",3.55,3.57,2.75,2.95,"6,775,080","220,949,000","NAV",-0.169014084507042
"2017-12-29",3.82,3.92,3.42,3.57,"12,587,100","237,773,000","NAV",-0.0654450261780105
"2017-12-28",4.25,4.56,3.6,3.87,"17,105,200","264,719,000","NAV",-0.0894117647058823
"2017-12-27",3.32,4.69,3.02,4.43,"46,838,700","206,576,000","NAV",0.33433734939759
"2017-12-26",3.14,3.49,2.69,3.38,"16,244,000","195,161,000","NAV",0.0764331210191082
"2017-12-25",2.4,3.54,2.37,3.12,"22,524,700","149,283,000","NAV",0.3
"2017-12-24",2.41,2.46,1.98,2.37,"5,032,880","149,776,000","NAV",-0.016597510373444
"2017-12-23",2.06,2.65,1.99,2.36,"8,142,940","128,012,000","NAV",0.145631067961165
"2017-12-22",2.76,2.79,1.42,2.04,"8,281,490","171,830,000","NAV",-0.260869565217391
"2017-12-21",2.95,3.13,2.55,2.75,"14,568,700","183,735,000","NAV",-0.0677966101694916
"2017-12-20",2.83,3.34,2.28,2.8,"29,860,400","175,980,000","NAV",-0.010600706713781
"2017-12-19",3.07,3.27,2.56,2.8,"18,751,500","190,747,000","NAV",-0.0879478827361564
"2017-12-18",2.55,3.15,2.37,3.15,"16,045,100","158,422,000","NAV",0.235294117647059
