"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.01701,0.064066,0.016488,0.042981,"17,265","-","NBIT",1.52680776014109
"2018-01-09",0.020381,0.031617,0.016744,0.016987,"2,789","-","NBIT",-0.166527648299887
"2018-01-08",0.015278,0.020462,0.013404,0.020436,"781","-","NBIT",0.337609634768949
"2018-01-07",0.015453,0.021978,0.009565,0.0153,"639","-","NBIT",-0.00990099009900992
"2018-01-06",0.020361,0.020861,0.010846,0.015464,"1,158","-","NBIT",-0.240508815873484
"2018-01-05",0.020806,0.021198,0.017923,0.020345,"1,729","-","NBIT",-0.0221570700759398
"2018-01-04",0.02613,0.02613,0.016986,0.020802,"2,529","-","NBIT",-0.20390355912744
"2018-01-03",0.032633,0.042433,0.022564,0.025988,"17,475","-","NBIT",-0.203628229093249
"2018-01-02",0.020223,0.067789,0.020205,0.032749,"236,931","-","NBIT",0.619393759580675
"2018-01-01",0.031858,0.031858,0.019718,0.020225,"80","-","NBIT",-0.365151610270576
"2017-12-31",0.028241,0.032453,0.024773,0.031736,"1,452","-","NBIT",0.123756240926313
"2017-12-30",0.024317,0.030317,0.023526,0.02855,"2,247","-","NBIT",0.174075749475676
"2017-12-29",0.031798,0.035168,0.024203,0.024378,"337","-","NBIT",-0.233348009308762
"2017-12-28",0.032222,0.033342,0.025369,0.031472,"1,432","-","NBIT",-0.0232760225932593
"2017-12-27",0.04814,0.068053,0.028916,0.032289,"1,895","-","NBIT",-0.329268799335272
"2017-12-26",0.07476,0.101894,0.043906,0.048105,"7,413","-","NBIT",-0.356540930979133
"2017-12-25",0.092388,0.095474,0.067334,0.074837,"8,721","-","NBIT",-0.189970558947049
"2017-12-24",0.087638,0.102324,0.074977,0.091438,"5,491","-","NBIT",0.0433601862205894
"2017-12-23",0.176475,0.202229,0.075322,0.08668,"77,147","-","NBIT",-0.508825612693016
"2017-12-22",0.209669,0.241346,0.140117,0.174824,"189,621","-","NBIT",-0.166190519342392
"2017-12-21",0.121233,0.249085,0.118001,0.208945,"189,219","-","NBIT",0.723499377232272
"2017-12-20",0.136531,0.137215,0.114612,0.120916,"8,993","-","NBIT",-0.114369630340362
"2017-12-19",0.130648,0.146076,0.120574,0.135646,"12,089","-","NBIT",0.0382554650664381
"2017-12-18",0.108153,0.131138,0.101369,0.131138,"19,626","-","NBIT",0.212522999824323
"2017-12-17",0.101582,0.114534,0.100397,0.107826,"10,486","-","NBIT",0.0614675828394794
"2017-12-16",0.104794,0.11582,0.0986,0.101569,"12,527","-","NBIT",-0.0307746626715269
"2017-12-15",0.106478,0.112188,0.102885,0.104647,"9,516","-","NBIT",-0.0171960404966284
"2017-12-14",0.097529,0.106943,0.096368,0.106318,"11,806","-","NBIT",0.0901167857765382
"2017-12-13",0.085706,0.111181,0.081687,0.097843,"15,946","-","NBIT",0.141612022495508
"2017-12-12",0.02475,0.093368,0.02417,0.085634,"1,319","-","NBIT",2.4599595959596
"2017-12-11",0.073186,0.081207,0.024671,0.024671,"2","-","NBIT",-0.662900008198289
"2017-12-10",0.050758,0.07571,0.044684,0.073718,"338","-","NBIT",0.452342487883684
"2017-12-09",0.075649,0.07677,0.037155,0.050553,"8","-","NBIT",-0.331742653571098
"2017-12-08",0.051675,0.075735,0.046117,0.075725,"573","-","NBIT",0.465408805031447
"2017-12-07",0.015228,0.085096,0.011748,0.051554,"225","-","NBIT",2.38547412660888
"2017-12-06",0.060385,0.062614,0.013834,0.015254,"751","-","NBIT",-0.747387596257349
"2017-12-05",0.066091,0.067276,0.065168,0.066597,"63","-","NBIT",0.007656110514291
"2017-12-04",0.064415,0.068377,0.061737,0.065961,"165","-","NBIT",0.0240006209733759
"2017-12-03",0.053456,0.064258,0.053101,0.064202,"12","-","NBIT",0.201025142173002
"2017-12-02",0.04587,0.053505,0.020104,0.053405,"22","-","NBIT",0.164268585131894
