"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.870293,0.87221,0.667628,0.804421,"18,551","3,979,400","NETKO",-0.0756894517133884
"2018-01-09",0.949228,0.962807,0.621485,0.869153,"61,374","4,334,120","NETKO",-0.0843580256798156
"2018-01-08",0.632146,0.953011,0.574053,0.951819,"136,715","2,882,320","NETKO",0.505694886940675
"2018-01-07",0.469986,0.640512,0.46315,0.633031,"16,400","2,139,860","NETKO",0.346914588945203
"2018-01-06",0.428754,0.517353,0.423643,0.470331,"7,827","1,949,240","NETKO",0.0969716900600344
"2018-01-05",0.310115,0.450438,0.307135,0.428447,"4,110","1,407,840","NETKO",0.381574577172984
"2018-01-04",0.371368,0.377536,0.305211,0.310037,"1,629","1,683,490","NETKO",-0.165148855044053
"2018-01-03",0.359396,0.377717,0.283259,0.369357,"13,283","1,626,890","NETKO",0.0277159456421329
"2018-01-02",0.273272,0.38528,0.269742,0.360598,"7,691","1,235,330","NETKO",0.319557071342838
"2018-01-01",0.318761,0.35251,0.255747,0.273294,"6,415","1,438,870","NETKO",-0.142636646264756
"2017-12-31",0.32001,0.368626,0.279764,0.365757,"2,885","1,442,380","NETKO",0.142954907659136
"2017-12-30",0.296054,0.372958,0.295094,0.323495,"21,305","1,332,490","NETKO",0.0926891715700514
"2017-12-29",0.298641,0.353339,0.274168,0.29678,"7,161","1,342,220","NETKO",-0.00623156231060036
"2017-12-28",0.330756,0.331749,0.260559,0.295746,"9,870","1,484,390","NETKO",-0.105848419983311
"2017-12-27",0.259129,0.870114,0.257068,0.331368,"11,825","1,161,260","NETKO",0.278776207989071
"2017-12-26",0.295629,0.303969,0.249646,0.25894,"3,714","1,322,900","NETKO",-0.124104874690913
"2017-12-25",0.233372,0.326111,0.212878,0.29577,"698","1,042,790","NETKO",0.267375692028178
"2017-12-24",0.199165,0.23919,0.197424,0.231477,"2,752","888,631","NETKO",0.16223734089825
"2017-12-23",0.196886,0.21244,0.172371,0.19774,"1,679","877,186","NETKO",0.00433753542659201
"2017-12-22",0.207695,0.212085,0.124202,0.195069,"2,435","923,998","NETKO",-0.0607910638195431
"2017-12-21",0.239481,0.252866,0.155378,0.20698,"2,843","1,063,800","NETKO",-0.13571431554069
"2017-12-20",0.276883,0.30102,0.22904,0.238856,"1,440","1,228,130","NETKO",-0.137339598314089
"2017-12-19",0.247588,0.28359,0.232139,0.277046,"2,400","1,096,600","NETKO",0.118979918251288
"2017-12-18",0.281535,0.300053,0.215274,0.247378,"1,700","1,245,160","NETKO",-0.121324169286234
"2017-12-17",0.228329,0.36714,0.223775,0.280688,"12,167","1,008,330","NETKO",0.229313840992603
"2017-12-16",0.212882,0.232045,0.186512,0.228278,"1,053","938,749","NETKO",0.0723217557144334
"2017-12-15",0.199976,0.283975,0.199937,0.212582,"3,269","880,551","NETKO",0.063037564507741
"2017-12-14",0.185134,0.20257,0.163007,0.199676,"315","814,004","NETKO",0.0785485108083874
"2017-12-13",0.123988,0.243868,0.108441,0.185725,"8,918","544,338","NETKO",0.497927218763106
"2017-12-12",0.119719,0.134883,0.117134,0.123881,"6,078","524,812","NETKO",0.034764740767965
"2017-12-11",0.114352,0.158956,0.113852,0.119336,"1,675","500,536","NETKO",0.0435847208619001
"2017-12-10",0.108027,0.118297,0.098087,0.115184,"48","472,149","NETKO",0.0662519555296361
"2017-12-09",0.1374,0.144309,0.099508,0.107591,"123","599,634","NETKO",-0.216950509461426
"2017-12-08",0.171714,0.173839,0.116044,0.137538,"389","748,236","NETKO",-0.199028617352109
"2017-12-07",0.146069,0.171639,0.121477,0.171311,"7,649","635,524","NETKO",0.172808741074424
"2017-12-06",0.126021,0.154315,0.11685,0.146326,"1,549","547,500","NETKO",0.16112393966085
"2017-12-05",0.150206,0.15887,0.122968,0.126303,"885","651,584","NETKO",-0.159134788224172
"2017-12-04",0.122597,0.155278,0.11339,0.149911,"4,066","531,050","NETKO",0.222795011297177
