"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.006864,0.00803,0.006864,0.007499,"632","343,205","NEWB",0.0925116550116549
"2018-01-09",0.012,0.012012,0.006759,0.006855,"58","600,013","NEWB",-0.42875
"2018-01-08",0.012464,0.01396,0.009656,0.012034,"443","623,216","NEWB",-0.0344993581514762
"2018-01-07",0.010149,0.012096,0.007826,0.010873,"923","507,433","NEWB",0.0713370775445857
"2018-01-06",0.028989,0.030343,0.009454,0.00946,"793","1,449,440","NEWB",-0.673669322846597
"2018-01-05",0.006365,0.029875,0.006318,0.028841,"3,711","318,266","NEWB",3.5311861743912
"2018-01-04",0.00502,0.006431,0.004741,0.006375,"1,035","250,978","NEWB",0.269920318725099
"2018-01-03",0.007484,0.007731,0.003995,0.004992,"321","374,190","NEWB",-0.332977017637627
"2018-01-02",0.022683,0.026417,0.003602,0.007509,"725","1,134,140","NEWB",-0.668959132389895
"2018-01-01",0.005173,0.020905,0.004984,0.020611,"1,813","258,654","NEWB",2.98434177459888
"2017-12-31",0.005522,0.006813,0.005476,0.005571,"295","276,081","NEWB",0.00887359652299899
"2017-12-30",0.006334,0.006334,0.004653,0.005572,"302","316,683","NEWB",-0.120303125986738
"2017-12-29",0.009495,0.011323,0.00536,0.006342,"555","474,765","NEWB",-0.332069510268562
"2017-12-28",0.007594,0.009437,0.007179,0.009437,"392","379,699","NEWB",0.242691598630498
"2017-12-27",0.008926,0.009532,0.005004,0.007608,"779","446,282","NEWB",-0.147658525655389
"2017-12-26",0.003911,0.023831,0.0039,0.008908,"692","195,565","NEWB",1.27767834313475
"2017-12-25",0.00801,0.008331,0.003871,0.003914,"766","400,515","NEWB",-0.511360799001248
"2017-12-24",0.008411,0.008411,0.007212,0.007934,"586","420,562","NEWB",-0.056711449292593
"2017-12-23",0.007584,0.008928,0.007478,0.008318,"622","379,216","NEWB",0.0967827004219411
"2017-12-22",0.008642,0.008727,0.006295,0.007513,"532","432,108","NEWB",-0.130641055311271
"2017-12-21",0.011574,0.012186,0.00855,0.008612,"610","578,718","NEWB",-0.255918437878002
"2017-12-20",0.012011,0.012184,0.010829,0.011556,"1,019","600,570","NEWB",-0.0378819415535759
"2017-12-19",0.012217,0.015171,0.011154,0.012024,"1,074","610,865","NEWB",-0.0157976589997545
"2017-12-18",0.011936,0.012244,0.010049,0.012229,"777","596,820","NEWB",0.0245475871313673
"2017-12-17",0.011629,0.014493,0.011531,0.011925,"855","581,437","NEWB",0.025453607360908
"2017-12-16",0.012326,0.012922,0.010575,0.011619,"1,452","616,298","NEWB",-0.0573584293363621
"2017-12-15",0.010782,0.012454,0.01078,0.012307,"1,286","539,098","NEWB",0.141439436097199
"2017-12-14",0.010972,0.011945,0.010399,0.010766,"1,436","548,578","NEWB",-0.0187750637987606
"2017-12-13",0.009394,0.012198,0.007491,0.011007,"1,562","469,703","NEWB",0.171705343836491
"2017-12-12",0.008463,0.009413,0.008343,0.009387,"2,830","423,163","NEWB",0.109181141439206
"2017-12-11",0.009047,0.009667,0.007364,0.00846,"2,690","452,334","NEWB",-0.0648833867580412
"2017-12-10",0.012969,0.013636,0.008899,0.009065,"3,121","648,461","NEWB",-0.301025522399568
"2017-12-09",0.012035,0.013987,0.011529,0.012922,"2,843","601,762","NEWB",0.0737017033651848
"2017-12-08",0.012142,0.023635,0.010295,0.012047,"3,006","607,101","NEWB",-0.00782408169988466
"2017-12-07",0.017807,0.02486,0.01112,0.012114,"3,268","890,358","NEWB",-0.31970573370023
"2017-12-06",0.025801,0.029996,0.013911,0.017838,"2,642","1,290,030","NEWB",-0.308631448393473
"2017-12-05",0.006531,0.029192,0.006392,0.025865,"45,815","326,569","NEWB",2.96034297963558
