"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.337682,0.369816,0.291931,0.368167,"449,826","69,241,700","NLC2",0.0902772430866911
"2018-01-09",0.368658,0.40406,0.334878,0.337838,"423,795","75,588,900","NLC2",-0.0836005186378702
"2018-01-08",0.417286,0.444773,0.345695,0.370443,"338,387","85,553,900","NLC2",-0.112256342172994
"2018-01-07",0.481976,0.490094,0.407117,0.426371,"478,411","98,809,600","NLC2",-0.115368815044733
"2018-01-06",0.372334,0.513635,0.350351,0.482399,"499,729","76,321,400","NLC2",0.295608244210843
"2018-01-05",0.393622,0.506033,0.355787,0.372197,"1,004,190","80,679,300","NLC2",-0.0544303926101692
"2018-01-04",0.366267,0.394499,0.29107,0.394499,"760,935","75,066,600","NLC2",0.0770803812519282
"2018-01-03",0.242532,0.368127,0.242532,0.367459,"717,606","49,702,000","NLC2",0.515094915310145
"2018-01-02",0.190876,0.26059,0.186064,0.247132,"381,559","39,114,000","NLC2",0.294725371445336
"2018-01-01",0.216765,0.216765,0.189556,0.192351,"124,147","44,412,400","NLC2",-0.112628883814269
"2017-12-31",0.190557,0.226066,0.190214,0.216024,"206,978","39,039,100","NLC2",0.133645051087076
"2017-12-30",0.21793,0.21793,0.176452,0.192645,"246,756","44,644,200","NLC2",-0.116023493782407
"2017-12-29",0.144483,0.233763,0.142633,0.233763,"506,180","29,596,700","NLC2",0.617927368617761
"2017-12-28",0.140453,0.150489,0.124258,0.141805,"167,244","28,769,500","NLC2",0.00962599588474431
"2017-12-27",0.151883,0.170764,0.132773,0.140742,"122,479","31,109,000","NLC2",-0.0733525147646543
"2017-12-26",0.131902,0.169356,0.130687,0.149158,"165,092","27,015,000","NLC2",0.130824399933284
"2017-12-25",0.140391,0.14962,0.130527,0.132028,"133,252","28,752,200","NLC2",-0.0595693456133227
"2017-12-24",0.131637,0.140036,0.106304,0.138955,"110,437","26,957,800","NLC2",0.0555922726892894
"2017-12-23",0.13564,0.148657,0.129379,0.130299,"112,399","27,776,100","NLC2",-0.039376290179888
"2017-12-22",0.147177,0.151264,0.108633,0.134412,"79,188","30,136,800","NLC2",-0.0867323019221753
"2017-12-21",0.172676,0.179602,0.142704,0.146673,"119,329","35,356,100","NLC2",-0.150588385183812
"2017-12-20",0.169764,0.176869,0.14229,0.172107,"168,931","34,757,900","NLC2",0.0138015126882025
"2017-12-19",0.23383,0.237438,0.16062,0.171235,"235,448","47,872,000","NLC2",-0.267694478894924
"2017-12-18",0.175445,0.232042,0.172229,0.229558,"228,356","35,916,900","NLC2",0.30843284220126
"2017-12-17",0.150929,0.185357,0.145947,0.17492,"112,167","30,896,200","NLC2",0.158955535384187
"2017-12-16",0.138718,0.151512,0.132464,0.148237,"96,385","28,394,800","NLC2",0.0686212315633155
"2017-12-15",0.138899,0.154276,0.127945,0.134098,"183,808","28,430,100","NLC2",-0.0345646836910273
"2017-12-14",0.122727,0.146581,0.119804,0.138796,"163,296","25,118,500","NLC2",0.130932883554556
"2017-12-13",0.126826,0.136527,0.118353,0.121085,"101,779","25,955,800","NLC2",-0.0452667434122341
"2017-12-12",0.141641,0.167579,0.126322,0.127546,"197,983","28,986,300","NLC2",-0.099512146906616
"2017-12-11",0.16475,0.173384,0.14185,0.142038,"175,087","33,713,300","NLC2",-0.137857359635812
"2017-12-10",0.154246,0.170757,0.133929,0.162801,"78,102","31,562,000","NLC2",0.0554633507513972
"2017-12-09",0.17126,0.178036,0.145526,0.156111,"73,218","35,041,200","NLC2",-0.0884561485460703
"2017-12-08",0.130337,0.185951,0.112309,0.171333,"238,633","26,666,400","NLC2",0.314538465669764
"2017-12-07",0.154987,0.169172,0.124454,0.130006,"213,170","31,707,600","NLC2",-0.161181260363772
"2017-12-06",0.171436,0.17164,0.138283,0.155111,"329,547","35,070,800","NLC2",-0.0952250402482559
"2017-12-05",0.152064,0.180766,0.147276,0.171693,"243,490","31,106,000","NLC2",0.129083806818182
"2017-12-04",0.174686,0.187447,0.14621,0.156407,"162,996","35,731,500","NLC2",-0.104639181159337
"2017-12-03",0.191569,0.200422,0.164671,0.174111,"129,264","39,182,200","NLC2",-0.0911316549128513
"2017-12-02",0.199389,0.20247,0.172358,0.191386,"147,021","40,779,400","NLC2",-0.040137620430415
"2017-12-01",0.1902,0.207684,0.16707,0.199558,"73,092","38,897,600","NLC2",0.0492008412197687
"2017-11-30",0.168614,0.200187,0.165174,0.193656,"52,606","34,481,000","NLC2",0.148516730520597
"2017-11-29",0.22772,0.243495,0.163375,0.175512,"247,902","46,565,500","NLC2",-0.229264008431407
"2017-11-28",0.154878,0.227953,0.154676,0.227953,"206,019","31,668,600","NLC2",0.471822983251333
"2017-11-27",0.158226,0.164396,0.148195,0.154422,"90,125","32,351,200","NLC2",-0.0240415608054302
"2017-11-26",0.177923,0.177923,0.152102,0.160379,"115,439","36,376,300","NLC2",-0.098604452487874
"2017-11-25",0.166678,0.177949,0.151801,0.177949,"171,696","34,075,500","NLC2",0.0676214017446814
"2017-11-24",0.171628,0.182086,0.163644,0.167013,"127,977","35,085,000","NLC2",-0.0268895518213812
"2017-11-23",0.17728,0.185144,0.171861,0.171861,"61,837","36,238,300","NLC2",-0.0305674638989169
"2017-11-22",0.174637,0.184959,0.167337,0.176556,"90,641","35,696,000","NLC2",0.0109885075900296
"2017-11-21",0.17021,0.182411,0.157791,0.174216,"64,493","34,789,100","NLC2",0.0235356324540274
"2017-11-20",0.176517,0.186173,0.152399,0.170175,"102,124","36,075,900","NLC2",-0.035928550791142
"2017-11-19",0.185641,0.188335,0.163125,0.178519,"113,037","37,938,500","NLC2",-0.03836436993983
"2017-11-18",0.184243,0.189288,0.175604,0.185987,"81,242","37,650,400","NLC2",0.00946575989318467
"2017-11-17",0.195828,0.203892,0.184546,0.184946,"54,714","40,015,700","NLC2",-0.0555691729476888
"2017-11-16",0.188695,0.202242,0.182561,0.196156,"74,243","38,556,000","NLC2",0.0395399984101327
"2017-11-15",0.17773,0.192065,0.17053,0.187714,"117,488","36,313,400","NLC2",0.0561750970573341
"2017-11-14",0.179023,0.194971,0.174059,0.178289,"90,958","36,575,500","NLC2",-0.00410003183948423
"2017-11-13",0.164982,0.191568,0.163421,0.180651,"167,896","33,704,800","NLC2",0.094973997163327
"2017-11-12",0.179442,0.188231,0.152404,0.16474,"73,688","36,656,600","NLC2",-0.0819317662531625
"2017-11-11",0.18132,0.203985,0.178925,0.180348,"184,528","37,037,900","NLC2",-0.00536068828590338
"2017-11-10",0.220661,0.224759,0.173443,0.181968,"160,358","45,071,500","NLC2",-0.175350424406669
"2017-11-09",0.219576,0.225617,0.199318,0.22079,"130,065","44,847,100","NLC2",0.00552883739570806
"2017-11-08",0.193216,0.219802,0.190985,0.219802,"88,608","39,460,900","NLC2",0.137597300430606
"2017-11-07",0.191561,0.213716,0.177087,0.193833,"217,494","39,120,500","NLC2",0.0118604517621019
"2017-11-06",0.216132,0.227264,0.18534,0.191868,"156,335","44,136,000","NLC2",-0.11226472711121
"2017-11-05",0.204862,0.246295,0.199217,0.214238,"139,141","41,832,100","NLC2",0.0457673946363895
"2017-11-04",0.202223,0.209913,0.175914,0.202975,"99,534","41,290,900","NLC2",0.00371866701611575
"2017-11-03",0.191511,0.253825,0.179875,0.200129,"153,890","39,101,400","NLC2",0.045000026108161
"2017-11-02",0.196775,0.213251,0.152861,0.191762,"94,716","40,173,900","NLC2",-0.0254757972303393
"2017-11-01",0.200211,0.221661,0.18938,0.196562,"131,721","40,873,000","NLC2",-0.0182257718107397
"2017-10-31",0.204826,0.213537,0.198302,0.200358,"104,439","41,812,600","NLC2",-0.0218136369406228
