"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",47.04,56.37,43.35,49,"6,762,780","60,977,000","NMR",0.0416666666666667
"2018-01-09",47.51,49.85,43.21,45.17,"2,434,220","61,581,600","NMR",-0.0492527888865501
"2018-01-08",40.86,59.53,38.48,48.65,"13,689,600","52,961,300","NMR",0.190651003426334
"2018-01-07",32.33,41.86,31.5,41.86,"3,964,570","41,899,500","NMR",0.294772656974946
"2018-01-06",31.69,33.53,29.52,32.35,"1,994,520","41,084,800","NMR",0.020826759230041
"2018-01-05",36.08,37.62,30.56,31.55,"2,973,030","46,783,100","NMR",-0.125554323725055
"2018-01-04",38.19,38.82,35.32,37.48,"1,969,820","49,512,100","NMR",-0.0185912542550406
"2018-01-03",37.72,39.74,34.33,37.99,"1,963,410","48,902,300","NMR",0.00715800636267241
"2018-01-02",40.96,44.06,34.64,37.62,"4,444,740","53,113,700","NMR",-0.0815429687500001
"2018-01-01",33.81,42.49,31.47,39.87,"3,185,660","43,841,700","NMR",0.179236912156167
"2017-12-31",27.98,35.06,26.98,32.97,"1,772,510","36,283,600","NMR",0.178341672623302
"2017-12-30",33.08,33.08,25.42,28.77,"980,391","42,897,600","NMR",-0.130290205562273
"2017-12-29",36.74,36.99,31.45,33.16,"2,701,510","47,638,900","NMR",-0.0974414806750138
"2017-12-28",34.34,36.17,28.62,34.2,"2,654,990","44,524,700","NMR",-0.00407687827606292
"2017-12-27",32.13,39.17,31.58,34.53,"4,108,750","41,663,800","NMR",0.0746965452847805
"2017-12-26",34.28,36.04,28.5,32.02,"3,065,750","44,451,500","NMR",-0.0659276546091015
"2017-12-25",27.77,41.01,27.77,34.46,"11,398,800","36,009,700","NMR",0.240907454087144
"2017-12-24",25.59,28.42,22.61,27.53,"1,676,120","33,177,300","NMR",0.0758108636186011
"2017-12-23",23.31,28.68,21.96,26.01,"1,496,370","30,223,600","NMR",0.115830115830116
"2017-12-22",30.02,30.82,17.18,23.06,"1,415,950","38,927,400","NMR",-0.23184543637575
"2017-12-21",27.35,36.12,26.6,29.76,"4,075,520","35,462,600","NMR",0.0881170018281536
"2017-12-20",27.47,29,23,27.22,"1,732,090","35,621,800","NMR",-0.00910083727702949
"2017-12-19",28.94,33.23,25.92,27.53,"3,686,380","37,522,100","NMR",-0.0487214927436075
"2017-12-18",26.19,31.58,25.3,28.88,"2,334,750","33,959,900","NMR",0.102710958381061
"2017-12-17",23.97,27.38,23.78,26.06,"1,560,870","31,079,100","NMR",0.0871923237380058
"2017-12-16",23.79,25.1,22.52,23.96,"659,992","30,852,500","NMR",0.00714585960487607
"2017-12-15",22.78,24.07,20.94,23.26,"792,173","29,541,800","NMR",0.0210711150131695
"2017-12-14",23.21,25.11,21.88,22.72,"1,160,180","30,100,200","NMR",-0.0211115898319691
