"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.136503,0.141401,0.099511,0.121643,"43,644","17,839,800","NOTE",-0.108862076291364
"2018-01-09",0.134876,0.146957,0.120164,0.143475,"79,590","17,622,900","NOTE",0.0637548563124647
"2018-01-08",0.114615,0.144099,0.08031,0.135385,"137,709","14,972,100","NOTE",0.18121537320595
"2018-01-07",0.10691,0.123605,0.085358,0.101129,"26,735","13,962,100","NOTE",-0.0540735197829951
"2018-01-06",0.081672,0.124536,0.072341,0.106988,"39,839","10,663,600","NOTE",0.309971593691841
"2018-01-05",0.107587,0.115736,0.081393,0.081617,"34,336","14,044,000","NOTE",-0.241386041064441
"2018-01-04",0.058726,0.120895,0.058655,0.108001,"92,079","7,664,040","NOTE",0.8390661717127
"2018-01-03",0.061983,0.069241,0.052755,0.058434,"25,803","8,087,020","NOTE",-0.0572576351580273
"2018-01-02",0.050963,0.064937,0.050602,0.0622,"25,074","6,647,750","NOTE",0.220493299060102
"2018-01-01",0.054591,0.060343,0.038862,0.050966,"25,465","7,119,170","NOTE",-0.0664028869227529
"2017-12-31",0.052598,0.057707,0.046053,0.049666,"5,912","6,857,700","NOTE",-0.0557435643940834
"2017-12-30",0.051153,0.05935,0.040981,0.05317,"21,530","6,667,740","NOTE",0.0394307274255665
"2017-12-29",0.046556,0.060266,0.039573,0.051405,"23,685","6,067,060","NOTE",0.104154136953346
"2017-12-28",0.051572,0.052412,0.039153,0.046043,"9,426","6,719,150","NOTE",-0.107209338400683
"2017-12-27",0.051311,0.064429,0.040874,0.051679,"26,153","6,683,530","NOTE",0.00717195143341584
"2017-12-26",0.040596,0.057561,0.03929,0.051272,"24,118","5,286,610","NOTE",0.262981574539363
"2017-12-25",0.040716,0.047061,0.02438,0.040635,"27,065","5,300,930","NOTE",-0.00198938992042452
"2017-12-24",0.027266,0.041498,0.023593,0.0403,"36,904","3,548,970","NOTE",0.478031247707768
"2017-12-23",0.026401,0.029228,0.021499,0.026969,"19,307","3,435,610","NOTE",0.0215143365781599
"2017-12-22",0.028371,0.028635,0.017813,0.0252,"16,404","3,691,110","NOTE",-0.111769059955588
"2017-12-21",0.025108,0.031695,0.024706,0.028275,"20,603","3,265,710","NOTE",0.126135096383623
"2017-12-20",0.023313,0.028112,0.020665,0.025048,"12,599","3,031,550","NOTE",0.0744219963110711
"2017-12-19",0.024097,0.025549,0.022168,0.023333,"9,581","3,132,680","NOTE",-0.0317051915176163
"2017-12-18",0.023237,0.024076,0.020722,0.024076,"2,864","3,020,250","NOTE",0.0361062099238284
"2017-12-17",0.021192,0.025202,0.02061,0.02317,"4,925","2,753,730","NOTE",0.0933371083427709
"2017-12-16",0.01882,0.021836,0.018632,0.021276,"4,246","2,444,970","NOTE",0.130499468650372
"2017-12-15",0.018993,0.020342,0.018596,0.018795,"2,216","2,466,820","NOTE",-0.0104248933817722
"2017-12-14",0.018651,0.020551,0.018521,0.018961,"1,874","2,421,900","NOTE",0.016621092702804
"2017-12-13",0.020881,0.021242,0.018511,0.01872,"3,723","2,710,760","NOTE",-0.1034912121067
"2017-12-12",0.021104,0.022531,0.01954,0.020861,"7,128","2,739,090","NOTE",-0.0115144048521607
"2017-12-11",0.019733,0.021929,0.019648,0.021037,"3,630","2,560,610","NOTE",0.0660821973344144
"2017-12-10",0.020073,0.0205,0.016557,0.019114,"6,464","2,604,100","NOTE",-0.0477756189906841
"2017-12-09",0.021186,0.022498,0.019355,0.019997,"1,455","2,747,920","NOTE",-0.0561219673369206
"2017-12-08",0.023618,0.024345,0.019471,0.021206,"6,259","3,062,610","NOTE",-0.102125497501905
"2017-12-07",0.017043,0.024828,0.017043,0.023563,"13,237","2,209,410","NOTE",0.382561755559467
"2017-12-06",0.015852,0.017636,0.015192,0.017069,"5,450","2,054,580","NOTE",0.0767726469846076
"2017-12-05",0.01421,0.016775,0.01375,0.015888,"7,597","1,841,230","NOTE",0.118085855031668
"2017-12-04",0.015297,0.015818,0.013545,0.014182,"1,877","1,981,670","NOTE",-0.072890109171733
"2017-12-03",0.012836,0.016159,0.012836,0.015247,"4,128","1,662,470","NOTE",0.187831100031162
"2017-12-02",0.014605,0.01498,0.012552,0.012556,"4,856","1,891,100","NOTE",-0.140294419719274
"2017-12-01",0.013311,0.016262,0.012218,0.014618,"4,871","1,723,100","NOTE",0.0981894673578244
"2017-11-30",0.011752,0.014693,0.011185,0.014044,"3,797","1,520,970","NOTE",0.19503063308373
"2017-11-29",0.012258,0.01357,0.010706,0.011574,"2,796","1,586,060","NOTE",-0.0558002936857563
"2017-11-28",0.013028,0.015403,0.011765,0.01227,"4,051","1,685,230","NOTE",-0.0581823764200184
"2017-11-27",0.013721,0.014048,0.011312,0.014025,"2,135","1,774,540","NOTE",0.0221558195466802
"2017-11-26",0.012302,0.014586,0.011053,0.013719,"6,008","1,590,560","NOTE",0.115184522841814
"2017-11-25",0.009424,0.013902,0.009263,0.01302,"9,037","1,218,250","NOTE",0.381578947368421
"2017-11-24",0.009801,0.011251,0.009293,0.009444,"4,906","1,266,610","NOTE",-0.0364248546066729
"2017-11-23",0.014838,0.014926,0.008016,0.009821,"9,913","1,917,100","NOTE",-0.338118344790403
"2017-11-22",0.017066,0.01782,0.013788,0.014872,"25,848","2,204,450","NOTE",-0.128559709363647
"2017-11-21",0.018324,0.01988,0.016503,0.017024,"34,382","2,366,410","NOTE",-0.0709452084697664
"2017-11-20",0.017434,0.020129,0.016634,0.01832,"39,204","2,251,000","NOTE",0.0508202363198347
"2017-11-19",0.019214,0.020219,0.017165,0.017299,"34,345","2,480,200","NOTE",-0.0996669095451234
"2017-11-18",0.021138,0.024408,0.01779,0.019243,"82,829","2,727,860","NOTE",-0.0896489734128111
"2017-11-17",0.019555,0.020844,0.017412,0.018823,"16,797","2,523,050","NOTE",-0.037432881615955
"2017-11-16",0.020035,0.022019,0.018424,0.019352,"25,366","2,584,270","NOTE",-0.0340903419016721
"2017-11-15",0.019762,0.024102,0.019701,0.01993,"39,255","2,548,430","NOTE",0.00850116384981285
"2017-11-14",0.019007,0.020619,0.018149,0.019808,"16,473","2,450,580","NOTE",0.0421423686010417
"2017-11-13",0.017496,0.020588,0.015613,0.018967,"33,508","2,255,230","NOTE",0.0840763603109282
"2017-11-12",0.019853,0.020182,0.015545,0.017471,"57,121","2,558,360","NOTE",-0.119981866720395
"2017-11-11",0.02067,0.022238,0.019453,0.019989,"34,948","2,663,040","NOTE",-0.0329462989840349
"2017-11-10",0.02566,0.026676,0.020298,0.021307,"67,837","3,305,140","NOTE",-0.169641465315666
"2017-11-09",0.027241,0.027572,0.024884,0.025584,"115,907","3,507,980","NOTE",-0.0608274292426857
"2017-11-08",0.033238,0.033238,0.022282,0.02764,"443,363","4,279,250","NOTE",-0.168421686022023
"2017-11-07",0.036572,0.037994,0.03033,0.03306,"97,392","4,707,410","NOTE",-0.0960297495351635
"2017-11-06",0.036627,0.040446,0.034147,0.036429,"48,101","4,713,290","NOTE",-0.00540584814481112
"2017-11-05",0.035761,0.038132,0.034568,0.036546,"14,863","4,600,760","NOTE",0.0219512877156679
