"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.016209,0.021423,0.015208,0.021423,"55,780","45,022,200","NSR",0.321673144549324
"2018-01-09",0.018645,0.022368,0.014671,0.016188,"75,865","51,788,400","NSR",-0.131777956556717
"2018-01-08",0.016764,0.018886,0.013314,0.018696,"22,263","46,562,300","NSR",0.115246957766643
"2018-01-07",0.027697,0.027697,0.015273,0.016787,"2,402","76,932,300","NSR",-0.393905477127487
"2018-01-06",0.016615,0.029799,0.01462,0.027718,"172,888","46,151,300","NSR",0.668251579897683
"2018-01-05",0.012401,0.028703,0.012031,0.016602,"56,117","34,445,800","NSR",0.33876300298363
"2018-01-04",0.014757,0.028649,0.011897,0.012309,"104,713","40,988,000","NSR",-0.165887375482822
"2018-01-03",0.014389,0.015154,0.011705,0.014679,"26,660","39,968,300","NSR",0.0201542845228993
"2018-01-02",0.012961,0.01451,0.012634,0.014441,"101,562","36,001,500","NSR",0.114188720006172
"2018-01-01",0.013393,0.013393,0.009475,0.012272,"3,784","37,201,800","NSR",-0.0837004405286344
"2017-12-31",0.009301,0.013815,0.009208,0.013369,"119,984","25,834,000","NSR",0.437372325556392
"2017-12-30",0.013526,0.01377,0.009287,0.009402,"69,913","37,568,900","NSR",-0.304894277687417
"2017-12-29",0.010438,0.014154,0.006134,0.01356,"49,228","28,993,900","NSR",0.299099444337996
"2017-12-28",0.012319,0.014207,0.009831,0.010332,"50,177","34,218,300","NSR",-0.161295559704522
"2017-12-27",0.00948,0.015453,0.009405,0.012345,"41,386","26,331,600","NSR",0.302215189873418
"2017-12-26",0.006014,0.010593,0.006008,0.009473,"261,525","16,704,100","NSR",0.575157964748919
"2017-12-25",0.006201,0.006298,0.005661,0.00602,"1,114","17,222,600","NSR",-0.0291888405095952
"2017-12-24",0.005843,0.00637,0.005114,0.006137,"101,614","16,228,300","NSR",0.0503166181755947
"2017-12-23",0.005439,0.006364,0.005439,0.005779,"18,099","15,108,700","NSR",0.0625114910829197
"2017-12-22",0.006442,0.006506,0.004807,0.005389,"26,783","17,894,300","NSR",-0.163458553244334
"2017-12-21",0.006454,0.006857,0.005672,0.00642,"8,343","17,926,400","NSR",-0.00526805082119605
"2017-12-20",0.005638,0.006956,0.005133,0.006437,"64,839","15,660,100","NSR",0.141716920893934
"2017-12-19",0.006697,0.007215,0.004959,0.005644,"63,396","18,600,900","NSR",-0.157234582648947
"2017-12-18",0.004974,0.006691,0.004067,0.006691,"19,715","13,814,600","NSR",0.34519501407318
"2017-12-17",0.006814,0.006989,0.004471,0.004959,"16,379","18,927,100","NSR",-0.272233636630467
"2017-12-16",0.006706,0.007258,0.006169,0.006813,"32,598","18,627,300","NSR",0.0159558604235013
"2017-12-15",0.005784,0.006798,0.005783,0.006697,"30,476","16,066,900","NSR",0.157849239280775
"2017-12-14",0.005221,0.006996,0.005164,0.005776,"88,345","14,502,200","NSR",0.106301474813254
"2017-12-13",0.005947,0.006599,0.004969,0.005238,"20,597","16,518,300","NSR",-0.119219774676307
"2017-12-12",0.005051,0.00683,0.004997,0.005942,"48,339","14,029,600","NSR",0.176400712730153
"2017-12-11",0.00504,0.006375,0.00466,0.005035,"24,530","13,998,300","NSR",-0.000992063492063452
"2017-12-10",0.005506,0.006251,0.003885,0.005076,"26,694","15,292,500","NSR",-0.0780966218670541
"2017-12-09",0.006489,0.006585,0.004243,0.005483,"8,616","18,022,900","NSR",-0.155031591924796
"2017-12-08",0.006769,0.006922,0.005774,0.006495,"23,971","18,800,500","NSR",-0.0404786526813414
"2017-12-07",0.00467,0.006753,0.004422,0.006753,"7,496","12,971,900","NSR",0.446038543897216
"2017-12-06",0.00351,0.0051,0.00351,0.004678,"3,692","9,750,020","NSR",0.332763532763533
"2017-12-05",0.004779,0.004796,0.003396,0.003518,"5,018","13,274,300","NSR",-0.263862732789287
"2017-12-04",0.004159,0.00477,0.004155,0.00477,"9,448","11,553,300","NSR",0.146910314979562
"2017-12-03",0.004263,0.004508,0.002859,0.004146,"9,986","11,841,900","NSR",-0.0274454609429979
"2017-12-02",0.003265,0.004308,0.003259,0.004259,"10,834","9,069,720","NSR",0.304441041347626
"2017-12-01",0.002099,0.003268,0.001798,0.003268,"40,889","5,828,920","NSR",0.556931872320152
"2017-11-30",0.001966,0.002138,0.0018,0.002109,"37,442","5,460,030","NSR",0.0727365208545271
"2017-11-29",0.001688,0.002288,0.001548,0.001936,"9,711","4,687,900","NSR",0.146919431279621
"2017-11-28",0.001561,0.001987,0.001546,0.001689,"12,482","4,335,440","NSR",0.0819987187700191
"2017-11-27",0.001491,0.001559,0.001491,0.001557,"701","4,140,930","NSR",0.0442655935613683
"2017-11-26",0.001749,0.001789,0.001475,0.001491,"6,471","4,858,740","NSR",-0.147512864493997
"2017-11-25",0.001478,0.00175,0.001469,0.00175,"13,125","4,104,720","NSR",0.184032476319351
"2017-11-24",0.001447,0.001501,0.001419,0.001481,"485","4,018,270","NSR",0.0234968901174844
"2017-11-23",0.001398,0.00148,0.001378,0.001449,"6,520","3,883,870","NSR",0.036480686695279
"2017-11-22",0.001301,0.001414,0.001296,0.001399,"6,206","3,612,440","NSR",0.07532667179093
"2017-11-21",0.001236,0.001652,0.001233,0.001297,"7,282","3,433,710","NSR",0.0493527508090616
"2017-11-20",0.001609,0.001712,0.000573,0.001236,"23,038","4,468,270","NSR",-0.231821006836544
"2017-11-19",0.001635,0.001644,0.001543,0.001609,"4,962","4,542,070","NSR",-0.0159021406727829
"2017-11-18",0.001633,0.001653,0.001459,0.001638,"9,441","4,536,250","NSR",0.00306184935701164
"2017-11-17",0.001334,0.001651,0.001287,0.001638,"77","3,706,110","NSR",0.227886056971514
"2017-11-16",0.001534,0.001733,0.001259,0.001337,"15,507","4,259,840","NSR",-0.128422425032594
"2017-11-15",0.001455,0.001538,0.001433,0.001526,"5,049","4,040,170","NSR",0.0487972508591066
"2017-11-14",0.001306,0.001461,0.001299,0.001454,"5,204","3,628,020","NSR",0.113323124042879
"2017-11-13",0.001585,0.001704,0.001268,0.001303,"13,971","4,402,830","NSR",-0.177917981072555
"2017-11-12",0.001718,0.001738,0.001218,0.001583,"9,779","4,770,590","NSR",-0.0785797438882421
"2017-11-11",0.001446,0.001836,0.001445,0.001719,"4,695","4,017,710","NSR",0.188796680497925
"2017-11-10",0.00164,0.001874,0.001451,0.001452,"15,810","4,554,260","NSR",-0.114634146341463
"2017-11-09",0.002091,0.002091,0.001551,0.001635,"5,060","5,807,620","NSR",-0.218077474892396
"2017-11-08",0.001566,0.002196,0.001556,0.002093,"7,507","4,348,470","NSR",0.336526181353768
"2017-11-07",0.001601,0.002164,0.001553,0.00157,"7,336","4,445,730","NSR",-0.0193628981886321
"2017-11-06",0.001627,0.002144,0.00155,0.001603,"4,032","4,517,880","NSR",-0.0147510755992624
"2017-11-05",0.001844,0.001859,0.001605,0.001623,"134","5,122,450","NSR",-0.119848156182213
"2017-11-04",0.001792,0.002401,0.001683,0.001848,"8,792","4,976,710","NSR",0.03125
"2017-11-03",0.002107,0.00224,0.001778,0.001796,"14","5,852,360","NSR",-0.147603227337447
"2017-11-02",0.001682,0.002126,0.001682,0.00211,"8,464","4,672,350","NSR",0.254458977407848
"2017-11-01",0.001482,0.001683,0.001464,0.00168,"1,521","4,116,690","NSR",0.133603238866397
"2017-10-31",0.001226,0.001866,0.001225,0.001483,"6,865","3,404,110","NSR",0.209624796084829
"2017-10-30",0.001539,0.001852,0.001449,0.001476,"3,960","4,275,370","NSR",-0.0409356725146198
"2017-10-29",0.001833,0.001839,0.001435,0.001548,"97","5,091,160","NSR",-0.155482815057283
"2017-10-28",0.001268,0.001842,0.001261,0.001835,"16,272","3,521,870","NSR",0.447160883280757
"2017-10-27",0.001458,0.0015,0.001254,0.001264,"11","4,048,970","NSR",-0.133058984910837
"2017-10-26",0.00195,0.001956,0.00131,0.001458,"2,040","5,415,460","NSR",-0.252307692307692
"2017-10-25",0.001876,0.001953,0.001315,0.00195,"5,547","5,211,400","NSR",0.0394456289978677
"2017-10-24",0.00217,0.00219,0.001127,0.001875,"9,891","6,028,120","NSR",-0.13594470046083
"2017-10-23",0.002332,0.002488,0.000906,0.002175,"22,077","6,477,150","NSR",-0.0673241852487136
"2017-10-22",0.002646,0.002714,0.000881,0.002336,"20,704","7,349,600","NSR",-0.117157974300831
"2017-10-21",0.002642,0.002725,0.002597,0.002645,"3,703","7,339,160","NSR",0.00113550340651037
"2017-10-20",0.002453,0.002689,0.002445,0.002648,"2,831","6,813,360","NSR",0.0794944965348554
"2017-10-19",0.002402,0.002469,0.00238,0.002452,"1,216","6,672,070","NSR",0.0208159866777686
"2017-10-18",0.002464,0.002464,0.001848,0.002401,"1,201","6,844,900","NSR",-0.0255681818181819
