"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.711974,0.711974,0.582205,0.671244,"1,349,390","47,361,600","NXC",-0.0572071452047407
"2018-01-09",0.676659,0.854158,0.676659,0.710795,"2,898,220","45,012,500","NXC",0.050447862217158
"2018-01-08",0.720774,0.732318,0.621458,0.675595,"1,188,570","47,947,000","NXC",-0.0626812287901618
"2018-01-07",0.742105,0.757291,0.679009,0.724506,"966,958","49,366,000","NXC",-0.023714972948572
"2018-01-06",0.689346,0.821249,0.689346,0.725872,"1,717,100","45,856,400","NXC",0.0529864538272507
"2018-01-05",0.763308,0.802793,0.637822,0.701325,"3,278,460","50,776,500","NXC",-0.0812031316323162
"2018-01-04",0.660449,0.879979,0.639635,0.767656,"5,960,350","43,934,100","NXC",0.162324418690921
"2018-01-03",0.595194,0.664091,0.565828,0.661761,"1,520,920","39,593,300","NXC",0.11184084516981
"2018-01-02",0.595633,0.665771,0.559132,0.598488,"2,627,910","39,622,400","NXC",0.00479321998613249
"2018-01-01",0.5049,0.667466,0.48101,0.599221,"2,403,420","33,586,700","NXC",0.186811249752426
"2017-12-31",0.473962,0.511953,0.463711,0.496833,"610,288","31,528,700","NXC",0.0482549233904828
"2017-12-30",0.501161,0.501772,0.401546,0.481147,"923,152","33,338,000","NXC",-0.0399352703023579
"2017-12-29",0.432208,0.532662,0.414164,0.499482,"1,924,760","28,751,200","NXC",0.155651908340429
"2017-12-28",0.399539,0.448588,0.360003,0.431593,"926,168","26,578,000","NXC",0.0802274621501281
"2017-12-27",0.401316,0.452112,0.371318,0.400077,"758,857","26,696,100","NXC",-0.00308734264270547
"2017-12-26",0.45328,0.471535,0.323217,0.395032,"1,481,010","30,152,900","NXC",-0.128503353335687
"2017-12-25",0.373325,0.470485,0.356145,0.450437,"1,189,350","24,834,100","NXC",0.206554610593986
"2017-12-24",0.397619,0.404082,0.319501,0.373595,"874,111","26,450,200","NXC",-0.0604196479544488
"2017-12-23",0.280902,0.443475,0.27529,0.410951,"2,391,920","18,686,000","NXC",0.462969291781476
"2017-12-22",0.32476,0.327871,0.20787,0.278339,"551,706","21,603,600","NXC",-0.142939401404114
"2017-12-21",0.333136,0.390817,0.301088,0.323786,"1,144,870","22,160,700","NXC",-0.0280666154363382
"2017-12-20",0.297377,0.333921,0.253246,0.329334,"1,116,250","19,782,000","NXC",0.107462917441497
"2017-12-19",0.297432,0.328984,0.271815,0.293357,"1,186,460","19,785,700","NXC",-0.0137006105597246
"2017-12-18",0.249848,0.304943,0.240223,0.297181,"1,246,740","16,620,300","NXC",0.189447183887804
"2017-12-17",0.245639,0.261542,0.237251,0.249115,"340,245","16,340,300","NXC",0.0141508473817269
"2017-12-16",0.218417,0.252109,0.214131,0.248194,"293,856","14,529,400","NXC",0.136330963249198
"2017-12-15",0.216354,0.259504,0.20467,0.218701,"674,892","14,392,200","NXC",0.0108479621361288
"2017-12-14",0.207836,0.229661,0.20431,0.218151,"385,691","13,825,600","NXC",0.0496304778767876
"2017-12-13",0.197539,0.24276,0.18991,0.208254,"482,237","13,140,600","NXC",0.0542424533889511
"2017-12-12",0.189153,0.212543,0.18034,0.197374,"316,001","12,582,800","NXC",0.0434621708352498
"2017-12-11",0.175608,0.212292,0.174243,0.192345,"314,944","11,681,700","NXC",0.0953088697553642
"2017-12-10",0.208418,0.208418,0.161808,0.177622,"398,262","13,864,300","NXC",-0.147760750031187
"2017-12-09",0.223803,0.258528,0.188662,0.207577,"606,303","14,887,700","NXC",-0.0725012622708364
"2017-12-08",0.199243,0.250933,0.170622,0.226704,"612,089","13,253,900","NXC",0.137826673960942
"2017-12-07",0.226513,0.238547,0.185379,0.200435,"351,701","15,068,000","NXC",-0.115128050045693
"2017-12-06",0.229763,0.238684,0.21525,0.226611,"267,645","15,284,200","NXC",-0.013718483828989
"2017-12-05",0.219327,0.231511,0.21615,0.231165,"136,088","14,590,000","NXC",0.0539742029025155
"2017-12-04",0.201322,0.222623,0.198723,0.218896,"274,154","13,392,300","NXC",0.0872929933141932
"2017-12-03",0.199295,0.216553,0.188977,0.200657,"111,396","13,257,400","NXC",0.00683409016784165
"2017-12-02",0.193084,0.209007,0.186225,0.199105,"137,934","12,844,200","NXC",0.0311833191771457
"2017-12-01",0.181016,0.198394,0.172273,0.193292,"122,051","12,041,500","NXC",0.0678172095284394
"2017-11-30",0.184336,0.202667,0.161601,0.181932,"104,597","12,262,300","NXC",-0.0130414026560194
"2017-11-29",0.210052,0.228704,0.176031,0.181547,"166,658","13,973,000","NXC",-0.135704492220974
"2017-11-28",0.209601,0.220236,0.204846,0.210117,"189,371","13,943,000","NXC",0.00246182031574271
