"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",11.6,11.6,8.92,10.9,"6,337,330","637,169,000","NXS",-0.0603448275862068
"2018-01-09",12.7,13.41,11.09,11.59,"6,100,540","697,360,000","NXS",-0.0874015748031496
"2018-01-08",12.48,13.64,11.28,12.77,"8,084,190","684,687,000","NXS",0.0232371794871794
"2018-01-07",12.74,14.74,11.49,12.57,"9,461,710","699,068,000","NXS",-0.0133437990580848
"2018-01-06",13.04,15.86,11.41,12.77,"24,530,100","715,056,000","NXS",-0.0207055214723926
"2018-01-05",8.65,14.23,5.69,12.59,"89,224,500","474,149,000","NXS",0.455491329479769
"2018-01-04",3.98,9.02,3.82,8.5,"30,486,100","217,967,000","NXS",1.1356783919598
"2018-01-03",3.22,4.18,3.06,3.95,"3,754,430","176,355,000","NXS",0.226708074534161
"2018-01-02",3.07,3.53,2.97,3.23,"2,206,790","167,973,000","NXS",0.0521172638436483
"2018-01-01",3.18,3.27,2.98,3.1,"768,096","174,154,000","NXS",-0.0251572327044025
"2017-12-31",2.87,3.27,2.85,3.12,"674,697","156,964,000","NXS",0.0871080139372822
"2017-12-30",3.31,3.34,2.78,2.9,"759,528","180,776,000","NXS",-0.123867069486405
"2017-12-29",3.55,3.7,3.21,3.4,"1,279,480","194,218,000","NXS",-0.0422535211267605
"2017-12-28",3.42,3.63,2.79,3.58,"2,051,560","186,971,000","NXS",0.0467836257309942
"2017-12-27",3.45,3.57,3.24,3.42,"1,438,740","188,657,000","NXS",-0.00869565217391311
"2017-12-26",3.64,3.74,3.17,3.44,"1,813,960","198,762,000","NXS",-0.054945054945055
"2017-12-25",3.45,3.96,3.24,3.63,"2,574,450","188,182,000","NXS",0.0521739130434782
"2017-12-24",3.66,3.66,2.96,3.35,"1,009,490","199,587,000","NXS",-0.0846994535519126
"2017-12-23",3.31,3.95,3.18,3.66,"2,022,960","180,761,000","NXS",0.105740181268882
"2017-12-22",3.89,3.93,2.31,3.24,"2,168,160","212,021,000","NXS",-0.167095115681234
"2017-12-21",4.06,4.32,3.65,3.84,"2,882,820","221,323,000","NXS",-0.0541871921182265
"2017-12-20",4,4.43,3.32,4.03,"6,697,240","217,690,000","NXS",0.00750000000000006
"2017-12-19",4.27,4.31,3.62,3.91,"2,435,640","232,329,000","NXS",-0.0843091334894612
"2017-12-18",3.72,4.26,3.57,4.26,"2,064,440","202,664,000","NXS",0.145161290322581
"2017-12-17",3.8,4.25,3.63,3.72,"2,727,650","207,025,000","NXS",-0.0210526315789473
"2017-12-16",4.01,4.08,3.58,3.83,"4,327,430","218,083,000","NXS",-0.0448877805486284
"2017-12-15",3.2,4.06,2.83,4.03,"7,751,370","173,778,000","NXS",0.259375
"2017-12-14",2.78,3.29,2.63,3.2,"2,682,170","151,089,000","NXS",0.151079136690648
"2017-12-13",2.47,3.08,2.38,2.79,"3,661,090","134,122,000","NXS",0.129554655870445
