"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.14,2.25,1.67,1.82,"3,113,900","53,455,300","OAX",-0.149532710280374
"2018-01-09",2.03,2.42,1.87,2.14,"5,050,290","50,701,600","OAX",0.0541871921182268
"2018-01-08",2.24,2.36,1.7,2.02,"5,105,020","55,902,900","OAX",-0.0982142857142858
"2018-01-07",2.32,2.92,2.09,2.23,"10,949,500","57,934,100","OAX",-0.0387931034482758
"2018-01-06",1.88,2.54,1.63,2.08,"8,940,720","46,914,700","OAX",0.106382978723404
"2018-01-05",1.38,2.36,1.37,1.82,"10,892,000","34,454,400","OAX",0.318840579710145
"2018-01-04",1.25,1.61,1.19,1.4,"3,472,780","31,348,100","OAX",0.12
"2018-01-03",1.05,1.3,1,1.24,"2,508,640","26,356,300","OAX",0.180952380952381
"2018-01-02",1.1,1.22,0.999745,1.06,"2,965,580","27,494,700","OAX",-0.0363636363636364
"2018-01-01",1.21,1.48,1.11,1.11,"6,060,930","30,162,500","OAX",-0.0826446280991734
"2017-12-31",0.82699,1.63,0.80608,1.21,"15,552,300","20,682,400","OAX",0.463137401903288
"2017-12-30",0.822759,0.865402,0.714662,0.829091,"1,483,170","20,576,600","OAX",0.00769605680399729
"2017-12-29",0.724904,0.838771,0.701878,0.824068,"1,038,090","18,129,300","OAX",0.136796044717645
"2017-12-28",0.749181,0.754702,0.634312,0.718799,"543,534","18,736,500","OAX",-0.0405536178840628
"2017-12-27",0.74825,0.760293,0.715466,0.7554,"544,784","18,713,200","OAX",0.00955562980287336
"2017-12-26",0.797051,0.87476,0.683765,0.74729,"1,055,510","19,933,600","OAX",-0.0624313877029198
"2017-12-25",0.626395,0.792992,0.616254,0.790805,"1,165,040","15,665,700","OAX",0.262470166588175
"2017-12-24",0.65215,0.682995,0.534359,0.617148,"653,505","16,309,800","OAX",-0.0536717012957141
"2017-12-23",0.511666,1.61,0.511666,0.644925,"1,111,490","12,796,400","OAX",0.260441381682582
"2017-12-22",0.61868,0.624072,0.381203,0.506685,"1,391,980","15,472,700","OAX",-0.181022499515097
"2017-12-21",0.576786,0.694815,0.573698,0.632728,"3,631,630","14,425,000","OAX",0.096989177962017
"2017-12-20",0.597264,0.597264,0.534323,0.585093,"1,469,120","14,937,100","OAX",-0.0203779233303866
"2017-12-19",0.631047,0.660092,0.553777,0.59787,"2,576,250","15,782,000","OAX",-0.0525745308986494
"2017-12-18",0.586015,0.633883,0.519178,0.631099,"2,249,160","14,655,800","OAX",0.0769331843041561
