"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.235132,0.42379,0.232671,0.329964,"785","-","OMC",0.40331388326557
"2018-01-09",0.175899,0.272299,0.168145,0.26837,"303","-","OMC",0.525705092126732
"2018-01-08",0.18972,0.190431,0.16593,0.17638,"17","-","OMC",-0.070314147164242
"2018-01-07",0.217268,0.217268,0.186005,0.189985,"77","-","OMC",-0.125573025019791
"2018-01-06",0.213998,0.218011,0.206662,0.217428,"8","-","OMC",0.0160281871793195
"2018-01-05",0.211711,0.214248,0.210209,0.213828,"146","-","OMC",0.00999948042378516
"2018-01-03",0.17254,0.179821,0.170635,0.174102,"3","-","OMC",0.00905297322360037
"2018-01-02",0.164717,0.185444,0.159032,0.173154,"3","-","OMC",0.0512211854271265
"2018-01-01",0.168959,0.171948,0.150291,0.16473,"24","-","OMC",-0.0250297409430691
"2017-12-29",0.179108,0.179108,0.176609,0.177184,"17","-","OMC",-0.0107421220715992
"2017-12-28",0.183243,0.192901,0.16869,0.177273,"17","-","OMC",-0.0325796892650743
"2017-12-27",0.184501,0.192913,0.17386,0.183628,"119","-","OMC",-0.00473168167110197
"2017-12-26",0.161862,0.187826,0.1612,0.184368,"14","-","OMC",0.139044371130963
"2017-12-25",0.179467,0.184691,0.158835,0.162028,"9","-","OMC",-0.0971710676614641
"2017-12-24",0.170311,0.177623,0.146654,0.177623,"5","-","OMC",0.0429332221641586
"2017-12-23",0.166303,0.189617,0.164646,0.168451,"16","-","OMC",0.0129161831115493
"2017-12-22",0.204269,0.206282,0.137351,0.164747,"103","-","OMC",-0.193480165859724
"2017-12-21",0.254336,0.268275,0.196909,0.203564,"54","-","OMC",-0.199625691997987
"2017-12-20",0.25371,0.25683,0.227007,0.253672,"94","-","OMC",-0.000149777304796746
"2017-12-19",0.310155,0.333881,0.245541,0.25396,"200","-","OMC",-0.181183601747513
"2017-12-18",0.347818,1.13,0.231055,0.309892,"17,985","-","OMC",-0.109039785175005
"2017-12-17",0.206258,1.37,0.202154,0.346768,"20,880","-","OMC",0.681234182431712
"2017-12-16",0.185841,0.207861,0.18452,0.206231,"2","-","OMC",0.109717446634489
"2017-12-15",0.175663,0.19141,0.175629,0.188166,"16","-","OMC",0.0711760587033125
"2017-12-14",0.173416,0.180705,0.171457,0.1754,"53","-","OMC",0.0114406975134936
"2017-12-13",0.179813,0.184062,0.168763,0.173975,"3","-","OMC",-0.0324670630043435
"2017-12-12",0.1783,0.188064,0.17412,0.186694,"9","-","OMC",0.0470779584969154
