"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",107.37,107.71,94.6,100.03,"1,301,000","60,174,000","OMNI",-0.0683617397783366
"2018-01-09",99.2,124.39,99.2,107.13,"4,610,120","55,592,900","OMNI",0.0799395161290322
"2018-01-08",114.18,115.6,99.18,99.36,"1,182,510","63,986,400","OMNI",-0.129795060430899
"2018-01-07",113.58,129,111.34,113.62,"3,119,310","63,652,900","OMNI",0.000352174678640661
"2018-01-06",99.77,120.84,89.39,116.71,"2,282,670","55,911,600","OMNI",0.169790518191841
"2018-01-05",95.82,102.58,83.7,100.38,"2,035,920","53,695,400","OMNI",0.0475892298058861
"2018-01-04",99.86,100.87,87.9,95.72,"1,449,160","55,960,600","OMNI",-0.0414580412577609
"2018-01-03",95.98,101.83,90.39,98.62,"1,304,270","53,784,100","OMNI",0.0275057303604918
"2018-01-02",98.4,105.74,89.52,96.81,"2,382,120","55,142,100","OMNI",-0.0161585365853659
"2018-01-01",93.05,102.45,91.72,98.41,"1,056,720","52,143,300","OMNI",0.0576034390112843
"2017-12-31",97.59,114.88,91.73,91.73,"3,514,570","54,685,100","OMNI",-0.0600471359770468
"2017-12-30",86.6,98.5,80.03,98.1,"3,178,330","48,524,700","OMNI",0.132794457274827
"2017-12-29",90.09,99.92,82.69,86.86,"2,052,330","50,480,800","OMNI",-0.0358530358530359
"2017-12-28",70.99,93.43,60.69,89.62,"4,598,540","39,776,800","OMNI",0.262431328356107
"2017-12-27",82.07,86.64,72.7,73.71,"1,119,900","45,989,200","OMNI",-0.101864262215182
"2017-12-26",81.01,89.58,69.82,81.95,"2,875,350","45,392,400","OMNI",0.0116035057400321
"2017-12-25",66.13,82.57,62.27,80.57,"2,051,490","37,052,200","OMNI",0.218357780130047
"2017-12-24",68.25,68.25,55.42,65.45,"571,902","38,242,500","OMNI",-0.041025641025641
"2017-12-23",64.99,74.57,63.42,68.12,"643,239","36,417,900","OMNI",0.0481612555777814
