"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.489418,0.692534,0.473189,0.629551,"61,904","6,679,890","ONG",0.286325799214577
"2018-01-09",0.579459,0.652758,0.389506,0.489208,"10,364","7,908,840","ONG",-0.155750449988696
"2018-01-08",0.572561,0.662005,0.523712,0.581112,"13,858","7,791,780","ONG",0.0149346532509199
"2018-01-07",0.501858,0.752312,0.408017,0.56741,"11,782","6,829,610","ONG",0.130618621203607
"2018-01-06",0.455245,0.696272,0.441969,0.502058,"3,898","6,195,260","ONG",0.102830344100429
"2018-01-05",0.282692,0.461138,0.280283,0.453047,"2,780","3,564,370","ONG",0.602616982440253
"2018-01-04",0.461966,0.487799,0.274499,0.283864,"7,299","5,824,050","ONG",-0.385530536879337
"2018-01-03",0.328081,0.465795,0.249295,0.46123,"6,944","4,135,260","ONG",0.405841850030937
"2018-01-02",0.170499,0.339478,0.170499,0.326564,"3,632","2,148,490","ONG",0.915342611980129
"2018-01-01",0.156737,0.298126,0.153316,0.170102,"2,547","1,975,070","ONG",0.0852702297479218
"2017-12-31",0.154256,0.276529,0.149121,0.156936,"6,715","1,943,800","ONG",0.0173737164194585
"2017-12-30",0.363854,0.363854,0.148121,0.155614,"4,285","4,584,970","ONG",-0.572317467995405
"2017-12-29",0.215442,0.369045,0.213273,0.36398,"1,063","2,714,820","ONG",0.689457023235952
"2017-12-28",0.222123,0.288738,0.203188,0.214151,"1,112","2,799,010","ONG",-0.035890024896116
"2017-12-27",0.391935,0.391935,0.212474,0.222492,"326","4,938,320","ONG",-0.43232423743733
"2017-12-26",0.217917,0.408623,0.217809,0.391043,"9,226","2,745,720","ONG",0.794458440598944
"2017-12-25",0.202833,0.224508,0.202751,0.217837,"139","2,555,540","ONG",0.0739721840134494
"2017-12-24",0.212158,0.441321,0.182674,0.201837,"172","2,673,030","ONG",-0.0486477059549959
"2017-12-23",0.262123,0.479997,0.164787,0.209678,"243","3,302,550","ONG",-0.200077826058759
"2017-12-22",0.300803,0.302187,0.136423,0.259981,"416","3,789,890","ONG",-0.135710082678697
"2017-12-21",0.317337,0.333661,0.290841,0.299668,"170","3,998,210","ONG",-0.055678978499198
"2017-12-20",0.211894,0.322497,0.187715,0.316998,"1,915","2,669,700","ONG",0.496021595703512
"2017-12-19",0.183183,0.217962,0.159664,0.212121,"4,422","-","ONG",0.157973174366617
"2017-12-18",0.172377,0.185283,0.144828,0.183736,"7,194","-","ONG",0.0658962622623668
"2017-12-17",0.152402,0.195303,0.134713,0.172604,"1,589","-","ONG",0.132557315520794
"2017-12-16",0.171151,0.20369,0.151498,0.151924,"3,068","-","ONG",-0.11233939620569
"2017-12-15",0.218331,0.218911,0.150641,0.170831,"513","-","ONG",-0.217559576972578
"2017-12-14",0.230995,0.239775,0.176871,0.21849,"392","-","ONG",-0.054135370895474
"2017-12-13",0.26693,0.30213,0.193504,0.209258,"3,220","-","ONG",-0.216056644063987
"2017-12-12",0.228322,0.268649,0.207384,0.266747,"1,368","-","ONG",0.168293024763273
"2017-12-11",0.207454,0.229796,0.16411,0.229796,"2,895","-","ONG",0.10769616396888
"2017-12-10",0.23695,0.23695,0.159369,0.205497,"3,464","-","ONG",-0.132741084617008
"2017-12-09",0.162914,0.392547,0.144106,0.236192,"4,730","-","ONG",0.449795597677302
"2017-12-08",0.152539,0.166437,0.12364,0.162918,"2,539","-","ONG",0.0680416155868335
"2017-12-07",0.152866,0.157839,0.147469,0.152318,"5,480","-","ONG",-0.00358483900932839
"2017-12-06",0.181817,0.182499,0.150303,0.153399,"345","-","ONG",-0.156300015950104
"2017-12-05",0.174922,0.186877,0.174027,0.182137,"329","-","ONG",0.0412469557860075
"2017-12-04",0.125069,0.174832,0.123812,0.174832,"3,544","-","ONG",0.397884367828958
"2017-12-03",0.330969,0.357289,0.094449,0.124839,"14,354","-","ONG",-0.622807574123256
"2017-12-02",0.346381,0.393262,0.302441,0.330857,"4,045","-","ONG",-0.0448177007399366
"2017-12-01",0.253057,0.349993,0.252297,0.346391,"10,811","-","ONG",0.368825995724284
