"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.051116,0.058644,0.047912,0.058644,"7","45,699","OS76",0.147272869551608
"2018-01-09",0.051512,0.052366,0.049756,0.051049,"313","46,053","OS76",-0.00898819692498845
"2018-01-08",0.062208,0.062442,0.060107,0.061011,"2","55,616","OS76",-0.0192418981481481
"2018-01-07",0.037674,0.064709,0.03635,0.062296,"2","33,681","OS76",0.653554175293306
"2018-01-06",0.06352,0.063941,0.035834,0.037701,"4","56,789","OS76",-0.40647040302267
"2018-01-05",0.060224,0.064007,0.059943,0.063469,"2","53,842","OS76",0.0538821732199787
"2018-01-04",0.059018,0.059967,0.055745,0.057827,"2","52,763","OS76",-0.0201802839811582
"2018-01-03",0.058008,0.060456,0.035589,0.058696,"164","51,861","OS76",0.0118604330437181
"2018-01-02",0.051588,0.059281,0.051512,0.058214,"4","46,121","OS76",0.128440722648678
"2018-01-01",0.032437,0.032459,0.029955,0.03058,"2","28,999","OS76",-0.0572494373709036
"2017-12-31",0.049841,0.05544,0.029759,0.032312,"6","44,559","OS76",-0.351698400914909
"2017-12-30",0.056678,0.056697,0.04772,0.050385,"3","50,672","OS76",-0.111030735029465
"2017-12-29",0.057291,0.059746,0.043011,0.056821,"34","51,220","OS76",-0.00820373182524303
"2017-12-28",0.062064,0.062327,0.041485,0.056704,"6","55,487","OS76",-0.0863624645527198
"2017-12-27",0.047669,0.062266,0.047291,0.062194,"74","42,618","OS76",0.304705364073087
"2017-12-26",0.056136,0.057011,0.041905,0.047635,"154","50,188","OS76",-0.151435798774405
"2017-12-25",0.054984,0.058713,0.042511,0.056194,"13","49,157","OS76",0.02200640186236
"2017-12-24",0.059302,0.059302,0.057757,0.058532,"12","53,018","OS76",-0.0129843850123099
"2017-12-23",0.042886,0.063571,0.042588,0.058654,"28","38,341","OS76",0.367672433894511
"2017-12-22",0.041847,0.046108,0.035597,0.042485,"51","37,412","OS76",0.0152460152460152
"2017-12-21",0.049614,0.052334,0.048995,0.050721,"5","44,357","OS76",0.0223122505744347
"2017-12-20",0.051154,0.053685,0.047451,0.049485,"7","45,733","OS76",-0.0326269695429487
"2017-12-19",0.078256,0.078537,0.076583,0.077729,"35","69,963","OS76",-0.00673430791249233
"2017-12-18",0.077293,0.078916,0.073826,0.07819,"73","69,102","OS76",0.0116051906382207
"2017-12-17",0.043823,0.07954,0.042951,0.07706,"124","39,179","OS76",0.758437350249869
"2017-12-16",0.07147,0.071813,0.040266,0.043817,"35","63,896","OS76",-0.386917587799077
"2017-12-15",0.06718,0.073202,0.061485,0.07137,"37","60,061","OS76",0.0623697529026496
"2017-12-14",0.056823,0.067337,0.056181,0.067079,"138","50,801","OS76",0.180490294423033
"2017-12-13",0.070313,0.072954,0.055298,0.057006,"107","62,862","OS76",-0.189253765306558
"2017-12-12",0.078459,0.079572,0.068041,0.070255,"28","70,144","OS76",-0.104564167272078
"2017-12-11",0.03705,0.084858,0.036888,0.078208,"1,112","33,124","OS76",1.11087719298246
"2017-12-10",0.041654,0.078241,0.03667,0.03732,"2,411","37,240","OS76",-0.104047630479666
"2017-12-09",0.032365,0.044923,0.027359,0.041486,"29","28,935","OS76",0.281816777382976
"2017-12-08",0.049116,0.049848,0.030014,0.032398,"8","43,911","OS76",-0.340377880934929
"2017-12-07",0.037087,0.049001,0.028591,0.049001,"20","33,157","OS76",0.321244640979319
"2017-12-06",0.031592,0.037203,0.031592,0.037151,"59","28,244","OS76",0.175962268928843
"2017-12-05",0.031355,0.032176,0.022412,0.031662,"56","28,033","OS76",0.00979110189762404
"2017-12-04",0.032714,0.033725,0.022385,0.031294,"14","29,247","OS76",-0.0434064926331234
"2017-12-03",0.033342,0.034408,0.022446,0.032606,"58","29,808","OS76",-0.0220742606922198
"2017-12-02",0.024599,0.034145,0.02455,0.03331,"55","21,992","OS76",0.354120086182365
"2017-12-01",0.024783,0.025057,0.022158,0.02462,"34","22,157","OS76",-0.00657708913368034
"2017-11-30",0.031648,0.034426,0.023542,0.024906,"25","28,295","OS76",-0.213030839231547
"2017-11-29",0.026988,0.036948,0.02246,0.03117,"19","24,128","OS76",0.154957759004002
"2017-11-28",0.031607,0.032334,0.031302,0.032247,"4","28,258","OS76",0.0202486790900748
"2017-11-27",0.030096,0.031579,0.023672,0.031526,"10","26,907","OS76",0.0475146198830408
"2017-11-26",0.028513,0.030735,0.020822,0.03009,"20","25,491","OS76",0.0553081050748781
"2017-11-25",0.026765,0.028522,0.026613,0.028522,"300","23,928","OS76",0.065645432467775
"2017-11-24",0.027808,0.028853,0.026611,0.026819,"164","24,861","OS76",-0.0355653049482164
"2017-11-23",0.026814,0.028294,0.026413,0.027846,"3","23,973","OS76",0.0384873573506377
"2017-11-22",0.026452,0.028608,0.02634,0.026823,"22","23,649","OS76",0.0140254045062755
"2017-11-21",0.026867,0.027287,0.025416,0.026388,"150","24,020","OS76",-0.0178285629210554
"2017-11-20",0.026221,0.027874,0.02615,0.026862,"44","23,443","OS76",0.0244460546889897
