"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000146,0.000146,0.000126,0.000136,"2,975,330","368,390,000","PAC",-0.0684931506849315
"2018-01-09",0.000151,0.000187,0.000144,0.000146,"9,918,210","380,446,000","PAC",-0.033112582781457
"2018-01-08",0.000316,0.000318,0.000144,0.000152,"5,995,150","797,005,000","PAC",-0.518987341772152
"2018-01-07",0.000175,0.00032,0.000157,0.000284,"7,416,320","440,586,000","PAC",0.622857142857143
"2018-01-06",0.000214,0.000317,0.000169,0.000169,"15,334,100","535,717,000","PAC",-0.210280373831776
"2018-01-05",4.2e-05,0.00022,4.1e-05,0.000218,"49,384,200","142,047,000","PAC",4.19047619047619
"2018-01-04",3.8e-05,4.2e-05,3.6e-05,4.2e-05,"2,977,860","127,389,000","PAC",0.105263157894737
"2018-01-03",4e-05,4.2e-05,3.4e-05,3.8e-05,"2,851,950","134,405,000","PAC",-0.05
"2018-01-02",3.3e-05,4e-05,3.1e-05,4e-05,"5,390,820","112,664,000","PAC",0.212121212121212
"2018-01-01",1.4e-05,3.6e-05,1.4e-05,3.3e-05,"5,150,640","48,686,300","PAC",1.35714285714286
"2017-12-31",7e-06,1.4e-05,6e-06,1.4e-05,"1,191,630","23,406,900","PAC",1
"2017-12-30",1.3e-05,1.3e-05,7e-06,7e-06,"404,952","42,850,100","PAC",-0.461538461538462
"2017-12-29",2e-05,2.2e-05,1.2e-05,1.3e-05,"902,444","68,358,300","PAC",-0.35
"2017-12-28",5e-06,2.1e-05,4e-06,2e-05,"1,165,270","17,734,900","PAC",3
"2017-12-27",4e-06,5e-06,4e-06,5e-06,"303,283","12,389,100","PAC",0.25
"2017-12-26",3e-06,4e-06,3e-06,4e-06,"98,541","9,019,980","PAC",0.333333333333333
"2017-12-25",3e-06,4e-06,2e-06,3e-06,"96,125","8,767,410","PAC",0
"2017-12-24",2e-06,3e-06,2e-06,3e-06,"28,831","7,318,950","PAC",0.5
"2017-12-23",2e-06,3e-06,2e-06,2e-06,"35,775","6,343,280","PAC",0
"2017-12-22",2e-06,2e-06,2e-06,2e-06,"34,162","7,889,410","PAC",0
"2017-12-21",2e-06,3e-06,2e-06,2e-06,"70,903","6,325,960","PAC",0
"2017-12-20",2e-06,2e-06,1e-06,2e-06,"24,475","5,775,510","PAC",0
"2017-12-19",2e-06,2e-06,2e-06,2e-06,"35,311","6,006,480","PAC",0
"2017-12-18",2e-06,2e-06,1e-06,2e-06,"37,240","5,043,960","PAC",0
"2017-12-17",2e-06,2e-06,1e-06,2e-06,"58,412","5,358,880","PAC",0
"2017-12-16",1e-06,2e-06,1e-06,2e-06,"30,616","3,387,410","PAC",1
"2017-12-15",9.9e-07,1e-06,8.6e-07,1e-06,"18,005","3,216,250","PAC",0.01010101010101
"2017-12-14",8.6e-07,1e-06,8.3e-07,9.9e-07,"15,793","2,799,470","PAC",0.151162790697674
"2017-12-13",9.6e-07,1e-06,8.1e-07,8.3e-07,"13,400","3,114,430","PAC",-0.135416666666667
"2017-12-12",8.8e-07,1e-06,6.6e-07,9.5e-07,"24,024","2,845,450","PAC",0.0795454545454545
"2017-12-11",7.6e-07,9e-07,7.5e-07,8.6e-07,"7,789","2,444,240","PAC",0.131578947368421
"2017-12-10",7.5e-07,8.2e-07,6.7e-07,7.7e-07,"3,969","2,421,170","PAC",0.0266666666666667
"2017-12-09",9.2e-07,9.2e-07,7.1e-07,7.4e-07,"7,956","2,973,420","PAC",-0.195652173913043
"2017-12-08",9.2e-07,9.6e-07,7.8e-07,9.2e-07,"5,280","2,951,390","PAC",0
"2017-12-07",9.5e-07,9.8e-07,8e-07,9.2e-07,"8,816","3,047,860","PAC",-0.0315789473684211
"2017-12-06",9.3e-07,9.7e-07,8.4e-07,8.8e-07,"12,898","2,988,550","PAC",-0.053763440860215
"2017-12-05",8.5e-07,1e-06,8.4e-07,9.5e-07,"13,203","2,726,740","PAC",0.117647058823529
"2017-12-04",8.8e-07,9.2e-07,7.9e-07,8.5e-07,"16,279","2,807,080","PAC",-0.0340909090909091
"2017-12-03",9e-07,9.6e-07,8.3e-07,8.7e-07,"9,022","2,875,300","PAC",-0.0333333333333332
"2017-12-02",9.1e-07,9.4e-07,8.4e-07,8.7e-07,"9,594","2,897,560","PAC",-0.0439560439560439
"2017-12-01",8.6e-07,9.5e-07,8.1e-07,9.1e-07,"9,355","2,729,600","PAC",0.0581395348837209
"2017-11-30",8.8e-07,9.7e-07,7.8e-07,8.6e-07,"15,835","2,779,340","PAC",-0.0227272727272727
"2017-11-29",9.5e-07,1e-06,8.4e-07,8.8e-07,"11,803","2,998,040","PAC",-0.0736842105263158
"2017-11-28",8e-07,9.4e-07,7.7e-07,9.1e-07,"10,735","2,536,520","PAC",0.1375
"2017-11-27",8.1e-07,8.3e-07,7.4e-07,8.1e-07,"6,855","2,579,610","PAC",0
"2017-11-26",8.5e-07,8.7e-07,7.4e-07,8e-07,"12,536","2,696,280","PAC",-0.0588235294117648
"2017-11-25",7.6e-07,1e-06,6.5e-07,8.2e-07,"21,014","2,394,290","PAC",0.0789473684210526
"2017-11-24",6e-07,8.1e-07,5.7e-07,7e-07,"13,276","1,878,970","PAC",0.166666666666667
"2017-11-23",6.4e-07,7.9e-07,6.1e-07,6.1e-07,"13,230","2,015,450","PAC",-0.046875
"2017-11-22",5.1e-07,6.9e-07,4.4e-07,6.2e-07,"8,193","1,595,450","PAC",0.215686274509804
"2017-11-21",4.3e-07,5.5e-07,4.1e-07,5.1e-07,"8,058","-","PAC",0.186046511627907
"2017-11-20",4.4e-07,4.6e-07,4.1e-07,4.3e-07,"5,184","-","PAC",-0.0227272727272727
"2017-11-19",4.2e-07,4.8e-07,3.8e-07,4.5e-07,"2,818","-","PAC",0.0714285714285714
"2017-11-18",4.3e-07,4.5e-07,3.5e-07,4.1e-07,"1,465","-","PAC",-0.0465116279069768
"2017-11-17",4.9e-07,5.2e-07,3.6e-07,4.3e-07,"4,240","-","PAC",-0.122448979591837
