"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000146,0.000297,0.000139,0.00015,"2,273","-","PAYP",0.0273972602739725
"2018-01-09",0.000301,0.000463,0.000144,0.000146,"5,324","-","PAYP",-0.514950166112957
"2018-01-08",0.000489,0.000647,0.000292,0.000302,"28,541","-","PAYP",-0.38241308793456
"2018-01-07",0.000172,0.000495,0.000166,0.000489,"371,583","-","PAYP",1.84302325581395
"2018-01-06",0.00017,0.000173,0.000164,0.000172,"155","-","PAYP",0.0117647058823529
"2018-01-05",0.000152,0.000171,0.000149,0.00017,"11","-","PAYP",0.118421052631579
"2018-01-04",0.000152,0.000155,0.000144,0.000152,"117","-","PAYP",0
"2018-01-03",0.000149,0.000152,0.000148,0.000151,"151","-","PAYP",0.0134228187919465
"2018-01-02",0.000135,0.000152,0.00013,0.000148,"3","-","PAYP",0.0962962962962962
"2018-01-01",0.00014,0.00014,0.000129,0.000135,"3","-","PAYP",-0.0357142857142856
"2017-12-31",0.000127,0.000142,0.000126,0.000139,"31","-","PAYP",0.0944881889763779
"2017-12-30",0.000145,0.000145,0.000124,0.000129,"6","-","PAYP",-0.110344827586207
"2017-12-29",0.000146,0.000149,0.000144,0.000145,"7","-","PAYP",-0.00684931506849313
"2017-12-28",0.000155,0.000156,0.000136,0.000142,"1","-","PAYP",-0.0838709677419354
"2017-12-27",0.000158,0.000166,0.000147,0.000155,"5","-","PAYP",-0.0189873417721518
"2017-12-26",0.00014,0.000161,0.000139,0.000158,"2","-","PAYP",0.128571428571429
"2017-12-25",0.000141,0.000145,0.000133,0.000139,"14","-","PAYP",-0.0141843971631207
"2017-12-24",0.000138,0.000139,0.000138,0.000139,"14","-","PAYP",0.00724637681159418
"2017-12-21",0.000165,0.000174,0.000151,0.000154,"8","-","PAYP",-0.0666666666666666
"2017-12-20",0.000176,0.000176,0.000158,0.000164,"8","-","PAYP",-0.0681818181818181
"2017-12-19",0.000183,0.000185,0.000171,0.000176,"9","-","PAYP",-0.0382513661202186
"2017-12-17",0.000195,2e-04,0.000189,0.000193,"2","-","PAYP",-0.0102564102564102
"2017-12-16",0.00018,0.000196,0.00018,0.000195,"14","-","PAYP",0.0833333333333332
"2017-12-14",0.000164,0.000171,0.000162,0.000165,"104","-","PAYP",0.00609756097560974
"2017-12-13",0.000173,0.000175,0.000163,0.000164,"235","-","PAYP",-0.0520231213872832
"2017-12-12",0.000173,0.000178,0.000171,0.000173,"2","-","PAYP",0
"2017-12-09",0.000163,0.000165,0.000135,0.00015,"15","-","PAYP",-0.079754601226994
"2017-12-08",0.000174,0.000176,0.000152,0.000163,"16","-","PAYP",-0.0632183908045977
"2017-12-07",0.000137,0.000173,0.000136,0.000173,"883","-","PAYP",0.262773722627737
"2017-12-06",0.000121,0.000138,0.000121,0.000138,"729","-","PAYP",0.140495867768595
"2017-12-03",0.000109,0.000118,0.000109,0.000117,"21","-","PAYP",0.073394495412844
"2017-12-02",0.00011,0.00011,0.000109,0.000109,"115","-","PAYP",-0.00909090909090906
"2017-12-01",1e-04,0.00011,9.5e-05,0.000109,"44","-","PAYP",0.09
"2017-11-30",9.8e-05,0.000107,9e-05,1e-04,"41","-","PAYP",0.0204081632653062
"2017-11-29",0.000111,0.000111,9.1e-05,9.7e-05,"48","-","PAYP",-0.126126126126126
"2017-11-26",8.7e-05,9e-05,8.7e-05,9e-05,"2","-","PAYP",0.0344827586206897
"2017-11-25",8.6e-05,8.7e-05,8.5e-05,8.7e-05,"2","-","PAYP",0.0116279069767442
"2017-11-20",8e-05,8.1e-05,7.9e-05,8e-05,"1","-","PAYP",0
"2017-11-19",7.8e-05,8.1e-05,7.7e-05,8e-05,"1","-","PAYP",0.0256410256410257
"2017-11-16",7.3e-05,7.8e-05,7.1e-05,7.8e-05,"39","-","PAYP",0.0684931506849315
"2017-11-15",6.6e-05,7.3e-05,6.6e-05,7.3e-05,"36","-","PAYP",0.106060606060606
"2017-11-14",6.6e-05,6.6e-05,6.4e-05,6.6e-05,"1","-","PAYP",0
"2017-11-12",6.4e-05,6.4e-05,5.5e-05,6.1e-05,"1","-","PAYP",-0.046875
"2017-11-11",6.6e-05,6.8e-05,6.2e-05,6.4e-05,"1","-","PAYP",-0.0303030303030304
"2017-11-10",7.1e-05,7.1e-05,6.5e-05,6.6e-05,"1","-","PAYP",-0.0704225352112676
"2017-11-09",7.5e-05,7.5e-05,7.3e-05,7.4e-05,"1","-","PAYP",-0.0133333333333333
"2017-11-08",7.1e-05,7.8e-05,7.1e-05,7.5e-05,"4","-","PAYP",0.0563380281690139
"2017-11-07",7e-05,7.2e-05,7e-05,7.1e-05,"1","-","PAYP",0.0142857142857144
"2017-11-06",7.4e-05,7.4e-05,6.9e-05,7e-05,"114","-","PAYP",-0.0540540540540541
"2017-11-05",7.4e-05,7.4e-05,7.4e-05,7.4e-05,"1","-","PAYP",0
"2017-11-04",7.2e-05,7.4e-05,7e-05,7.3e-05,"6","-","PAYP",0.0138888888888888
"2017-11-03",7e-05,7.5e-05,6.9e-05,7.2e-05,"294","-","PAYP",0.0285714285714287
"2017-11-02",7e-05,7.1e-05,6.9e-05,7e-05,"1","-","PAYP",0
"2017-10-31",6.1e-05,6.4e-05,6.1e-05,6.4e-05,"1","-","PAYP",0.0491803278688524
"2017-10-30",6.1e-05,6.2e-05,6e-05,6.1e-05,"2","-","PAYP",0
"2017-10-29",5.7e-05,6.3e-05,5.7e-05,6.2e-05,"62","-","PAYP",0.087719298245614
"2017-10-28",5.7e-05,5.8e-05,5.7e-05,5.7e-05,"58","-","PAYP",0
"2017-10-24",5.9e-05,5.9e-05,5.6e-05,5.7e-05,"5","-","PAYP",-0.0338983050847457
"2017-10-23",6e-05,6.1e-05,5.7e-05,5.9e-05,"6","-","PAYP",-0.0166666666666667
"2017-10-22",6e-05,6e-05,5.8e-05,6e-05,"1","-","PAYP",0
"2017-10-21",6e-05,6e-05,6e-05,6e-05,"7","-","PAYP",0
"2017-10-20",5.7e-05,6.1e-05,5.6e-05,6e-05,"15","-","PAYP",0.0526315789473684
"2017-10-19",5.6e-05,5.7e-05,5.5e-05,5.7e-05,"6","-","PAYP",0.0178571428571429
"2017-10-18",5.3e-05,5.6e-05,5.1e-05,5.6e-05,"0","-","PAYP",0.0566037735849056
"2017-10-17",5.8e-05,5.8e-05,5.6e-05,5.6e-05,"6","-","PAYP",-0.0344827586206897
"2017-10-16",5.7e-05,5.8e-05,5.6e-05,5.8e-05,"6","-","PAYP",0.0175438596491228
"2017-10-13",5.4e-05,5.9e-05,5.4e-05,5.5e-05,"55","-","PAYP",0.0185185185185186
"2017-10-12",4.8e-05,5.4e-05,4.8e-05,5.4e-05,"54","-","PAYP",0.125
"2017-10-11",4.8e-05,4.9e-05,4.7e-05,4.8e-05,"89","-","PAYP",0
"2017-10-10",4.8e-05,4.9e-05,4.7e-05,4.8e-05,"5","-","PAYP",0
"2017-10-09",4.6e-05,4.9e-05,4.6e-05,4.8e-05,"48","-","PAYP",0.0434782608695652
"2017-10-08",4.4e-05,4.6e-05,4.4e-05,4.6e-05,"99","-","PAYP",0.0454545454545455
"2017-10-07",4.4e-05,4.5e-05,4.3e-05,4.5e-05,"109","-","PAYP",0.0227272727272728
"2017-10-06",8.6e-05,8.7e-05,4.3e-05,4.4e-05,"1,722","-","PAYP",-0.488372093023256
"2017-10-05",8.4e-05,8.7e-05,4.3e-05,8.6e-05,"273","-","PAYP",0.0238095238095239
"2017-10-04",8.6e-05,8.7e-05,4.3e-05,8.4e-05,"2,784","-","PAYP",-0.0232558139534885
"2017-10-03",8.8e-05,8.9e-05,4.3e-05,8.6e-05,"348","-","PAYP",-0.0227272727272727
"2017-10-02",8.8e-05,8.9e-05,4.4e-05,8.8e-05,"164","-","PAYP",0
"2017-10-01",8.7e-05,8.8e-05,8.5e-05,8.8e-05,"0","-","PAYP",0.0114942528735632
"2017-09-30",8.3e-05,8.7e-05,8.3e-05,8.7e-05,"113","-","PAYP",0.0481927710843374
"2017-09-29",0.000126,0.000126,4.2e-05,8.3e-05,"1,019","-","PAYP",-0.341269841269841
"2017-09-28",0.000126,0.000128,0.000124,0.000126,"3","-","PAYP",0
"2017-09-27",7.8e-05,0.000127,7.8e-05,0.000126,"2","-","PAYP",0.615384615384615
"2017-09-25",0.00011,0.000119,0.00011,0.000118,"0","-","PAYP",0.0727272727272726
"2017-09-24",0.000114,0.000114,7.3e-05,0.00011,"334","-","PAYP",-0.0350877192982456
"2017-09-23",0.000108,0.000114,0.000107,0.000114,"38","-","PAYP",0.0555555555555557
"2017-09-22",0.000109,0.000113,7.1e-05,0.000109,"425","-","PAYP",0
"2017-09-21",0.000116,0.000117,7.2e-05,0.000109,"512","-","PAYP",-0.0603448275862068
"2017-09-20",3.9e-05,0.000121,3.9e-05,0.000117,"98","-","PAYP",2
"2017-09-19",4.1e-05,0.00012,3.9e-05,3.9e-05,"96","-","PAYP",-0.0487804878048781
"2017-09-18",0.000111,0.000123,4e-05,4.1e-05,"58","-","PAYP",-0.630630630630631
"2017-09-17",7.4e-05,0.000114,7.2e-05,0.000111,"778","-","PAYP",0.5
"2017-09-16",7.4e-05,7.8e-05,7.1e-05,7.4e-05,"62","-","PAYP",0
"2017-09-15",6.5e-05,7.6e-05,6e-05,7.4e-05,"82","-","PAYP",0.138461538461538
"2017-09-14",7.8e-05,0.000112,6.4e-05,6.4e-05,"5","-","PAYP",-0.17948717948718
"2017-09-13",0.000125,0.000125,7.7e-05,7.8e-05,"427","-","PAYP",-0.376
"2017-09-12",0.000126,0.000131,8.6e-05,0.000125,"80","-","PAYP",-0.00793650793650791
"2017-09-11",8.5e-05,0.000171,8.3e-05,0.000126,"1,228","-","PAYP",0.48235294117647
"2017-09-10",8.7e-05,0.00013,8.1e-05,8.5e-05,"23","-","PAYP",-0.0229885057471264
"2017-09-09",8.7e-05,0.000132,8.4e-05,8.7e-05,"122","-","PAYP",0
"2017-09-08",9.3e-05,0.00014,8.3e-05,8.6e-05,"60","-","PAYP",-0.075268817204301
"2017-09-07",9.2e-05,0.000141,4.5e-05,9.3e-05,"1,041","-","PAYP",0.0108695652173913
"2017-09-06",8.8e-05,9.6e-05,8.8e-05,9.2e-05,"149","-","PAYP",0.0454545454545455
"2017-09-05",8.6e-05,9e-05,8.1e-05,8.8e-05,"7","-","PAYP",0.0232558139534883
"2017-09-04",9.2e-05,9.2e-05,8.3e-05,8.6e-05,"72","-","PAYP",-0.0652173913043478
"2017-09-03",9.2e-05,9.5e-05,8.9e-05,9.2e-05,"129","-","PAYP",0
"2017-09-02",9.8e-05,1e-04,9e-05,9.2e-05,"92","-","PAYP",-0.0612244897959183
"2017-09-01",9.6e-05,9.8e-05,9.6e-05,9.8e-05,"1","-","PAYP",0.0208333333333333
"2017-08-30",9.2e-05,9.3e-05,9e-05,9.1e-05,"2","-","PAYP",-0.0108695652173913
"2017-08-29",8.8e-05,9.3e-05,8.7e-05,9.2e-05,"2","-","PAYP",0.0454545454545455
"2017-08-28",0.00013,0.00013,8.5e-05,8.8e-05,"236","-","PAYP",-0.323076923076923
"2017-08-27",8.7e-05,0.000131,8.6e-05,0.00013,"12","-","PAYP",0.494252873563218
"2017-08-26",4.4e-05,0.000131,4.3e-05,8.7e-05,"52","-","PAYP",0.977272727272727
"2017-08-25",0.00013,0.000132,4.3e-05,4.4e-05,"1","-","PAYP",-0.661538461538462
"2017-08-24",8.3e-05,0.000131,8.2e-05,0.00013,"8","-","PAYP",0.566265060240964
"2017-08-23",4.1e-05,8.5e-05,4.1e-05,8.3e-05,"5","-","PAYP",1.02439024390244
"2017-08-22",8e-05,8.2e-05,3.8e-05,4.1e-05,"30","-","PAYP",-0.4875
"2017-08-21",8.1e-05,8.2e-05,7.9e-05,8e-05,"5","-","PAYP",-0.0123456790123456
"2017-08-20",4.1e-05,8.3e-05,4e-05,8.1e-05,"1","-","PAYP",0.975609756097561
"2017-08-19",8.2e-05,8.3e-05,4.1e-05,4.2e-05,"2","-","PAYP",-0.487804878048781
"2017-08-18",8.6e-05,8.7e-05,8.4e-05,8.6e-05,"0","-","PAYP",0
"2017-08-17",4.4e-05,8.9e-05,4.2e-05,8.6e-05,"0","-","PAYP",0.954545454545455
"2017-08-16",8.3e-05,8.4e-05,4.1e-05,4.4e-05,"4","-","PAYP",-0.469879518072289
"2017-08-15",8.7e-05,8.9e-05,7.7e-05,8.3e-05,"35","-","PAYP",-0.0459770114942529
"2017-08-14",8.1e-05,0.000125,8e-05,8.6e-05,"5","-","PAYP",0.0617283950617284
"2017-08-13",0.000116,0.000122,7.7e-05,8.1e-05,"23","-","PAYP",-0.301724137931034
"2017-08-12",0.00011,0.000116,0.000108,0.000116,"1","-","PAYP",0.0545454545454545
"2017-08-11",0.000102,0.000111,0.000102,0.00011,"4","-","PAYP",0.0784313725490196
"2017-08-10",6.7e-05,0.000103,6.7e-05,0.000102,"2","-","PAYP",0.522388059701492
"2017-08-09",0.000103,0.000103,6.5e-05,6.7e-05,"8","-","PAYP",-0.349514563106796
"2017-08-08",6.8e-05,0.000104,6.7e-05,0.000103,"0","-","PAYP",0.514705882352941
"2017-08-07",9.7e-05,9.8e-05,6.5e-05,6.8e-05,"185","-","PAYP",-0.298969072164948
"2017-08-06",6.5e-05,9.8e-05,6.3e-05,9.7e-05,"3","-","PAYP",0.492307692307692
"2017-08-05",8.6e-05,9.7e-05,6.3e-05,6.5e-05,"2","-","PAYP",-0.244186046511628
"2017-08-04",5.6e-05,8.6e-05,5.5e-05,8.6e-05,"3","-","PAYP",0.535714285714286
"2017-08-03",5.4e-05,8.4e-05,5.4e-05,5.6e-05,"19","-","PAYP",0.0370370370370371
"2017-08-02",5.4e-05,5.5e-05,5.3e-05,5.4e-05,"1","-","PAYP",0
"2017-08-01",5.7e-05,5.8e-05,5.3e-05,5.4e-05,"0","-","PAYP",-0.0526315789473685
"2017-07-31",5.4e-05,8.4e-05,5.4e-05,5.7e-05,"18","-","PAYP",0.0555555555555557
"2017-07-30",8.2e-05,8.2e-05,7.8e-05,8.2e-05,"2","-","PAYP",0
"2017-07-29",8.3e-05,0.000111,8e-05,8.2e-05,"149","-","PAYP",-0.0120481927710843
"2017-07-28",8e-05,8.5e-05,8e-05,8.4e-05,"0","-","PAYP",0.0499999999999999
"2017-07-27",7.6e-05,8e-05,7.5e-05,8e-05,"2","-","PAYP",0.0526315789473684
"2017-07-26",7.7e-05,0.000101,7.2e-05,7.6e-05,"15","-","PAYP",-0.0129870129870129
"2017-07-25",0.000107,0.000107,7.4e-05,7.7e-05,"35","-","PAYP",-0.280373831775701
"2017-07-24",8.3e-05,8.4e-05,8.1e-05,8.3e-05,"2","-","PAYP",0
"2017-07-23",8.5e-05,0.000113,8e-05,8.3e-05,"103","-","PAYP",-0.023529411764706
"2017-07-22",5.3e-05,8.5e-05,5.3e-05,8.5e-05,"0","-","PAYP",0.60377358490566
"2017-07-21",8.5e-05,8.5e-05,5.2e-05,5.3e-05,"7","-","PAYP",-0.376470588235294
"2017-07-20",6.8e-05,8.7e-05,4.6e-05,8.4e-05,"21","-","PAYP",0.235294117647059
"2017-07-19",4.6e-05,6.8e-05,4.5e-05,6.8e-05,"7","-","PAYP",0.478260869565217
"2017-07-18",4.5e-05,4.8e-05,4.5e-05,4.6e-05,"2","-","PAYP",0.0222222222222222
"2017-07-17",5.8e-05,6.3e-05,5.8e-05,6.2e-05,"1","-","PAYP",0.0689655172413794
"2017-07-16",6e-05,6.2e-05,4e-05,5.8e-05,"15","-","PAYP",-0.0333333333333334
"2017-07-15",6.7e-05,6.7e-05,6e-05,6e-05,"0","-","PAYP",-0.104477611940299
"2017-07-14",4.7e-05,6.9e-05,4.4e-05,6.7e-05,"1","-","PAYP",0.425531914893617
"2017-07-13",7.2e-05,7.3e-05,4.6e-05,4.7e-05,"2","-","PAYP",-0.347222222222222
"2017-07-12",6.9e-05,7.2e-05,6.7e-05,7.2e-05,"12","-","PAYP",0.0434782608695653
"2017-07-11",4.7e-05,7.1e-05,4.5e-05,7e-05,"0","-","PAYP",0.48936170212766
"2017-07-10",7.5e-05,7.6e-05,4.6e-05,4.7e-05,"13","-","PAYP",-0.373333333333333
"2017-07-09",0.000102,0.000102,5.1e-05,7.5e-05,"75","-","PAYP",-0.264705882352941
"2017-07-08",1e-04,0.000102,7.4e-05,0.000102,"42","-","PAYP",0.0199999999999999
"2017-07-07",0.000104,0.000104,7.5e-05,1e-04,"30","-","PAYP",-0.0384615384615384
"2017-07-06",7.8e-05,0.000104,7.7e-05,0.000104,"9","-","PAYP",0.333333333333333
"2017-07-05",7.7e-05,7.8e-05,7.6e-05,7.8e-05,"0","-","PAYP",0.0129870129870129
"2017-07-04",0.000101,0.000105,0.000101,0.000103,"0","-","PAYP",0.0198019801980197
"2017-07-03",5e-05,0.000103,5e-05,0.000102,"128","-","PAYP",1.04
"2017-07-02",9.6e-05,9.8e-05,4.8e-05,5e-05,"11","-","PAYP",-0.479166666666667
"2017-07-01",9.8e-05,1e-04,9.5e-05,9.6e-05,"1","-","PAYP",-0.0204081632653061
"2017-06-30",0.000101,0.000102,5e-05,9.8e-05,"42","-","PAYP",-0.0297029702970298
"2017-06-29",7.7e-05,0.000103,7.5e-05,0.000101,"1","-","PAYP",0.311688311688312
"2017-06-28",7.6e-05,7.8e-05,5e-05,7.7e-05,"9","-","PAYP",0.0131578947368421
"2017-06-27",7.3e-05,9.9e-05,4.6e-05,7.6e-05,"142","-","PAYP",0.041095890410959
"2017-06-26",7.6e-05,7.7e-05,7e-05,7.3e-05,"2","-","PAYP",-0.0394736842105264
"2017-06-25",0.000103,0.000103,7.3e-05,7.6e-05,"1","-","PAYP",-0.262135922330097
"2017-06-24",0.000108,0.000109,0.000101,0.000103,"26","-","PAYP",-0.0462962962962963
"2017-06-23",1e-04,0.000109,5e-05,0.000108,"7","-","PAYP",0.0799999999999999
"2017-06-22",1e-04,1e-04,1e-04,1e-04,"18","-","PAYP",0
"2017-06-21",1e-04,1e-04,1e-04,1e-04,"59","-","PAYP",0
"2017-06-20",5e-05,1e-04,5e-05,1e-04,"9","-","PAYP",1
"2017-06-19",1e-04,1e-04,5e-05,5e-05,"4","-","PAYP",-0.5
"2017-06-18",7.5e-05,1e-04,7.5e-05,1e-04,"1","-","PAYP",0.333333333333334
"2017-06-17",7.5e-05,7.5e-05,7.5e-05,7.5e-05,"250","-","PAYP",0
"2017-06-16",4.8e-05,7.5e-05,4.6e-05,7.5e-05,"1","-","PAYP",0.5625
"2017-06-15",7.4e-05,7.5e-05,4.7e-05,4.8e-05,"10","-","PAYP",-0.351351351351351
"2017-06-14",8.1e-05,8.3e-05,7e-05,7.4e-05,"0","-","PAYP",-0.0864197530864198
"2017-06-13",5.3e-05,8.3e-05,5.3e-05,8.1e-05,"10","-","PAYP",0.528301886792453
"2017-06-12",8.9e-05,8.9e-05,5e-05,5.3e-05,"132","-","PAYP",-0.404494382022472
"2017-06-11",0.000116,0.000119,0.000114,0.000118,"1","-","PAYP",0.0172413793103448
"2017-06-10",8.4e-05,0.000116,5.7e-05,0.000116,"26","-","PAYP",0.380952380952381
"2017-06-09",8.4e-05,8.6e-05,8.4e-05,8.4e-05,"28","-","PAYP",0
"2017-06-08",8.1e-05,8.4e-05,7.9e-05,8.4e-05,"85","-","PAYP",0.0370370370370369
"2017-06-07",8.6e-05,8.6e-05,5.5e-05,8e-05,"29","-","PAYP",-0.0697674418604651
"2017-06-06",5.4e-05,8.6e-05,5.4e-05,8.6e-05,"94","-","PAYP",0.592592592592593
