"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",5782.94,5854.23,5414.2,5749.69,"1,325,880","5,782,940","PBT",-0.00574967058278315
"2018-01-09",5951.68,6093.99,5685.74,5775.28,"1,360,350","5,951,680","PBT",-0.0296386902521642
"2018-01-08",6434.59,6457.24,5543.19,5938.15,"1,237,730","6,434,590","PBT",-0.0771517687995662
"2018-01-07",6782.04,6822.15,6197.11,6443.27,"360,049","6,782,040","PBT",-0.0499510471775453
"2018-01-06",6838.01,7204.12,6681.66,6796.73,"57,151","6,838,010","PBT",-0.00603684405258265
"2018-01-05",6964.06,7006,6288.24,6832.53,"680,772","6,964,060","PBT",-0.0188869711059354
"2018-01-04",7082.57,7265.12,6586.07,6997.61,"1,272,250","7,082,570","PBT",-0.0119956456484016
"2018-01-03",7300.31,7530.06,6814.46,7079.29,"1,338,730","7,300,310","PBT",-0.0302754266599638
"2018-01-02",6644.22,7553.3,6643.5,7325.73,"1,280,400","6,644,220","PBT",0.102571859450771
"2018-01-01",7180.62,7180.62,6614.46,6645.37,"902,966","7,180,620","PBT",-0.0745409170795837
"2017-12-31",6539.04,7390.19,6448.48,7153.85,"1,034,410","6,539,040","PBT",0.0940214465731973
"2017-12-30",7168.59,7171.65,6028.5,6608.92,"987,095","7,168,590","PBT",-0.0780725358822307
"2017-12-29",7260.75,7529.21,6951.52,7186.88,"1,165,620","7,260,750","PBT",-0.0101738801088042
"2017-12-28",7817.86,8017.13,6827.48,7172.68,"1,166,270","7,817,860","PBT",-0.0825264202735786
"2017-12-27",7601.17,7850.7,6855.35,7834.09,"1,265,800","7,601,170","PBT",0.0306426510655597
"2017-12-26",7314.09,7777.77,7247.76,7596.53,"1,274,850","7,314,090","PBT",0.0386158770263969
"2017-12-25",7976.3,8062.87,7178.26,7321.73,"1,161,280","7,976,300","PBT",-0.082064365683337
"2017-12-24",6803.64,8000.67,6021.56,7895.3,"1,146,290","6,803,640","PBT",0.160452346097089
"2017-12-23",6621.5,7819.88,6566.16,6697.85,"1,162,370","6,621,500","PBT",0.0115306199501624
"2017-12-22",8292.62,8374.03,6282.72,6567.16,"1,174,910","8,292,620","PBT",-0.208071755368026
"2017-12-21",7716.36,8419.07,7654.98,8263.39,"1,298,600","7,716,360","PBT",0.0708922341622215
"2017-12-20",7882.22,10457.2,7301.55,7644.59,"1,377,620","7,882,220","PBT",-0.0301475980117277
"2017-12-19",8692.37,8808.71,7465.12,7890.1,"1,442,170","8,692,370","PBT",-0.0922958870825794
"2017-12-18",8647,8924.96,8263.74,8684.71,"1,432,380","8,647,000","PBT",0.00436105007517048
"2017-12-17",9631.13,9742.55,8522.71,8578.47,"1,436,860","9,631,130","PBT",-0.109297662891063
"2017-12-16",9332.58,9943.03,9270.86,9582.44,"1,716,960","9,332,580","PBT",0.0267728752392158
"2017-12-15",7623.77,13034,5655.2,9409.96,"1,356,480","7,623,770","PBT",0.234292220253234
"2017-12-14",7668.09,8137.77,7385.4,7635.65,"585,232","7,668,090","PBT",-0.00423051894278764
"2017-12-13",9069.05,9213.26,7500.65,7690.84,"620,464","9,069,050","PBT",-0.151968508278155
"2017-12-12",8617.54,9236.3,8424.6,9066.29,"184,477","8,617,540","PBT",0.0520740257660539
"2017-12-11",7747.36,8819.23,7359.84,8593.41,"559,222","7,747,360","PBT",0.109204942070589
"2017-12-10",5483.69,9349.79,4887.98,7803.9,"586,116","5,483,690","PBT",0.423111080312709
"2017-12-09",6251.94,6393.39,5042.51,5462.64,"246,805","6,251,940","PBT",-0.126248812368641
"2017-12-08",4315.98,6261.19,3430.97,6261.19,"403,938","4,315,980","PBT",0.450699493510165
"2017-12-07",4029.81,4319.05,3850.31,4319.05,"148,228","4,029,810","PBT",0.0717750960963421
"2017-12-06",3944.26,4041.5,3373.95,4041.5,"167,252","3,944,260","PBT",0.0246535471799526
"2017-12-05",3813.54,4118.82,3754.42,3935.55,"148,284","3,813,540","PBT",0.0319938954357369
"2017-12-04",3835.22,3969.32,3460.77,3808.81,"133,950","3,835,220","PBT",-0.00688617602119301
"2017-12-03",4012.62,4194.96,3641.14,3835.35,"145,474","4,012,620","PBT",-0.0441781180375914
"2017-12-02",3776.03,4069.2,3766.98,4011.43,"135,286","3,776,030","PBT",0.0623406064040804
"2017-12-01",3481.39,3800.75,3260.7,3760.49,"146,074","3,481,390","PBT",0.0801691278483594
"2017-11-30",3257.84,3530.78,3092.14,3498.29,"126,505","3,257,840","PBT",0.0738065712251061
"2017-11-29",3450.64,3612.07,3042.81,3246.21,"112,914","3,450,640","PBT",-0.0592440822572044
"2017-11-28",2937.01,3492.91,2905.81,3438.56,"118,827","2,937,010","PBT",0.170768911239662
"2017-11-27",2813.75,3034.33,2797.33,2932.88,"44,923","2,813,750","PBT",0.0423385162150156
"2017-11-26",3079.86,3083.48,2697.2,2809.08,"169,393","3,079,860","PBT",-0.0879195807601645
"2017-11-25",3374.38,3375.06,3036.91,3084.57,"338,283","3,374,380","PBT",-0.0858854070970074
"2017-11-24",3174.34,3392.85,3095.54,3378.34,"324,434","3,174,340","PBT",0.0642653275956577
"2017-11-23",3717.48,3784.2,3142.3,3180.27,"342,615","3,717,480","PBT",-0.144509183640531
"2017-11-22",4187.37,4363.75,3621.93,3725.29,"404,333","4,187,370","PBT",-0.110350888505195
"2017-11-21",4418.29,4418.29,3939.9,4172.72,"418,771","4,418,290","PBT",-0.055580326325343
"2017-11-20",4214.09,6600.44,4148.91,4432.28,"298,110","4,214,090","PBT",0.0517763028316907
"2017-11-19",4206.08,4279.5,4160.87,4222.19,"13,632","4,206,080","PBT",0.00383016965916
"2017-11-18",3507.85,4440.14,3452.97,4212.61,"17,424","3,507,850","PBT",0.200909388941944
"2017-11-17",4802.86,4892.38,3483.48,3511.91,"66,217","4,802,860","PBT",-0.268787763957309
"2017-11-16",3684.14,7045.13,3597.63,4815.53,"163,325","3,684,140","PBT",0.307097450151189
"2017-11-15",3233.51,3892.13,3221.01,3672.53,"58,570","3,233,510","PBT",0.135771962975219
"2017-11-14",2186.27,3233.75,2174.6,3231.31,"15,480","2,186,270","PBT",0.478001344756137
"2017-11-13",1975.54,2218.01,1971.26,2200.41,"10,061","1,975,540","PBT",0.113827105500268
"2017-11-12",2249.68,2253.08,1939.55,1976.23,"8,466","2,249,680","PBT",-0.121550620532698
"2017-11-11",2455.35,2476.3,2223.87,2256.41,"10,023","2,455,350","PBT",-0.0810230720671188
"2017-11-10",2538.8,2783.95,2405.63,2460.37,"9,264","2,538,800","PBT",-0.0308925476603121
"2017-11-09",2586.77,2643.53,2419.17,2519.8,"10,075","2,586,770","PBT",-0.0258894296748454
"2017-11-08",2473.33,2738.85,2449.35,2590.85,"9,846","2,473,340","PBT",0.047514888834082
"2017-11-07",2419.14,2505.85,2404.31,2484.3,"4,372","2,419,140","PBT",0.026935191845036
"2017-11-06",2411.19,2516.56,2342.29,2422.01,"8,564","2,411,190","PBT",0.004487410780569
"2017-11-05",2620.38,2620.38,2381.79,2408.81,"10,902","2,620,380","PBT",-0.0807401979865516
"2017-11-04",2730.4,2763.89,2579.54,2617.14,"9,852","2,730,400","PBT",-0.041481101670085
"2017-11-03",2173.81,2825.38,2110.7,2741.26,"12,969","2,173,810","PBT",0.261039373266293
"2017-11-02",2322.27,2492.8,1852.78,2122.47,"20,244","2,322,270","PBT",-0.0860365073828625
"2017-11-01",2689.89,2695.9,2317.99,2349.38,"16,497","2,689,890","PBT",-0.126588819617159
"2017-10-31",2883.95,2915.54,2606.43,2690.77,"9,043","2,883,950","PBT",-0.0669845177620971
"2017-10-30",2985.65,3034.49,2864.38,2890.03,"9,537","2,985,650","PBT",-0.0320265268869425
"2017-10-29",2920.35,3082.22,2914.06,2998.98,"7,769","2,920,350","PBT",0.0269248548975294
"2017-10-28",2795.56,2943.37,2757.07,2928.73,"18,433","2,795,560","PBT",0.0476362517706649
"2017-10-27",2917.07,2978.2,2729.63,2794.11,"8,232","2,917,070","PBT",-0.0421518852821496
"2017-10-26",2453.71,2940.98,2377.32,2913.16,"8,907","2,453,710","PBT",0.187247066686772
"2017-10-25",3370.64,3395.4,2278.67,2468.3,"14,190","3,370,640","PBT",-0.26770583628035
"2017-10-24",3365.67,3552.02,3280.89,3362.33,"9,101","3,365,670","PBT",-0.000992372989627666
"2017-10-23",3413.67,3811.85,3301.83,3361.25,"14,053","3,413,670","PBT",-0.0153559072786766
"2017-10-22",3435.44,3478.22,3334.42,3418.99,"11,243","3,435,440","PBT",-0.00478832405747161
"2017-10-21",3456.33,3574.37,3353.23,3427.17,"8,359","3,456,330","PBT",-0.00843669441285984
"2017-10-20",3655.21,3727.29,3211.31,3479.33,"13,385","3,655,210","PBT",-0.0481176184131692
"2017-10-19",3752.66,3805.8,3594.38,3658.46,"8,661","3,752,660","PBT",-0.0251021941769305
"2017-10-18",3943.75,3946.81,3565.94,3755.13,"9,777","3,943,750","PBT",-0.0478275752773375
"2017-10-17",3997.67,4020.87,3855.74,3941.42,"11,250","3,997,670","PBT",-0.0140706961805252
"2017-10-16",4486.86,4486.86,3884.79,4020.15,"14,584","4,486,860","PBT",-0.104017063157754
"2017-10-15",4837.6,4920.49,3604.3,4014.63,"23,553","4,837,600","PBT",-0.170119480734248
"2017-10-14",5259.63,5361.5,4490.37,4835.19,"19,722","5,259,630","PBT",-0.0806976916627216
"2017-10-13",3964.59,5270.92,3910.48,5270.92,"10,715","3,964,590","PBT",0.329499393379895
"2017-10-12",3643.78,3989.45,3609.05,3972.06,"10,982","3,643,780","PBT",0.0900932548068214
"2017-10-11",3551.34,3824.55,3529.53,3642.18,"8,331","3,551,340","PBT",0.0255790771933973
"2017-10-10",4013.74,4059.37,3500.89,3545.03,"9,742","4,013,740","PBT",-0.116776373158201
"2017-10-09",4271.52,4378.18,3939.65,4017.58,"6,304","4,271,520","PBT",-0.0594495636213808
"2017-10-08",4572.86,4620.07,4234.99,4270.93,"6,032","4,572,860","PBT",-0.066026512948133
"2017-10-07",4593.1,4605.92,4446.42,4582.98,"7,021","4,593,100","PBT",-0.00220330495743633
"2017-10-06",4287.42,4638.32,4265.3,4593.13,"10,298","4,287,420","PBT",0.0713039543594983
"2017-10-05",5492.16,5506.85,4172,4290.22,"8,471","5,492,160","PBT",-0.21884650119443
"2017-10-04",4203.99,5519.09,4178.94,5503.99,"13,819","4,203,990","PBT",0.309230040984874
"2017-10-03",4142.83,5063.8,3915.4,4195.73,"17,706","4,142,830","PBT",0.012769049176529
"2017-10-02",4007.75,4148.01,3947.92,4143.85,"19,416","4,007,750","PBT",0.0339592040421684
"2017-10-01",4222.82,4246.87,3902.5,4009.57,"7,738","4,222,820","PBT",-0.0504994292913265
"2017-09-30",4067.06,4283.67,4066.62,4231.38,"6,665","4,067,060","PBT",0.0404026495797948
"2017-09-29",4478.47,4714.11,3999.87,4077.8,"6,094","4,478,470","PBT",-0.0894658220329711
"2017-09-28",4149.85,4503.9,3889.36,4478.93,"15,131","4,149,850","PBT",0.0792992517801848
"2017-09-27",3629.2,4146.99,3625.24,4132.5,"10,062","3,629,200","PBT",0.138680700980932
"2017-09-26",3360.63,3632.29,3335.81,3632.29,"7,454","3,360,630","PBT",0.080836033719868
"2017-09-25",3091.46,3386.82,3073.1,3360.57,"7,222","3,091,460","PBT",0.0870494847094901
"2017-09-24",2924.66,3096.84,2886.53,3096.84,"9,140","2,924,660","PBT",0.0588718004827913
"2017-09-23",2434.39,2932.69,2135.33,2917.64,"22,553","2,434,390","PBT",0.19850968825866
"2017-09-22",3577.25,3577.25,2430.55,2437.54,"5,694","3,577,250","PBT",-0.318599482842966
"2017-09-21",4114.9,4119.09,3501.86,3575.51,"3,581","4,114,900","PBT",-0.13108216481567
"2017-09-20",3728.7,4630.44,3577.71,4117.28,"2,240","3,728,700","PBT",0.104213264676697
"2017-09-19",3893.84,3913.28,3581.06,3737.31,"172","3,893,840","PBT",-0.0401993918599635
"2017-09-18",3577.12,3931.8,3577.12,3879.89,"19","3,577,120","PBT",0.0846407165540994
"2017-09-17",3459.04,3666.93,3318.3,3582.05,"7,131","3,459,040","PBT",0.0355618900041631
"2017-09-16",3996.97,4103.29,3323.27,3454.22,"8,935","3,996,970","PBT",-0.135790361198608
"2017-09-15",3446.74,4171.84,3231.85,3979.25,"10,227","3,446,740","PBT",0.154496712835897
"2017-09-14",4341.13,4431.88,3433.27,3433.27,"7,231","4,341,130","PBT",-0.20912988092962
"2017-09-13",4550.49,4550.49,4131.09,4341.68,"8,172","4,550,490","PBT",-0.0458873659759717
"2017-09-12",4722.59,4833.08,4413.65,4534.16,"6,353","4,722,590","PBT",-0.0398997160456445
"2017-09-11",4880.58,5045.16,4593.46,4723.41,"9,262","4,880,580","PBT",-0.0322031397907626
"2017-09-10",4889,5001.32,4607.96,4855.08,"7,773","4,889,000","PBT",-0.00693802413581511
"2017-09-09",5373.3,5490.73,4782.81,4883.99,"11,384","5,373,300","PBT",-0.0910632199951613
"2017-09-08",5794.59,5824.6,5013.95,5377.17,"9,672","5,794,590","PBT",-0.0720361578644909
"2017-09-07",6556.7,6560,5777.35,5797.02,"14,343","6,556,700","PBT",-0.115863162871566
"2017-09-06",5435.68,6712.53,4760.51,6537.87,"25,383","5,435,680","PBT",0.202769478703676
"2017-09-05",4723.87,5553.22,4353.4,5448.61,"11,611","4,723,870","PBT",0.153420818100413
"2017-09-04",5372.97,5386.8,4672.68,4734.94,"9,608","5,372,970","PBT",-0.118748103935068
"2017-09-03",4885.57,6407.15,4885.57,5374.53,"22,991","4,885,570","PBT",0.100082487816161
"2017-09-02",7323.23,7404.17,4774.32,4882.69,"23,274","7,323,230","PBT",-0.333260050551464
"2017-09-01",7417.34,7552.89,7188.24,7316.48,"15,063","7,417,340","PBT",-0.0135978666206485
"2017-08-31",6892.64,17932.3,6838.21,7418.44,"41,332","6,892,640","PBT",0.0762842684370574
"2017-08-30",7568.28,7722.25,6876.95,6896.19,"28,277","7,568,280","PBT",-0.0888035326388559
"2017-08-29",6167.92,7607.51,6071.35,7555.62,"46,732","6,167,920","PBT",0.224986705404739
"2017-08-28",6419.65,6478.46,5954,6163.66,"10,656","6,419,650","PBT",-0.0398760057012454
"2017-08-27",6679.6,6989.28,5916.07,6416.14,"12,842","6,679,600","PBT",-0.0394424815857237
"2017-08-26",5158.56,6837.72,5153.48,6740.62,"27,247","5,158,560","PBT",0.306686362085543
"2017-08-25",5126.85,5236.26,4698.7,5149.05,"28,121","5,126,850","PBT",0.00433014424061555
"2017-08-24",4952.91,5140.44,4860.12,5113.14,"37,635","4,952,910","PBT",0.0323506786919206
