"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",8e-05,9.2e-05,7.7e-05,8.4e-05,"74,685","-","PCN",0.0499999999999999
"2018-01-09",7.8e-05,8.6e-05,5.6e-05,8e-05,"51,604","-","PCN",0.0256410256410257
"2018-01-08",5.5e-05,8.7e-05,4.6e-05,7.8e-05,"75,505","-","PCN",0.418181818181818
"2018-01-07",6.8e-05,8.5e-05,5.4e-05,5.4e-05,"70,456","-","PCN",-0.205882352941176
"2018-01-06",5.3e-05,7e-05,3.9e-05,6.8e-05,"56,851","-","PCN",0.283018867924528
"2018-01-05",4.1e-05,5.3e-05,2.1e-05,5.2e-05,"42,670","-","PCN",0.268292682926829
"2018-01-04",4.5e-05,5.4e-05,3.3e-05,4e-05,"69,338","-","PCN",-0.111111111111111
"2018-01-03",1.6e-05,4.6e-05,1.2e-05,4.5e-05,"38,362","-","PCN",1.8125
"2018-01-02",0.000135,0.000152,1.2e-05,1.6e-05,"13,256","-","PCN",-0.881481481481482
"2018-01-01",0.00014,0.00014,0.000129,0.000135,"318","-","PCN",-0.0357142857142856
"2017-12-31",0.000127,0.000142,0.000126,0.000139,"845","-","PCN",0.0944881889763779
"2017-12-30",0.000145,0.000145,0.000122,0.000129,"123","-","PCN",-0.110344827586207
"2017-12-29",0.000145,0.000147,0.000144,0.000145,"1","-","PCN",0
"2017-12-28",0.000155,0.000156,0.000136,0.000143,"23","-","PCN",-0.0774193548387096
"2017-12-27",0.000158,0.000166,0.000128,0.000155,"402","-","PCN",-0.0189873417721518
"2017-12-26",0.000139,0.000161,0.000139,0.000158,"4,085","-","PCN",0.136690647482014
"2017-12-25",0.000139,0.00014,0.000139,0.000139,"3","-","PCN",0
"2017-12-24",0.000146,0.000146,0.000126,0.000135,"1","-","PCN",-0.0753424657534246
"2017-12-23",0.000138,0.000157,0.000136,0.000144,"36","-","PCN",0.0434782608695653
"2017-12-22",0.000157,0.000159,0.000114,0.000137,"14","-","PCN",-0.127388535031847
"2017-12-21",0.000165,0.000174,0.000151,0.000157,"2","-","PCN",-0.0484848484848485
"2017-12-20",0.000176,0.000178,0.000158,0.000164,"2","-","PCN",-0.0681818181818181
"2017-12-19",0.000191,0.000192,0.000171,0.000176,"25","-","PCN",-0.0785340314136126
"2017-12-18",0.000191,0.000193,0.000183,0.000191,"4","-","PCN",0
"2017-12-17",0.000195,2e-04,0.000189,0.000191,"34","-","PCN",-0.0205128205128205
"2017-12-16",0.000176,0.000196,0.000174,0.000195,"37","-","PCN",0.107954545454545
"2017-12-15",0.000166,0.000181,0.000166,0.000176,"26","-","PCN",0.0602409638554217
"2017-12-14",0.000167,0.000169,0.000162,0.000166,"8","-","PCN",-0.00598802395209579
"2017-12-12",0.000168,0.000178,0.000164,0.000175,"2","-","PCN",0.0416666666666667
"2017-12-11",0.000152,0.000172,0.000152,0.000168,"2","-","PCN",0.105263157894737
"2017-12-10",0.00015,0.000158,0.000132,0.000154,"359","-","PCN",0.0266666666666668
"2017-12-09",0.000163,0.000163,0.000135,0.00015,"2,181","-","PCN",-0.079754601226994
"2017-12-08",1e-06,0.000163,1e-06,0.000163,"3,366","-","PCN",162
"2017-12-07",0.000107,0.000145,4.8e-05,5.6e-05,"53","-","PCN",-0.476635514018692
"2017-12-06",0.000117,0.000128,1e-04,0.000108,"132","-","PCN",-0.0769230769230769
"2017-12-05",0.000117,0.000119,0.000115,0.000117,"2,518","-","PCN",0
"2017-12-04",0.000112,0.000116,0.000109,0.000116,"130","-","PCN",0.0357142857142857
"2017-12-03",7.8e-05,0.000118,6.6e-05,0.000112,"933","-","PCN",0.435897435897436
"2017-12-02",1.1e-05,8e-05,1e-05,7.8e-05,"116","-","PCN",6.09090909090909
"2017-12-01",8e-05,8e-05,1e-06,1.1e-05,"322","-","PCN",-0.8625
"2017-11-30",6.7e-05,8.6e-05,5e-05,8.1e-05,"146","-","PCN",0.208955223880597
"2017-11-29",3e-06,7.6e-05,3e-06,6.6e-05,"99","-","PCN",21
"2017-11-28",1e-06,3e-06,1e-06,3e-06,"140","-","PCN",2
"2017-11-27",1e-06,2e-06,9.4e-07,2e-06,"31","-","PCN",1
"2017-11-26",2e-06,2e-06,1e-06,1e-06,"315","-","PCN",-0.5
"2017-11-25",8.2e-05,8.7e-05,8.2e-05,8.7e-05,"1","-","PCN",0.0609756097560976
"2017-11-24",8e-05,8.3e-05,7.9e-05,8.2e-05,"17","-","PCN",0.0249999999999999
"2017-11-23",2e-06,8.2e-05,1e-06,8e-05,"45","-","PCN",39
"2017-11-22",8.1e-05,8.3e-05,8.1e-05,8.2e-05,"123","-","PCN",0.0123456790123456
"2017-11-21",7.2e-05,8.2e-05,6.8e-05,8.1e-05,"203","-","PCN",0.125
"2017-11-20",1.2e-05,7.3e-05,6e-06,7.2e-05,"419","-","PCN",5
"2017-11-19",4e-05,4.1e-05,5e-06,1.2e-05,"62","-","PCN",-0.7
"2017-11-18",3e-06,4.1e-05,1e-06,4e-05,"151","-","PCN",12.3333333333333
"2017-11-17",1.1e-05,3.8e-05,3e-06,3e-06,"183","-","PCN",-0.727272727272727
"2017-11-16",2.7e-05,2.7e-05,3e-06,1.1e-05,"103","-","PCN",-0.592592592592593
"2017-11-15",6e-06,2.7e-05,2e-06,2.7e-05,"31","-","PCN",3.5
"2017-11-14",2.8e-05,3e-05,9.3e-07,6e-06,"70","-","PCN",-0.785714285714286
"2017-11-13",5.7e-05,6.1e-05,1.1e-05,2.8e-05,"52","-","PCN",-0.508771929824561
"2017-11-12",9.4e-07,6.2e-05,8.2e-07,5.7e-05,"133","-","PCN",59.6382978723404
"2017-11-11",3.1e-05,4.4e-05,9.2e-07,9.3e-07,"19","-","PCN",-0.97
"2017-11-10",7.1e-05,7.3e-05,2e-06,3.1e-05,"93","-","PCN",-0.563380281690141
"2017-11-09",4.6e-05,7.2e-05,4.5e-05,7.1e-05,"14","-","PCN",0.543478260869565
"2017-11-08",6.9e-05,7.2e-05,4.4e-05,4.6e-05,"110","-","PCN",-0.333333333333333
"2017-11-07",6e-05,7e-05,1.7e-05,7e-05,"194","-","PCN",0.166666666666667
"2017-11-06",5.3e-05,7.4e-05,5.3e-05,6e-05,"327","-","PCN",0.132075471698113
"2017-11-05",1e-06,5.3e-05,8.7e-07,5.3e-05,"258","-","PCN",52
"2017-11-04",4e-06,4e-06,6.3e-07,1e-06,"2,306","-","PCN",-0.75
"2017-11-03",4.4e-05,6.7e-05,4e-06,4e-06,"80","-","PCN",-0.909090909090909
"2017-11-02",5e-06,4.5e-05,5e-06,4.4e-05,"199","-","PCN",7.8
"2017-11-01",1e-06,6e-06,9.8e-07,5e-06,"724","-","PCN",4
"2017-10-31",2e-06,2e-06,6.3e-07,1e-06,"1,644","-","PCN",-0.5
"2017-10-30",7e-07,4e-06,7e-07,2e-06,"86","-","PCN",1.85714285714286
"2017-10-29",5.7e-05,5.9e-05,6.6e-07,7.4e-07,"13","-","PCN",-0.987017543859649
"2017-10-28",5.7e-05,5.8e-05,5.7e-05,5.7e-05,"1","-","PCN",0
"2017-10-27",5.9e-05,5.9e-05,5.9e-05,5.9e-05,"1","-","PCN",0
"2017-10-26",3.1e-05,6e-05,3.1e-05,5.9e-05,"1","-","PCN",0.903225806451613
"2017-10-25",2.2e-05,3.9e-05,1.8e-05,3.1e-05,"20","-","PCN",0.409090909090909
"2017-10-24",5.8e-05,5.8e-05,5.9e-07,2.2e-05,"46","-","PCN",-0.620689655172414
"2017-10-23",6e-05,6.1e-05,5.1e-05,5.8e-05,"468","-","PCN",-0.0333333333333334
"2017-10-22",6e-05,6.1e-05,5.7e-05,6e-05,"12","-","PCN",0
"2017-10-21",6e-05,6.2e-05,5.9e-05,6e-05,"32","-","PCN",0
"2017-10-20",5.7e-05,6.1e-05,5.6e-05,6e-05,"42","-","PCN",0.0526315789473684
"2017-10-19",5.6e-05,5.7e-05,5.5e-05,5.7e-05,"40","-","PCN",0.0178571428571429
"2017-10-18",5.5e-05,5.6e-05,5.1e-05,5.6e-05,"1","-","PCN",0.0181818181818181
"2017-10-17",5.8e-05,5.8e-05,5.5e-05,5.6e-05,"14","-","PCN",-0.0344827586206897
"2017-10-16",6.5e-07,5.8e-05,5.4e-07,5.8e-05,"71","-","PCN",88.2307692307692
"2017-10-15",3e-06,3e-06,6.5e-07,6.5e-07,"642","-","PCN",-0.783333333333333
"2017-10-14",1.5e-05,1.5e-05,1e-06,3e-06,"1,746","-","PCN",-0.8
"2017-10-13",4e-06,2.2e-05,3e-06,1.5e-05,"484","-","PCN",2.75
"2017-10-12",2e-06,4e-06,3.6e-07,4e-06,"652","-","PCN",1
"2017-10-11",3e-06,5e-06,1e-06,2e-06,"251","-","PCN",-0.333333333333333
"2017-10-10",2.3e-05,2.3e-05,5.6e-07,3e-06,"123","-","PCN",-0.869565217391304
"2017-10-09",6.4e-07,2.3e-05,6e-07,2.3e-05,"65","-","PCN",34.9375
"2017-10-08",6.7e-07,6.9e-07,4.7e-07,6.4e-07,"41","-","PCN",-0.0447761194029851
"2017-10-07",6.6e-07,7e-07,5e-07,6.7e-07,"121","-","PCN",0.0151515151515152
"2017-10-06",1.6e-05,1.6e-05,4.8e-07,6.6e-07,"186","-","PCN",-0.95875
"2017-10-05",5e-06,2.5e-05,4e-06,1.6e-05,"125","-","PCN",2.2
"2017-10-04",4.3e-05,4.3e-05,4e-06,5e-06,"53","-","PCN",-0.883720930232558
"2017-10-03",4.4e-05,4.4e-05,4.2e-05,4.3e-05,"10","-","PCN",-0.0227272727272727
"2017-10-02",4.4e-05,4.5e-05,4.4e-05,4.4e-05,"0","-","PCN",0
"2017-10-01",4.3e-05,4.4e-05,4.3e-05,4.4e-05,"0","-","PCN",0.0232558139534883
"2017-09-30",4.2e-05,4.4e-05,4.2e-05,4.3e-05,"50","-","PCN",0.0238095238095239
"2017-09-29",4.1e-05,4.2e-05,3.9e-05,4.2e-05,"5","-","PCN",0.024390243902439
"2017-09-28",4.1e-05,4.3e-05,4.1e-05,4.1e-05,"47","-","PCN",0
"2017-09-27",4.6e-07,4.1e-05,3e-07,4.1e-05,"91","-","PCN",88.1304347826087
"2017-09-23",3.6e-05,3.8e-05,3.6e-05,3.8e-05,"1","-","PCN",0.0555555555555556
"2017-09-22",3.6e-05,3.8e-05,3.5e-05,3.6e-05,"150","-","PCN",0
"2017-09-21",4.8e-07,3.9e-05,4.7e-07,3.6e-05,"1","-","PCN",74
"2017-09-20",2.4e-05,2.4e-05,3.3e-07,4.8e-07,"35","-","PCN",-0.98
"2017-09-19",4e-05,4e-05,2.3e-05,2.4e-05,"34","-","PCN",-0.4
"2017-09-14",3.6e-05,3.9e-05,3.5e-05,3.5e-05,"3","-","PCN",-0.0277777777777779
"2017-09-13",4.2e-05,4.2e-05,3.6e-05,3.6e-05,"10","-","PCN",-0.142857142857143
"2017-09-12",4.2e-05,4.4e-05,4.1e-05,4.2e-05,"2","-","PCN",0
"2017-09-11",4.3e-05,4.4e-05,4.1e-05,4.2e-05,"13","-","PCN",-0.0232558139534885
"2017-09-10",4.3e-05,4.3e-05,4e-05,4.2e-05,"3","-","PCN",-0.0232558139534885
"2017-09-09",4.3e-05,4.4e-05,4.2e-05,4.3e-05,"19","-","PCN",0
"2017-09-08",4.6e-05,4.7e-05,4.1e-05,4.3e-05,"8","-","PCN",-0.0652173913043478
"2017-09-07",4.6e-05,4.7e-05,4.5e-05,4.6e-05,"147","-","PCN",0
"2017-09-06",4.4e-05,4.8e-05,4.4e-05,4.6e-05,"78","-","PCN",0.0454545454545455
