"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.001022,0.00105,0.000821,0.00105,"225","-","PDG",0.0273972602739726
"2018-01-09",0.000904,0.001057,0.000731,0.001021,"410","-","PDG",0.129424778761062
"2018-01-08",0.000977,0.000981,0.000712,0.000906,"283","-","PDG",-0.0726714431934493
"2018-01-07",0.000688,0.000991,0.000659,0.000978,"1,286","-","PDG",0.421511627906977
"2018-01-06",0.000679,0.00069,0.000655,0.000689,"86","-","PDG",0.0147275405007364
"2018-01-05",0.000607,0.000685,0.000448,0.000679,"1,112","-","PDG",0.118616144975288
"2018-01-04",0.000456,0.000618,0.000443,0.000607,"85","-","PDG",0.331140350877193
"2018-01-03",0.000593,0.000613,0.00044,0.000454,"85","-","PDG",-0.234401349072513
"2018-01-02",0.000405,0.000608,0.000271,0.000596,"843","-","PDG",0.471604938271605
"2018-01-01",0.000419,0.000553,0.000258,0.000405,"113","-","PDG",-0.0334128878281623
"2017-12-31",0.000381,0.000427,0.000129,0.000418,"249","-","PDG",0.0971128608923885
"2017-12-30",0.000435,0.000579,0.000243,0.000386,"246","-","PDG",-0.11264367816092
"2017-12-29",0.000289,0.000446,0.000141,0.000436,"27","-","PDG",0.508650519031142
"2017-12-28",0.000465,0.000467,0.000273,0.000286,"14","-","PDG",-0.38494623655914
"2017-12-27",0.000475,0.000497,0.000314,0.000466,"84","-","PDG",-0.0189473684210526
"2017-12-26",0.000279,0.000484,0.000277,0.000475,"399","-","PDG",0.702508960573477
"2017-12-25",0.000282,0.00029,0.000135,0.000279,"61","-","PDG",-0.0106382978723405
"2017-12-24",0.000292,0.000292,0.000253,0.000279,"4","-","PDG",-0.0445205479452054
"2017-12-23",0.000276,0.000313,0.000272,0.000289,"123","-","PDG",0.0471014492753623
"2017-12-22",0.000314,0.000317,0.000229,0.000273,"86","-","PDG",-0.130573248407643
"2017-12-21",0.000165,0.000318,0.000157,0.000313,"2","-","PDG",0.896969696969697
"2017-12-20",0.000352,0.000352,0.000158,0.000164,"3","-","PDG",-0.534090909090909
"2017-12-19",0.000383,0.000384,0.000341,0.000353,"79","-","PDG",-0.0783289817232375
"2017-12-18",0.000191,0.000386,0.000183,0.000382,"4","-","PDG",1
"2017-12-17",0.000199,0.000199,0.000189,0.000191,"19","-","PDG",-0.0402010050251256
"2017-12-14",0.000164,0.000171,0.000162,0.000169,"5","-","PDG",0.0304878048780487
"2017-12-13",0.000173,0.000175,0.000159,0.000164,"5","-","PDG",-0.0520231213872832
"2017-12-12",0.000337,0.000347,0.000173,0.000173,"185","-","PDG",-0.486646884272997
"2017-12-11",0.000334,0.00035,0.000327,0.000336,"2","-","PDG",0.00598802395209579
"2017-12-09",0.000325,0.00033,0.000271,0.000298,"1","-","PDG",-0.0830769230769231
"2017-12-08",0.000305,0.000326,0.000153,0.000326,"26","-","PDG",0.0688524590163935
"2017-12-06",0.000117,0.000123,0.000117,0.000122,"334","-","PDG",0.0427350427350427
"2017-12-05",0.000117,0.000119,0.000115,0.000117,"321","-","PDG",0
"2017-12-04",0.000112,0.000116,0.000109,0.000116,"1","-","PDG",0.0357142857142857
"2017-12-03",0.000116,0.000118,0.000106,0.000112,"7","-","PDG",-0.0344827586206897
"2017-12-01",1e-04,0.000109,9.5e-05,0.000108,"1","-","PDG",0.0799999999999999
"2017-11-30",0.000295,0.000321,9.5e-05,1e-04,"1","-","PDG",-0.661016949152542
"2017-11-29",0.000199,0.000326,0.000199,0.00029,"2","-","PDG",0.457286432160804
"2017-11-28",9.8e-05,0.000199,9.7e-05,0.000199,"2","-","PDG",1.03061224489796
