"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.088357,0.144641,0.076729,0.125686,"10,017","531,409","PHS",0.422479260273662
"2018-01-09",0.085691,0.092489,0.073382,0.088241,"5,981","515,373","PHS",0.0297580842795626
"2018-01-08",0.09315,0.093499,0.078674,0.085925,"5,469","560,236","PHS",-0.0775630703166935
"2018-01-07",0.069498,0.094469,0.069066,0.09328,"2,359","417,986","PHS",0.342196897752453
"2018-01-06",0.093412,0.093412,0.068747,0.069549,"1,555","561,811","PHS",-0.255459683980645
"2018-01-05",0.086077,0.094128,0.065707,0.093338,"408","517,698","PHS",0.0843547056705044
"2018-01-04",0.09096,0.091112,0.059932,0.08606,"3,420","547,067","PHS",-0.0538698328935796
"2018-01-03",0.105037,0.106835,0.054294,0.090465,"3,377","631,729","PHS",-0.138732065843465
"2018-01-02",0.084789,0.109012,0.041753,0.105411,"6,799","509,949","PHS",0.24321551144606
"2018-01-01",0.050612,0.096735,0.039586,0.084795,"13,419","304,400","PHS",0.675393187386391
"2017-12-31",0.034329,0.050832,0.033988,0.050417,"2,321","206,467","PHS",0.468641673220892
"2017-12-30",0.036964,0.038877,0.033577,0.034704,"2,282","222,316","PHS",-0.0611405692024672
"2017-12-29",0.03559,0.043947,0.035081,0.037057,"1,496","214,051","PHS",0.0412194436639506
"2017-12-28",0.042048,0.043689,0.035012,0.035225,"638","252,892","PHS",-0.162266933028919
"2017-12-27",0.047511,0.049677,0.04109,0.042137,"727","285,747","PHS",-0.113110648060449
"2017-12-26",0.040396,0.047629,0.037456,0.047477,"2,895","242,955","PHS",0.175289632636895
"2017-12-25",0.038035,0.040791,0.035819,0.040158,"871","228,753","PHS",0.0558170106480873
"2017-12-24",0.0371,0.0396,0.03192,0.037644,"28","223,134","PHS",0.0146630727762802
"2017-12-23",0.04068,0.046226,0.029279,0.036695,"229","244,660","PHS",-0.0979596853490659
"2017-12-22",0.046353,0.04681,0.033765,0.040299,"72","278,785","PHS",-0.130606433240567
"2017-12-21",0.048626,0.05129,0.044683,0.046193,"24","292,451","PHS",-0.0500349607206022
"2017-12-20",0.05268,0.053328,0.046505,0.048499,"20","316,836","PHS",-0.0793659832953682
"2017-12-19",0.057401,0.057606,0.050984,0.052732,"121","345,227","PHS",-0.0813400463406561
"2017-12-18",0.057204,0.057691,0.054639,0.057352,"10","344,047","PHS",0.00258723166212157
"2017-12-17",0.057261,0.058868,0.029812,0.057032,"1,418","344,390","PHS",-0.00399923158869038
"2017-12-16",0.042882,0.058343,0.04234,0.057254,"87","257,906","PHS",0.335152278345226
"2017-12-15",0.046445,0.050609,0.042358,0.042822,"190","279,338","PHS",-0.0780062439444505
"2017-12-14",0.045851,0.047779,0.045333,0.046376,"265","275,766","PHS",0.0114501319491396
"2017-12-13",0.046818,0.05952,0.044621,0.045999,"2,086","281,579","PHS",-0.0174932718185313
"2017-12-12",0.041418,0.049788,0.038696,0.046779,"382","249,103","PHS",0.129436476894104
"2017-12-11",0.040709,0.045172,0.040254,0.041286,"1,805","244,840","PHS",0.0141737699280258
"2017-12-10",0.033834,0.042114,0.029786,0.041006,"47","203,492","PHS",0.211976118697168
"2017-12-09",0.036756,0.043719,0.030474,0.033698,"30","221,065","PHS",-0.0831973011209054
"2017-12-08",0.043562,0.044212,0.033797,0.036793,"2,238","261,997","PHS",-0.15538772324503
"2017-12-07",0.034614,0.04346,0.034172,0.04346,"722","208,183","PHS",0.255561333564454
"2017-12-06",0.02855,0.037945,0.02855,0.034674,"383","171,709","PHS",0.214500875656743
"2017-12-05",0.029024,0.029124,0.027826,0.028613,"321","174,561","PHS",-0.0141606945975745
"2017-12-04",0.025182,0.028967,0.025154,0.028967,"1","151,451","PHS",0.150305773965531
"2017-12-03",0.022519,0.028049,0.022215,0.025098,"902","135,439","PHS",0.114525511790044
"2017-12-02",0.023837,0.025301,0.021932,0.022498,"17","143,362","PHS",-0.0561731761547175
"2017-12-01",0.029979,0.031056,0.0181,0.023857,"2,143","180,305","PHS",-0.204209613396044
"2017-11-30",0.023294,0.030408,0.021327,0.030128,"224","140,098","PHS",0.293380269597321
"2017-11-29",0.026117,0.027939,0.02155,0.022942,"390","157,080","PHS",-0.12156832714324
"2017-11-28",0.023315,0.023852,0.02309,0.023815,"2","140,226","PHS",0.0214454214025306
"2017-11-27",0.022176,0.024086,0.022176,0.023255,"4","133,375","PHS",0.0486562049062049
"2017-11-26",0.020729,0.02515,0.020706,0.022172,"880","124,669","PHS",0.0696126200009648
"2017-11-25",0.021182,0.02129,0.016494,0.020736,"1,611","127,394","PHS",-0.0210556132565385
"2017-11-24",0.022102,0.022474,0.020993,0.021225,"0","132,928","PHS",-0.0396796669984616
"2017-11-23",0.017437,0.022489,0.017177,0.022132,"10","104,874","PHS",0.269255032402363
"2017-11-22",0.018662,0.018806,0.016289,0.017443,"43","112,242","PHS",-0.0653199014039225
"2017-11-21",0.022746,0.024273,0.018343,0.018617,"854","136,804","PHS",-0.181526422228084
"2017-11-20",0.02228,0.023111,0.022014,0.022742,"869","134,001","PHS",0.0207360861759424
"2017-11-19",0.02523,0.025361,0.021319,0.022291,"425","151,739","PHS",-0.116488307570353
"2017-11-18",0.026596,0.027062,0.021362,0.025277,"399","159,958","PHS",-0.0495939238983306
"2017-11-17",0.02173,0.03594,0.020961,0.026698,"476","130,690","PHS",0.228624022089278
"2017-11-16",0.020376,0.022404,0.019919,0.021765,"499","122,545","PHS",0.068168433451119
"2017-11-15",0.015868,0.020362,0.015868,0.020269,"149","95,435","PHS",0.277350642803126
"2017-11-14",0.016393,0.01687,0.015424,0.015857,"54","98,590","PHS",-0.0326968828158361
"2017-11-13",0.01409,0.016882,0.014038,0.016358,"25","84,742","PHS",0.160965223562811
"2017-11-12",0.01641,0.022705,0.013588,0.01407,"190","98,697","PHS",-0.142595978062157
"2017-11-11",0.014333,0.014846,0.013585,0.013895,"2","86,205","PHS",-0.0305588502058188
"2017-11-10",0.013616,0.015112,0.011894,0.014384,"80","81,892","PHS",0.0564042303172738
"2017-11-09",0.014636,0.014636,0.013531,0.013576,"301","88,027","PHS",-0.0724241596064499
"2017-11-08",0.013805,0.015215,0.013723,0.014651,"3","83,030","PHS",0.0612821441506701
"2017-11-07",0.01357,0.014042,0.013557,0.013849,"44","81,615","PHS",0.020560058953574
"2017-11-06",0.013234,0.013629,0.012014,0.013592,"42","79,595","PHS",0.0270515339277619
"2017-11-05",0.013374,0.013701,0.013059,0.013205,"2","80,436","PHS",-0.012636458800658
"2017-11-04",0.012901,0.013357,0.012605,0.01332,"19","77,588","PHS",0.0324781024726766
"2017-11-03",0.012712,0.01723,0.012571,0.012934,"108","76,455","PHS",0.0174638137193203
"2017-11-02",0.012112,0.013307,0.012112,0.012729,"72","72,843","PHS",0.0509412153236461
"2017-11-01",0.012888,0.013248,0.011747,0.012098,"15","77,512","PHS",-0.0612973308504035
"2017-10-31",0.014829,0.014901,0.012603,0.012897,"115","89,188","PHS",-0.130285251871333
"2017-10-30",0.01607,0.016112,0.014606,0.01488,"5","96,648","PHS",-0.074051026757934
"2017-10-29",0.012601,0.016502,0.012568,0.016164,"10","30,612","PHS",0.282755336878026
"2017-10-28",0.012679,0.015158,0.012557,0.012619,"22","30,801","PHS",-0.00473223440334406
"2017-10-27",0.012657,0.01387,0.012366,0.012645,"137","30,746","PHS",-0.000948091964920586
"2017-10-26",0.013705,0.01592,0.012639,0.012654,"41","33,293","PHS",-0.0766873403867202
"2017-10-25",0.015838,0.015965,0.013024,0.013707,"22","38,473","PHS",-0.134549816896073
"2017-10-24",0.013667,0.016321,0.012967,0.015831,"17","33,200","PHS",0.158337601521914
"2017-10-23",0.020569,0.020871,0.013197,0.013697,"2","49,966","PHS",-0.334094997326073
"2017-10-22",0.019605,0.020787,0.018889,0.020602,"7","47,624","PHS",0.0508543738842131
"2017-10-21",0.015493,0.020081,0.015296,0.019599,"57","37,637","PHS",0.265022913573872
"2017-10-20",0.01854,0.018599,0.01453,0.015526,"1","45,037","PHS",-0.162567421790723
"2017-10-19",0.016147,0.019152,0.014169,0.018535,"15","39,225","PHS",0.147891249148448
