"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.827273,0.883147,0.717404,0.82698,"6,674","8,233,100","PING",-0.000354175707414587
"2018-01-09",0.923235,1.01,0.711576,0.82618,"58,632","9,188,120","PING",-0.10512491402514
"2018-01-08",0.811876,1.06,0.759928,1,"458,657","8,079,860","PING",0.231715188033641
"2018-01-07",0.744852,0.836399,0.725736,0.81301,"160,386","7,412,830","PING",0.091505426581388
"2018-01-06",0.685062,0.768592,0.651062,0.745473,"223,582","6,817,800","PING",0.0881832593254335
"2018-01-05",0.620456,0.7479,0.558708,0.684517,"155,528","6,174,830","PING",0.103248256121304
"2018-01-04",0.65379,0.658727,0.540995,0.620347,"107,951","6,506,580","PING",-0.0511525107450405
"2018-01-03",0.569641,0.844788,0.540026,0.650243,"343,965","5,669,120","PING",0.141496135285206
"2018-01-02",0.620328,0.630771,0.566898,0.57124,"6,554","6,173,560","PING",-0.0791323299931649
"2018-01-01",0.621476,0.634361,0.533125,0.620399,"6,415","6,184,980","PING",-0.00173297118472796
"2017-12-31",0.732088,0.787095,0.52317,0.61908,"3,049","7,285,800","PING",-0.154363956245697
"2017-12-30",0.436875,0.775953,0.436875,0.676235,"49,004","4,347,820","PING",0.547891273247496
"2017-12-29",0.67146,0.676749,0.345734,0.438083,"50,375","6,682,430","PING",-0.34756649688738
"2017-12-28",0.503039,0.70814,0.489991,0.664533,"84,198","5,006,290","PING",0.321036738702168
"2017-12-27",0.659618,0.732191,0.49404,0.503291,"60,480","6,564,580","PING",-0.236996261472549
"2017-12-26",0.658092,0.824259,0.53573,0.659079,"52,832","6,549,390","PING",0.00149979030287553
"2017-12-25",0.467606,0.824117,0.450026,0.658784,"59,308","4,653,660","PING",0.408844197893098
"2017-12-24",0.893845,1.03,0.411985,0.462127,"44,536","8,895,620","PING",-0.482989780107289
"2017-12-23",0.352579,0.596923,0.352579,0.518646,"9,456","3,508,900","PING",0.471006497834528
"2017-12-22",0.504414,0.504414,0.305419,0.349252,"7,899","5,019,970","PING",-0.307608432755633
"2017-12-21",0.486784,0.547752,0.420147,0.502839,"17,803","4,844,510","PING",0.0329817742571655
"2017-12-20",0.45943,0.688756,0.403296,0.485574,"52,634","4,572,290","PING",0.0569052956924885
"2017-12-19",0.58926,0.634697,0.379012,0.459927,"12,544","5,864,370","PING",-0.219483759291315
"2017-12-18",0.580335,0.637485,0.399697,0.588655,"17,082","5,775,550","PING",0.0143365469944084
"2017-12-17",0.510827,0.676129,0.427415,0.578589,"16,085","5,083,800","PING",0.132651563053637
"2017-12-16",0.409109,0.665829,0.40797,0.510769,"12,550","4,071,480","PING",0.248491233387679
"2017-12-15",0.600206,0.76879,0.39307,0.40854,"31,044","5,973,310","PING",-0.319333695431235
"2017-12-14",0.590283,0.672135,0.45784,0.599305,"16,115","5,874,550","PING",0.0152841941915996
"2017-12-13",0.948468,1.27,0.584453,0.588604,"15,506","9,439,240","PING",-0.37941606886052
"2017-12-12",0.776612,0.992261,0.595972,0.947647,"38,428","7,728,920","PING",0.220232239522439
"2017-12-11",0.714371,0.81314,0.546666,0.775131,"40,689","7,109,480","PING",0.0850538445709583
"2017-12-10",0.301987,1.44,0.291707,0.717157,"30,114","3,005,410","PING",1.37479427922394
"2017-12-09",0.407134,0.571723,0.29572,0.298806,"5,233","4,051,840","PING",-0.266074560218503
"2017-12-08",0.36783,0.410574,0.258894,0.407553,"3,456","3,660,670","PING",0.107992822771389
"2017-12-07",0.322012,0.402514,0.30336,0.367012,"38,156","3,204,690","PING",0.139746344856713
"2017-12-06",0.439219,0.471431,0.302641,0.357424,"49,564","4,371,150","PING",-0.186228282474119
"2017-12-05",0.253928,0.475397,0.252139,0.440239,"13,497","2,527,110","PING",0.733715856463249
"2017-12-04",0.241905,0.305805,0.226315,0.253171,"5,868","2,407,460","PING",0.0465720014055103
"2017-12-03",0.409396,0.416881,0.195758,0.236291,"25,280","4,074,350","PING",-0.422830218175068
"2017-12-02",0.654186,0.787078,0.320466,0.458009,"165,278","6,510,520","PING",-0.299879544961219
"2017-12-01",0.337218,0.756538,0.306192,0.654388,"68,286","3,356,030","PING",0.94054884377465
"2017-11-30",0.19376,0.342517,0.179622,0.338894,"27,590","1,928,320","PING",0.74904004954583
"2017-11-29",0.192272,0.22342,0.180514,0.191466,"11,296","1,913,510","PING",-0.00419197803112258
"2017-11-28",0.184926,0.204969,0.178372,0.191952,"16,683","1,840,400","PING",0.0379935758087019
"2017-11-27",0.178199,0.185519,0.171883,0.184599,"20,280","1,773,450","PING",0.0359149041240412
"2017-11-26",0.170683,0.181837,0.15526,0.177949,"19,827","1,698,650","PING",0.0425701446541249
"2017-11-25",0.166389,0.192931,0.164748,0.170701,"1,494","1,655,920","PING",0.0259151746810185
"2017-11-24",0.158552,0.167262,0.154569,0.166725,"1,354","1,577,930","PING",0.0515477572026844
"2017-11-23",0.145772,0.16243,0.145772,0.158743,"7,967","1,450,740","PING",0.0889814230442059
"2017-11-22",0.167531,0.171767,0.145721,0.145829,"3,230","1,667,280","PING",-0.129540204499466
"2017-11-21",0.163171,0.194149,0.154965,0.172456,"3,062","1,623,890","PING",0.0569034938806527
"2017-11-20",0.170991,0.198476,0.161884,0.162788,"7,631","1,701,710","PING",-0.0479732851436626
"2017-11-19",0.155164,0.1741,0.138478,0.171071,"952","1,544,210","PING",0.102517336495579
"2017-11-18",0.182162,0.182162,0.14213,0.155757,"731","1,812,890","PING",-0.144953393133584
"2017-11-17",0.188524,0.199377,0.139264,0.182808,"404","1,876,210","PING",-0.0303197470879039
"2017-11-16",0.156972,0.196741,0.147421,0.188834,"1,260","1,562,200","PING",0.202978875213414
"2017-11-15",0.132771,0.172799,0.132771,0.156154,"2,207","1,321,350","PING",0.176115266134924
"2017-11-14",0.138946,0.165491,0.13268,0.13268,"348","1,382,810","PING",-0.0450966562549479
"2017-11-13",0.129626,0.163716,0.1284,0.138653,"3,045","1,290,050","PING",0.069638807029454
"2017-11-12",0.127889,0.146084,0.113244,0.129437,"927","1,272,760","PING",0.012104246651393
"2017-11-11",0.127142,0.155432,0.121819,0.127983,"361","1,265,330","PING",0.00661465133472817
"2017-11-10",0.184166,0.186482,0.126002,0.127597,"1,058","1,832,840","PING",-0.307163102852861
"2017-11-09",0.194841,0.204985,0.147021,0.183603,"5,740","1,939,080","PING",-0.0576777988205768
"2017-11-08",0.214542,0.221988,0.172959,0.195081,"4,058","2,135,150","PING",-0.0907095114243365
"2017-11-07",0.208623,0.222632,0.20573,0.215214,"4,181","2,076,230","PING",0.0315928732690067
"2017-11-06",0.221202,0.228218,0.205863,0.20893,"7,015","2,201,420","PING",-0.0554787027242069
"2017-11-05",0.225161,0.235405,0.218351,0.220727,"2,289","2,240,820","PING",-0.0196925755348395
"2017-11-04",0.220607,0.25903,0.217338,0.225587,"77,023","2,195,500","PING",0.0225740796982871
"2017-11-03",0.223019,0.258861,0.214143,0.219027,"124,514","2,219,500","PING",-0.0178998201946919
"2017-11-02",0.247405,0.256573,0.209204,0.223304,"112,219","2,462,200","PING",-0.0974151694589843
"2017-11-01",0.196199,0.24932,0.1931,0.246748,"96,904","1,952,590","PING",0.25764147625625
"2017-10-31",0.208837,0.236995,0.187299,0.196342,"109,060","2,078,370","PING",-0.0598313517240719
"2017-10-30",0.214646,0.214646,0.185381,0.209522,"95,401","2,136,180","PING",-0.023871863440269
"2017-10-29",0.184742,0.216814,0.174322,0.215895,"117,627","1,838,570","PING",0.168629764753007
"2017-10-28",0.195836,0.199856,0.184568,0.184995,"742","1,948,980","PING",-0.0553575440674851
"2017-10-27",0.187595,0.216009,0.185334,0.195332,"1,497","1,866,960","PING",0.0412431034942296
"2017-10-26",0.218256,0.226499,0.184774,0.187542,"35,380","2,172,100","PING",-0.14072465361777
"2017-10-25",0.206198,0.221194,0.17224,0.196482,"105,856","2,052,100","PING",-0.0471197586785517
"2017-10-24",0.224087,0.224553,0.173992,0.206104,"63,744","2,230,140","PING",-0.080250081441583
"2017-10-23",0.232132,0.236958,0.209976,0.225067,"96,239","2,310,190","PING",-0.0304352695879931
"2017-10-22",0.231066,0.243721,0.215599,0.235701,"92,965","2,299,590","PING",0.0200592038638311
"2017-10-21",0.256286,0.258718,0.217862,0.234364,"107,112","2,550,590","PING",-0.0855372513520053
"2017-10-20",0.227515,0.26136,0.183231,0.256666,"73,420","2,264,250","PING",0.128127815748412
"2017-10-19",0.234149,0.239229,0.173796,0.183305,"63,187","2,330,270","PING",-0.21714378451328
"2017-10-18",0.23997,0.23997,0.161113,0.233875,"94,050","2,388,200","PING",-0.0253990082093595
"2017-10-17",0.238351,0.262542,0.199662,0.239843,"92,818","2,372,090","PING",0.00625967585619525
"2017-10-16",0.214597,0.269398,0.188573,0.239479,"92,600","2,135,690","PING",0.115947566834578
"2017-10-15",0.232285,0.233738,0.173645,0.192043,"79,687","2,311,720","PING",-0.173244075166283
"2017-10-14",0.223297,0.250488,0.177579,0.232817,"105,419","2,222,280","PING",0.0426338016184723
"2017-10-13",0.236251,0.273057,0.203301,0.224297,"110,504","2,351,190","PING",-0.0505987276244333
"2017-10-12",0.190557,0.245086,0.163158,0.23362,"57,255","1,896,440","PING",0.225984875916392
"2017-10-11",0.191162,0.225929,0.152991,0.190384,"77,636","1,902,460","PING",-0.00406984651761334
"2017-10-10",0.204634,0.21003,0.18645,0.18971,"17,747","2,036,540","PING",-0.0729302071014593
"2017-10-09",0.218504,0.22318,0.194592,0.205666,"47,265","2,174,570","PING",-0.058754073151979
"2017-10-08",0.206644,0.221406,0.202385,0.218444,"35,921","2,056,540","PING",0.0571030371072957
"2017-10-07",0.182224,0.221625,0.179441,0.207119,"74,900","1,813,510","PING",0.136617569584687
"2017-10-06",0.189939,0.219027,0.157162,0.180843,"165,887","1,890,290","PING",-0.0478890591189803
"2017-10-05",0.201368,0.216927,0.168374,0.184424,"182,223","2,004,030","PING",-0.084144451948671
"2017-10-04",0.220695,0.223795,0.160162,0.200863,"182,322","2,196,370","PING",-0.0898615736650128
"2017-10-03",0.213719,0.234821,0.195541,0.217043,"187,859","2,126,950","PING",0.0155531328520161
"2017-10-02",0.222813,0.247659,0.202553,0.213193,"191,938","2,217,460","PING",-0.0431752186811363
"2017-10-01",0.211076,0.255826,0.200093,0.22259,"180,923","2,100,640","PING",0.0545490723720366
"2017-09-30",0.206732,0.226264,0.202058,0.211087,"289,082","2,057,420","PING",0.0210659210959116
"2017-09-29",0.206878,0.237892,0.19432,0.207183,"298,286","2,058,860","PING",0.0014742988621313
"2017-09-28",0.201609,0.218861,0.196569,0.205503,"289,578","2,006,430","PING",0.0193146139309256
"2017-09-27",0.193465,0.203504,0.180399,0.201598,"188,098","1,925,390","PING",0.0420386116351795
"2017-09-26",0.187208,0.197492,0.184104,0.190467,"98,089","1,863,110","PING",0.0174084440835861
"2017-09-25",0.174837,0.197527,0.173509,0.188815,"126,352","1,740,000","PING",0.0799487522663968
"2017-09-24",0.18089,0.184584,0.172582,0.176031,"136,572","1,800,230","PING",-0.0268616286140749
"2017-09-23",0.171993,0.184767,0.170128,0.181017,"119,453","1,711,690","PING",0.052467251574192
"2017-09-22",0.177377,0.187589,0.156589,0.172477,"140,421","1,765,280","PING",-0.0276247766057607
"2017-09-21",0.192809,0.199198,0.167278,0.172225,"131,731","1,918,860","PING",-0.10675850193715
"2017-09-20",0.156421,0.200401,0.156421,0.19376,"134,162","1,556,720","PING",0.238708357573471
