"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",12.99,14.07,11.2,13.9,"14,166,300","718,713,000","PIVX",0.0700538876058507
"2018-01-09",11.83,13.37,11.53,12.52,"10,202,000","654,026,000","PIVX",0.0583262890955198
"2018-01-08",12.37,13.59,10.12,12.06,"12,368,100","684,174,000","PIVX",-0.025060630557801
"2018-01-07",11.22,12.51,11.13,12.36,"6,950,070","620,538,000","PIVX",0.101604278074866
"2018-01-06",10.27,11.56,9.49,11.16,"5,308,110","567,925,000","PIVX",0.0866601752677703
"2018-01-05",10.18,12.05,9.56,10.27,"9,830,440","562,752,000","PIVX",0.00884086444007857
"2018-01-04",11.21,11.37,9.98,10.29,"8,738,480","619,538,000","PIVX",-0.0820695807314899
"2018-01-03",11.93,12.19,10.63,11.09,"7,250,270","659,332,000","PIVX",-0.0704107292539815
"2018-01-02",10.74,11.97,10.74,11.62,"7,467,320","593,267,000","PIVX",0.0819366852886405
"2018-01-01",10.43,11.19,9.86,10.74,"5,455,340","576,317,000","PIVX",0.0297219558964526
"2017-12-31",9.52,10.82,9.38,10.4,"5,997,750","525,926,000","PIVX",0.0924369747899161
"2017-12-30",11.58,11.58,9.01,9.71,"7,445,770","639,698,000","PIVX",-0.161485319516408
"2017-12-29",11.56,12,10.67,11.7,"8,842,650","638,570,000","PIVX",0.0121107266435985
"2017-12-28",12.97,12.97,10.58,11.47,"5,806,150","716,370,000","PIVX",-0.115651503469545
"2017-12-27",12.93,12.93,11.66,12.61,"7,057,660","713,975,000","PIVX",-0.0247486465583914
"2017-12-26",12.62,13.69,11.45,12.77,"11,909,500","697,011,000","PIVX",0.0118858954041205
"2017-12-25",12.03,13.69,11.08,12.72,"11,777,300","664,330,000","PIVX",0.0573566084788031
"2017-12-24",11.13,13.52,10.81,11.96,"14,961,600","614,572,000","PIVX",0.0745732255166217
"2017-12-23",8.1,12.98,7.74,10.88,"20,162,800","447,035,000","PIVX",0.34320987654321
"2017-12-22",10.33,11.22,5.59,7.84,"8,663,970","570,102,000","PIVX",-0.241045498547919
"2017-12-21",8.21,11.47,8.11,10.19,"17,090,500","453,100,000","PIVX",0.241169305724726
"2017-12-20",7.73,8.56,6.54,8.01,"6,526,080","426,647,000","PIVX",0.0362225097024579
"2017-12-19",8.12,8.58,7.19,7.72,"5,397,730","447,897,000","PIVX",-0.0492610837438423
"2017-12-18",7.42,8.24,7.19,8.07,"5,051,550","409,033,000","PIVX",0.0876010781671159
"2017-12-17",7,8.85,6.13,7.39,"15,915,800","385,987,000","PIVX",0.0557142857142857
"2017-12-16",5.45,6.36,5.35,6.04,"6,023,910","300,503,000","PIVX",0.108256880733945
"2017-12-15",5.76,5.76,4.91,5.45,"3,683,020","317,645,000","PIVX",-0.0538194444444444
"2017-12-14",5.01,5.94,4.95,5.92,"4,275,440","276,270,000","PIVX",0.181636726546906
"2017-12-13",4.99,5.34,4.76,4.95,"3,262,970","274,868,000","PIVX",-0.00801603206412826
"2017-12-12",4.64,5.15,4.46,4.96,"2,934,330","255,803,000","PIVX",0.0689655172413794
"2017-12-11",4.3,4.74,4.22,4.63,"2,115,150","236,767,000","PIVX",0.0767441860465116
"2017-12-10",4.72,5.37,3.65,4.33,"2,433,820","259,933,000","PIVX",-0.0826271186440677
"2017-12-09",4.8,5.1,4.4,4.75,"2,616,880","264,547,000","PIVX",-0.0104166666666666
"2017-12-08",4.22,4.89,3.95,4.89,"3,113,520","232,573,000","PIVX",0.158767772511848
"2017-12-07",4.7,4.89,4.1,4.12,"4,355,440","258,876,000","PIVX",-0.123404255319149
"2017-12-06",5.82,5.82,4.63,4.71,"5,767,980","320,354,000","PIVX",-0.190721649484536
"2017-12-05",5.46,5.68,5.2,5.21,"4,073,630","300,857,000","PIVX",-0.0457875457875458
"2017-12-04",5.24,5.6,4.97,5.45,"3,169,970","288,255,000","PIVX",0.0400763358778626
"2017-12-03",4.91,6.11,4.73,5.34,"11,788,100","270,380,000","PIVX",0.0875763747454174
"2017-12-02",4.08,4.56,3.94,4.45,"2,362,890","224,796,000","PIVX",0.0906862745098039
"2017-12-01",3.79,4.25,3.64,4.1,"3,507,490","208,648,000","PIVX",0.0817941952506595
"2017-11-30",3.5,3.84,3.12,3.76,"1,863,840","192,758,000","PIVX",0.0742857142857142
"2017-11-29",4.29,4.29,3.38,3.46,"3,825,270","235,945,000","PIVX",-0.193473193473193
"2017-11-28",3.79,5.87,3.71,4.32,"25,570,600","208,682,000","PIVX",0.139841688654354
"2017-11-27",3.54,3.79,3.54,3.78,"1,951,790","194,822,000","PIVX",0.0677966101694915
"2017-11-26",3.26,3.67,3.23,3.51,"1,716,170","179,059,000","PIVX",0.0766871165644172
"2017-11-25",3.05,3.31,3.02,3.26,"1,046,570","167,645,000","PIVX",0.0688524590163934
"2017-11-24",3.04,3.08,2.91,3.05,"1,089,170","167,014,000","PIVX",0.00328947368421046
"2017-11-23",3.09,3.18,2.97,3.04,"1,060,520","170,081,000","PIVX",-0.0161812297734627
"2017-11-22",2.96,3.21,2.9,3.05,"1,107,400","162,943,000","PIVX",0.0304054054054054
"2017-11-21",2.9,3.09,2.73,2.97,"1,458,680","159,339,000","PIVX",0.0241379310344829
"2017-11-20",3.04,3.11,2.85,2.9,"882,014","166,995,000","PIVX",-0.0460526315789474
"2017-11-19",3.01,3.17,2.93,3.04,"700,817","165,143,000","PIVX",0.00996677740863796
"2017-11-18",2.94,3.17,2.82,3.01,"638,172","161,366,000","PIVX",0.0238095238095238
"2017-11-17",3.11,3.26,2.95,2.95,"741,596","170,045,000","PIVX",-0.0514469453376205
"2017-11-16",3.23,3.43,2.96,3.08,"1,108,260","176,961,000","PIVX",-0.0464396284829721
"2017-11-15",3.15,3.28,3.11,3.22,"396,318","172,166,000","PIVX",0.0222222222222223
"2017-11-14",3.19,3.24,3.02,3.14,"345,885","174,543,000","PIVX",-0.0156739811912225
"2017-11-13",3,3.41,2.9,3.18,"618,909","164,313,000","PIVX",0.0600000000000001
"2017-11-12",3.36,3.37,2.74,2.98,"539,335","183,848,000","PIVX",-0.113095238095238
"2017-11-11",3.29,3.59,3.11,3.36,"717,375","180,063,000","PIVX",0.0212765957446808
"2017-11-10",3.4,3.59,2.84,3.3,"1,215,490","200,714,000","PIVX",-0.0294117647058824
"2017-11-09",3.37,3.43,3.15,3.39,"1,005,160","184,199,000","PIVX",0.00593471810089021
"2017-11-08",2.83,3.42,2.65,3.38,"1,942,510","154,487,000","PIVX",0.19434628975265
"2017-11-07",2.92,2.99,2.79,2.84,"1,246,480","159,763,000","PIVX",-0.0273972602739726
"2017-11-06",3.1,3.28,2.81,2.89,"938,248","169,527,000","PIVX",-0.067741935483871
"2017-11-05",2.76,3.31,2.76,3.06,"1,605,640","150,753,000","PIVX",0.108695652173913
"2017-11-04",2.87,2.98,2.72,2.75,"686,107","156,637,000","PIVX",-0.0418118466898955
"2017-11-03",2.72,2.95,2.41,2.84,"1,068,960","148,714,000","PIVX",0.0441176470588234
"2017-11-02",2.69,3.22,2.09,2.71,"1,781,060","147,127,000","PIVX",0.00743494423791822
"2017-11-01",2.97,3.03,2.62,2.69,"1,341,230","162,148,000","PIVX",-0.0942760942760944
"2017-10-31",3.24,3.41,2.86,2.97,"1,143,060","176,950,000","PIVX",-0.0833333333333333
"2017-10-30",3.27,3.38,3.21,3.28,"266,133","178,468,000","PIVX",0.0030581039755351
"2017-10-29",3.13,3.46,3.13,3.35,"368,702","170,603,000","PIVX",0.0702875399361023
"2017-10-28",3.31,3.41,3.1,3.18,"231,745","186,046,000","PIVX",-0.0392749244712991
"2017-10-27",3.33,3.37,3.19,3.3,"157,036","186,751,000","PIVX",-0.00900900900900908
"2017-10-26",3.45,3.53,3.22,3.33,"298,358","192,393,000","PIVX",-0.0347826086956522
"2017-10-25",3.42,3.46,3.21,3.45,"397,752","190,229,000","PIVX",0.00877192982456148
"2017-10-24",3.16,3.6,2.99,3.45,"604,599","174,259,000","PIVX",0.0917721518987342
"2017-10-23",3.42,3.52,3.09,3.09,"294,843","187,088,000","PIVX",-0.0964912280701755
"2017-10-22",3.25,3.77,3.25,3.42,"745,540","177,700,000","PIVX",0.0523076923076923
"2017-10-21",3.18,3.35,2.92,3.3,"499,864","173,598,000","PIVX",0.0377358490566037
"2017-10-20",3.5,3.56,3.21,3.21,"739,472","191,142,000","PIVX",-0.0828571428571429
"2017-10-19",3.75,3.85,3.27,3.5,"1,366,020","204,754,000","PIVX",-0.0666666666666667
"2017-10-18",3.84,3.87,3.36,3.78,"896,628","209,499,000","PIVX",-0.015625
"2017-10-17",4.13,4.17,3.53,3.83,"1,242,610","225,097,000","PIVX",-0.072639225181598
"2017-10-16",4.06,4.11,3.59,4.01,"1,676,990","220,996,000","PIVX",-0.0123152709359605
"2017-10-15",3.98,4.31,3.8,4.07,"1,131,240","216,975,000","PIVX",0.0226130653266332
"2017-10-14",3.66,4,3.59,3.98,"662,710","199,412,000","PIVX",0.087431693989071
"2017-10-13",3.48,3.95,3.42,3.66,"1,105,600","189,754,000","PIVX",0.0517241379310345
"2017-10-12",3.64,3.84,3.4,3.54,"1,731,330","198,147,000","PIVX",-0.0274725274725275
"2017-10-11",3.26,3.62,3.17,3.59,"860,084","177,399,000","PIVX",0.101226993865031
"2017-10-10",3.38,3.44,3.04,3.23,"942,939","183,949,000","PIVX",-0.044378698224852
"2017-10-09",3.22,3.5,2.99,3.36,"1,244,400","175,462,000","PIVX",0.0434782608695651
