"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.002921,0.002974,0.002302,0.0024,"231","4,025","PIZZA",-0.178363574118453
"2018-01-09",0.003012,0.003086,0.002876,0.002917,"90","4,150","PIZZA",-0.0315405046480744
"2018-01-08",0.002924,0.003056,0.002706,0.00302,"299","4,029","PIZZA",0.0328317373461013
"2018-01-07",0.003441,0.003441,0.003299,0.003307,"2","4,741","PIZZA",-0.038942167974426
"2018-01-06",0.002833,0.003452,0.002782,0.003443,"195","3,904","PIZZA",0.215319449346982
"2018-01-05",0.002581,0.002896,0.002539,0.002883,"24","3,556","PIZZA",0.1170089112747
"2018-01-04",0.002586,0.002736,0.00254,0.00258,"56","3,563","PIZZA",-0.00232018561484933
"2018-01-03",0.00267,0.002723,0.001907,0.002572,"235","3,680","PIZZA",-0.0367041198501873
"2018-01-02",0.001914,0.002736,0.001825,0.00268,"93","2,638","PIZZA",0.400208986415883
"2018-01-01",0.002517,0.002518,0.002324,0.002364,"207","3,468","PIZZA",-0.0607866507747318
"2017-12-31",0.001653,0.002564,0.001636,0.002507,"220","2,278","PIZZA",0.516636418632789
"2017-12-30",0.002609,0.002996,0.001583,0.001671,"440","3,595","PIZZA",-0.359524722115753
"2017-12-29",0.002749,0.002874,0.002447,0.002616,"5","3,788","PIZZA",-0.0483812295380139
"2017-12-28",0.002948,0.002961,0.002589,0.002721,"6","4,062","PIZZA",-0.0770013568521032
"2017-12-27",0.003801,0.003974,0.002797,0.002954,"23","5,237","PIZZA",-0.222836095764273
"2017-12-26",0.002647,0.003869,0.002636,0.003798,"2","3,647","PIZZA",0.434831885153003
"2017-12-25",0.002254,0.002665,0.002123,0.002649,"28","3,106","PIZZA",0.175244010647737
"2017-12-24",0.002337,0.002337,0.002011,0.002231,"61","3,220","PIZZA",-0.04535729567822
"2017-12-23",0.002206,0.002505,0.002175,0.002312,"63","3,040","PIZZA",0.0480507706255665
"2017-12-22",0.002514,0.002539,0.001831,0.002186,"60","3,464","PIZZA",-0.130469371519491
"2017-12-21",0.002637,0.002782,0.002423,0.002505,"69","3,634","PIZZA",-0.050056882821388
"2017-12-20",0.002819,0.002854,0.002522,0.00263,"72","3,884","PIZZA",-0.0670450514366796
"2017-12-19",0.003444,0.003797,0.002728,0.002822,"77","4,746","PIZZA",-0.180603948896632
"2017-12-18",0.003061,0.003441,0.002924,0.003441,"28","4,218","PIZZA",0.124142437112055
"2017-12-17",0.003701,0.003701,0.003019,0.003052,"145","5,099","PIZZA",-0.175358011348284
"2017-12-16",0.002824,0.003729,0.002634,0.0037,"104","3,891","PIZZA",0.310198300283286
"2017-12-15",0.00282,0.003615,0.002789,0.00282,"61","3,886","PIZZA",0
"2017-12-14",0.003111,0.003327,0.002482,0.002816,"176","4,287","PIZZA",-0.0948248151719705
"2017-12-13",0.003455,0.003501,0.002295,0.003121,"143","4,761","PIZZA",-0.096671490593343
"2017-12-12",0.003367,0.003552,0.003288,0.003452,"2","4,640","PIZZA",0.0252450252450252
"2017-12-11",0.003049,0.003501,0.003036,0.003357,"2","4,202","PIZZA",0.101016726795671
"2017-12-10",0.002707,0.003155,0.002383,0.003072,"2","3,730","PIZZA",0.134835611377909
"2017-12-09",0.002765,0.002806,0.002438,0.002696,"17","3,810","PIZZA",-0.0249547920433997
"2017-12-08",0.00295,0.003545,0.002564,0.002768,"393","4,065","PIZZA",-0.0616949152542372
"2017-12-07",0.002747,0.003479,0.002576,0.002943,"43","3,785","PIZZA",0.0713505642519112
"2017-12-06",0.001989,0.002756,0.001989,0.002752,"6","2,741","PIZZA",0.38360985419809
"2017-12-05",0.002098,0.002105,0.001494,0.001994,"103","2,891","PIZZA",-0.0495710200190657
