"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.42,2.42,1.91,2.25,"942,714","11,540,600","PKB",-0.0702479338842975
"2018-01-09",2.65,3.16,2.4,2.42,"2,862,160","12,639,900","PKB",-0.0867924528301887
"2018-01-08",1.81,2.9,1.7,2.66,"3,943,020","8,640,760","PKB",0.469613259668508
"2018-01-07",1.81,2.03,1.74,1.79,"821,999","8,606,520","PKB",-0.0110497237569061
"2018-01-06",1.75,2.17,1.63,1.81,"1,445,590","8,333,990","PKB",0.0342857142857143
"2018-01-05",1.38,2.09,1.32,1.75,"3,229,030","6,583,240","PKB",0.268115942028986
"2018-01-04",1.4,1.43,1.28,1.38,"296,667","6,681,100","PKB",-0.0142857142857143
"2018-01-03",1.32,1.48,1.29,1.34,"270,342","6,266,090","PKB",0.0151515151515152
"2018-01-02",1.34,1.47,1.17,1.33,"483,220","6,380,010","PKB",-0.00746268656716419
"2018-01-01",1.33,1.36,1.24,1.34,"206,414","6,334,770","PKB",0.00751879699248121
"2017-12-31",1.2,1.36,1.19,1.32,"192,348","5,715,080","PKB",0.1
"2017-12-30",1.44,1.44,1.12,1.21,"180,941","6,850,630","PKB",-0.159722222222222
"2017-12-29",1.53,1.69,1.38,1.44,"662,644","7,312,500","PKB",-0.0588235294117648
"2017-12-28",1.39,1.57,1.16,1.53,"546,654","6,632,210","PKB",0.100719424460432
"2017-12-27",1.31,1.43,1.28,1.4,"283,379","6,225,840","PKB",0.0687022900763358
"2017-12-26",1.41,1.43,1.17,1.28,"574,604","6,721,160","PKB",-0.0921985815602836
"2017-12-25",1.28,1.66,1.14,1.4,"1,286,660","6,108,060","PKB",0.0937499999999999
"2017-12-24",1.11,1.32,0.976004,1.32,"439,758","5,306,570","PKB",0.189189189189189
"2017-12-23",1.04,1.23,1.03,1.1,"197,611","4,944,810","PKB",0.0576923076923077
"2017-12-22",1.23,1.26,0.810972,1.01,"296,069","5,848,780","PKB",-0.178861788617886
"2017-12-21",1.33,1.39,1.16,1.22,"437,566","6,328,680","PKB",-0.0827067669172933
"2017-12-20",1.22,1.38,1.06,1.32,"894,012","5,793,940","PKB",0.0819672131147542
"2017-12-19",1.26,1.48,1.13,1.2,"781,654","6,018,790","PKB",-0.0476190476190477
"2017-12-18",1.11,1.3,1.08,1.26,"361,463","5,284,510","PKB",0.135135135135135
"2017-12-17",1.14,1.2,1.09,1.11,"164,509","5,424,520","PKB",-0.026315789473684
"2017-12-16",1.02,1.19,1.02,1.14,"461,690","4,876,900","PKB",0.117647058823529
"2017-12-15",1.05,1.09,0.977394,1.05,"170,462","4,979,440","PKB",0
"2017-12-14",1.03,1.16,0.997691,1.04,"238,028","4,902,540","PKB",0.00970873786407768
"2017-12-13",1.01,1.07,0.967566,1.05,"162,032","4,805,500","PKB",0.0396039603960396
"2017-12-12",0.9134,1.04,0.90278,1.01,"197,581","4,351,460","PKB",0.105758703744252
