"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.57,5.8,3.36,5.8,"123,033","48,305,000","PKT",0.624649859943978
"2018-01-09",4.05,4.45,3.3,3.58,"89,621","54,795,700","PKT",-0.116049382716049
"2018-01-08",3.88,4.58,3.39,4.07,"121,509","52,476,700","PKT",0.0489690721649486
"2018-01-07",3.26,4.03,2.86,3.87,"136,492","44,066,100","PKT",0.187116564417178
"2018-01-06",2.12,3.26,2.02,3.26,"124,739","28,658,900","PKT",0.537735849056604
"2018-01-05",2.09,2.65,1.66,2.12,"66,842","28,315,500","PKT",0.0143540669856461
"2018-01-04",1.19,2.12,0.931889,2.1,"54,505","16,105,700","PKT",0.764705882352941
"2018-01-03",1.14,1.31,0.829646,1.19,"59,664","15,403,900","PKT",0.0438596491228071
"2018-01-02",0.933299,1.16,0.916656,1.14,"71,634","12,619,200","PKT",0.221473504203905
"2018-01-01",0.923266,0.944887,0.8183,0.932484,"34,711","12,483,600","PKT",0.00998412158576179
"2017-12-31",0.78355,0.930964,0.756007,0.920931,"34,925","10,594,400","PKT",0.175331504052071
"2017-12-30",0.907812,0.951744,0.738131,0.791997,"46,117","12,274,600","PKT",-0.127575973880054
"2017-12-29",0.773188,1.04,0.772588,0.909559,"78,925","-","PKT",0.176374956672892
"2017-12-28",0.777886,0.860766,0.673192,0.765893,"43,543","-","PKT",-0.0154174262038395
"2017-12-27",0.835177,0.950815,0.732093,0.779345,"121,320","-","PKT",-0.066850499953902
"2017-12-26",1.12,1.22,0.779793,0.834585,"49,269","-","PKT",-0.254834821428572
"2017-12-25",1.34,1.72,0.919749,1.11,"79,996","-","PKT",-0.171641791044776
"2017-12-24",1.05,2.21,0.743522,1.33,"72,161","-","PKT",0.266666666666667
"2017-12-23",1.13,1.35,0.643501,0.933369,"30,624","-","PKT",-0.174009734513274
"2017-12-22",0.72291,1.27,0.661564,1.12,"45,051","-","PKT",0.549293826340762
"2017-12-21",0.56101,0.997334,0.46778,0.720405,"11,728","-","PKT",0.284121495160514
"2017-12-20",0.62212,0.626557,0.467347,0.559859,"9,317","-","PKT",-0.100078762939626
