"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",26.26,28.97,22.92,28.97,"55,187","22,317,300","PLU",0.103198781416603
"2018-01-09",24.06,26.94,22.08,26.23,"29,562","20,454,300","PLU",0.0901911886949294
"2018-01-08",27.38,27.66,21.06,24.13,"31,526","23,276,300","PLU",-0.118699780861943
"2018-01-07",30.55,30.76,23.47,27.35,"40,257","25,964,700","PLU",-0.104746317512275
"2018-01-06",26.91,30.63,21.53,30.57,"20,779","22,869,200","PLU",0.136008918617614
"2018-01-05",28.53,31.56,26.77,27.72,"13,178","24,251,300","PLU",-0.0283911671924291
"2018-01-04",29.14,30.92,27.31,28.61,"21,840","24,771,300","PLU",-0.0181880576527111
"2018-01-03",25.56,31.18,24.14,29.01,"13,643","21,722,100","PLU",0.134976525821596
"2018-01-02",19.1,27.16,19.1,25.61,"14,442","16,235,500","PLU",0.340837696335078
"2018-01-01",22.3,25.33,18.28,19.09,"7,588","18,953,800","PLU",-0.143946188340807
"2017-12-31",20.2,24.56,14.07,22.3,"4,603","17,172,000","PLU",0.103960396039604
"2017-12-30",22.13,22.14,17.61,20.38,"23,185","18,813,200","PLU",-0.079078174423859
"2017-12-29",17.26,29.2,17.23,22.18,"27,451","14,669,400","PLU",0.28505214368482
"2017-12-28",19.74,22.27,15.45,17.54,"28,081","16,781,000","PLU",-0.11144883485309
"2017-12-27",15.25,27.02,15.21,19.78,"78,318","12,962,600","PLU",0.297049180327869
"2017-12-26",13.88,17.08,13.88,15.22,"16,370","11,801,300","PLU",0.0965417867435158
"2017-12-25",13.74,16.75,13.33,13.88,"26,196","11,677,600","PLU",0.0101892285298399
"2017-12-24",13.64,14.14,12.1,13.66,"37,810","11,593,500","PLU",0.00146627565982402
"2017-12-23",9.22,15.66,9.2,13.48,"88,596","7,839,620","PLU",0.462039045553145
"2017-12-22",12.7,13.15,6.4,9.15,"73,965","10,790,900","PLU",-0.279527559055118
"2017-12-21",9.62,12.65,8.58,12.65,"30,304","8,177,900","PLU",0.314968814968815
"2017-12-20",6.52,9.65,5.78,9.61,"16,499","5,541,830","PLU",0.473926380368098
"2017-12-19",9.39,11.64,6.53,6.53,"48,481","7,982,910","PLU",-0.30457933972311
"2017-12-18",8.91,10.06,8.58,9.41,"19,518","7,577,040","PLU",0.0561167227833895
"2017-12-17",10.43,10.74,7.88,8.92,"12,760","8,862,930","PLU",-0.144774688398849
"2017-12-16",9.98,11.97,8.87,10.4,"11,948","8,482,080","PLU",0.0420841683366733
"2017-12-15",9.41,11.86,7.33,9.96,"29,308","8,001,480","PLU",0.0584484590860787
"2017-12-14",11.33,13.2,9.19,9.4,"5,966","9,632,920","PLU",-0.170344218887908
"2017-12-13",10.07,11.55,9.37,11.35,"8,997","8,556,170","PLU",0.127110228401192
"2017-12-12",9.61,11.17,9.34,10.05,"2,295","8,171,980","PLU",0.0457856399583768
"2017-12-11",9.59,11.15,8.74,9.62,"9,631","8,149,870","PLU",0.00312825860271109
"2017-12-10",8.33,10.65,7.14,9.75,"5,161","7,079,440","PLU",0.17046818727491
"2017-12-09",10.64,10.78,8.44,8.85,"1,651","9,047,610","PLU",-0.168233082706767
"2017-12-08",10.92,10.99,9.01,10.65,"6,103","9,284,710","PLU",-0.0247252747252747
"2017-12-07",9.16,10.9,6.5,10.9,"13,921","7,785,720","PLU",0.189956331877729
"2017-12-06",6.15,9.85,6.04,9.19,"7,665","5,230,850","PLU",0.494308943089431
"2017-12-05",8.24,8.27,5.66,6.16,"1,310","7,005,240","PLU",-0.252427184466019
"2017-12-04",7.72,9.33,7.69,8.23,"9,809","6,559,100","PLU",0.0660621761658032
"2017-12-03",6.8,7.91,6.76,7.7,"17,659","5,780,360","PLU",0.132352941176471
"2017-12-02",7.16,7.79,5.1,6.8,"3,790","6,082,150","PLU",-0.0502793296089386
"2017-12-01",4.84,7.37,4.66,7.16,"23,424","4,111,510","PLU",0.479338842975207
"2017-11-30",5.27,7.59,4.16,4.85,"12,004","4,476,980","PLU",-0.079696394686907
"2017-11-29",5.95,8.69,4.99,5.19,"3,829","5,057,900","PLU",-0.127731092436975
"2017-11-28",7.41,7.75,5.95,5.95,"6,264","6,295,440","PLU",-0.197031039136302
"2017-11-27",6.57,7.68,6.07,7.4,"4,010","5,581,110","PLU",0.126331811263318
"2017-11-26",7.4,7.59,6.54,6.56,"1,962","6,288,690","PLU",-0.113513513513514
"2017-11-25",6.85,7.43,6.72,7.42,"184,749","5,826,020","PLU",0.0832116788321168
"2017-11-24",6.95,7,6.19,6.86,"224,397","5,908,330","PLU",-0.0129496402877698
"2017-11-23",7.08,7.3,6.97,6.97,"173,455","6,017,930","PLU",-0.0155367231638419
"2017-11-22",7.28,7.35,7,7.08,"192,294","6,189,680","PLU",-0.0274725274725275
"2017-11-21",7.58,7.59,7.23,7.27,"178,644","6,446,680","PLU",-0.0408970976253299
"2017-11-20",7.69,7.71,7.52,7.59,"180,110","6,537,560","PLU",-0.0130039011703512
"2017-11-19",7.01,7.8,6.99,7.68,"174,308","5,958,350","PLU",0.0955777460770328
"2017-11-18",6.52,7.04,6.42,7.02,"170,282","5,542,250","PLU",0.0766871165644172
"2017-11-17",6.66,6.7,6.37,6.53,"155,607","5,662,120","PLU",-0.0195195195195195
"2017-11-16",7.06,10.86,6.35,6.67,"203,411","5,997,730","PLU",-0.0552407932011331
"2017-11-15",6.11,7.2,6.11,7.04,"150,196","5,193,910","PLU",0.152209492635025
"2017-11-14",5.73,6.17,5.73,6.11,"121,060","4,869,790","PLU",0.0663176265270506
"2017-11-13",6.22,6.39,5.6,5.73,"103,224","5,289,270","PLU",-0.0787781350482314
"2017-11-12",6.26,6.41,5.2,6.22,"123,779","5,324,140","PLU",-0.00638977635782748
"2017-11-11",8.5,8.68,6.22,6.26,"164,016","7,223,650","PLU",-0.263529411764706
"2017-11-10",8.99,9.1,8.41,8.52,"134,572","7,637,420","PLU",-0.0522803114571747
"2017-11-09",9.2,9.2,8.56,8.97,"183,305","7,823,830","PLU",-0.0249999999999999
