"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.00068,0.000811,0.000493,0.000535,"173,168","22,105,100","PND",-0.213235294117647
"2018-01-09",0.000912,0.001073,0.000668,0.000733,"347,465","29,667,400","PND",-0.196271929824561
"2018-01-08",0.001096,0.001158,0.000838,0.000915,"431,514","35,648,500","PND",-0.16514598540146
"2018-01-07",0.001145,0.001223,0.000853,0.00109,"835,962","37,233,800","PND",-0.0480349344978165
"2018-01-06",0.001134,0.001677,0.000969,0.00121,"2,936,530","36,875,200","PND",0.0670194003527336
"2018-01-05",0.000227,0.002344,0.000188,0.001137,"4,150,740","7,389,040","PND",4.00881057268723
"2018-01-04",0.000143,0.000235,0.000129,0.000229,"108,781","4,651,480","PND",0.601398601398601
"2018-01-03",0.000123,0.000146,0.000113,0.000143,"40,407","3,995,910","PND",0.16260162601626
"2018-01-02",0.00011,0.000132,0.000103,0.000123,"17,421","3,571,800","PND",0.118181818181818
"2018-01-01",0.000115,0.000117,1e-04,0.00011,"8,440","3,751,320","PND",-0.0434782608695652
"2017-12-31",0.000117,0.000121,0.000107,0.000116,"16,439","3,819,350","PND",-0.00854700854700852
"2017-12-30",0.000126,0.000127,0.000107,0.000119,"14,151","4,103,050","PND",-0.0555555555555555
"2017-12-29",0.000121,0.00013,0.000115,0.000127,"16,614","3,928,230","PND",0.0495867768595041
"2017-12-28",0.000135,0.000136,0.000112,0.00012,"16,758","4,401,610","PND",-0.111111111111111
"2017-12-27",0.000115,0.000138,0.000111,0.000136,"24,577","3,747,180","PND",0.182608695652174
"2017-12-26",0.000108,0.000117,9.3e-05,0.000115,"26,219","3,521,330","PND",0.0648148148148149
"2017-12-25",0.000111,0.000113,7.2e-05,0.000108,"17,701","3,596,180","PND",-0.0270270270270271
"2017-12-24",0.000111,0.000126,0.000104,0.00011,"12,098","3,596,840","PND",-0.00900900900900898
"2017-12-23",8.4e-05,0.000119,8.4e-05,0.000109,"5,556","2,737,460","PND",0.297619047619048
"2017-12-22",0.000116,0.000117,7.3e-05,8.3e-05,"7,196","3,765,370","PND",-0.28448275862069
"2017-12-21",0.000112,0.000157,7.6e-05,0.000115,"11,811","3,646,320","PND",0.0267857142857143
"2017-12-20",0.000114,0.000452,7.9e-05,0.000112,"7,617","3,701,480","PND",-0.0175438596491229
"2017-12-19",0.000104,0.000127,7.3e-05,0.000114,"11,704","3,372,090","PND",0.0961538461538463
"2017-12-18",8.1e-05,0.00038,5e-05,0.000104,"11,906","2,638,490","PND",0.28395061728395
"2017-12-17",6.7e-05,9.3e-05,5.7e-05,8.1e-05,"12,110","2,191,780","PND",0.208955223880597
"2017-12-16",0.000118,0.000118,4.6e-05,6.6e-05,"5,412","3,821,300","PND",-0.440677966101695
"2017-12-15",0.000105,0.000128,0.000102,0.000117,"4,068","3,405,020","PND",0.114285714285714
"2017-12-14",0.000101,0.000142,9.8e-05,0.000105,"5,498","3,285,540","PND",0.0396039603960396
"2017-12-13",4.4e-05,0.000105,4.2e-05,0.000101,"1,683","1,428,000","PND",1.29545454545455
"2017-12-12",3.4e-05,4.7e-05,3.2e-05,4.4e-05,"1,670","1,093,710","PND",0.294117647058823
"2017-12-11",3.7e-05,4e-05,3.2e-05,3.4e-05,"1,568","1,192,650","PND",-0.081081081081081
"2017-12-10",0.000123,0.000123,3.5e-05,3.7e-05,"1,475","3,991,550","PND",-0.699186991869919
"2017-12-09",2.8e-05,0.000122,2.8e-05,0.000122,"7,498","923,037","PND",3.35714285714286
"2017-12-08",6e-05,6.7e-05,2.3e-05,2.8e-05,"2,255","1,940,970","PND",-0.533333333333333
"2017-12-07",6.9e-05,8.4e-05,3.7e-05,6e-05,"2,721","2,256,510","PND",-0.130434782608696
"2017-12-06",3.6e-05,9.7e-05,2.6e-05,6.9e-05,"6,889","1,178,730","PND",0.916666666666667
"2017-12-05",3.8e-05,4.7e-05,2.5e-05,3.6e-05,"281","1,221,100","PND",-0.0526315789473684
"2017-12-04",2.8e-05,3.9e-05,2.6e-05,3.7e-05,"525","918,152","PND",0.321428571428571
"2017-12-03",2.2e-05,3.1e-05,2.2e-05,2.8e-05,"804","730,745","PND",0.272727272727273
"2017-12-02",3.9e-05,3.9e-05,2.1e-05,2.2e-05,"107","1,265,730","PND",-0.435897435897436
"2017-12-01",4.5e-05,5.1e-05,3.2e-05,3.9e-05,"336","1,472,750","PND",-0.133333333333333
"2017-11-30",3.7e-05,6.2e-05,3.7e-05,4.6e-05,"166","1,198,140","PND",0.243243243243243
"2017-11-29",2.2e-05,4e-05,2.1e-05,3.6e-05,"188","712,774","PND",0.636363636363636
"2017-11-28",5.4e-05,5.4e-05,1.9e-05,2.2e-05,"192","1,751,470","PND",-0.592592592592593
"2017-11-27",7.9e-05,8.7e-05,4.9e-05,5.4e-05,"758","2,571,540","PND",-0.316455696202532
"2017-11-26",3.9e-05,8.9e-05,2.3e-05,7.9e-05,"1,048","1,280,740","PND",1.02564102564103
"2017-11-25",2.6e-05,4.1e-05,2.6e-05,3.9e-05,"188","846,690","PND",0.5
"2017-11-24",2e-05,2.6e-05,1.8e-05,2.6e-05,"296","636,886","PND",0.3
"2017-11-23",4.6e-05,4.7e-05,2e-05,2e-05,"348","1,502,540","PND",-0.565217391304348
"2017-11-22",2.6e-05,7e-05,2.6e-05,4.6e-05,"648","831,467","PND",0.769230769230769
"2017-11-21",2.4e-05,2.5e-05,1.7e-05,2.5e-05,"80","795,898","PND",0.0416666666666667
"2017-11-20",2.4e-05,4.1e-05,1.7e-05,2.5e-05,"717","794,356","PND",0.0416666666666667
"2017-11-19",2.4e-05,4.1e-05,1.6e-05,2.4e-05,"8","781,829","PND",0
"2017-11-18",3.5e-05,3.7e-05,2.3e-05,2.4e-05,"519","1,127,860","PND",-0.314285714285714
"2017-11-17",3e-05,3.5e-05,1.5e-05,3.5e-05,"357","989,212","PND",0.166666666666667
